🦵🏻	bahagian kaki, kaki, kaki: ton kulit cerah, tendang, ton kulit cerah
👯‍♂	berpesta, lelaki, lelaki berpesta, penari, telinga arnab
👯‍♀	berpesta, penari, perempuan, perempuan berpesta, telinga arnab, wanita
🧖	bilik wap, orang dalam bilik berwap, sauna
🧖‍♀	bilik wap, sauna, wanita dalam bilik berwap
🧖‍♂	bilik wap, lelaki dalam bilik berwap, sauna
🧗	orang mendaki, pendaki
🧗‍♀	pendaki, wanita mendaki
🧗‍♂	lelaki mendaki, pendaki
🧘	orang dalam kedudukan teratai, tafakur, yoga
🧘‍♀	tafakur, wanita duduk teratai, yoga
🧘‍♂	lelaki duduk teratai, tafakur, yoga
🛀	mandi, orang sedang mandi, tab mandi
🛌	hotel, orang tidur atas katil, tidur
🕴	lelaki memakai sut urusan terapung-apung, manusia, perniagaan, sut
🗣	bayang, bercakap, cakap, kepala, kepala bercakap, muka
👤	bayang, bayang dada, dada
👥	bayang, bayang beberapa dada, dada
🤺	bermain pedang, orang, pemain pedang, sukan
🏇	joki, kuda, lumba, lumba kuda
⛷	pemain ski, salji, ski
🏂	papan luncur salji, peluncur papan salji, salji, ski
🏌	bola, golf, pemain golf
🏌‍♂	golf, lelaki, lelaki bermain golf
🏌‍♀	golf, perempuan, wanita, wanita bermain golf
🏄	meluncur, peluncur air
🏄‍♂	lelaki, lelaki meluncur air, meluncur air
🏄‍♀	meluncur air, perempuan, wanita, wanita meluncur air
🚣	bot, kenderaan, orang mendayung sampan
🚣‍♂	dayung sampan, lelaki, lelaki mendayung sampan, sampan
🚣‍♀	dayung sampan, perempuan, sampan, wanita, wanita mendayung sampan
🏊	berenang, perenang
🏊‍♂	berenang, lelaki, lelaki berenang
🏊‍♀	berenang, perempuan, wanita, wanita berenang
⛹	bola, orang melantun bola
⛹‍♂	bola, lelaki, lelaki melantun bola
⛹‍♀	bola, perempuan, wanita, wanita melantun bola
🏋	ahli angkat berat, berat, pengangkat
🏋‍♂	lelaki, lelaki mengangkat berat, pengangkat berat
🏋‍♀	pengangkat berat, perempuan, wanita, wanita mengangkat berat
🚴	basikal, menunggang basikal, sepeda
🚴‍♂	basikal, berbasikal, lelaki, lelaki berbasikal, penunggang basikal
🚴‍♀	basikal, berbasikal, penunggang basikal, perempuan, wanita, wanita berbasikal
🚵	basikal, bukit, penunggang, penunggang basikal bukit, sepeda
🚵‍♂	basikal, berbasikal, gunung, lelaki, lelaki berbasikal gunung, penunggang basikal
🚵‍♀	basikal, berbasikal, gunung, penunggang basikal, perempuan, wanita, wanita berbasikal gunung
🏎	kereta, kereta lumba, lumba
🏍	lumba, motosikal
🤸	gimnastik, orang, putar roda, sukan
🤸‍♂	gimnastik, lelaki, lelaki buat putar roda, lelaki membuat putar roda, putar roda
🤸‍♀	gimnastik, putar roda, wanita, wanita buat putar roda, wanita membuat putar roda
🤼	ahli gusti, bergusti, orang, sukan
🤼‍♂	gusti, lelaki, lelaki bergusti, orang, sukan
🤼‍♀	gusti, wanita, wanita bergusti
🤽	air, orang, polo, polo air, sukan
🤽‍♂	lelaki, lelaki bermain polo air, polo air, sukan
🤽‍♀	perempuan, polo air, sukan, wanita, wanita bermain polo air
🤾	bola, main bola baling, orang, orang main bola baling, sukan
🤾‍♂	bola baling, lelaki, lelaki bermain bola baling, sukan
🤾‍♀	bola baling, perempuan, sukan, wanita, wanita bermain bola baling
🤹	jugel, kemahiran, keseimbangan, menjugel, pelbagai aksi
🤹‍♂	berbilang tugas, lelaki, lelaki menjugel, menjugel
🤹‍♀	berbilang tugas, menjugel, perempuan, wanita, wanita menjugel
👫	lelaki, lelaki dan wanita berpegangan tangan, pasangan, pegang, tangan, wanita
👬	dua lelaki berpegangan tangan, gemini, kembar, lelaki, pasangan, pegang, tangan, zodiak
👭	dua wanita berpegangan tangan, pasangan, pegang, tangan, wanita
💏	cium, pasangan
💑	cinta, hati, pasangan, pasangan dengan simbol hati, percintaan
👪	bapa, ibu, kanak-kanak, keluarga
🤳	kamera, selfie, swafoto, telefon
💪	bisep, bisep dilentur, biseps dilenturtegang, komik, lentur, otot
🦵	bahagian kaki, kaki, tendang
🦶	hentak, hujung kaki, tendang
👈	jari telunjuk tunjuk kiri
👉	belakang tangan, jari telunjuk tunjuk kanan, tunjuk
☝	hala ke atas, jari, jari telunjuk menunjuk ke atas, tangan, telunjuk
👆	atas, badan, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke atas, jari telunjuk tunjuk hala ke atas, tangan, telunjuk, tunjuk
🖕	badan, jari, jari hantu, tangan
👇	badan, bawah, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke bawah, tangan, telunjuk, tunjuk
✌	badan, kemenangan, simbol kemenangan, tangan, v
🤞	jari, nasib, silang, silang jari, tangan
🖖	badan, jari, spock, tabik vulcan, tangan, valkan
🤘	badan, jari, rock, simbol tanduk, tanduk, tangan
🤙	tangan, telefon, telefon saya
🖐	badan, jari, renggang, tangan, tangan dengan jari terkepak
✋	angkat tangan, badan, tangan
👌	okey, simbol OK, tangan
👍	+1, atas, badan, ibu jari, simbol bagus, tangan
👎	-1, badan, bawah, ibu jari, simbol tidak bagus, tangan
✊	angkat penumbuk, badan, penumbuk, tangan, tergenggam, tumbuk
👊	badan, penumbuk, penumbuk dari depan, tangan, tergenggam, tumbuk
🤛	ke kiri, penumbuk, penumbuk ke kiri
🤜	ke kanan, penumbuk, penumbuk ke kanan
🤚	angkat, angkat belakang tapak tangan, tapak tangan
👋	badan, lambai, lambai tangan, melambai, tangan
🤟	ACK, gerak isyarat cinta kamu, tangan
✍	badan, tangan, tangan menulis, tulis
👏	badan, bertepuk tangan, tangan, tepuk
👐	badan, tangan, tangan terbuka, terbuka
🙌	angkat, badan, hore, isyarat, orang mengangkat tangan, perayaan, tangan
🤲	berdoa, tapak tangan rapat
🙏	badan, doa, isyarat, menyusun jari, susun, tangan, tanya, terima kasih, tolong, tunduk
🤝	berjabat tangan, perjumpaan, persetujuan, tangan
💅	kosmetik, kuku, pengilat, pengilat kuku, penjagaan, rias tangan
👂	badan, telinga
👃	badan, hidung
👣	badan, cetak, jejak, jejak kaki, pakaian
👀	badan, mata, muka, sepasang mata
👁	badan, mata
👁‍🗨	gelembung pertuturan, mata, mata dalam gelembung pertuturan, saksi
🧠	otak, pintar
🦴	rangka, tulang
🦷	doktor gigi, gigi
👅	badan, lidah
👄	badan, bibir, mulut
🦰	berambut merah, perang, rambut merah
🦱	afro, bergelung, kerinting, rambut kerinting
🦳	beruban, putih, rambut, rambut putih, tua
🦲	bercukur, botak, kemoterapi, tiada rambut, tidak berambut
💋	bibir, cium, tanda ciuman
💘	anak panah, dewa asmara, hati, hati ditembusi anak panah, percintaan
💝	hati, hati dengan reben, reben, valentine
💖	berkilau, hati, hati berkilauan, teruja
💗	denyutan jantung, gementar, hati, hati membesar, membesar, teruja
💓	berdegup, degupan jantung, denyut, hati, jantung berdegup
💞	berputar, hati, hati berputar
💕	cinta, dua hati, hati
💌	cinta, hati, mel, percintaan, surat, surat cinta
❣	hati, tanda, tanda baca, tanda seru, tanda seru berat hati
💔	hati, patah hati, retak
❤	hati, hati merah
🧡	hati jingga, jingga
💛	hati, hati kuning, kuning
💚	hati, hati hijau, hijau
💙	biru, hati, hati biru
💜	hati, hati ungu, ungu
🖤	hati, hati hitam, hitam, jahat
💟	hati, hiasan hati
💤	komik, tidur, zzz
💢	berang, komik, marah, simbol marah
💣	bom, komik
💥	komik, ledakan, pelanggaran
💦	komik, peluh, percikan, titis peluh
💨	berlari, komik, meluru
💫	bintang, komik, pening
💬	belon, dialog, gelembung, gelembung pertuturan, komik, ucapan
🗨	dialog, gelembung pertuturan kiri, ucapan
🗯	belon, berang, gelembung, gelembung marah kanan, marah
💭	belon, fikir, gelembung, gelembung fikir, komik
🕳	lubang
👓	cermin mata, kaca mata, mata, pakaian
🕶	cermin mata, gelap, kaca mata, kaca mata hitam, mata
🥽	berenang, gogal, mengimpal, perlindungan mata
🥼	doktor, eksperimen, kot makmal, saintis
👔	pakaian, tali leher
👕	kemeja, kemeja-t, pakaian
👖	celana, pakaian, seluar, seluar jean
🧣	leher, skaf
🧤	sarung tangan, tangan
🧥	jaket, kot
🧦	stoking
👗	gaun, pakaian
👘	kimono, pakaian
👙	bikini, pakaian, renang
👚	pakaian, pakaian wanita, wanita
👛	dompet, duit syiling, pakaian
👜	beg, beg tangan, pakaian
👝	beg, pakaian, pau
🛍	beg, beg beli-belah, hotel, membeli-belah
🎒	beg, beg galas, beg galas sekolah, sekolah
👞	kasut, kasut lelaki, lelaki, pakaian
👟	kasut, kasut lari, olahraga, pakaian, sneaker
🥾	berkhemah, but, but kembara, kembara, membawa beg galas
🥿	kasut rata, kasut sarung, rata balet, selipar
👠	kasut, kasut tumit tinggi, pakaian, tumit, wanita
👡	kasut, pakaian, sandal, sandal wanita, wanita
👢	but, but wanita, kasut, pakaian, wanita
👑	mahkota, pakaian, permaisuri, raja
👒	pakaian, topi, topi wanita, wanita
🎩	pakaian, tinggi, topi, topi tinggi
🎓	kep, pakaian, rai, tamat pengajian, topi konvokesyen
🧢	kep berbil, topi besbol
⛑	bantuan, helmet pekerja bantaun keselamatan, muka, palang, topi, topi keselamatan dengan palang putih
📿	agama, doa, kalung, manik, pakaian, tasbih
💄	alat solek, gincu, kosmetik
💍	berlian, cincin
💎	batu permata, berlian, intan, permata
🐵	monyet, muka, muka monyet
🐒	monyet
🦍	gorila, haiwan
🐶	anjing, haiwan kesayangan, muka, muka anjing
🐕	anjing, haiwan kesayangan
🐩	anjing, anjing poodle
🐺	muka, muka serigala, serigala
🦊	haiwan, muka, muka rubah, rubah
🦝	ingin tahu, licik, rakun
🐱	haiwan kesayangan, kucing, muka, muka kucing
🐈	haiwan kesayangan, kucing
🦁	leo, muka, muka singa, singa, zodiak
🐯	harimau, muka, muka harimau
🐅	harimau
🐆	harimau bintang
🐴	kuda, muka, muka kuda
🐎	kuda, lumba
🦄	muka, muka unikorn, unikorn
🦓	belang, zebra
🦌	haiwan, rusa
🐮	lembu, muka, muka lembu
🐂	lembu, lembu jantan, taurus, zodiak
🐃	air, kerbau
🐄	lembu
🐷	khinzir, muka, muka khinzir
🐖	babi betina, khinzir
🐗	babi hutan, khinzir
🐽	babi, hidung, hidung khinzir, muka
🐏	aries, biri-biri, biri-biri jantan, zodiak
🐑	biri-biri betina, biri-biri betina dewasa
🐐	capricorn, kambing, zodiak
🐪	bonggol, unta, unta arab
🐫	bactria, bonggol, unta, unta bonggol dua
🦙	alpaka, guanako, llama, vikuna, wul
🦒	bintik, zirafah
🐘	gajah
🦏	badak sumbu, haiwan
🦛	badak, badak air
🐭	muka, muka tikus, tikus
🐁	Mencit, tikus
🐀	tikus
🐹	haiwan kesayangan, hamster, muka, muka hamster
🐰	arnab, bunny, haiwan kesayangan, muka, muka arnab
🐇	arnab, haiwan kesayangan
🐿	tupai tanah
🦔	berduri, landak kecil
🦇	haiwan, kelawar
🐻	beruang, muka, muka beruang
🐨	beruang, koala
🐼	muka, muka panda, panda
🦘	Australia, anak kanggaru, kanggaru, lompat, marsupial
🦡	bejar, bejar madu, pengacau
🐾	jejak, kaki, tapak kaki haiwan
🦃	ayam belanda
🐔	ayam
🐓	ayam jantan
🐣	anak ayam, anak ayam menetas, bayi, menetas
🐤	anak ayam, bayi
🐥	anak ayam, anak ayam menghadap depan, bayi
🐦	burung
🐧	penguin
🕊	burung, burung merpati, keamanan, terbang
🦅	burung, helang
🦆	burung, itik
🦢	anak angsa, anak itik hodoh, angsa, burung
🦉	bijak, burung, burung hantu
🦚	berlagak, burung, merak, merak betina, sombong
🦜	burung, cakap, kakak tua, lanun
🐸	katak, muka, muka katak
🐊	buaya
🐢	penyu
🦎	cicak, reptilia
🐍	ophiuchus, pembawa, ular, zodiak
🐲	cerita dongeng, muka, muka naga, naga
🐉	cerita dongeng, naga
🦕	brakiosaurus, brontosaurus, diplodokus, sauropod
🦖	T-Rex, Tyrannosaurus Rex
🐳	ikan paus, ikan paus memancutkan air, muka, pancutan
🐋	ikan paus
🐬	ikan lumba-lumba, sirip
🐟	ikan, pisces, zodiak
🐠	ikan, ikan tropika, tropika
🐡	ikan, ikan buntal
🦈	ikan, jerung
🐙	sotong, sotong kurita
🐚	berpilin, kulit kerang, kulit kerang berpilin
🦀	cancer, ketam, zodiak
🦞	bisk, makanan laut, sepit, udang karang
🦐	kecil, makanan, udang
🦑	makanan, moluska, sotong
🐌	siput
🦋	cantik, rama-rama, serangga
🐛	serangga, ulat
🐜	semut, serangga
🐝	lebah, lebah madu, serangga
🐞	kumbang, kumbang kura-kura, serangga
🦗	belalang, cengkerik
🕷	labah-labah, serangga
🕸	labah-labah, sarang, sarang labah-labah
🦂	kala jengking, scorpio, scorpius, zodiak
🦟	demam, malaria, nyamuk, penyakit, serangga, virus
🦠	ameba, bakteria, mikrob, virus
💐	bunga, sejambak bunga
🌸	bunga, bunga sakura, mekar, sakura, tumbuhan
💮	bunga, bunga putih
🏵	roset, tumbuhan
🌹	bunga, bunga mawar, tumbuhan
🥀	bunga, bunga layu, layu
🌺	bunga, bunga raya
🌻	bunga, bunga matahari, matahari
🌼	bunga, bunga mekar, mekar
🌷	bunga, bunga tulip, tulip
🌱	anak benih, muda
🌲	malar hijau, pokok
🌳	daun luruh, meluruhkan, pokok, pokok daun luruh
🌴	palma, pokok, pokok palma
🌵	kaktus, tumbuhan
🌾	padi, seberkas padi, telinga, tumbuhan
🌿	daun, herba
☘	syamrok, tumbuhan
🍀	4, bunga cengkih, daun, daun bunga cengkih, empat, semanggi berdaun empat
🍁	daun, daun maple, luruh, mapel
🍂	daun, daun luruh, luruh, tumbuhan
🍃	angin, daun, daun melayang dek angin, daun melayang ditiup angin, kibar, tiup
🍇	anggur, buah-buahan
🍈	buah-buahan, tembikai susu
🍉	buah-buahan, tembikai
🍊	buah-buahan, limau tangerin, oren
🍋	buah-buahan, lemon, sitrus
🍌	buah-buahan, pisang
🍍	buah-buahan, nanas
🥭	buah, mangga, tropika
🍎	buah-buahan, epal, epal merah, merah
🍏	buah-buahan, epal, epal hijau, hijau
🍐	buah pear, buah-buahan
🍑	buah pic, buah-buahan
🍒	buah ceri, buah-buahan, ceri
🍓	beri, buah strawberi, buah-buahan
🥝	buah, buah kiwi, kiwi, makanan
🍅	sayur-sayuran, tomato
🥥	kelapa, pina colada, sawit
🥑	avokado, buah, makanan
🍆	sayur-sayuran, terung
🥔	makanan, sayur, ubi kentang
🥕	lobak merah, makanan, sayur
🌽	jagung, telinga, tongkol jagung
🌶	cili api, lada, pedas
🥒	jeruk, makanan, sayur, timun
🥬	kubis, kubis daun, sawi putih, sayuran hijau, selada
🥦	brokoli, kubis liar
🍄	cendawan
🥜	kacang tanah, kekacang, makanan, sayur
🌰	buah berangan
🍞	roti, sebuku
🥐	bulan sabit, kroisan, makanan, roti perancis
🥖	makanan, roti baguette, roti perancis
🥨	berpintal, pretzel
🥯	bagel, bakeri, lepa
🥞	lempeng, makanan, penkek
🧀	keju, sepotong keju
🍖	daging, daging salut tulang, tulang
🍗	ayam, ayam/itik, kaki, paha ayam, tulang
🥩	chop, lambchop, porkchop, sepotong daging, stik
🥓	bakon, daging salai, makanan
🍔	burger, hamburger
🍟	kentang goreng, perancis
🍕	keju, keping, piza
🌭	frankfurter, hot dog, sosej
🥪	roti, sandwic
🌮	mexico, tako
🌯	burito, mexico
🥙	berinti, falafel, kebab, makanan, roti kebab
🥚	makanan, telur
🍳	kuali, memasak, menggoreng, telur
🥘	belanga, makanan, makanan dalam belanga, periuk
🍲	periuk, seperiuk makanan, stew
🥣	bijirin, bubur, mangkuk dan sudu, sarapan
🥗	hijau, makanan, salad, salad hijau
🍿	bertih jagung
🧂	garam, penggoncang, perasa
🥫	makanan tin, tin
🍱	bento, kotak, kotak bento
🍘	beras, keropok, keropok beras
🍙	bebola nasi, beras, bola, jepun
🍚	masak, nasi, nasi masak
🍛	kari, nasi, nasi kari
🍜	berasap, mangkuk, mangkuk kukus, mi, ramen
🍝	pasta, spageti
🍠	kentang, manis, panggang, ubi keledek bakar
🍢	kayu, kebab, makanan laut, oden, sate
🍣	susyi
🍤	goreng, tempura, udang, udang goreng
🍥	ikan, kek, kek ikan dengan corak pusar, pastri, pusaran
🥮	festival, kuih bulan, musim luruh, yuèbǐng
🍡	dango, jepun, kayu, manis, pencuci mulut, sate
🥟	gyoza, jiaozi, ladu, pierogi, potsticker
🥠	biskut nasib, tilikan
🥡	kotak bungkus, tong tiram
🍦	ais, ais krim lembut, krim, lembut, manis, pencuci mulut
🍧	air batu campur, ais, kisar, manis, pencuci mulut
🍨	ais, ais krim, krim, manis, pencuci mulut
🍩	donat, manis, pencuci mulut
🍪	biskut, manis, pencuci mulut
🎂	hari jadi, kek, kek hari jadi, manisan, pastri, pemanis mulut, sambutan
🍰	hirisan, kek, kek rapuh, manisan, pastri, pemanis mulut, sepotong kek
🧁	bakeri, kek cawan, manis
🥧	inti, pai, pastri
🍫	bar, coklat, manis, pencuci mulut, sekeping coklat
🍬	gula-gula, manis, pencuci mulut
🍭	gula-gula, lolipop, manis, pencuci mulut
🍮	kastard, manis, pencuci mulut, puding
🍯	madu, manis, periuk, periuk madu
🍼	bayi, botol, botol susu, minum, susu
🥛	gelas, minuman, segelas susu, susu
☕	berasap, kopi, minum, minuman, minuman panas, panas, teh
🍵	cawan, cawan teh tanpa tangkai, minum, minuman, teh
🍶	bar, botol, cawan, minum, minuman, sake
🍾	bar, botol, botol dengan penutup gabus terbuka, botol gabus terbuka, gabus, minum, pop
🍷	bar, gelas, gelas wain, minum, minuman, wain
🍸	bar, gelas, gelas koktel, koktel, minum
🍹	bar, minum, minuman tropika, tropika
🍺	bar, bir, kole, kole bir, minum
🍻	bar, berdenting, bir, kole, kole bir berdenting, minum
🥂	gelas, melaga gelas, meraikan, minuman
🥃	arak, gelas, gelas pendek, pendek
🥤	cawan dan straw, jus, soda
🥢	hashi, penyepit
🍽	garpu, garpu dan pisau dengan pinggan, memasak, pinggan, pisau
🍴	garpu, garpu dan pisau, memasak, pisau
🥄	kutleri, sudu
🔪	alat, hocho, memasak, pisau, pisau dapur, senjata
🏺	amfora, aquarius, kendi, memasak, minum, zodiak
🌍	afrika, bumi, dunia, eropah, glob, peta glob Eropah-Afrika
🌎	amerika, bumi, dunia, glob, peta glob Amerika
🌏	asia, australia, bumi, dunia, glob, peta glob Asia-Australia
🌐	bumi, dunia, glob, glob dengan garisan meridian, meridian
🗺	dunia, peta, peta dunia
🗾	jepun, peta, peta Jepun
🧭	bermagnet, kompas, mengorientasi, navigasi
🏔	gunung, gunung dengan puncak bersalji, salji, sejuk
⛰	gunung
🌋	cuaca, gunung, gunung berapi, letusan
🗻	fuji, gunung, gunung fuji
🏕	berkhemah
🏖	pantai, pantai dengan payung, payung
🏜	padang pasir
🏝	padang pasir, pulau, pulau padang pasir
🏞	taman, taman negara
🏟	stadium
🏛	bangunan, bangunan klasik, klasik
🏗	bangunan, pembinaan, pembinaan bangunan
🧱	bata, batu-bata, dinding, mortar, tanah liat
🏘	bangunan, bangunan perumahan, rumah
🏚	bangunan, rumah, rumah terbiar, terbiar
🏠	bangunan, kediaman, rumah
🏡	bangunan, kediaman, rumah, rumah dengan taman, taman
🏢	bangunan, bangunan pejabat
🏣	Pejabat pos Jepun, bangunan, jepun, pos
🏤	bangunan, eropah, pejabat pos, pos
🏥	bangunan, doktor, hospital, perubatan
🏦	bangunan, bank
🏨	bangunan, hotel
🏩	bangunan, cinta, hotel, hotel cinta
🏪	bangunan, kedai, kedai serbaneka, serbaneka
🏫	bangunan, sekolah
🏬	bangunan, gedung, gedung serbaneka, serbaneka
🏭	bangunan, kilang
🏯	bangunan, istana, istana Jepun, jepun
🏰	bangunan, eropah, istana
💒	gereja, percintaan, perkahwinan
🗼	menara, menara Tokyo, tokyo
🗽	Patung Liberty, kebebasan, patung
⛪	agama, bangunan, gereja, kristian, salib
🕌	agama, islam, masjid, orang islam
🕍	agama, kuil, orang yahudi, saumaah, yahudi
⛩	agama, kuil, kuil shinto, shinto
🕋	agama, islam, kaabah, orang islam
⛲	air pancut
⛺	khemah, perkhemahan
🌁	berkabus, cuaca, kabus
🌃	bintang, cuaca, malam, malam berbintang
🏙	bandar, bangunan, panorama kota
🌄	gunung, matahari terbit, matahari terbit di banjaran pergunungan, pagi
🌅	cuaca, matahari, matahari terbit, pagi
🌆	bandar, bangunan, cuaca, landskap, matahari, matahari terbenam, panorama kota waktu senja, petang, senja
🌇	bangunan, cuaca, matahari, matahari terbenam, senja
🌉	cuaca, jambatan, jambatan pada waktu malam, malam
♨	berwap, mata air, mata air panas, panas
🌌	angkasa lepas, bima sakti, cuaca
🎠	karusel, kuda, kuda karusel
🎡	ferris, roda, roda ferris, taman hiburan
🎢	coaster, roller, roller coaster, taman hiburan
💈	gunting rambut, jalur, jalur kedai gunting rambut, tukang gunting
🎪	khemah, khemah sarkas, sarkas
🚂	enjin, kenderaan, kereta api, landasan kereta api, lokomotif, wap
🚃	bas letrik, elektrik, gerabak kereta api, kenderaan, kereta, kereta api, landasan kereta api, trem
🚄	kelajuan, kenderaan, kereta api, kereta api laju, shinkansen
🚅	kelajuan, kenderaan, kereta api, kereta api laju dengan muncung peluru, peluru, shinkansen
🚆	kenderaan, kereta api, rel kereta api
🚇	kenderaan, kereta api bawah tanah, kereta bawah tanah
🚈	kenderaan, rel kereta api, rel ringan
🚉	kenderaan, kereta api, rel kereta api, stesen
🚊	bas letrik, kenderaan, trem
🚝	kenderaan, monorel
🚞	gunung, kenderaan, kereta, kereta api gunung, rel kereta api
🚋	bas letrik, gerabak trem, kenderaan, kereta, trem
🚌	bas, kenderaan
🚍	bas, bas dari arah depan, dari arah depan, kenderaan
🚎	bas, bas troli, kenderaan, trem, troli
🚐	bas, bas mini, kenderaan
🚑	ambulans, kenderaan
🚒	api, enjin, kenderaan, kereta bomba, trak
🚓	kenderaan, kereta, kereta polis, polis, ronda
🚔	dari arah depan, kereta, kereta polis dari arah depan, polis
🚕	kenderaan, teksi
🚖	dari arah depan, teksi, teksi dari arah depan
🚗	kenderaan, kereta
🚘	automobil, dari arah depan, kereta, kereta dari arah depan
🚙	kenderaan, kenderaan rekreasi, rekreasi, rv
🚚	kenderaan, penghantaran, trak, trak penghantaran
🚛	kenderaan, lori, lori bersendi, semi, trak
🚜	kenderaan, traktor
🚲	basikal, kenderaan
🛴	skuter, skuter tolak, tolak
🛹	papan, papan luncur
🛵	motosikal, skuter, skuter bermotor
🚏	bas, berhenti, perhentian bas
🛣	jalan raya, lebuh raya
🛤	jalan kereta api, kereta api, rel kereta api
🛢	minyak, tong, tong minyak
⛽	bahan api, gas, pam, pam bahan api, pam minyak, stesen
🚨	berputar, kenderaan, kereta, lampu, lampu kereta polis, polis, suar
🚥	isyarat, lalu lintas, lampu, lampu isyarat melintang
🚦	isyarat, lalu lintas, lampu, lampu isyarat menegak
🛑	berhenti, oktagon, tanda, tanda berhenti
🚧	halangan, pembinaan
⚓	alat, kapal, sauh
⛵	bot, kapal layar, kenderaan, laut, perahu layar, resort
🛶	kanu, perahu
🚤	bot, bot laju, kenderaan
🛳	kapal, kapal penumpang, penumpang
⛴	bot, feri
🛥	bot, motobot
🚢	kapal, kenderaan
✈	kapal terbang, kenderaan
🛩	kapal terbang, kapal terbang kecil, kenderaan
🛫	berlepas, daftar masuk, kapal terbang, kapal terbang berlepas
🛬	kapal terbang, kapal terbang mendarat, ketibaan, mendarat, tiba
💺	kerusi, tempat duduk
🚁	helikopter, kenderaan
🚟	kereta api landasan tergantung, rel kereta api, tergantung
🚠	gondola, gunung, jalan kabel gunung, kabel
🚡	gondola, jalan tali, jalan trem, jalan trem udara, kabel, kenderaan, kereta, udara
🛰	angkasa lepas, satelit
🚀	angkasa lepas, kenderaan, roket
🛸	UFO, piring terbang
🛎	hotel, loceng, loceng porter, tukang angkut
🧳	bagasi, kembara, menyusun
⌛	jam pasir, pasir, pemasa
⏳	jam pasir, jam pasir dengan pasir mengalir, pasir, pemasa
⌚	jam, jam tangan
⏰	jam, jam loceng, penggera
⏱	jam, jam randik
⏲	jam, jam pemasa, pemasa
🕰	jam, jam para pendiang
🕛	00, 12, 12:00, dua belas, jam, pukul, pukul dua belas
🕧	12, 12:30, 30, dua belas, dua belas setengah, jam, tiga puluh
🕐	00, 1, 1:00, jam, pukul, pukul satu, satu
🕜	1, 1:30, 30, jam, satu, satu setengah, tiga puluh
🕑	00, 2, 2:00, dua, jam, pukul, pukul dua
🕝	2, 2:30, 30, dua, dua setengah, jam, tiga puluh
🕒	00, 3, 3:00, jam, pukul, pukul 3, tiga
🕞	3, 30, 3:30, jam, tiga, tiga puluh, tiga setengah
🕓	00, 4, 4:00, empat, jam, pukul, pukul empat
🕟	30, 4, 4:30, empat, empat setengah, jam, tiga puluh
🕔	00, 5, 5:00, jam, lima, pukul, pukul lima
🕠	30, 5, 5:30, jam, lima, lima setengah, tiga puluh
🕕	00, 6, 6:00, enam, jam, pukul, pukul enam
🕡	30, 6, 6:30, enam, enam setengah, jam, tiga puluh
🕖	00, 7, 7:00, jam, pukul, pukul tujuh, tujuh
🕢	30, 7, 7:30, jam, tiga puluh, tujuh, tujuh setengah
🕗	00, 8:00, jam, lapan, pukul, pukul lapan
🕣	30, 8, 8:30, jam, lapan, lapan setengah, tiga puluh
🕘	00, 9, 9:00, jam, pukul, pukul sembilan, sembilan
🕤	30, 9, 9:30, jam, sembilan, sembilan setengah, tiga puluh
🕙	00, 10, 10:00, jam, pukul, pukul sepuluh, sepuluh
🕥	10, 10:30, 30, jam, sepuluh, sepuluh setengah, tiga puluh
🕚	00, 11, 11:00, jam, pukul, pukul sebelas, sebelas
🕦	11, 11:30, 30, jam, sebelas, sebelas setengah, tiga puluh
🌑	angkasa lepas, bulan, bulan baharu, cuaca, gelap
🌒	angkasa lepas, bulan, bulan sabit, bulan sabit membesar, cuaca, membesar
🌓	angkasa lepas, bulan, bulan suku pertama, cuaca, suku
🌔	angkasa lepas, bulan, bulan hampir purnama mengambang, cuaca, hampir purnama, membesar
🌕	angkasa lepas, bulan, bulan purnama, cuaca, penuh
🌖	angkasa lepas, bulan, bulan hampir purnama memalap, cuaca, hampir purnama, memalap
🌗	angkasa lepas, bulan, bulan suku terakhir, cuaca, suku
🌘	angkasa lepas, bulan, bulan sabit, bulan sabit memalap, cuaca, memalap
🌙	angkasa lepas, bulan, bulan sabit, cuaca
🌚	angkasa lepas, bulan, cuaca, muka, muka bulan baharu
🌛	angkasa lepas, bulan, cuaca, muka, muka bulan suku pertama, suku
🌜	angkasa lepas, bulan, cuaca, muka, muka bulan suku terakhir, suku
🌡	cuaca, termometer
☀	angkasa lepas, cahaya, cerah, cuaca, matahari, terang
🌝	angkasa lepas, bulan, cuaca, muka, muka bulan purnama, penuh, terang
🌞	angkasa lepas, cuaca, matahari, matahari dengan muka, muka, terang
⭐	bintang, bintang sederhana putih
🌟	bercahaya, berkilau, berkilauan, bersinar, bintang, bintang bersinar
🌠	angkasa lepas, bintang, jatuh, tahi bintang
☁	awan, cuaca
⛅	awan, cuaca, matahari, matahari di sebalik awan
⛈	awan, awan dengan kilat dan hujan, cuaca, guruh, hujan
🌤	awan, cuaca, matahari, matahari di sebalik awan kecil
🌥	awan, cuaca, matahari, matahari di sebalik awan besar
🌦	awan, cuaca, hujan, matahari, matahari di sebalik awan hujan
🌧	awan, awan dengan hujan, cuaca, hujan
🌨	awan, awan dengan salji, cuaca, salji, sejuk
🌩	awan, awan dengan kilat, cuaca, kilat
🌪	awan, cuaca, puting beliung
🌫	awan, cuaca, kabus
🌬	angin, awan, cuaca, meniup, muka, muka angin
🌀	cuaca, pening, puting beliung, taufan
