‾	горна црта
👩🏻‍🤝‍👨🏿	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 1–2 и тип на кожа 6, пар, раце, тип на кожа 1–2, тип на кожа 6
👩🏼‍🤝‍👨🏻	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 3 и тип на кожа 1–2, пар, раце, тип на кожа 1–2, тип на кожа 3
👫🏼	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 3, пар, раце, тип на кожа 3
👩🏼‍🤝‍👨🏽	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 3 и тип на кожа 4, пар, раце, тип на кожа 3, тип на кожа 4
👩🏼‍🤝‍👨🏾	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 3 и тип на кожа 5, пар, раце, тип на кожа 3, тип на кожа 5
👩🏼‍🤝‍👨🏿	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 3 и тип на кожа 6, пар, раце, тип на кожа 3, тип на кожа 6
👩🏽‍🤝‍👨🏻	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 4 и тип на кожа 1–2, пар, раце, тип на кожа 1–2, тип на кожа 4
👩🏽‍🤝‍👨🏼	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 4 и тип на кожа 3, пар, раце, тип на кожа 3, тип на кожа 4
👫🏽	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 4, пар, раце, тип на кожа 4
👩🏽‍🤝‍👨🏾	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 4 и тип на кожа 5, пар, раце, тип на кожа 4, тип на кожа 5
👩🏽‍🤝‍👨🏿	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 4 и тип на кожа 6, пар, раце, тип на кожа 4, тип на кожа 6
👩🏾‍🤝‍👨🏻	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 5 и тип на кожа 1–2, пар, раце, тип на кожа 1–2, тип на кожа 5
👩🏾‍🤝‍👨🏼	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 5 и тип на кожа 3, пар, раце, тип на кожа 3, тип на кожа 5
👩🏾‍🤝‍👨🏽	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 5 и тип на кожа 4, пар, раце, тип на кожа 4, тип на кожа 5
👫🏾	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 5, пар, раце, тип на кожа 5
👩🏾‍🤝‍👨🏿	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 5 и тип на кожа 6, пар, раце, тип на кожа 5, тип на кожа 6
👩🏿‍🤝‍👨🏻	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 6 и тип на кожа 1–2, пар, раце, тип на кожа 1–2, тип на кожа 6
👩🏿‍🤝‍👨🏼	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 6 и тип на кожа 3, пар, раце, тип на кожа 3, тип на кожа 6
👩🏿‍🤝‍👨🏽	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 6 и тип на кожа 4, пар, раце, тип на кожа 4, тип на кожа 6
👩🏿‍🤝‍👨🏾	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 6 и тип на кожа 5, пар, раце, тип на кожа 5, тип на кожа 6
👫🏿	жена, маж, маж и жена се држат за рака, маж и жена се држат за рака: тип на кожа 6, пар, раце, тип на кожа 6
👬	близнаци, двајца мажи се држат за рака, држење раце, маж, мажи, пар, хороскоп
👬🏻	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 1–2, држење раце, маж, мажи, пар, тип на кожа 1–2, хороскоп
👨🏻‍🤝‍👨🏼	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 1–2 и тип на кожа 3, држење раце, маж, мажи, пар, тип на кожа 1–2, тип на кожа 3, хороскоп
👨🏻‍🤝‍👨🏽	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 1–2 и тип на кожа 4, држење раце, маж, мажи, пар, тип на кожа 1–2, тип на кожа 4, хороскоп
👨🏻‍🤝‍👨🏾	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 1–2 и тип на кожа 5, држење раце, маж, мажи, пар, тип на кожа 1–2, тип на кожа 5, хороскоп
👨🏻‍🤝‍👨🏿	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 1–2 и тип на кожа 6, држење раце, маж, мажи, пар, тип на кожа 1–2, тип на кожа 6, хороскоп
👨🏼‍🤝‍👨🏻	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 3 и тип на кожа 1–2, држење раце, маж, мажи, пар, тип на кожа 1–2, тип на кожа 3, хороскоп
👬🏼	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 3, држење раце, маж, мажи, пар, тип на кожа 3, хороскоп
👨🏼‍🤝‍👨🏽	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 3 и тип на кожа 4, држење раце, маж, мажи, пар, тип на кожа 3, тип на кожа 4, хороскоп
👨🏼‍🤝‍👨🏾	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 3 и тип на кожа 5, држење раце, маж, мажи, пар, тип на кожа 3, тип на кожа 5, хороскоп
👨🏼‍🤝‍👨🏿	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 3 и тип на кожа 6, држење раце, маж, мажи, пар, тип на кожа 3, тип на кожа 6, хороскоп
👨🏽‍🤝‍👨🏻	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 4 и тип на кожа 1–2, држење раце, маж, мажи, пар, тип на кожа 1–2, тип на кожа 4, хороскоп
👨🏽‍🤝‍👨🏼	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 4 и тип на кожа 3, држење раце, маж, мажи, пар, тип на кожа 3, тип на кожа 4, хороскоп
👬🏽	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 4, држење раце, маж, мажи, пар, тип на кожа 4, хороскоп
👨🏽‍🤝‍👨🏾	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 4 и тип на кожа 5, држење раце, маж, мажи, пар, тип на кожа 4, тип на кожа 5, хороскоп
👨🏽‍🤝‍👨🏿	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 4 и тип на кожа 6, држење раце, маж, мажи, пар, тип на кожа 4, тип на кожа 6, хороскоп
👨🏾‍🤝‍👨🏻	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 5 и тип на кожа 1–2, држење раце, маж, мажи, пар, тип на кожа 1–2, тип на кожа 5, хороскоп
👨🏾‍🤝‍👨🏼	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 5 и тип на кожа 3, држење раце, маж, мажи, пар, тип на кожа 3, тип на кожа 5, хороскоп
👨🏾‍🤝‍👨🏽	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 5 и тип на кожа 4, држење раце, маж, мажи, пар, тип на кожа 4, тип на кожа 5, хороскоп
👬🏾	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 5, држење раце, маж, мажи, пар, тип на кожа 5, хороскоп
👨🏾‍🤝‍👨🏿	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 5 и тип на кожа 6, држење раце, маж, мажи, пар, тип на кожа 5, тип на кожа 6, хороскоп
👨🏿‍🤝‍👨🏻	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 6 и тип на кожа 1–2, држење раце, маж, мажи, пар, тип на кожа 1–2, тип на кожа 6, хороскоп
👨🏿‍🤝‍👨🏼	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 6 и тип на кожа 3, држење раце, маж, мажи, пар, тип на кожа 3, тип на кожа 6, хороскоп
👨🏿‍🤝‍👨🏽	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 6 и тип на кожа 4, држење раце, маж, мажи, пар, тип на кожа 4, тип на кожа 6, хороскоп
👨🏿‍🤝‍👨🏾	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 6 и тип на кожа 5, држење раце, маж, мажи, пар, тип на кожа 5, тип на кожа 6, хороскоп
👬🏿	близнаци, двајца мажи се држат за рака, двајца мажи се држат за рака: тип на кожа 6, држење раце, маж, мажи, пар, тип на кожа 6, хороскоп
💏	бакнеж, пар, романтика, срце, љубов
💏🏻	бакнеж, бакнеж: тип на кожа 1–2, пар, романтика, срце, тип на кожа 1–2, љубов
💏🏼	бакнеж, бакнеж: тип на кожа 3, пар, романтика, срце, тип на кожа 3, љубов
💏🏽	бакнеж, бакнеж: тип на кожа 4, пар, романтика, срце, тип на кожа 4, љубов
💏🏾	бакнеж, бакнеж: тип на кожа 5, пар, романтика, срце, тип на кожа 5, љубов
💏🏿	бакнеж, бакнеж: тип на кожа 6, пар, романтика, срце, тип на кожа 6, љубов
👩‍❤‍💋‍👨	бакнеж, бакнеж: жена и маж, жена, маж, пар, романтика, срце, љубов
👨‍❤‍💋‍👨	бакнеж, бакнеж: маж и маж, маж, пар, романтика, срце, љубов
👩‍❤‍💋‍👩	бакнеж, бакнеж: жена и жена, жена, пар, романтика, срце, љубов
💑	пар, пар со срце, романтика, срце, љубов
💑🏻	пар, пар со срце, пар со срце: тип на кожа 1–2, романтика, срце, тип на кожа 1–2, љубов
💑🏼	пар, пар со срце, пар со срце: тип на кожа 3, романтика, срце, тип на кожа 3, љубов
💑🏽	пар, пар со срце, пар со срце: тип на кожа 4, романтика, срце, тип на кожа 4, љубов
💑🏾	пар, пар со срце, пар со срце: тип на кожа 5, романтика, срце, тип на кожа 5, љубов
💑🏿	пар, пар со срце, пар со срце: тип на кожа 6, романтика, срце, тип на кожа 6, љубов
👩‍❤‍👨	жена, маж, пар, пар со срце, пар со срце: жена и маж, романтика, срце, љубов
👨‍❤‍👨	маж, пар, пар со срце, пар со срце: маж и маж, романтика, срце, љубов
👩‍❤‍👩	жена, пар, пар со срце, пар со срце: жена и жена, романтика, срце, љубов
👪️	дете, мајка, семејство, татко, фамилија
👨‍👩‍👦	дете, жена, маж, мајка, момче, семејство, семејство: маж, жена и момче, татко, фамилија
👨‍👩‍👧	девојче, дете, жена, маж, мајка, семејство, семејство: маж, жена и девојче, татко, фамилија
👨‍👩‍👧‍👦	девојче, дете, жена, маж, мајка, момче, семејство, семејство: маж, жена, девојче и момче, татко, фамилија
👨‍👩‍👦‍👦	дете, жена, маж, мајка, момче, семејство, семејство: маж, жена, момче и момче, татко, фамилија
👨‍👩‍👧‍👧	девојче, дете, жена, маж, мајка, семејство, семејство: маж, жена, девојче и девојче, татко, фамилија
👨‍👨‍👦	дете, маж, мајка, момче, семејство, семејство: маж, маж и момче, татко, фамилија
👨‍👨‍👧	девојче, дете, маж, мајка, семејство, семејство: маж, маж и девојче, татко, фамилија
👨‍👨‍👧‍👦	девојче, дете, маж, мајка, момче, семејство, семејство: маж, маж, девојче и момче, татко, фамилија
👨‍👨‍👦‍👦	дете, маж, мајка, момче, семејство, семејство: маж, маж, момче и момче, татко, фамилија
👨‍👨‍👧‍👧	девојче, дете, маж, мајка, семејство, семејство: маж, маж, девојче и девојче, татко, фамилија
👩‍👩‍👦	дете, жена, мајка, момче, семејство, семејство: жена, жена и момче, татко, фамилија
👩‍👩‍👧	девојче, дете, жена, мајка, семејство, семејство: жена, жена и девојче, татко, фамилија
👩‍👩‍👧‍👦	девојче, дете, жена, мајка, момче, семејство, семејство: жена, жена, девојче и момче, татко, фамилија
👩‍👩‍👦‍👦	дете, жена, мајка, момче, семејство, семејство: жена, жена, момче и момче, татко, фамилија
👩‍👩‍👧‍👧	девојче, дете, жена, мајка, семејство, семејство: жена, жена, девојче и девојче, татко, фамилија
👨‍👦	дете, маж, мајка, момче, семејство, семејство: маж и момче, татко, фамилија
👨‍👦‍👦	дете, маж, мајка, момче, семејство, семејство: маж, момче и момче, татко, фамилија
👨‍👧	девојче, дете, маж, мајка, семејство, семејство: маж и девојче, татко, фамилија
👨‍👧‍👦	девојче, дете, маж, мајка, момче, семејство, семејство: маж, девојче и момче, татко, фамилија
👨‍👧‍👧	девојче, дете, маж, мајка, семејство, семејство: маж, девојче и девојче, татко, фамилија
👩‍👦	дете, жена, мајка, момче, семејство, семејство: жена и момче, татко, фамилија
👩‍👦‍👦	дете, жена, мајка, момче, семејство, семејство: жена, момче и момче, татко, фамилија
👩‍👧	девојче, дете, жена, мајка, семејство, семејство: жена и девојче, татко, фамилија
👩‍👧‍👦	девојче, дете, жена, мајка, момче, семејство, семејство: жена, девојче и момче, татко, фамилија
👩‍👧‍👧	девојче, дете, жена, мајка, семејство, семејство: жена, девојче и девојче, татко, фамилија
🗣️	глава, глава што зборува, зборува, лице, силуета
👤	биста, силуета, силуета на биста
👥	биста, силуета, силуета на бисти
🫂	благодарам, гушкање, здраво, луѓе се гушкаат, фала, чао
👣	отпечатоци, отпечатоци од стапала, стапало, тело
🦰	црвена коса, црвено-жолтеникава
🦱	афро, кадрава, кадрава коса, локни
🦳	бела, бела коса, коса, седа, стар
🦲	без влакна, без коса, избричено, хемотерапија, ќелав
🐵	глава, глава на мајмун, лице, мајмун
🐒	диво, животно, мајмун
🦍	горила, животно
🦧	мајмун, орангутан
🐶	глава, глава на куче, куче, лице, милениче
🐕️	домашно, животно, куче, милениче
🦮	водич, куче за водење, пристапност, слепи
🐕‍🦺	куче, куче за хендикепирани, помош, пристапност, услужно
🐩	домашно, животно, милениче, пудлица
🐺	волк, лице
🦊	лисица, лице
🦝	итар, ракун, љубопитен
🐱	глава, глава на мачка, лице, маче, милениче
🐈️	домашно, животно, мачка, милениче
🐈‍⬛	мачка, несреќа, црна, црна мачка
🦁	лав, лице, хороскоп
🐯	глава, глава на тигар, лице, тигар
🐅	диво, животно, тигар
🐆	диво, животно, леопард
🐴	глава, глава на коњ, коњ, лице
🐎	коњ, трка
🦄	еднорог, лице
🦓	зебра, шара
🦌	елен, животно
🦬	бафало, бизон, европски бизон, крдар
🐮	глава, глава на крава, крава, лице
🐂	бик, вол, говедо, хороскоп
🐃	бивол, говедо
🐄	говедо, крава
🐷	глава, глава на прасе, лице, прасе
🐖	маторица, прасе, свиња
🐗	вепар, дива, дива свиња, прасе, свиња
🐽	лице, нос, нос на прасе, прасе
🐏	овен, овца, хороскоп
🐑	овца
🐐	коза, хороскоп, јарец
🐪	грпка, едногрба, камила
🐫	грпка, двогрба, двогрба камила
🦙	алпака, волна, гванако, лама
🦒	жирафа, точки
🐘	слон
🦣	волнест, големи, заб, истребени, мамут
🦏	животно, носорог
🦛	нилски коњ
🐭	глава, глава на глушец, глушец, лице
🐁	бело, глушец
🐀	сиво, стаорец
🐹	лице, милениче, ’рчко
🐰	глава, глава на зајак, зајак, лице, милениче
🐇	бело, зајак, милениче
🐿️	верверица
🦫	брана, дабар
🦔	бодликаво, еж
🦇	вампир, лилјак
🐻	лице, мечка
🐻‍❄	арктичка, бела, мечка, поларна мечка
🐨	австралиска, коала, мечка
🐼	лице, панда
🦥	бавен, мрзелив, мрзливец
🦦	видра, игрива, риболов
🦨	смрди, твор
🦘	Австралија, кенгур, скок, торбар
🦡	додева, јазовец
🐾	отпечатоци, отпечатоци од шепи, стапала, шепи
🦃	живина, мисирка
🐔	живина, кокошка
🐓	живина, петел
🐣	живина, испилено, испилено пиле, пиле
🐤	живина, пиле
🐥	живина, пиле, пиле свртено нанапред
🐦️	птица
🐧	пингвин, птица
🕊️	гулабица, лет, мир, птица
🦅	орел, птица
🦆	патка, птица
🦢	грдо пајче, лебед, млад лебед, птица
🦉	був, мудрост
🦤	Маврициус, големи, додо, истребени
🪶	лет, пердув, пердуви, перолесно
🦩	екстравагантно, тропско, фламинго
🦚	горделив, наметлив, паун, птица
🦜	зборува, папагал, пират, птица
🐸	жаба, лице
🐊	влекач, крокодил
🐢	желка
🦎	влекач, гуштер
🐍	влекач, змија
🐲	глава, глава на змеј, змеј, лице, сказна
🐉	змеј, сказна, фантазија
🦕	брахиосаурус, бронтосаурус, диплодокус, сауропод
🦖	Т-рекс, Тираносаурус рекс
🐳	вода, кит, кит што прска вода, прска, цицач
🐋	кит, цицач
🐬	делфин, цицач
🦭	морски лав, фока
🐟️	риба, риби, хороскоп
🐠	риба, тропска, тропска риба
🐡	боцки, риба, риба со боцки
🦈	ајкула, риба
🐙	октопод
🐚	спирала, спирална школка, школка
🪸	гребен, корал, океан
🐌	полжав
🦋	инсект, пеперутка, убавина
🐛	бубачка, инсект
🐜	инсект, мравка
🐝	инсект, пчела
🪲	бубачка, бумбар, инсект
🐞	бубамара, бубачка, инсект
🦗	скакулец, штурец
🪳	инсект, лебарка, штетник
🕷️	инсект, пајак
🕸️	мрежа, пајак, пајакова мрежа
🦂	скорпија, хороскоп
🦟	болест, вирус, инсект, комарец, маларија, треска
🪰	болест, ларва, мува, трулеж, штетник
🪱	дождовен црв, паразит, прстенест црв, црв
🦠	амеба, бактерија, вирус, микроба
💐	букет, растение, романтика, цвет
🌸	растение, цвет, цреша, цут, цут од цреша
💮	бел, бел цвет, цвет
🪷	Виетнам, Индија, будизам, лотос, хиндуизам, цвет, чистота
🏵️	растение, розета, цвет
🌹	растение, роза, цвет
🥀	овенато, овенато цвеќе, цвеќе
🌺	растение, хибискус, цвет
🌻	растение, сонце, сончоглед, цвет
🌼	растение, цвет, цут
🌷	лале, растение, цвет
🌱	расад, растение, садница, стебленце, фиданка
🪴	бескорисно, здодевно, куќа, негување, растение, растение во саксија, растење
🌲	дрво, зимзелено, зимзелено дрво, растение
🌳	дрво, листопадно, листопадно дрво, растение
🌴	дрво, палма, растение
🌵	кактус, растение
🌾	ориз, растение, сноп, сноп ориз
🌿	билка, лист, растение
☘️	детелина, растение
🍀	детелина, детелина со четири листа, лист, растение, четири
🍁	лист, растение, јавор, јаворов лист
🍂	лист, паднат лист, паѓа, растение
🍃	вее, ветер, дува, лист, лист што се вее на ветрот
🪹	вгнездување, празно гнездо
🪺	вгнездување, гнездо со јајца
🍄	печурка, растение
🍇	грозје, овошје, растение
🍈	диња, овошје, растение
🍉	лубеница, овошје, растение
🍊	мандарина, овошје, растение
🍋	лимон, овошје, растение
🍌	банана, овошје, растение
🍍	ананас, овошје, растение
🥭	манго, овошје, тропско
🍎	овошје, растение, црвено, црвено јаболко
🍏	зелено, зелено јаболко, овошје, растение
🍐	круша, овошје, растение
🍑	овошје, праска, растение
🍒	овошје, растение, цреши
🍓	овошје, растение, јагода
🫐	бобинки, боровинки, сино
🥝	киви, овошје, храна
🍅	домат, овошје, растение
🫒	маслинка, храна
🥥	кокосов орев, палма, пина колада
🥑	авокадо, овошје, храна
🍆	зеленчук, модар патлиџан, растение
🥔	зеленчук, компир, храна
🥕	зеленчук, морков, храна
🌽	клас, клас пченка, кочан, растение
🌶️	лута пиперка, луто, пиперка, растение
🫑	бабура, зеленчук, пиперка
🥒	зеленчук, краставица, краставичка, храна
🥬	зелена салата, зелени листови, зелка, кинеска зелка, марула
🥦	брокола, дива зелка
🧄	зачинување, лук
🧅	зачинување, кромид
🥜	зеленчук, кикирика, кикиритки
🫘	бубрег, грав, мешунка, храна
🌰	костен, растение
🍞	векна, жито, леб
🥐	кифла, кроасан, француски
🥖	багет, леб, француски
🫓	гиро-пита, дурум, лаваш
🥨	вртено, перек
🥯	пекарница, пециво, ѓеврек
🥞	десерт, палачинка, палачинки
🧇	вафла, калап за вафли
🧀	парче сирење, сирење
🍖	коска, месо, месо со коска
🍗	живина, кокошка, копан, коска, нога
🥩	кременадла, парче, парче месо, стек
🥓	месо, сланина, храна
🍔	плескавица, сендвич, хамбургер
🍟	компир, помфрит, пржено
🍕	парче, пица, сирење
🌭	виршла, колбас, хот дог
🥪	леб, сендвич
🌮	мексиканска, тако, храна
🌯	бурито, мексиканска, храна
🫔	замотана, мексиканска, тамале
🥙	гиро, донер
🧆	фалафел, ќофте
🥚	храна, јајце
🍳	готвење, пржење, тавче, јајце
🥘	плитка, тава, тавче со храна, тепсија
🍲	лонец, лонец со храна, чорба
🫕	кашкавал, стопено, топено сирење, чоколада, швајцарско
🥣	житарки, каша со ориз, појадок, сад со лажица
🥗	зелена, зелена салата, салата, храна
🍿	пуканки, пченка
🧈	млечен производ, путер
🧂	зачин, сол, соларник
🥫	конзерва, конзервирана храна
🍱	храна, јапонска, јапонска храна за носење
🍘	бисквит, колаче, колачи од ориз, ориз
🍙	ориз, топка, топки од ориз, јапонски
🍚	варен, варен ориз, ориз
🍛	кари, ориз, ориз со кари
🍜	длабока чинија, длабока чинија со жешка храна, жешко, пареа, тестенини
🍝	паста, шпагети
🍠	компир, печен, печен сладок компир, сладок
🍢	морска храна, ражен, стап, јапонски ражен, ќебап
🍣	суши
🍤	пржено, пржено ракче, ракче
🍥	колаче, печиво, риба, спирала, спирално колаче со риба
🥮	есен, месечев колач, месечево колаче, фестивал
🍡	десерт, ражен, слатко, јапонски слатки кнедли, јапонско
🥟	емпанада, кинеска штрудла, кнедла, пирошка
🥠	колаче на среќата, пророштво
🥡	кинеска кутија за храна, кутија за храна за носење
🦀	рак, хороскоп
🦞	клешти, морска храна, рак, јастог
🦐	ракче, храна
🦑	лигња, храна
🦪	бисер, нуркање, острига, школка
🍦	десерт, сладолед на точење, слатко, точење
🍧	десерт, мраз, сладолед од мраз, слатко
🍨	десерт, сладолед, слатко
🍩	десерт, крофна, слатко
🍪	десерт, колаче, слатко
🎂	десерт, печиво, прослава, роденден, роденденска торта
🍰	десерт, овошна торта, парче, печиво, слатко
🧁	пекарница, слатки печива, тортичка
🥧	печиво, пита, фил
🍫	десерт, слатко, чоколадо
🍬	бонбона, десерт, слатко
🍭	бонбона, десерт, лижалче, слатко
🍮	десерт, пудинг, слатко
🍯	грне, грне со мед, мед, слатко
🍼	бебе, млеко, шише, шише за бебе
🥛	млеко, чаша, чаша млеко
☕️	кафе, напиток, пијалак, топол напиток, чај
🫖	пијалак, чај, чајник
🍵	напиток, пијалак, топло, чаша за чај без рачка, чај
🍶	алкохол, ориз, пијалак, саке, јапонски
🍾	бар, пијалак, тапа, шампањ, шише, шише шампањ
🍷	бар, вино, пијалак, чаша, чаша за вино
🍸️	бар, коктел, пијалак, чаша, чаша за коктел
🍹	бар, пијалак, тропски, тропски пијалак
🍺	бар, кригла, кригла пиво, пиво, пијалак
🍻	бар, кригли, наздравување, наздравување со кригли пиво, пиво, пијалак
🥂	здравица, наздравување, прославување, чаша
🥃	алкохол, виски, жесток пијалак, жестоко, чаша
🫗	истура, истурање течност, пијалак, празно, чаша
🥤	газиран пијалак, цеден сок, чаша со сламка
🧋	бисер, меурче, млеко, чај, чај со топчиња
🧃	сокче, сокче во тетрапак
🧉	мате, пијалак
🧊	коцка мраз, ладно, лед, мраз
🥢	стапчиња за јадење, хаши
🍽️	виљушка, виљушка и нож со чинија, готвење, нож, чинија
🍴	виљушка, виљушка и нож, готвење, нож
🥄	лажица, прибор
🔪	готвење, кујнски нож, нож
🫙	зимница, празно, сад, сос, тегла, туршија
🏺	амфора, бокал, пијалак, стомна, ќуп
🌍	Африка, Европа, глобус, глобус што ги покажува Европа и Африка, земја
🌎️	Америка, глобус, глобус со Јужна и Северна Америка, земја
🌏	Австралија, Азија, глобус, глобус со Азија и Австралија, земја, свет
🌐	глобус, глобус со меридијаните, земја, меридијани, свет
🗺️	карта, карта на светот, свет
🗾	Јапонија, карта, карта на Јапонија
🧭	компас, магнетно, навигација, ориентирање
🏔️	планина, планина со снежен врв, снег, студено
⛰️	планина
🌋	вулкан, ерупција, планина
🗻	Фуџи, планина, планината Фуџи
🏕️	кампување
🏖️	плажа, плажа со чадор за сонце, чадор
🏜️	пустина
🏝️	остров, пуст, пуст остров
🏞️	национален парк, парк
🏟️	стадион
🏛️	класична, класична зграда
🏗️	градба, градежен објект
🧱	глина, малтер, тула, тули, ѕид
🪨	камен, карпа, тешко, цврсто
🪵	дрва, дрвена граѓа, дрво, огрев
🛖	колиба, куќа
🏘️	куќи
🏚️	куќа, напуштена, напуштена куќа
🏠️	дом, куќа
🏡	градба, градина, дом, куќа, куќа со градина
🏢	деловна зграда, зграда
🏣	пошта, јапонска, јапонска пошта
🏤	градба, европска, пошта
🏥	болница, градба, лекар, медицина
🏦	банка, градба
🏨	градба, хотел
🏩	градба, хотел, љубов, љубовен хотел
🏪	24 часа, градба, минимаркет, нон-стоп, продавница
🏫	градба, училиште
🏬	градба, продавница, стоковна, стоковна куќа
🏭️	градба, фабрика
🏯	градба, замок, јапонски, јапонски замок
🏰	градба, европска, замок
💒	романтика, свадба, црква
🗼	Токио, кула, токиската кула
🗽	слобода, статуа, статуата на слободата
⛪️	градба, крст, религија, христијанска, црква
🕌	ислам, муслиманска, религија, џамија
🛕	хиндуски, хиндуски храм, храм
🕍	евреин, религија, синагога, храм, јудаизам
⛩️	религија, храм, шинтоизам, шинтоистички храм
🕋	ислам, муслиманска, религија, ќаба
⛲️	фонтана
⛺️	кампување, шатор
🌁	време, магла, магливо
🌃	време, ноќ, ноќ со ѕвезди, ѕвезди
🏙️	град, градба, градски пејзаж
🌄	време, изгрејсонце, изгрејсонце над планините, планина, сонце, утро
🌅	време, изгрејсонце, сонце, утро
🌆	вечер, град, градски пејзаж во приквечерина, зајдисонце, пејзаж, самрак
🌇	градба, зајдисонце, самрак, сонце
🌉	вечер, време, мост, мост навечер
♨️	вода, жешка, извори, извори на топла вода, топла
🎠	вртелешка, коњ, коњче од вртелешка, рингишпил
🛝	забавен парк, игра, лизгалка за деца
🎡	забавен парк, панорама, панорамско тркало, тркало
🎢	забавен парк, тобоган
💈	бербер, столб, столб пред берберница, стрижење
🎪	циркус, циркуски шатор, шатор
🚂	возило, железница, локомотива, мотор, пареа
🚃	вагон, воз, возило, железница, трамвај
🚄	брз воз, брзина, воз, возило, железница
🚅	брзина, воз-куршум, возило, железница, куршум
🚆	воз, возило, железница
🚇️	возило, железница, метро, подземна
🚈	возило, железница, лесна железница
🚉	воз, возило, железница, станица
🚊	возило, трамвај
🚝	возило, едношинска железница, железница
🚞	вагон, возило, железница, планина, планинска железница
🚋	вагон, вагон на трамвај, возило, трамвај
🚌	автобус, возило
🚍️	автобус, автобус што пристигнува, возило, пристигнува
🚎	возило, тролејбус
🚐	автобус, возило, минибус
🚑️	амбуланта, возило
🚒	возило, камион, пожар, противпожарно возило
🚓	автомобил, возило, патрола, полициски автомобил, полиција
🚔️	автомобил, возило, полициски автомобил што пристигнува, полиција, пристигнува
🚕	возило, такси
🚖	возило, пристигнува, такси, такси што пристигнува
🚗	автомобил, возило
🚘️	автомобил, автомобил што пристигнува, возило, пристигнува
🚙	возило, камп, кампинг возила, рекреација
🛻	камион, камионет
🚚	возило, испорака, камион, камион за испорака
🚛	возило, камион, приколка, шлепер
🚜	возило, трактор
🏎️	автомобил, трка, тркачки автомобил
🏍️	мотор, трка
🛵	мотор, скутер
🦽	инвалидска количка на рачен погон, пристапност
🦼	инвалидска количка на моторен погон, пристапност
🛺	авто-рикша, тук тук
🚲️	велосипед, возило
🛴	тротинет
🛹	скејтборд, скирол
🛼	возење, ролшуи
🚏	автобус, автобуска постојка, постојка
🛣️	автопат, пат
🛤️	воз, железница, железничка пруга, пруга
🛢️	буре, буре за нафта, нафта
⛽️	бензин, бензинска пумпа, гориво, пумпа, станица
🛞	врти, гума, круг, тркало
