‾	винкулум, горна черта
🌌	Млечният път, време, космос
☁️	време, облак
⛅️	Слънце зад облак, време, облак, слънце
⛈️	време, гръм, дъжд, облак, облак с дъжд и светкавица
🌤️	Слънце зад малък облак, време, облак, слънце
🌥️	Слънце зад голям облак, време, облак, слънце
🌦️	Слънце зад облак с дъжд, време, дъжд, облак, слънце
🌧️	време, дъжд, облак, облак с дъжд
🌨️	време, облак, облак със сняг, сняг, студен
🌩️	време, облак, облак със светкавица, светкавица
🌪️	вихрушка, време, облак, торнадо
🌫️	време, мъгла, облак
🌬️	време, вятър, издухвам, лице, лице, издухващо вятър
🌀	вихър, време, тайфун, циклон
🌈	време, дъга, дъжд
🌂	време, дъжд, затворен чадър, облекло, чадър
☂️	време, дъжд, облекло, чадър
☔️	време, дъжд, капка, чадър, чадър с дъждовни капки
⛱️	време, дъжд, плажен чадър, слънце, чадър
⚡️	високо напрежение, електричество, опасност, светкавица, токов удар
❄️	време, снежинка, сняг, студен
☃️	време, снежен човек, сняг, студен
⛄️	време, снежен човек, снежен човек без сняг, сняг, студен
☄️	комета, космос
🔥	огън, пламък
💧	време, капка, комикс, пот, студен
🌊	вода, време, вълна, океан
🎃	Тиквен фенер, празнуване, тиквен фенер, хелоуин
🎄	Коледа, дърво, коледна елха, празнуване
🎆	празнуване, фойерверки
🎇	празнуване, фойерверк
🧨	динамит, експлозив, пиратка, фойерверки
✨	звезда, звездичка, звездички
🎈	балон, празнуване
🎉	конфети, купон, празнуване
🎊	конфети, празненство, топка, топка с конфети
🎋	Дърво за танабата, дърво, дърво за танабата, знаме, празнуване, японски
🎍	Украса кадомацу, бамбук, празнуване, растение, украса кадомацу, японски
🎎	Японски кукли, кукла, празник, празнуване, японски, японски кукли
🎏	знаме, коинобори, празнуване, шаран
🎐	Вятърни камбанки, вятър, вятърни камбанки, звънец, камбанки, празнуване
🎑	Церемония цукими, луна, празнуване, церемония, церемония цукими
🧧	китайски плик, късмет, пари, подарък, червен плик
🎀	панделка, празнуване
🎁	Опакован подарък, кутия, опакован, опакован подарък, подарък, празнуване
🎗️	лента, лента за напомняне, напомняне, празнуване
🎟️	Билети за вход, билет, билети за вход, вход
🎫	билет, вход
🎖️	Военен медал, военен, военен медал, медал, празнуване
🏆️	Спортна купа, награда, спортна купа
🏅	Спортен медал, медал, спортен медал
🥇	злато, медал, медал за първо място, първо
🥈	второ, медал, медал за второ място, сребро
🥉	бронз, медал, медал за трето място, трето
⚽️	топка, футбол, футболна топка
⚾️	бейзболна топка, топка
🥎	ръкавица, софтбол, спорт с топка, топка
🏀	баскетболна топка, топка
🏐	волейбол, игра, топка
🏈	американски футбол, топка, топка за американски футбол
🏉	ръгби, топка, топка за ръгби
🎾	тенис, топка
🥏	летящ диск, фризби
🎳	боулинг, игра, топка
🏏	бухалка, игра, крикет, топка
🏑	Хокей на трева, игра, игрище, стик, хокей, хокей на трева, шайба
🏒	игра, лед, стик, стик и шайба за хокей на лед, хокей, шайба
🥍	гол, лакрос, стик, топка
🏓	Тенис на маса, игра, тенис на маса, топка, хилка
🏸	бадминтон, игра, перце, ракета
🥊	бокс, боксова ръкавица, ръкавица, спорт
🥋	бойни изкуства, джудо, дреха за бойни изкуства, карате, таекуондо
🥅	гол, мрежа, мрежа за голове, спорт
⛳️	Флагче в дупка, голф, дупка, флагче в дупка
⛸️	кънка, кънка за лед, лед
🎣	въдица, риба
🤿	гмуркане, маска за гмуркане, скуба дайвинг, шнорхелинг
🎽	лента, спорт, фланелка
🎿	ски, сняг
🛷	карам шейна, шейна
🥌	игра, камък, камък за кърлинг
🎯	дарт, игра, попадение, точен удар, цел, център на мишената
🪀	въртене, играчка, йо-йо, навиване
🪁	летене, полет, реене, хвърчило
🔫	воден пистолет, оръжие, пистолет, револвер
🎱	8, билярд, игра, осмица, топка
🔮	Кристално кълбо, гадателски инструмент, кристално кълбо, кълбо, приказка, съдба
🪄	вещица, вълшебна пръчица, магия, магьосник, магьосница
🎮️	видеоигра, игра, контролер
🕹️	видеоигра, джойстик, игра
🎰	игра, ротативка
🎲	зар, зар за игра, зарче, игра
🧩	парче, пъзел, редя пъзел, следа, част от пъзел
🧸	играчка, плюшена играчка, плюшено мече
🪅	парти, пинята, празнуване
🪩	блясък, диско, диско топка, парти, танцувам
🪆	Русия, една в друга, кукла, матрьошки
♠️	игра, карта, пика
♥️	игра, карта, купа
♦️	игра, каро, карта
♣️	игра, карта, спатия
♟️	маловажна фигура, незначителен човек, пешка, фигура за шах, шах
🃏	жокер, игра, карта
🀄️	игра, маджонг, червен, „червен дракон“ в маджонг
🎴	Карти за игра ханафуда, игра, карта, карти за игра ханафуда, цвете, японски
🎭️	Сценични изкуства, изкуство, маска, сцена, сценични изкуства, театър
🖼️	Картина в рамка, изкуство, картина, картина в рамка, музей, рамка
🎨	Палитра на художник, изкуство, картина, музей, палитра, палитра на художник
🧵	игла, конец, макара, нишка, шиене
🪡	бодове, бродиране, игла, шевове, шивач, шивашка игла, шиене
🧶	кълбо, плетене, плетиво, прежда
🪢	връв, въже, възел, усукване
👓️	облекло, око, очила
🕶️	Тъмни очила, око, очила, тъмен
🥽	заваряване, защита на очите, плуване, предпазни очила
🥼	доктор, експеримент, лабораторна престилка, учен
🦺	безопасност, жилетка, светлоотразителна жилетка, спешен случай
👔	вратовръзка, облекло
👕	облекло, тениска
👖	дънки, облекло, панталони
🧣	врат, шал
🧤	ръка, ръкавици
🧥	палто, яке
🧦	три-четвърти чорапи, чорапи
👗	облекло, рокля
👘	кимоно, облекло
🥻	дреха, рокля, сари
🩱	бански костюм, костюм за къпане, цял бански
🩲	бански, бански костюм, долно бельо
🩳	бански костюм, долно бельо, къси панталони, плувни шорти
👙	бикини, облекло, плуване
👚	Дамско облекло, жена, облекло
👛	аксесоар, монети, портмоне
👜	облекло, чанта
👝	облекло, чанта, чантичка
🛍️	Пазарски чанти, пазаруване, хотел, чанта
🎒	Ученическа чанта, раница, училище, чанта
🩴	джапанки, плажни сандали, сандали, чехли
👞	Мъжка обувка, мъж, облекло, обувка
👟	Спортна обувка, маратонка, облекло, обувка, спортна
🥾	ботуш, къмпинг, походи, походи с раница, туристическа обувка
🥿	балеринки, ниска обувка, обувка без ток, пантофка
👠	Обувка с висок ток, жена, облекло, обувка, ток
👡	Дамска отворена обувка, жена, облекло, обувка, отворена
🩰	балет, балетни обувки, танц
👢	Дамски ботуш, ботуш, жена, облекло, обувка
👑	корона, крал, кралица, облекло
👒	Дамска шапка, жена, облекло, шапка
🎩	облекло, цилиндър, шапка
🎓️	Шапка за дипломиране, дипломиране, облекло, празнуване, шапка
🧢	бейзболна шапка, шапка с козирка
🪖	армия, военна, военна каска, воин, войник, войска, каска
⛑️	каска, каска с бял кръст, кръст, помощ, шапка
📿	броеница, молитва, облекло, религия
💄	грим, козметика, червило
💍	диамант, пръстен, романтика
💎	Скъпоценен камък, бижу, диамант, романтика, скъпоценен камък
🔇	Изключен високоговорител, високоговорител, изключен, сила на звука, тих
🔈️	високоговорител, високоговорител със слаб звук, ниска сила на звука
🔉	Включен високоговорител, високоговорител, високоговорител със средносилен звук, сила на звука, средносилен
🔊	Силно пуснат високоговорител, високоговорител, сила на звука, силен
📢	Високоговорител за обществени места, обществен, силен
📣	мегафон, подкрепа
📯	Пощенски рог, поща, пощенски, рог
🔔	звънец, камбана
🔕	Зачертан звънец, забранено, звънец, не, тих
🎼	Нотен запис, запис, музика
🎵	музика, нота
🎶	музика, нота, ноти
🎙️	Студиен микрофон, микрофон, музика, студио
🎚️	Плъзгач за нивото, музика, ниво, плъзгач
🎛️	Копчета за управление, музика, ръкохватки, управление
🎤	караоке, микрофон
🎧️	слушалка, слушалки
📻️	радио
🎷	инструмент, музика, сакс, саксофон
🪗	акордеон, баян
🎸	инструмент, китара, музика
🎹	Клавиатура на музикален инструмент, инструмент, клавиатура, музика, пиано
🎺	инструмент, музика, тромпет
🎻	инструмент, музика, цигулка
🪕	банджо, музика, струни
🥁	барабан, музика, пръчки
🪘	барабан, висок барабан, конга, ритъм
📱	Мобилен телефон, клетъчен, мобилен, телефон
📲	Мобилен телефон със стрелка, клетъчен, мобилен, стрелка, телефон
☎️	телефон
📞	Телефонна слушалка, слушалка, телефон
📟️	пейджър
📠	факс
🔋	батерия
🪫	електроника, изтощена батерия, слабо захранване
🔌	Електрически щепсел, електрически, щепсел
💻️	компютър, лаптоп, персонален
🖥️	Настолен компютър, компютър, настолен
🖨️	компютър, принтер
⌨️	клавиатура, компютър
🖱️	Компютърна мишка, бутон, компютър, мишка, три
🖲️	компютър, трекбол
💽	диск, компютър, минидиск, оптичен
💾	диск, дискета, компютър
💿️	[blu-ray], [cd], [dvd], Оптичен диск, диск, оптичен
📀	[DVD], [blu-ray], [dvd], диск, компютър, оптичен
🧮	сметало, смятане
🎥	Филмова камера, камера, кино, филмова
🎞️	Филмови кадри, кадри, кино, лента, филм
📽️	кино, кинопроектор, проектор, филм
🎬️	клапа, филмова
📺️	телевизор
📷️	фотоапарат
📸	Фотоапарат със светкавица, светкавица, фотоапарат
📹️	видео, видеокамера, камера
📼	[vhs], видео, видеокасета, лента
🔍	Наклонена наляво лупа, инструмент, лупа, търсене
🔎	Наклонена надясно лупа, инструмент, лупа, търсене
🕯️	светлина, свещ
💡	Електрическа крушка, идея, комикс, крушка, светлина
🔦	електрическа, инструмент, светлина, фенерче
🏮	Червен хартиен фенер, бар, светлина, фенер, червен
🪔	дия, лампа, маслена лампа, масло
📔	Бележник с декоративна корица, бележник, книга, корица
📕	Затворена книга, затворен, книга
📖	книга, отворен, отворена книга
📗	зелен, зелена книга, книга
📘	книга, син, синя книга
📙	книга, оранжев, оранжева книга
📚️	книга, книги
📓	бележник
📒	Главна книга, бележник
📃	Завита страница, документ, завита, страница
📜	свитък, хартия
📄	Страница с лицето нагоре, документ, страница
📰	вестник, новини
🗞	Навит на руло вестник, вестник, новини, руло
📑	знак, отметка, отметки
🔖	знак, отметка
🏷️	етикет
💰️	Торба с пари, долар, пари, торба
🪙	злато, метал, монета, пари, сребро, съкровище
💴	Банкнота със знак за йена, банкнота, валута, йена, пари
💵	Банкнота със знак за долар, банкнота, валута, долар, пари
💶	Банкнота със знак за евро, банкнота, валута, евро, пари
💷	Банкнота със знак за лира, банкнота, валута, лира, пари
💸	Пари с крила, банкнота, долар, крила, пари
💳️	Кредитна карта, банка, карта, кредитна, пари
🧾	доказателство, разписка, счетоводство
💹	Диаграма с възходяща тенденция и знак за йена, валута, йена, пари, ръст
✉️	имейл, плик
📧	имейл, писмо, поща
📨	Пристигащ плик, имейл, плик, поща, пристигащ
📩	Плик със стрелка, изпратен, имейл, плик, стрелка
📤️	Изходяща тава, изходяща, кутия, поща, тава
📥️	Входяща тава, входяща, кутия, поща, тава
📦️	кутия, пакет
📫️	Затворена пощенска кутия с вдигнато флагче, затворен, поща, пощенска кутия, пощенска кутия с вдигнато флагче
📪️	Затворена пощенска кутия със спуснато флагче, затворен, поща, пощенска кутия, свален
📬️	Отворена пощенска кутия с вдигнато флагче, отворен, поща, пощенска кутия
📭️	Отворена пощенска кутия със спуснато флагче, отворен, поща, пощенска кутия, свален
📮	Пощенска кутия, поща, пощенска кутия
🗳️	Урна за гласуване с бюлетина, кутия, урна
✏️	молив
✒️	Черен писец, писалка, писец
🖋️	писалка
🖊️	химикалка
🖌️	рисуване, четка
🖍️	пастел
📝	бележка, молив
💼	чанта за документи
📁	папка, папка за документи
📂	Отворена папка, отворен, папка
🗂️	Разделители за картотека, карта, показалец, разделители
📅	дата, календар
📆	Календар с късащи се листове, календар
🗒️	Бележник със спирала, бележник, спирала
🗓️	Календар със спирала, календар, спирала
📇	Картотека, карта, картотека, показалец
📈	Диаграма с възходяща тенденция, диаграма, нагоре, ръст, тенденция
📉	Диаграма с низходяща тенденция, диаграма, надолу, спад, тенденция
📊	Стълбовидна диаграма, диаграма, стълб
📋️	клипборд
📌	кабърче
📍	Кръгло кабърче, кабърче, кръгло
📎	кламер
🖇️	Съединени кламери, кламер, съединен
📏	линия
📐	триъгълник
✂️	инструмент, ножици
🗃️	Картотечна кутия, карта, кутия
🗄️	Картотечен шкаф, карта, шкаф
🗑️	кошче, кошче за боклук
🔒️	затворен, катинар
🔓️	Отворен катинар, катинар, отворен, отключен
🔏	Катинар с писалка, катинар, писалка, писец, поверителност
🔐	Затворен катинар с ключ, затворен, катинар, ключ
🔑	заключване, ключ, парола
🗝️	Стар ключ, заключване, ключ, стар
🔨	инструмент, чук
🪓	брадва, дърво, разцепвам, секира, сеч
⛏️	инструмент, кирка, копане
⚒️	Чук и кирка, инструмент, кирка, чук
🛠️	Чук и гаечен ключ, гаечен ключ, инструмент, чук
🗡️	кинжал, нож, оръжие
⚔️	Кръстосани мечове, кръстосани, мечове, оръжие
💣️	бомба, комикс
🪃	Австралия, бумеранг, връщане, откат
🏹	Лък и стрела, зодия, лък, стрела, стрелец
🛡️	оръжие, щит
🪚	дървар, дървосекач, инструмент, трион
🔧	Гаечен ключ, инструмент
🪛	инструмент, отвертка, развивам
🔩	Болт и гайка, болт, гайка, инструмент
⚙️	Зъбно колело, инструмент
🗜️	инструмент, компресия, менгеме
⚖️	везна, везни, зодия, инструмент, правосъдие
🦯	бял бастун, достъпна среда, незрящ
🔗	връзка
⛓️	верига, вериги
🪝	гега, извивка, кука, примка, търговско предимство, хващане
🧰	инструмент, кутия за инструменти, ремонт, сандък
🧲	залепване, конска подкова, магнит, привличане
🪜	катеря се, стълба, стъпало
⚗️	аламбик, инструмент, химия
🧪	експеримент, епруветка, лаборатория, химик, химия
🧫	бактериална култура, бактерия, биолог, биология, блюдо на Петри, лаборатория
🧬	ДНК, биолог, генетика, гени, еволюция, живот
🔬	инструмент, микроскоп
🔭	инструмент, телескоп
📡	Сателитна антена, антена, сателитна, чиния
💉	болен, игла, инструмент, медицина, спринцовка
🩸	даряване на кръв, капка кръв, медицина, менструация
💊	болен, лекар, медицина, хапче
🩹	лейкопласт, лепенка, лепенка за рани, пластир
🩼	бастун, болка, патерица, помощно средство за придвижване, увреждане
🩺	лекар, медицина, стетоскоп, сърце
🩻	кости, лекар, медицински, рентген, скелет
🚪	врата
🛗	асансьор, достъпност, издигане, лифт
🪞	огледало, отражател, отражение
🪟	изглед, отваряне, прозорец, прозрачно, рамка, свеж въздух
🛏️	легло, сън, хотел
🛋️	Канапе и лампа, канапе, лампа, хотел
🪑	седене, стол, сядане
🚽	тоалетна, тоалетна чиния
🪠	вакуумна помпа за отпушване, водопроводчик, изсмукване, плунжер, тоалетна
🚿	вода, душ
🛁	баня, вана
🪤	капан, капан за мишки, миши капан, примамка, примка
🪒	бръснач, бръснене, острие
🧴	бутилка с лосион, лосион, слънцезащитен продукт, хидратантен крем, шампоан
🧷	безопасна игла, закопчавам, игла
🧹	Баба Яга, мета, метла, чистя
🧺	беритба, кош за пране, кошница, пазаруване, пикник
🧻	руло хартия, тоалетна хартия, тоалетно руло
🪣	ведро, кофа, леген
🧼	къпане, почистване, сапун, сапунерка, сапунисване
🫧	балончета, под водата, сапун, чист
🪥	баня, дентален, зъби, миене, хигиена, четка, четка за зъби
🧽	абсорбира, гъба за баня, къпане, хигиена
🧯	гасене на пожар, пожар, пожарогасител, пяна против пожар
🛒	количка, количка за пазаруване, пазаруване
🚬	пушене
⚰️	ковчег, смърт
🪦	гроб, гробище, надгробен паметник, надгробна плоча
⚱️	Погребална урна, погребение, смърт, урна
🧿	амулет, мънисто, назар, синьо око, талисман
🪬	Мария, Мириам, Фатима, амулет, защита, ръка, хамса
🗿	лице, моаи, статуя
🪧	демонстрация, знак, плакат, протест
🪪	документ за идентификация, документ за самоличност, свидетелство, сигурност
🏧	банка, банков автомат, банкомат, знак за банкомат
🚮	боклук, кошче за боклук, символ за място за изхвърляне на боклук
🚰	Питейна вода, вода, питейна, питейна вода
♿️	достъп, символ за инвалидна количка
🚹️	WC, мъже, мъжка тоалетна, тоалетна
🚺️	WC, жени, женска тоалетна, тоалетна
🚻	WC, обществена тоалетна, тоалетна
🚼️	бебе, повиване, символ на бебе
🚾	WC, тоалетна
🛂	контрол, паспорт, паспортен контрол
🛃	митница
🛄	багаж, получаване, получаване на багаж
🛅	багаж, съхранение на багаж, шкафче
⚠️	Предупредителен знак, предупреждение
🚸	движение, дете, пешеходец, пешеходна пътека, пресичащи деца
⛔️	влизане, влизането забранено, вход, движение, забрана, забранено, не
🚫	влизане, вход, забрана, забранено, не
🚳	велосипед, забрана, забранено, забранено за велосипеди, колело, не
🚭️	забрана, забранено, не, пушене, пушенето забранено
🚯	боклук, забрана, забранено, забранено изхвърляне на боклук, не
🚱	вода, непитейна, непитейна вода, неподходяща за пиене
🚷	забрана, забранено, забранено за пешеходци, не, пешеходец
📵	забранени мобилни телефони, забранено, клетъчен, мобилен, телефон
🔞	18, 18-годишни, възрастово ограничение, забрана, забранено за лица под осемнадесет години, непълнолетни
☢️	радиоактивно, радиоактивност
☣️	биологична опасност, знак
⬆️	посока, север, стрелка, стрелка нагоре
↗️	посока, североизток, стрелка, стрелка нагоре и надясно
➡️	изток, посока, стрелка, стрелка надясно
↘️	посока, стрелка, стрелка надолу и надясно, югоизток
⬇️	Стрелка надолу, надолу, посока, стрелка, юг
↙️	посока, стрелка, стрелка надолу и наляво, югозапад
⬅️	Стрелка наляво, запад, посока, стрелка
↖️	посока, северозапад, стрелка, стрелка нагоре и наляво
↕️	Стрелка нагоре и надолу, стрелка, стрелка нагоре и надолу
↔️	стрелка, стрелка наляво и надясно
↮	стрелка наляво-надясно и наклонена черта
↩️	извита стрелка наляво, стрелка
↪️	извита стрелка надясно, стрелка
⤴️	извита стрелка надясно и нагоре, стрелка
⤵️	извита стрелка надясно и надолу, надолу, стрелка
🔃	вертикални стрелки по часовниковата стрелка, по часовниковата стрелка, презареждане, стрелка
🔄	бутон със стрелки срещу часовниковата стрелка, срещу часовниковата стрелка, стрелка
🔙	back, стрелка, стрелка с back
🔚	end, стрелка, стрелка с end
🔛	on, стрелка, стрелка с „on!“
🔜	soon, стрелка, стрелка със soon
🔝	top, нагоре, стрелка, стрелка с top
🛐	място за религиозно преклонение, преклонение, религия
⚛️	атеист, атом, символ на атом
🕉️	ом, религия, хиндуизъм
✡️	Звезда на Давид, давид, евреин, еврейска, звезда, религия
☸️	Колелото на дхарма, будизъм, дхарма, колело, религия
☯️	ин, ин и ян, религия, тао, ян
✝️	Латински кръст, кръст, религия, християнство
☦️	Православен кръст, кръст, религия, християнство
☪️	ислям, мюсюлманин, полумесец със звезда, религия
☮️	мир, символ на мира
🕎	менора, религия, свещник
🔯	звезда, съдба, шестолъчна звезда с точка
♈️	Зодиакален знак овен, зодиак, зодиакален знак, зодия, овен
♉️	Зодиакален знак телец, зодиак, зодиакален знак, зодия, телец
♊️	Зодиакален знак близнаци, близнаци, зодиак, зодиакален знак, зодия
♋️	Зодиакален знак рак, зодиак, зодиакален знак, зодия, рак
♌️	Зодиакален знак лъв, зодиак, зодиакален знак, зодия, лъв
♍️	Зодиакален знак дева, дева, зодиак, зодиакален знак, зодия
♎️	Зодиакален знак везни, везни, зодиак, зодиакален знак, зодия
♏️	Зодиакален знак скорпион, зодиак, зодиакален знак, зодия, скорпион
♐️	Зодиакален знак стрелец, зодиак, зодиакален знак, зодия, стрелец
♑️	Зодиакален знак козирог, зодиак, зодиакален знак, зодия, козирог
♒️	Зодиакален знак водолей, водолей, зодиак, зодиакален знак, зодия
♓️	Зодиакален знак риби, зодиак, зодиакален знак, зодия, риби
⛎	Зодиакален знак змиеносец, змиеносец, зодиак, зодиакален знак, зодия
🔀	бутон за случаен запис, кръстосана, стрелка
🔁	бутон за повтаряне, по часовниковата стрелка, повтаряне, стрелка
🔂	бутон за единично повтаряне, единично, по часовниковата стрелка, стрелка
▶	бутон за пускане, пускане, стрелка, триъгълник
⏩	бутон за превъртане напред, превъртане напред, стрелка
⏭	бутон за следващия запис, следващата сцена, следващият запис, стрелка
⏯	бутон за пускане или пауза, пауза, пускане, стрелка
◀	бутон за връщане, връщане, стрелка, триъгълник
⏪	бутон за превъртане назад, превъртане назад, стрелка
⏮	бутон за предишния запис, предишната сцена, предишният запис, стрелка
🔼	бутон, бутон за нагоре, стрелка
⏫	бутон за бързо изкачване, двойна, стрелка
🔽	бутон, бутон за надолу, надолу, стрелка
⏬	бутон за бързо слизане, двойна, надолу, стрелка
⏸️	бутон за пауза, вертикална, двойна, пауза, черта
⏹️	бутон за стоп, квадрат, стоп
⏺️	бутон за запис, запис, кръг
⏏️	бутон за изваждане, изваждане
🎦	камера, кино, филм
🔅	бутон за ниска яркост, ниска, яркост
🔆	бутон за висока яркост, висока, яркост
📶	мобилен, сигнал, сила на сигнал, стълбчета за сила на сигнал, телефон
📳	Режим на вибрация, вибрация, клетъчен, мобилен, телефон
📴	Изключен мобилен телефон, изключен, клетъчен, мобилен, телефон
♀️	жена, женски, знак за женски пол
♂️	знак за мъжки пол, мъж, мъжки
⚧️	символ за трансджендър, трансджендър
✖️	Удебелен знак за умножение, отказ, умножение
➕	Удебелен знак плюс, математика, плюс
➖	Удебелен знак минус, математика, минус
➗	Удебелен знак за деление, деление, математика
🟰	математика, равенство, удебелен знак за равенство
♾️	безкрайност, вечност, завинаги, неограничено
‼️	Двойна удивителна, двойна, пунктуация, удивителна
⁉️	Удивителна и въпросителна, въпросителна, пунктуация, удивителна
❓️	въпросителна, пунктуация
❔	Бяла въпросителна, въпросителна, контур, пунктуация
❕	Бяла удивителна, контур, пунктуация, удивителна
❗️	пунктуация, удивителна
〰️	Вълнообразно тире, вълнообразно, пунктуация, тире
💱	банка, валута, обмен, обмен на валута, пари
💲	валута, долар, пари, удебелен знак за долар
⚕️	медицина, медицински символ, символ за медицина
♻️	Символ за рециклиране, рециклиране
⚜	хералдическа лилия
🔱	емблема, инструмент, тризъбец
📛	бадж, име, табелка
🔰	Японски символ за начинаещ, начинаещ, японски
⭕️	Удебелена голяма окръжност, окръжност
✅	Удебелена бяла отметка, отметка
☑️	Урна за гласуване с отметка, гласуване, кутия, отметка
✔️	Удебелена отметка, отметка
❌	кръстче, отказ, умножение
❎	Бутон с кръстче, квадрат
➰	клуп, примка
➿	Двойна примка, двойна, примка
〽️	Знак за смяна на ролята, знак, роля
✳️	Звезда с осем лъча, звезда
✴️	Осмолъчна звезда, звезда
❇️	Искра, искра
©️	Авторско право, авторско право
®️	Регистрирана търговска марка, регистрирана търговска марка
™️	Търговска марка, търговска марка
#⃣	Клавиш, Клавиш: #
*⃣	Клавиш, Клавиш: *
0⃣	Клавиш, Клавиш: 0
1⃣	Клавиш, Клавиш: 1
2⃣	Клавиш, Клавиш: 2
3⃣	Клавиш, Клавиш: 3
4⃣	Клавиш, Клавиш: 4
5⃣	Клавиш, Клавиш: 5
6⃣	Клавиш, Клавиш: 6
7⃣	Клавиш, Клавиш: 7
8⃣	Клавиш, Клавиш: 8
9⃣	Клавиш, Клавиш: 9
🔟	Клавиш, Клавиш: 10
🔠	букви, въвеждане, въвеждане на главни букви на латиница, главни, латиница
🔡	[abcd], букви, въвеждане, въвеждане на малки букви на латиница, латиница
🔢	1234, въвеждане, въвеждане на цифри, цифри
🔣	въвеждане, въвеждане на символи
🔤	[abc], букви, въвеждане, въвеждане на букви на латиница, латиница
🅰️	[a], бутон с „a“, кръв
🆎	[ab], бутон с „ab“, кръв
🅱️	[b], бутон с „b“, кръв
🆑	cl, „Cl“ в квадрат
🆒	cool, „Cool“ в квадрат
🆓	free, „Free“ в квадрат
ℹ️	Източник на информация, информация
🆔	самоличност, „ID“ в квадрат
Ⓜ️	[m], Буква „M“ в кръг, кръг
🆕	new, „New“ в квадрат
🆖	ng, „Ng“ в квадрат
🅾️	[o], Бутон с „O“, кръв
🆗	ok, окей, „Окей“ в квадрат
🅿️	Бутон с „P“, паркинг
🆘	sos, помощ, „SOS“ в квадрат
🆙	[up], Бутон с „up!“
🆚	vs, „Vs“ в квадрат
🈁	японски, „Коко“ от катакана в квадрат
🈂️	японски, „Са“ от катакана в квадрат
🈷	Идеограма „луна“ в квадрат, японски
🈶	Идеограма „съществувам“ в квадрат, японски
🈯	Идеограма „пръст“ в квадрат, японски
🉐	Идеограма за предимство в кръг, японски
🈹	Идеограма „разделяне“ в квадрат, японски
🈚	Идеограма „отрицание“ в квадрат, японски
🈲	Идеограма „забранявам“ в квадрат, японски
🉑	Идеограма за приемане в кръг, китайски
🈸	Идеограма „прилагам“ в квадрат, японски
🈴	Идеограма „заедно“ в квадрат, японски
🈳	Идеограма „празно“ в квадрат, японски
㊗️	Идеограма за поздравление в кръг, идеограма, поздравление, японски
㊙️	Идеограма за тайна в кръг, идеограма, тайна, японски
🈺	Идеограма „отворено“ в квадрат, японски
🈵	Идеограма „пълнота“ в квадрат, японски
🔴	Червен кръг, геометричен, кръг, червен
🟠	кръг, оранжев кръг, оранжево
🟡	жълт кръг, жълто, кръг
🟢	зелен кръг, зелено, кръг
🔵	Син кръг, геометричен, кръг, син
🟣	кръг, лилав, лилав кръг
🟤	кафяв кръг, кафяво, кръг
⚫️	Черен кръг, геометричен, кръг
⚪️	Бял кръг, геометричен, кръг
🟥	квадрат, червен квадрат, червено
🟧	квадрат, оранжев квадрат, оранжево
🟨	жълт квадрат, жълто, квадрат
🟩	зелен квадрат, зелено, квадрат
🟦	квадрат, син квадрат, синьо
🟪	квадрат, лилав квадрат, лилаво
🟫	кафяв квадрат, кафяво, квадрат
⬛️	Черен голям квадрат, геометричен, квадрат
⬜️	Бял голям квадрат, геометричен, квадрат
◼️	Черен среден квадрат, геометричен, квадрат
◻️	Бял среден квадрат, геометричен, квадрат
◾️	Черен средномалък квадрат, геометричен, квадрат
◽️	Бял средномалък квадрат, геометричен, квадрат
▪️	Малък черен квадрат, геометричен, квадрат
▫️	Малък бял квадрат, геометричен, квадрат
🔶	Голям оранжев ромб, геометричен, оранжев, ромб
🔷	Голям син ромб, геометричен, ромб, син
🔸	Малък оранжев ромб, геометричен, оранжев, ромб
🔹	Малък син ромб, геометричен, ромб, син
🔺	Сочещ нагоре червен триъгълник, геометричен, червен
🔻	Сочещ надолу червен триъгълник, геометричен, надолу, червен
💠	Ромб с точка в средата, геометричен, комикс, ромб
🔘	Бутон за избор, бутон, геометричен, избор
🔳	Квадратен бутон с бял контур, бутон, геометричен, квадрат, контур
🔲	Квадратен бутон с черен контур, бутон, геометричен, квадрат
🏁	Кариран флаг, кариран, състезание
🚩	Триъгълно знаме, флагщок
🎌	Кръстосани знамена, кръстосан, празнуване, японски
🏴	Веещо се черно знаме, развяващ се
🏳️	Веещо се бяло знаме, развяващ се
🏳‍🌈	дъга, знаме, флагът на дъгата
🏳‍⚧	бяло, знаме, знаме в синьо, розово и бяло, розово, светлосиньо, транссексуален
🏴‍☠	Веселия Роджър, грабежи, пират, пиратски флаг, съкровище
🇦🇨	Флаг, Флаг: остров Възнесение
🇦🇩	Флаг, Флаг: Андора
🇦🇪	Флаг, Флаг: Обединени арабски емирства
🇦🇫	Флаг, Флаг: Афганистан
🇦🇬	Флаг, Флаг: Антигуа и Барбуда
🇦🇮	Флаг, Флаг: Ангуила
🇦🇱	Флаг, Флаг: Албания
🇦🇲	Флаг, Флаг: Армения
🇦🇴	Флаг, Флаг: Ангола
🇦🇶	Флаг, Флаг: Антарктика
🇦🇷	Флаг, Флаг: Аржентина
🇦🇸	Флаг, Флаг: Американска Самоа
🇦🇹	Флаг, Флаг: Австрия
🇦🇺	Флаг, Флаг: Австралия
