‾	ზედა ტირე, ზედა ხაზი
📵	აკრძალვა, აკრძალულია, არა, მობილური, მობილური ტელეფონის გამოყენება აკრძალულია, ტელეფონი, ფიჭური
🔞	18, აკრძალვა, აკრძალულია, არა, ასაკობრივი შეზღუდვა, თვრამეტ წლამდე აკრძალულია, თვრამეტი
☢️	რადიოაქტიური
☣️	ბიოლოგიური საფრთხე
⬆️	ისარი, ისარი ზემოთ, კარდინალური, მიმართულება, ჩრდილოეთი
↗️	ინტერკარდინალური, ისარი, ისარი ზემოთ და მარჯვნივ, კარდინალური, მიმართულება, ჩრდილო-აღმოსავლეთი
➡️	აღმოსავლეთი, ისარი, ისარი მარჯვნივ, კარდინალური, მიმართულება
↘️	ინტერკარდინალური, ისარი, ისარი ქვემოთ და მარჯვნივ, კარდინალური, მიმართულება, სამხრეთ-აღმოსავლეთი
⬇️	ისარი, ისარი ქვემოთ, კარდინალური, მიმართულება, სამხრეთი, ქვემოთ
↙️	ინტერკარდინალური, ისარი, ისარი ქვემოთ და მარცხნივ, კარდინალური, მიმართულება, სამხრეთ-დასავლეთი
⬅️	დასავლეთი, ისარი, ისარი მარცხნივ, კარდინალური, მიმართულება
↖️	ინტერკარდინალური, ისარი, ისარი ზემოთ და მარცხნივ, კარდინალური, მიმართულება, ჩრდილო-დასავლეთი
↕️	ისარი, ისარი ზემოთ და ქვემოთ
↔️	ისარი, ისარი მარცხნივ და მარჯვნივ
↮	მარცხნივ და მარჯვნივ მიმართული გადახაზული ისარი
↩️	ისარი, ისარი, რომელიც იმრუდება მარჯვნიდან მარცხნივ
↪️	ისარი, ისარი, რომელიც იმრუდება მარცნიდან მარჯვნივ
⤴️	ისარი, ისარი, რომელიც იმრუდება მარჯვნიდან ზემოთ
⤵️	ისარი, ისარი, რომელიც იმრუდება მარჯვნიდან ქვემოთ, ქვემოთ
🔃	გადატვირთვა, ვერტიკალური ისრები საათის მიმართულებით, ისარი, საათის ისრის მიმართულებით
🔄	ისარი, საათის ისრის საწინააღმდეგოდ, საათის მიმართულების საწინააღმდეგო ისრების ღილაკი
🔙	ისარი, უკან, უკანსვლის ღილაკი
🔚	ბოლო, ბოლოში გადასვლის ისარი, ისარი
🔛	ისარი, ისარი on!, ნიშანი, ჩართვა
🔜	ისარი, ისარი soon, მალე
🔝	ზემოთ, ისარი, ისარი top
🛐	ლოცვა, რელიგია, სალოცავი ადგილი
⚛️	ათეისტი, ატომი, ატომის სიმბოლო
🕉️	ინდუიზმი, ომი, რელიგია
✡️	დავითი, დავითის ვარსკვლავი, ებრაელი, ებრაული, ვარსკვლავი, რელიგია
☸️	ბორბალი, ბუდიზმი, ბუდისტური, დჰარმა, დჰარმას ბორბალი, რელიგია
☯️	იანი, ინი, ინი და იანი, რელიგია, ტაო, ტაოისტური
✝️	ლათინური ჯვარი, რელიგია, ქრისტიანობა, ქრისტიანული, ჯვარი
☦️	მართმადიდებლური ჯვარი, რელიგია, ქრისტიანობა, ქრისტიანული, ჯვარი
☪️	ვარსკვლავი და ნახევარმთვარე, ისლამი, მუსლიმანური, რელიგია
☮️	მშვიდობა, მშვიდობის სიმბოლო
🕎	მენორა, რელიგია, სანთლები, საშანდლე
🔯	ვარსკვლავი, მომავალი, შემოზღუდული ექვსქიმიანი ვარსკვლავი
♈️	ერკემალი, ვერძი, ზოდიაქო, ჰოროსკოპი
♉️	ზოდიაქო, კურო, ხარი, ჰოროსკოპი
♊️	ზოდიაქო, მარჩბივი, ტყუპები, ჰოროსკოპი
♋️	ზოდიაქო, კიბო, კიბორჩხალა, კირჩხიბი, ჰოროსკოპი
♌️	ზოდიაქო, ლომი, ჰოროსკოპი
♍️	ზოდიაქო, ქალიშვილი, ქალწული, ჰოროსკოპი
♎️	ზოდიაქო, სამართლიანობა, სასწორი, ჰოროსკოპი
♏️	ზოდიაქო, მორიელი, ღრიანკალი, ჰოროსკოპი
♐️	ზოდიაქო, მოისარი, მშვილდოსანი, ჰოროსკოპი
♑️	ზოდიაქო, თხა, თხის რქა, ჰოროსკოპი
♒️	ზოდიაქო, მერწყული, წყალი, ჰოროსკოპი
♓️	ზოდიაქო, თევზები, თევზი, ჰოროსკოპი
⛎	გველი, გველისმჭერი, ზოდიაქო, ჰოროსკოპი
🔀	გადაკვეთილი, ისარი, ჩანაწერების შემთხვევით არჩევის ღილაკი
🔁	გამეორება, გამეორების ღილაკი, ისარი, საათის ისრის მიმართულებით
🔂	ერთხელ, ერთხელ გამეორების ღილაკი, ისარი, საათის ისრის მიმართულებით
▶	დაკვრა, დაკვრის ღილაკი, ისარი, მარჯვნივ, სამკუთხედი
⏩	ისარი, ორმაგი, სწრაფად, წინ, წინ გადახვევის ღილაკი
⏭	ისარი, სამკუთხედი, შემდეგ ჩანაწერზე გადასვლის ღილაკი, შემდეგი, შემდეგი სცენა, შემდეგი ჩანაწერი
⏯	დაკვრა, დაკვრის ან დაპაუზების ღილაკი, ისარი, მარჯვნივ, პაუზა, სამკუთხედი
◀	გადახვევის ღილაკი, ისარი, მარცხნივ, სამკუთხედი, შებრუნება
⏪	ისარი, ორმაგი, უკან გადახვევა, უკან გადახვევის ღილაკი
⏮	ისარი, სამკუთხედი წინა სცენა, წინა, წინა ჩანაწერზე გადასვლის ღილაკი, წინა ჩანაწერი
🔼	ისარი, ღილაკი, ღილაკი ზემოთ, წითელი
⏫	ისარი, ორმაგი, ღილაკი სწრაფად ზემოთ
🔽	ისარი, ქვემოთ, ღილაკი, ღილაკი ქვემოთ, წითელი
⏬	ისარი, ორმაგი, ქვემოთ, ღილაკი სწრაფად ქვემოთ
⏸️	ბარი, ვერტიკალური, ორმაგი, პაუზა, პაუზის ღილაკი
⏹️	გაჩერება, კვადრატი, შეჩერების ღილაკი
⏺️	რგოლი, ჩაწერა, ჩაწერის ღილაკი, წრე
⏏️	ამოღება, ამოღების ღილაკი
🎦	კამერა, კინო, კინოთეატრი, ფილმი
🔅	გამქრქალება, გამქრქალების ღილაკი, სიკაშკაშე
🔆	კაშკაშა, სიკაშკაშე, სიკაშკაშის ღილაკი
📶	ანტენა, ანტენის ზოლები, ზოლი, მობილური, სიგნალი, ტელეფონი, ფიჭური
📳	ვიბრაცია, ვიბრაციის რეჟიმი, მობილური, რეჟიმი, ტელეფონი, ფიჭური
📴	გამორთული, მობილური, მობილური ტელეფონი გამორთულია, ტელეფონი, ფიჭური
♀️	მდედრობითი, ქალი
♂️	კაცი, მამრობითი
⚧️	ტრანსგენდერი, ტრანსგენდერი სიმბოლო
✖️	x, ×, გამრავლება, გაუქმება, მსხვილი გამრავლება
➕	+, მათემატიკა, მიმატება, პლუსი, პლუსის ნიშანი
➖	-, გამოკლება, მათემატიკა, მინუსი, მინუსის ნიშანი, −
➗	÷, გაყოფა, გაყოფის ნიშანი, მათემატიკა
🟰	თანასწორობა, მათემატიკა, მუქი ტოლობის ნიშანი
♾️	სამუდამოდ, უნივერსალური, უსასრულობა
‼️	ნიშანი, ორმაგი ძახილის ნიშანი, პუნქტუაცია, ძახილი
⁉️	კითხვა, კითხვა-ძახილი, კითხვა-ძახილის ნიშანი, ნიშანი, პუნქტუაცია, ძახილი
❓️	კითხვა, კითხვის ნიშანი, ნიშანი, პუნქტუაცია, წითელი კითხვის ნიშანი
❔	თეთრი კითხვის ნიშანი, კითხვა, კონტურიანი, ნიშანი, პუნქტუაცია
❕	თეთრი ძახილის ნიშანი, კონტურიანი, ნიშანი, პუნქტუაცია, ძახილი
❗️	ნიშანი, პუნქტუაცია, ძახილი, ძახილის ნიშანი, წითელი ძახილის ნიშანი
〰️	პუნქტუაცია, ტალღოვანი, ტალღოვანი ტირე, ტირე
💱	ბანკი, გადაცვლა, გაცვლა, ვალუტა, ვალუტის გადაცვლა, ფული
💲	დოლარი, ვალუტა, მსხვილი დოლარის ნიშანი, ფული
⚕️	პერსონალი, სამედიცინო ნიშანი
♻️	გადამუშავება, გადამუშავების სიმბოლო
⚜	შროშანი, ჰერალდიკური, ჰერალდიკური შროშანი
🔱	გემი, ემბლემა, ინსტრუმენტი, სამკბილა, სამკბილა ემბლემა, ღუზა, ხელსაწყო
📛	ბეჯი, სახელი, სახელიანი ბეჯი
🔰	დამწყები, იაპონური, იაპონური დამწყების სიმბოლო, ინსტრუმენტი, ფოთოლი
⭕️	o, მსხვილი დიდი წრე, რგოლი, წრე
✅	მონიშვნა, მსხვილი თეთრი მონიშვნის ნიშანი, ნიშანი
☑️	მონიშვნა, მონიშნული მოსანიშნი უჯრა, ყუთი
✔️	მონიშვნა, მსხვილი მონიშვნის ნიშანი, ნიშანი
❌	x, გამრავლება, გაუქმება, ნიშანი, ჯვრით მონიშვნა
❎	კვადრატი, ნიშანი, ჯვრით მონიშვნის ღილაკი
➰	მარყუჟი, ხვეული, ხვეული მარყუჟი
➿	მარყუჟი, ორმაგი, ორმაგი ხვეული მარყუჟი, ხვეული
〽️	ნიშანი, ჯერი, ჯერის ცვლის ნიშანი
✳️	ასტერისკი, რვაქიმიანი ასტერისკი
✴️	ვარსკვლავი, რვაქიმიანი ვარსკვლავი
❇️	ნაპერწკალი
©️	საავტორო უფლება, საავტორო უფლებები
®️	R, რეგისტრირებული სასაქონლო ნიშანი
™️	ნიშანი, სავაჭრო ნიშანი
#⃣	კლავიში, კლავიში: #
*⃣	კლავიში, კლავიში: *
0⃣	კლავიში, კლავიში: 0
1⃣	კლავიში, კლავიში: 1
2⃣	კლავიში, კლავიში: 2
3⃣	კლავიში, კლავიში: 3
4⃣	კლავიში, კლავიში: 4
5⃣	კლავიში, კლავიში: 5
6⃣	კლავიში, კლავიში: 6
7⃣	კლავიში, კლავიში: 7
8⃣	კლავიში, კლავიში: 8
9⃣	კლავიში, კლავიში: 9
🔟	კლავიში, კლავიში: 10
🔠	ასოები, ლათინური, მთავრული, მთავრული ლათინური ასოების შეყვანა, შეყვანა
🔡	abcd, ასოები, ლათინური, ნუსხური, ნუსხური ლათინური ასოების შეყვანა, შეყვანა
🔢	1234, რიცხვები, რიცხვების შეყვანა, შეყვანა
🔣	სიმბოლოების შეყვანა, შეყვანა
🔤	abc, ანბანი, ასოები, ლათინური, ლათინური ასოების შეყვანა, შეყვანა
🅰️	a, სისხლი, ღილაკი A (სისხლის ტიპი)
🆎	ab, სისხლი, ღილაკი AB (სისხლის ტიპი)
🅱️	b, სისხლი, ღილაკი B (სისხლის ტიპი)
🆑	cl, ღილაკი CL
🆒	cool, ღილაკი COOL
🆓	free კვადრატში, თავისუფალი
ℹ️	i, ინფორმაცია
🆔	id, იდენტიფიკაცია, ღილაკი ID
Ⓜ️	m, ასო m წრეში, რგოლი, წრე
🆕	ახალი, ღილაკი NEW
🆖	ng, ღილაკი NG
🅾️	o, სისხლი, ღილაკი O (სისხლის ტიპი)
🆗	კარგი, ღილაკი OK
🅿️	ავტოსადგომი, პარკინგი, ღილაკი p
🆘	sos, დახმარება, ღილაკი SOS
🆙	ზემოთ, ნიშანი, ღილაკი up!
🆚	vs, vs კვადრატში, წინააღმდეგ
🈁	იაპონური, იაპონური ღილაკი "აქ"
🈂️	იაპონური, იაპონური ღილაკი „სერვისის გადასახადი“
🈷	იაპონური, მთვარის იდეოგრამა კვადრატში
🈶	არსებობის იდეოგრამა კვადრატში, იაპონური
🈯	თითის იდეოგრამა კვადრატში, იაპონური
🉐	იაპონური, უპირატესობის იდეოგრამა წრეში
🈹	გაყოფის იდეოგრამა კვადრატში, იაპონური
🈚	იაპონური, უარყოფის იდეოგრამა კვადრატში
🈲	აკრძალვის იდეოგრამა კვადრატში, იაპონური
🉑	მიღების იდეოგრამა წრეში, ჩინური
🈸	გამოყენების იდეოგრამა კვადრატში, ჩინური
🈴	ერთად ყოფნის იდეოგრამა კვადრატში, ჩინური
🈳	სიცარიელის იდეოგრამა კვადრატში, ჩინური
㊗️	იდეოგრამა, მილოცვა, მილოცვის იდეოგრამა წრეში, ჩინური
㊙️	იდეოგრამა, საიდუმლო, საიდუმლოს იდეოგრამა წრეში, ჩინური
🈺	მოქმედების იდეოგრამა კვადრატში, ჩინური
🈵	სისრულის იდეოგრამა კვადრატში, ჩინური
🔴	გეომეტრია, გეომეტრიული, რგოლი, წითელი, წითელი წრე, წრე
🟠	ნარინჯისფერი, ნარინჯისფერი წრე, წრე
🟡	ყვითელი, ყვითელი წრე, წრე
🟢	მწვანე, მწვანე წრე, წრე
🔵	გეომეტრია, გეომეტრიული, ლურჯი, ლურჯი წრე, რგოლი, ცისფერი, წრე
🟣	იისფერი, იისფერი წრე, წრე
🟤	ყავისფერი, ყავისფერი წრე, წრე
⚫️	გეომეტრია, გეომეტრიული, რგოლი, შავი წრე, წრე
⚪️	გეომეტრია, გეომეტრიული, თეთრი წრე, რგოლი, წრე
🟥	კვადრატი, წითელი, წითელი კვადრატი
🟧	კვადრატი, ნარინჯისფერი, ნარინჯისფერი კვადრატი
🟨	კვადრატი, ყვითელი, ყვითელი კვადრატი
🟩	კვადრატი, მწვანე, მწვანე კვადრატი
🟦	კვადრატი, ლურჯი, ლურჯი კვადრატი
🟪	იისფერი, იისფერი კვადრატი, კვადრატი
🟫	კვადრატი, ყავისფერი, ყავისფერი კვადრატი
⬛️	გეომეტრია, გეომეტრიული, დიდი შავი კვადრატი, კვადრატი
⬜️	გეომეტრია, გეომეტრიული, დიდი თეთრი კვადრატი, კვადრატი
◼️	გეომეტრია, გეომეტრიული, კვადრატი, საშუალო შავი კვადრატი
◻️	გეომეტრია, გეომეტრიული, კვადრატი, საშუალო თეთრი კვადრატი
◾️	გეომეტრია, გეომეტრიული, კვადრატი, საშუალო-პატარა შავი კვადრატი
◽️	გეომეტრია, გეომეტრიული, კვადრატი, საშუალო-პატარა თეთრი კვადრატი
▪️	გეომეტრია, გეომეტრიული, კვადრატი, პატარა შავი კვადრატი
▫️	გეომეტრია, გეომეტრიული, კვადრატი, პატარა თეთრი კვადრატი
🔶	გეომეტრია, გეომეტრიული, დიდი სტაფილოსფერი რომბი, ნარინჯისფერი, რომბი, სტაფილოსფერი
🔷	გეომეტრია, გეომეტრიული, დიდი ლურჯი რომბი, ლურჯი, რომბი, ცისფერი
🔸	გეომეტრია, გეომეტრიული, ნარინჯისფერი, პატარა სტაფილოსფერი რომბი, რომბი, სტაფილოსფერი
🔹	გეომეტრია, გეომეტრიული, ლურჯი, პატარა ლურჯი რომბი, რომბი, ცისფერი
🔺	გეომეტრია, გეომეტრიული, მაღლა მიმართული წითელი სამკუთხედი, წითელი
🔻	გეომეტრია, გეომეტრიული, დაბლა მიმართული წითელი სამკუთხედი, ქვემოთ, წითელი
💠	გეომეტრია, გეომეტრიული, რომბი, რომბი წერტილით, სასაცილო, შიგნით
🔘	გეომეტრია, გეომეტრიული, რადიო, რადიო ღილაკი, ღილაკი
🔳	გეომეტრია, გეომეტრიული, თეთრი კვადრატული ღილაკი, კვადრატი, კონტურიანი, ღილაკი
🔲	გეომეტრია, გეომეტრიული, კვადრატი, ღილაკი, შავი კვადრატული ღილაკი
🏁	დროშა, რბოლა, უჯრედებიანი, უჯრედებიანი დროშა
🚩	სამკუთხა დროშა, ფოსტა
🎌	აღნიშვნა, გადაკვეთილი, გადაკვეთილი დროშები, ზეიმი, იაპონური, ჯვარი
🏴	გაშლილი, გაშლილი შავი დროშა, შავი დროშა
🏳️	გაშლილი, გაშლილი თეთრი დროშა, თეთრი დროშა
🏳‍🌈	ცისარტყელა, ცისარტყელას დროშა
🏳‍⚧	დროშა, ვარდისფერი, თეთრი, ტრანსგენდერი, ტრანსგენდერი დროშა, ცისფერი
🏴‍☠	განძი, მეკობრე, მეკობრეთა დროშა, მხიარული როჯერი, ჩონჩხი და თავის ქალა
🇦🇨	დროშა, დროშა: ამაღლების კუნძული
🇦🇩	დროშა, დროშა: ანდორა
🇦🇪	დროშა, დროშა: არაბთა გაერთიანებული საამიროები
🇦🇫	დროშა, დროშა: ავღანეთი
🇦🇬	დროშა, დროშა: ანტიგუა და ბარბუდა
🇦🇮	დროშა, დროშა: ანგილია
🇦🇱	დროშა, დროშა: ალბანეთი
🇦🇲	დროშა, დროშა: სომხეთი
🇦🇴	დროშა, დროშა: ანგოლა
🇦🇶	დროშა, დროშა: ანტარქტიკა
🇦🇷	დროშა, დროშა: არგენტინა
🇦🇸	დროშა, დროშა: ამერიკის სამოა
🇦🇹	დროშა, დროშა: ავსტრია
🇦🇺	დროშა, დროშა: ავსტრალია
🇦🇼	დროშა, დროშა: არუბა
🇦🇽	დროშა, დროშა: ალანდის კუნძულები
🇦🇿	დროშა, დროშა: აზერბაიჯანი
🇧🇦	დროშა, დროშა: ბოსნია და ჰერცეგოვინა
🇧🇧	დროშა, დროშა: ბარბადოსი
🇧🇩	დროშა, დროშა: ბანგლადეში
🇧🇪	დროშა, დროშა: ბელგია
🇧🇫	დროშა, დროშა: ბურკინა-ფასო
🇧🇬	დროშა, დროშა: ბულგარეთი
🇧🇭	დროშა, დროშა: ბაჰრეინი
🇧🇮	დროშა, დროშა: ბურუნდი
🇧🇯	დროშა, დროშა: ბენინი
🇧🇱	დროშა, დროშა: სენ-ბართელმი
🇧🇲	დროშა, დროშა: ბერმუდა
🇧🇳	დროშა, დროშა: ბრუნეი
🇧🇴	დროშა, დროშა: ბოლივია
🇧🇶	დროშა, დროშა: კარიბის ნიდერლანდები
🇧🇷	დროშა, დროშა: ბრაზილია
🇧🇸	დროშა, დროშა: ბაჰამის კუნძულები
🇧🇹	დროშა, დროშა: ბუტანი
🇧🇻	დროშა, დროშა: ბუვე
🇧🇼	დროშა, დროშა: ბოტსვანა
🇧🇾	დროშა, დროშა: ბელარუსი
🇧🇿	დროშა, დროშა: ბელიზი
🇨🇦	დროშა, დროშა: კანადა
🇨🇨	დროშა, დროშა: ქოქოსის (კილინგის) კუნძულები
🇨🇩	დროშა, დროშა: კონგო - კინშასა
🇨🇫	დროშა, დროშა: ცენტრალური აფრიკის რესპუბლიკა
🇨🇬	დროშა, დროშა: კონგო - ბრაზავილი
🇨🇭	დროშა, დროშა: შვეიცარია
🇨🇮	დროშა, დროშა: კოტ-დივუარი
🇨🇰	დროშა, დროშა: კუკის კუნძულები
🇨🇱	დროშა, დროშა: ჩილე
🇨🇲	დროშა, დროშა: კამერუნი
🇨🇳	დროშა, დროშა: ჩინეთი
🇨🇴	დროშა, დროშა: კოლუმბია
🇨🇵	დროშა, დროშა: კლიპერტონის კუნძული
🇨🇷	დროშა, დროშა: კოსტა-რიკა
🇨🇺	დროშა, დროშა: კუბა
🇨🇻	დროშა, დროშა: კაბო-ვერდე
🇨🇼	დროშა, დროშა: კიურასაო
🇨🇽	დროშა, დროშა: შობის კუნძული
🇨🇾	დროშა, დროშა: კვიპროსი
🇨🇿	დროშა, დროშა: ჩეხეთი
🇩🇪	დროშა, დროშა: გერმანია
🇩🇬	დროშა, დროშა: დიეგო-გარსია
🇩🇯	დროშა, დროშა: ჯიბუტი
🇩🇰	დროშა, დროშა: დანია
🇩🇲	დროშა, დროშა: დომინიკა
🇩🇴	დროშა, დროშა: დომინიკელთა რესპუბლიკა
🇩🇿	დროშა, დროშა: ალჟირი
🇪🇦	დროშა, დროშა: სეუტა და მელილა
🇪🇨	დროშა, დროშა: ეკვადორი
🇪🇪	დროშა, დროშა: ესტონეთი
🇪🇬	დროშა, დროშა: ეგვიპტე
🇪🇭	დროშა, დროშა: დასავლეთ საჰარა
🇪🇷	დროშა, დროშა: ერიტრეა
🇪🇸	დროშა, დროშა: ესპანეთი
🇪🇹	დროშა, დროშა: ეთიოპია
🇪🇺	დროშა, დროშა: ევროკავშირი
🇫🇮	დროშა, დროშა: ფინეთი
🇫🇯	დროშა, დროშა: ფიჯი
🇫🇰	დროშა, დროშა: ფოლკლენდის კუნძულები
🇫🇲	დროშა, დროშა: მიკრონეზია
🇫🇴	დროშა, დროშა: ფარერის კუნძულები
🇫🇷	დროშა, დროშა: საფრანგეთი
🇬🇦	დროშა, დროშა: გაბონი
🇬🇧	დროშა, დროშა: გაერთიანებული სამეფო
🇬🇩	დროშა, დროშა: გრენადა
🇬🇪	დროშა, დროშა: საქართველო
🇬🇫	დროშა, დროშა: საფრანგეთის გვიანა
🇬🇬	დროშა, დროშა: გერნსი
🇬🇭	დროშა, დროშა: განა
🇬🇮	დროშა, დროშა: გიბრალტარი
🇬🇱	დროშა, დროშა: გრენლანდია
🇬🇲	დროშა, დროშა: გამბია
🇬🇳	დროშა, დროშა: გვინეა
🇬🇵	დროშა, დროშა: გვადელუპა
🇬🇶	დროშა, დროშა: ეკვატორული გვინეა
🇬🇷	დროშა, დროშა: საბერძნეთი
🇬🇸	დროშა, დროშა: სამხრეთ ჯორჯია და სამხრეთ სენდვიჩის კუნძულები
🇬🇹	დროშა, დროშა: გვატემალა
🇬🇺	დროშა, დროშა: გუამი
🇬🇼	დროშა, დროშა: გვინეა-ბისაუ
🇬🇾	დროშა, დროშა: გაიანა
🇭🇰	დროშა, დროშა: ჰონკონგის სპეციალური ადმინისტრაციული რეგიონი, ჩინეთი
🇭🇲	დროშა, დროშა: ჰერდი და მაკდონალდის კუნძულები
🇭🇳	დროშა, დროშა: ჰონდურასი
🇭🇷	დროშა, დროშა: ხორვატია
🇭🇹	დროშა, დროშა: ჰაიტი
🇭🇺	დროშა, დროშა: უნგრეთი
🇮🇨	დროშა, დროშა: კანარის კუნძულები
🇮🇩	დროშა, დროშა: ინდონეზია
🇮🇪	დროშა, დროშა: ირლანდია
🇮🇱	დროშა, დროშა: ისრაელი
🇮🇲	დროშა, დროშა: მენის კუნძული
🇮🇳	დროშა, დროშა: ინდოეთი
🇮🇴	დროშა, დროშა: ბრიტანეთის ტერიტორია ინდოეთის ოკეანეში
🇮🇶	დროშა, დროშა: ერაყი
🇮🇷	დროშა, დროშა: ირანი
🇮🇸	დროშა, დროშა: ისლანდია
🇮🇹	დროშა, დროშა: იტალია
🇯🇪	დროშა, დროშა: ჯერსი
🇯🇲	დროშა, დროშა: იამაიკა
🇯🇴	დროშა, დროშა: იორდანია
🇯🇵	დროშა, დროშა: იაპონია
🇰🇪	დროშა, დროშა: კენია
🇰🇬	დროშა, დროშა: ყირგიზეთი
🇰🇭	დროშა, დროშა: კამბოჯა
🇰🇮	დროშა, დროშა: კირიბატი
🇰🇲	დროშა, დროშა: კომორის კუნძულები
🇰🇳	დროშა, დროშა: სენტ-კიტსი და ნევისი
🇰🇵	დროშა, დროშა: ჩრდილოეთ კორეა
🇰🇷	დროშა, დროშა: სამხრეთ კორეა
🇰🇼	დროშა, დროშა: ქუვეითი
🇰🇾	დროშა, დროშა: კაიმანის კუნძულები
🇰🇿	დროშა, დროშა: ყაზახეთი
🇱🇦	დროშა, დროშა: ლაოსი
🇱🇧	დროშა, დროშა: ლიბანი
🇱🇨	დროშა, დროშა: სენტ-ლუსია
🇱🇮	დროშა, დროშა: ლიხტენშტაინი
🇱🇰	დროშა, დროშა: შრი-ლანკა
🇱🇷	დროშა, დროშა: ლიბერია
🇱🇸	დროშა, დროშა: ლესოთო
🇱🇹	დროშა, დროშა: ლიეტუვა
🇱🇺	დროშა, დროშა: ლუქსემბურგი
🇱🇻	დროშა, დროშა: ლატვია
🇱🇾	დროშა, დროშა: ლიბია
🇲🇦	დროშა, დროშა: მაროკო
🇲🇨	დროშა, დროშა: მონაკო
🇲🇩	დროშა, დროშა: მოლდოვა
🇲🇪	დროშა, დროშა: მონტენეგრო
🇲🇫	დროშა, დროშა: სენ-მარტენი
🇲🇬	დროშა, დროშა: მადაგასკარი
🇲🇭	დროშა, დროშა: მარშალის კუნძულები
🇲🇰	დროშა, დროშა: ჩრდილოეთ მაკედონია
🇲🇱	დროშა, დროშა: მალი
🇲🇲	დროშა, დროშა: მიანმარი (ბირმა)
🇲🇳	დროშა, დროშა: მონღოლეთი
🇲🇴	დროშა, დროშა: მაკაოს სპეციალური ადმინისტრაციული რეგიონი, ჩინეთი
🇲🇵	დროშა, დროშა: ჩრდილოეთ მარიანას კუნძულები
🇲🇶	დროშა, დროშა: მარტინიკა
🇲🇷	დროშა, დროშა: მავრიტანია
🇲🇸	დროშა, დროშა: მონსერატი
🇲🇹	დროშა, დროშა: მალტა
🇲🇺	დროშა, დროშა: მავრიკი
🇲🇻	დროშა, დროშა: მალდივები
🇲🇼	დროშა, დროშა: მალავი
🇲🇽	დროშა, დროშა: მექსიკა
🇲🇾	დროშა, დროშა: მალაიზია
🇲🇿	დროშა, დროშა: მოზამბიკი
🇳🇦	დროშა, დროშა: ნამიბია
🇳🇨	დროშა, დროშა: ახალი კალედონია
🇳🇪	დროშა, დროშა: ნიგერი
🇳🇫	დროშა, დროშა: ნორფოლკის კუნძული
🇳🇬	დროშა, დროშა: ნიგერია
🇳🇮	დროშა, დროშა: ნიკარაგუა
🇳🇱	დროშა, დროშა: ნიდერლანდები
🇳🇴	დროშა, დროშა: ნორვეგია
🇳🇵	დროშა, დროშა: ნეპალი
🇳🇷	დროშა, დროშა: ნაურუ
🇳🇺	დროშა, დროშა: ნიუე
🇳🇿	დროშა, დროშა: ახალი ზელანდია
🇴🇲	დროშა, დროშა: ომანი
🇵🇦	დროშა, დროშა: პანამა
🇵🇪	დროშა, დროშა: პერუ
🇵🇫	დროშა, დროშა: საფრანგეთის პოლინეზია
🇵🇬	დროშა, დროშა: პაპუა-ახალი გვინეა
🇵🇭	დროშა, დროშა: ფილიპინები
🇵🇰	დროშა, დროშა: პაკისტანი
🇵🇱	დროშა, დროშა: პოლონეთი
🇵🇲	დროშა, დროშა: სენ-პიერი და მიკელონი
🇵🇳	დროშა, დროშა: პიტკერნის კუნძულები
🇵🇷	დროშა, დროშა: პუერტო-რიკო
🇵🇸	დროშა, დროშა: პალესტინის ტერიტორიები
🇵🇹	დროშა, დროშა: პორტუგალია
🇵🇼	დროშა, დროშა: პალაუ
🇵🇾	დროშა, დროშა: პარაგვაი
🇶🇦	დროშა, დროშა: კატარი
🇷🇪	დროშა, დროშა: რეუნიონი
🇷🇴	დროშა, დროშა: რუმინეთი
🇷🇸	დროშა, დროშა: სერბეთი
🇷🇺	დროშა, დროშა: რუსეთი
🇷🇼	დროშა, დროშა: რუანდა
🇸🇦	დროშა, დროშა: საუდის არაბეთი
🇸🇧	დროშა, დროშა: სოლომონის კუნძულები
🇸🇨	დროშა, დროშა: სეიშელის კუნძულები
🇸🇩	დროშა, დროშა: სუდანი
🇸🇪	დროშა, დროშა: შვედეთი
🇸🇬	დროშა, დროშა: სინგაპური
🇸🇭	დროშა, დროშა: წმინდა ელენეს კუნძული
🇸🇮	დროშა, დროშა: სლოვენია
🇸🇯	დროშა, დროშა: შპიცბერგენი და იან-მაიენი
🇸🇰	დროშა, დროშა: სლოვაკეთი
🇸🇱	დროშა, დროშა: სიერა-ლეონე
🇸🇲	დროშა, დროშა: სან-მარინო
🇸🇳	დროშა, დროშა: სენეგალი
🇸🇴	დროშა, დროშა: სომალი
🇸🇷	დროშა, დროშა: სურინამი
🇸🇸	დროშა, დროშა: სამხრეთ სუდანი
🇸🇹	დროშა, დროშა: სან-ტომე და პრინსიპი
🇸🇻	დროშა, დროშა: სალვადორი
🇸🇽	დროშა, დროშა: სინტ-მარტენი
🇸🇾	დროშა, დროშა: სირია
🇸🇿	დროშა, დროშა: სვაზილენდი
🇹🇦	დროშა, დროშა: ტრისტან-და-კუნია
🇹🇨	დროშა, დროშა: თერქს-ქაიქოსის კუნძულები
🇹🇩	დროშა, დროშა: ჩადი
🇹🇫	დროშა, დროშა: ფრანგული სამხრეთის ტერიტორიები
🇹🇬	დროშა, დროშა: ტოგო
🇹🇭	დროშა, დროშა: ტაილანდი
🇹🇯	დროშა, დროშა: ტაჯიკეთი
🇹🇰	დროშა, დროშა: ტოკელაუ
🇹🇱	დროშა, დროშა: ტიმორ-ლესტე
