🦵🏻	канечнасць, нага, нага: светлы тон скуры, светлы тон скуры, удар
🤸🏿‍♀	акрабатыка, гімнастыка, жанчына, жанчына ходзіць колам, жанчына ходзіць колам: цёмны тон скуры, кола, спорт, цёмны тон скуры
🤽🏻	воднае, воднае пола: светлы тон скуры, пола, светлы тон скуры, спорт, чалавек
🤽🏼	воднае, воднае пола: сярэдне-светлы тон скуры, пола, спорт, сярэдне-светлы тон скуры, чалавек
🤽🏽	воднае, воднае пола: сярэдні тон скуры, пола, спорт, сярэдні тон скуры, чалавек
🤽🏾	воднае, воднае пола: сярэдне-цёмны тон скуры, пола, спорт, сярэдне-цёмны тон скуры, чалавек
🤽🏿	воднае, воднае пола: цёмны тон скуры, пола, спорт, цёмны тон скуры, чалавек
🤽🏻‍♂	воднае, мужчына, мужчына гуляе ў воднае пола, мужчына гуляе ў воднае пола: светлы тон скуры, пола, светлы тон скуры, спорт
🤽🏼‍♂	воднае, мужчына, мужчына гуляе ў воднае пола, мужчына гуляе ў воднае пола: сярэдне-светлы тон скуры, пола, спорт, сярэдне-светлы тон скуры
🤽🏽‍♂	воднае, мужчына, мужчына гуляе ў воднае пола, мужчына гуляе ў воднае пола: сярэдні тон скуры, пола, спорт, сярэдні тон скуры
🤽🏾‍♂	воднае, мужчына, мужчына гуляе ў воднае пола, мужчына гуляе ў воднае пола: сярэдне-цёмны тон скуры, пола, спорт, сярэдне-цёмны тон скуры
🤽🏿‍♂	воднае, мужчына, мужчына гуляе ў воднае пола, мужчына гуляе ў воднае пола: цёмны тон скуры, пола, спорт, цёмны тон скуры
🤽🏻‍♀	воднае, жанчына, жанчына гуляе ў воднае пола, жанчына гуляе ў воднае пола: светлы тон скуры, пола, светлы тон скуры, спорт
🤽🏼‍♀	воднае, жанчына, жанчына гуляе ў воднае пола, жанчына гуляе ў воднае пола: сярэдне-светлы тон скуры, пола, спорт, сярэдне-светлы тон скуры
🤽🏽‍♀	воднае, жанчына, жанчына гуляе ў воднае пола, жанчына гуляе ў воднае пола: сярэдні тон скуры, пола, спорт, сярэдні тон скуры
🤽🏾‍♀	воднае, жанчына, жанчына гуляе ў воднае пола, жанчына гуляе ў воднае пола: сярэдне-цёмны тон скуры, пола, спорт, сярэдне-цёмны тон скуры
🤽🏿‍♀	воднае, жанчына, жанчына гуляе ў воднае пола, жанчына гуляе ў воднае пола: цёмны тон скуры, пола, спорт, цёмны тон скуры
🤾🏻	гандбол, гандбол: светлы тон скуры, мяч, светлы тон скуры, спорт, чалавек
🤾🏼	гандбол, гандбол: сярэдне-светлы тон скуры, мяч, спорт, сярэдне-светлы тон скуры, чалавек
🤾🏽	гандбол, гандбол: сярэдні тон скуры, мяч, спорт, сярэдні тон скуры, чалавек
🤾🏾	гандбол, гандбол: сярэдне-цёмны тон скуры, мяч, спорт, сярэдне-цёмны тон скуры, чалавек
🤾🏿	гандбол, гандбол: цёмны тон скуры, мяч, спорт, цёмны тон скуры, чалавек
🤾🏻‍♂	гандбаліст, гандбаліст: светлы тон скуры, гандбол, мужчына, светлы тон скуры, спорт
🤾🏼‍♂	гандбаліст, гандбаліст: сярэдне-светлы тон скуры, гандбол, мужчына, спорт, сярэдне-светлы тон скуры
🤾🏽‍♂	гандбаліст, гандбаліст: сярэдні тон скуры, гандбол, мужчына, спорт, сярэдні тон скуры
🤾🏾‍♂	гандбаліст, гандбаліст: сярэдне-цёмны тон скуры, гандбол, мужчына, спорт, сярэдне-цёмны тон скуры
🤾🏿‍♂	гандбаліст, гандбаліст: цёмны тон скуры, гандбол, мужчына, спорт, цёмны тон скуры
🤾🏻‍♀	гандбалістка, гандбалістка: светлы тон скуры, гандбол, жанчына, светлы тон скуры, спорт
🤾🏼‍♀	гандбалістка, гандбалістка: сярэдне-светлы тон скуры, гандбол, жанчына, спорт, сярэдне-светлы тон скуры
🤾🏽‍♀	гандбалістка, гандбалістка: сярэдні тон скуры, гандбол, жанчына, спорт, сярэдні тон скуры
🤾🏾‍♀	гандбалістка, гандбалістка: сярэдне-цёмны тон скуры, гандбол, жанчына, спорт, сярэдне-цёмны тон скуры
🤾🏿‍♀	гандбалістка, гандбалістка: цёмны тон скуры, гандбол, жанчына, спорт, цёмны тон скуры
🤹🏻	жанглёр, жанглёр: светлы тон скуры, раўнавага, светлы тон скуры, умельства, шматзадачнасць
🤹🏼	жанглёр, жанглёр: сярэдне-светлы тон скуры, раўнавага, сярэдне-светлы тон скуры, умельства, шматзадачнасць
🤹🏽	жанглёр, жанглёр: сярэдні тон скуры, раўнавага, сярэдні тон скуры, умельства, шматзадачнасць
🤹🏾	жанглёр, жанглёр: сярэдне-цёмны тон скуры, раўнавага, сярэдне-цёмны тон скуры, умельства, шматзадачнасць
🤹🏿	жанглёр, жанглёр: цёмны тон скуры, раўнавага, умельства, цёмны тон скуры, шматзадачнасць
🤹🏻‍♂	жангліраванне, мужчына, мужчына жангліруе, мужчына жангліруе: светлы тон скуры, светлы тон скуры, умельства, шматзадачнасць
🤹🏼‍♂	жангліраванне, мужчына, мужчына жангліруе, мужчына жангліруе: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, умельства, шматзадачнасць
🤹🏽‍♂	жангліраванне, мужчына, мужчына жангліруе, мужчына жангліруе: сярэдні тон скуры, сярэдні тон скуры, умельства, шматзадачнасць
🤹🏾‍♂	жангліраванне, мужчына, мужчына жангліруе, мужчына жангліруе: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, умельства, шматзадачнасць
🤹🏿‍♂	жангліраванне, мужчына, мужчына жангліруе, мужчына жангліруе: цёмны тон скуры, умельства, цёмны тон скуры, шматзадачнасць
🤹🏻‍♀	жанглёрка, жанглёрка: светлы тон скуры, жангліраванне, жанчына, светлы тон скуры, умельства, шматзадачнасць
🤹🏼‍♀	жанглёрка, жанглёрка: сярэдне-светлы тон скуры, жангліраванне, жанчына, сярэдне-светлы тон скуры, умельства, шматзадачнасць
🤹🏽‍♀	жанглёрка, жанглёрка: сярэдні тон скуры, жангліраванне, жанчына, сярэдні тон скуры, умельства, шматзадачнасць
🤹🏾‍♀	жанглёрка, жанглёрка: сярэдне-цёмны тон скуры, жангліраванне, жанчына, сярэдне-цёмны тон скуры, умельства, шматзадачнасць
🤹🏿‍♀	жанглёрка, жанглёрка: цёмны тон скуры, жангліраванне, жанчына, умельства, цёмны тон скуры, шматзадачнасць
👩‍❤‍💋‍👨	жанчына, каханне, мужчына, пара, пацалунак, пацалунак: жанчына мужчына
👨‍❤‍💋‍👨	каханне, мужчына, пара, пацалунак, пацалунак: мужчына мужчына
👩‍❤‍💋‍👩	жанчына, каханне, пара, пацалунак, пацалунак: жанчына жанчына
👩‍❤‍👨	жанчына, закаханая пара, закаханая пара: жанчына мужчына, каханне, мужчына, пара, сэрца
👨‍❤‍👨	закаханая пара, закаханая пара: мужчына мужчына, каханне, мужчына, пара, сэрца
👩‍❤‍👩	жанчына, закаханая пара, закаханая пара: жанчына жанчына, каханне, пара, сэрца
👨‍👩‍👦	жанчына, мужчына, сям’я, сям’я: мужчына жанчына хлопчык, хлопчык
👨‍👩‍👧	дзяўчынка, жанчына, мужчына, сям’я, сям’я: мужчына жанчына дзяўчынка
👨‍👩‍👧‍👦	дзяўчынка, жанчына, мужчына, сям’я, сям’я: мужчына жанчына дзяўчынка хлопчык, хлопчык
👨‍👩‍👦‍👦	жанчына, мужчына, сям’я, сям’я: мужчына жанчына хлопчык хлопчык, хлопчык
👨‍👩‍👧‍👧	дзяўчынка, жанчына, мужчына, сям’я, сям’я: мужчына жанчына дзяўчынка дзяўчынка
👨‍👨‍👦	мужчына, сям’я, сям’я: мужчына мужчына хлопчык, хлопчык
👨‍👨‍👧	дзяўчынка, мужчына, сям’я, сям’я: мужчына мужчына дзяўчынка
👨‍👨‍👧‍👦	дзяўчынка, мужчына, сям’я, сям’я: мужчына мужчына дзяўчынка хлопчык, хлопчык
👨‍👨‍👦‍👦	мужчына, сям’я, сям’я: мужчына мужчына хлопчык хлопчык, хлопчык
👨‍👨‍👧‍👧	дзяўчынка, мужчына, сям’я, сям’я: мужчына мужчына дзяўчынка дзяўчынка
👩‍👩‍👦	жанчына, сям’я, сям’я: жанчына жанчына хлопчык, хлопчык
👩‍👩‍👧	дзяўчынка, жанчына, сям’я, сям’я: жанчына жанчына дзяўчынка
👩‍👩‍👧‍👦	дзяўчынка, жанчына, сям’я, сям’я: жанчына жанчына дзяўчынка хлопчык, хлопчык
👩‍👩‍👦‍👦	жанчына, сям’я, сям’я: жанчына жанчына хлопчык хлопчык, хлопчык
👩‍👩‍👧‍👧	дзяўчынка, жанчына, сям’я, сям’я: жанчына жанчына дзяўчынка дзяўчынка
👨‍👦	мужчына, сям’я, сям’я: мужчына хлопчык, хлопчык
👨‍👦‍👦	мужчына, сям’я, сям’я: мужчына хлопчык хлопчык, хлопчык
👨‍👧	дзяўчынка, мужчына, сям’я, сям’я: мужчына дзяўчынка
👨‍👧‍👦	дзяўчынка, мужчына, сям’я, сям’я: мужчына дзяўчынка хлопчык, хлопчык
👨‍👧‍👧	дзяўчынка, мужчына, сям’я, сям’я: мужчына дзяўчынка дзяўчынка
👩‍👦	жанчына, сям’я, сям’я: жанчына хлопчык, хлопчык
👩‍👦‍👦	жанчына, сям’я, сям’я: жанчына хлопчык хлопчык, хлопчык
👩‍👧	дзяўчынка, жанчына, сям’я, сям’я: жанчына дзяўчынка
👩‍👧‍👦	дзяўчынка, жанчына, сям’я, сям’я: жанчына дзяўчынка хлопчык, хлопчык
👩‍👧‍👧	дзяўчынка, жанчына, сям’я, сям’я: жанчына дзяўчынка дзяўчынка
🤳🏻	светлы тон скуры, сэлфі, сэлфі: светлы тон скуры, тэлефон, фота
🤳🏼	сэлфі, сэлфі: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, тэлефон, фота
🤳🏽	сэлфі, сэлфі: сярэдні тон скуры, сярэдні тон скуры, тэлефон, фота
🤳🏾	сэлфі, сэлфі: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, тэлефон, фота
🤳🏿	сэлфі, сэлфі: цёмны тон скуры, тэлефон, фота, цёмны тон скуры
💪🏻	біцэпс, дэманстрацыя біцэпса, дэманстрацыя біцэпса: светлы тон скуры, мышцы, светлы тон скуры, спорт, цела
💪🏼	біцэпс, дэманстрацыя біцэпса, дэманстрацыя біцэпса: сярэдне-светлы тон скуры, мышцы, спорт, сярэдне-светлы тон скуры, цела
💪🏽	біцэпс, дэманстрацыя біцэпса, дэманстрацыя біцэпса: сярэдні тон скуры, мышцы, спорт, сярэдні тон скуры, цела
💪🏾	біцэпс, дэманстрацыя біцэпса, дэманстрацыя біцэпса: сярэдне-цёмны тон скуры, мышцы, спорт, сярэдне-цёмны тон скуры, цела
💪🏿	біцэпс, дэманстрацыя біцэпса, дэманстрацыя біцэпса: цёмны тон скуры, мышцы, спорт, цела, цёмны тон скуры
👈🏻	палец, рука, светлы тон скуры, указальны палец улева, указальны палец улева: светлы тон скуры, улева, цела
👈🏼	палец, рука, сярэдне-светлы тон скуры, указальны палец улева, указальны палец улева: сярэдне-светлы тон скуры, улева, цела
👈🏽	палец, рука, сярэдні тон скуры, указальны палец улева, указальны палец улева: сярэдні тон скуры, улева, цела
👈🏾	палец, рука, сярэдне-цёмны тон скуры, указальны палец улева, указальны палец улева: сярэдне-цёмны тон скуры, улева, цела
👈🏿	палец, рука, указальны палец улева, указальны палец улева: цёмны тон скуры, улева, цела, цёмны тон скуры
👉🏻	палец, рука, светлы тон скуры, указальны палец управа, указальны палец управа: светлы тон скуры, управа, цела
👉🏼	палец, рука, сярэдне-светлы тон скуры, указальны палец управа, указальны палец управа: сярэдне-светлы тон скуры, управа, цела
👉🏽	палец, рука, сярэдні тон скуры, указальны палец управа, указальны палец управа: сярэдні тон скуры, управа, цела
👉🏾	палец, рука, сярэдне-цёмны тон скуры, указальны палец управа, указальны палец управа: сярэдне-цёмны тон скуры, управа, цела
👉🏿	палец, рука, указальны палец управа, указальны палец управа: цёмны тон скуры, управа, цела, цёмны тон скуры
☝🏻	палец, рука, светлы тон скуры, уверх, указальны палец уверх, указальны палец уверх: светлы тон скуры, цела
☝🏼	палец, рука, сярэдне-светлы тон скуры, уверх, указальны палец уверх, указальны палец уверх: сярэдне-светлы тон скуры, цела
☝🏽	палец, рука, сярэдні тон скуры, уверх, указальны палец уверх, указальны палец уверх: сярэдні тон скуры, цела
☝🏾	палец, рука, сярэдне-цёмны тон скуры, уверх, указальны палец уверх, указальны палец уверх: сярэдне-цёмны тон скуры, цела
☝🏿	палец, рука, уверх, указальны палец уверх, указальны палец уверх: цёмны тон скуры, цела, цёмны тон скуры
👆🏻	далонь тылам з указальным пальцам уверх, далонь тылам з указальным пальцам уверх: светлы тон скуры, палец, рука, светлы тон скуры, уверх, цела
👆🏼	далонь тылам з указальным пальцам уверх, далонь тылам з указальным пальцам уверх: сярэдне-светлы тон скуры, палец, рука, сярэдне-светлы тон скуры, уверх, цела
👆🏽	далонь тылам з указальным пальцам уверх, далонь тылам з указальным пальцам уверх: сярэдні тон скуры, палец, рука, сярэдні тон скуры, уверх, цела
👆🏾	далонь тылам з указальным пальцам уверх, далонь тылам з указальным пальцам уверх: сярэдне-цёмны тон скуры, палец, рука, сярэдне-цёмны тон скуры, уверх, цела
👆🏿	далонь тылам з указальным пальцам уверх, далонь тылам з указальным пальцам уверх: цёмны тон скуры, палец, рука, уверх, цела, цёмны тон скуры
🖕🏻	палец, рука, светлы тон скуры, сярэдні палец, сярэдні палец: светлы тон скуры, цела
🖕🏼	палец, рука, сярэдне-светлы тон скуры, сярэдні палец, сярэдні палец: сярэдне-светлы тон скуры, цела
🖕🏽	палец, рука, сярэдні палец, сярэдні палец: сярэдні тон скуры, сярэдні тон скуры, цела
🖕🏾	палец, рука, сярэдне-цёмны тон скуры, сярэдні палец, сярэдні палец: сярэдне-цёмны тон скуры, цела
🖕🏿	палец, рука, сярэдні палец, сярэдні палец: цёмны тон скуры, цела, цёмны тон скуры
👇🏻	палец, рука, светлы тон скуры, указальны палец уніз, указальны палец уніз: светлы тон скуры, уніз, цела
👇🏼	палец, рука, сярэдне-светлы тон скуры, указальны палец уніз, указальны палец уніз: сярэдне-светлы тон скуры, уніз, цела
👇🏽	палец, рука, сярэдні тон скуры, указальны палец уніз, указальны палец уніз: сярэдні тон скуры, уніз, цела
👇🏾	палец, рука, сярэдне-цёмны тон скуры, указальны палец уніз, указальны палец уніз: сярэдне-цёмны тон скуры, уніз, цела
👇🏿	палец, рука, указальны палец уніз, указальны палец уніз: цёмны тон скуры, уніз, цела, цёмны тон скуры
✌🏻	жэст, жэст перамогі, жэст перамогі: светлы тон скуры, рука, светлы тон скуры
✌🏼	жэст, жэст перамогі, жэст перамогі: сярэдне-светлы тон скуры, рука, сярэдне-светлы тон скуры
✌🏽	жэст, жэст перамогі, жэст перамогі: сярэдні тон скуры, рука, сярэдні тон скуры
✌🏾	жэст, жэст перамогі, жэст перамогі: сярэдне-цёмны тон скуры, рука, сярэдне-цёмны тон скуры
✌🏿	жэст, жэст перамогі, жэст перамогі: цёмны тон скуры, рука, цёмны тон скуры
🤞🏻	светлы тон скуры, скрыжаваныя пальцы, скрыжаваныя пальцы: светлы тон скуры, удача
🤞🏼	скрыжаваныя пальцы, скрыжаваныя пальцы: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, удача
🤞🏽	скрыжаваныя пальцы, скрыжаваныя пальцы: сярэдні тон скуры, сярэдні тон скуры, удача
🤞🏾	скрыжаваныя пальцы, скрыжаваныя пальцы: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, удача
🤞🏿	скрыжаваныя пальцы, скрыжаваныя пальцы: цёмны тон скуры, удача, цёмны тон скуры
🖖🏻	вулканскі салют, вулканскі салют: светлы тон скуры, жэст, светлы тон скуры, спок, стартрэк
🖖🏼	вулканскі салют, вулканскі салют: сярэдне-светлы тон скуры, жэст, спок, стартрэк, сярэдне-светлы тон скуры
🖖🏽	вулканскі салют, вулканскі салют: сярэдні тон скуры, жэст, спок, стартрэк, сярэдні тон скуры
🖖🏾	вулканскі салют, вулканскі салют: сярэдне-цёмны тон скуры, жэст, спок, стартрэк, сярэдне-цёмны тон скуры
🖖🏿	вулканскі салют, вулканскі салют: цёмны тон скуры, жэст, спок, стартрэк, цёмны тон скуры
🤘🏻	жыве рок, жэст «каза», жэст «каза»: светлы тон скуры, пальцы, рогі, светлы тон скуры, цела
🤘🏼	жыве рок, жэст «каза», жэст «каза»: сярэдне-светлы тон скуры, пальцы, рогі, сярэдне-светлы тон скуры, цела
🤘🏽	жыве рок, жэст «каза», жэст «каза»: сярэдні тон скуры, пальцы, рогі, сярэдні тон скуры, цела
🤘🏾	жыве рок, жэст «каза», жэст «каза»: сярэдне-цёмны тон скуры, пальцы, рогі, сярэдне-цёмны тон скуры, цела
🤘🏿	жыве рок, жэст «каза», жэст «каза»: цёмны тон скуры, пальцы, рогі, цела, цёмны тон скуры
🤙🏻	жэст, пазвані, пазвані мне, пазвані мне: светлы тон скуры, рука, светлы тон скуры
🤙🏼	жэст, пазвані, пазвані мне, пазвані мне: сярэдне-светлы тон скуры, рука, сярэдне-светлы тон скуры
🤙🏽	жэст, пазвані, пазвані мне, пазвані мне: сярэдні тон скуры, рука, сярэдні тон скуры
🤙🏾	жэст, пазвані, пазвані мне, пазвані мне: сярэдне-цёмны тон скуры, рука, сярэдне-цёмны тон скуры
🤙🏿	жэст, пазвані, пазвані мне, пазвані мне: цёмны тон скуры, рука, цёмны тон скуры
🖐🏻	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: светлы тон скуры, пальцы, растапырванне, рука, светлы тон скуры
🖐🏼	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: сярэдне-светлы тон скуры, пальцы, растапырванне, рука, сярэдне-светлы тон скуры
🖐🏽	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: сярэдні тон скуры, пальцы, растапырванне, рука, сярэдні тон скуры
🖐🏾	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: сярэдне-цёмны тон скуры, пальцы, растапырванне, рука, сярэдне-цёмны тон скуры
🖐🏿	паднятая рука з растапыранымі пальцамі, паднятая рука з растапыранымі пальцамі: цёмны тон скуры, пальцы, растапырванне, рука, цёмны тон скуры
✋🏻	паднятая рука, паднятая рука: светлы тон скуры, рука, светлы тон скуры, стоп, цела
✋🏼	паднятая рука, паднятая рука: сярэдне-светлы тон скуры, рука, стоп, сярэдне-светлы тон скуры, цела
✋🏽	паднятая рука, паднятая рука: сярэдні тон скуры, рука, стоп, сярэдні тон скуры, цела
✋🏾	паднятая рука, паднятая рука: сярэдне-цёмны тон скуры, рука, стоп, сярэдне-цёмны тон скуры, цела
✋🏿	паднятая рука, паднятая рука: цёмны тон скуры, рука, стоп, цела, цёмны тон скуры
👌🏻	добра, жэст, жэст «ОК», жэст «ОК»: светлы тон скуры, ок, рука, светлы тон скуры
👌🏼	добра, жэст, жэст «ОК», жэст «ОК»: сярэдне-светлы тон скуры, ок, рука, сярэдне-светлы тон скуры
👌🏽	добра, жэст, жэст «ОК», жэст «ОК»: сярэдні тон скуры, ок, рука, сярэдні тон скуры
👌🏾	добра, жэст, жэст «ОК», жэст «ОК»: сярэдне-цёмны тон скуры, ок, рука, сярэдне-цёмны тон скуры
👌🏿	добра, жэст, жэст «ОК», жэст «ОК»: цёмны тон скуры, ок, рука, цёмны тон скуры
👍🏻	+1, вялікі палец уверх, вялікі палец уверх: светлы тон скуры, лайк, падабайка, палец, светлы тон скуры, уверх
👍🏼	+1, вялікі палец уверх, вялікі палец уверх: сярэдне-светлы тон скуры, лайк, падабайка, палец, сярэдне-светлы тон скуры, уверх
👍🏽	+1, вялікі палец уверх, вялікі палец уверх: сярэдні тон скуры, лайк, падабайка, палец, сярэдні тон скуры, уверх
👍🏾	+1, вялікі палец уверх, вялікі палец уверх: сярэдне-цёмны тон скуры, лайк, падабайка, палец, сярэдне-цёмны тон скуры, уверх
👍🏿	+1, вялікі палец уверх, вялікі палец уверх: цёмны тон скуры, лайк, падабайка, палец, уверх, цёмны тон скуры
👎🏻	-1, вялікі палец уніз, вялікі палец уніз: светлы тон скуры, дызлайк, палец, светлы тон скуры, уніз
👎🏼	-1, вялікі палец уніз, вялікі палец уніз: сярэдне-светлы тон скуры, дызлайк, палец, сярэдне-светлы тон скуры, уніз
👎🏽	-1, вялікі палец уніз, вялікі палец уніз: сярэдні тон скуры, дызлайк, палец, сярэдні тон скуры, уніз
👎🏾	-1, вялікі палец уніз, вялікі палец уніз: сярэдне-цёмны тон скуры, дызлайк, палец, сярэдне-цёмны тон скуры, уніз
👎🏿	-1, вялікі палец уніз, вялікі палец уніз: цёмны тон скуры, дызлайк, палец, уніз, цёмны тон скуры
✊🏻	кулак, падняты кулак, падняты кулак: светлы тон скуры, рука, рэвалюцыя, светлы тон скуры, удар
✊🏼	кулак, падняты кулак, падняты кулак: сярэдне-светлы тон скуры, рука, рэвалюцыя, сярэдне-светлы тон скуры, удар
✊🏽	кулак, падняты кулак, падняты кулак: сярэдні тон скуры, рука, рэвалюцыя, сярэдні тон скуры, удар
✊🏾	кулак, падняты кулак, падняты кулак: сярэдне-цёмны тон скуры, рука, рэвалюцыя, сярэдне-цёмны тон скуры, удар
✊🏿	кулак, падняты кулак, падняты кулак: цёмны тон скуры, рука, рэвалюцыя, удар, цёмны тон скуры
👊🏻	кулак, ляціць кулак, ляціць кулак: светлы тон скуры, небяспека, рука, светлы тон скуры, удар
👊🏼	кулак, ляціць кулак, ляціць кулак: сярэдне-светлы тон скуры, небяспека, рука, сярэдне-светлы тон скуры, удар
👊🏽	кулак, ляціць кулак, ляціць кулак: сярэдні тон скуры, небяспека, рука, сярэдні тон скуры, удар
👊🏾	кулак, ляціць кулак, ляціць кулак: сярэдне-цёмны тон скуры, небяспека, рука, сярэдне-цёмны тон скуры, удар
👊🏿	кулак, ляціць кулак, ляціць кулак: цёмны тон скуры, небяспека, рука, удар, цёмны тон скуры
🤛🏻	кулак, кулак улева: светлы тон скуры, светлы тон скуры, улева
🤛🏼	кулак, кулак улева: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, улева
🤛🏽	кулак, кулак улева: сярэдні тон скуры, сярэдні тон скуры, улева
🤛🏾	кулак, кулак улева: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, улева
🤛🏿	кулак, кулак улева: цёмны тон скуры, улева, цёмны тон скуры
🤜🏻	кулак, кулак управа: светлы тон скуры, светлы тон скуры, управа
🤜🏼	кулак, кулак управа: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, управа
🤜🏽	кулак, кулак управа: сярэдні тон скуры, сярэдні тон скуры, управа
🤜🏾	кулак, кулак управа: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, управа
🤜🏿	кулак, кулак управа: цёмны тон скуры, управа, цёмны тон скуры
🤚🏻	далонь, паднятая, паднятая далонь: светлы тон скуры, светлы тон скуры
🤚🏼	далонь, паднятая, паднятая далонь: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🤚🏽	далонь, паднятая, паднятая далонь: сярэдні тон скуры, сярэдні тон скуры
🤚🏾	далонь, паднятая, паднятая далонь: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🤚🏿	далонь, паднятая, паднятая далонь: цёмны тон скуры, цёмны тон скуры
👋🏻	вітаю, махае рукой, махае рукой: светлы тон скуры, маханне, рука, светлы тон скуры
👋🏼	вітаю, махае рукой, махае рукой: сярэдне-светлы тон скуры, маханне, рука, сярэдне-светлы тон скуры
👋🏽	вітаю, махае рукой, махае рукой: сярэдні тон скуры, маханне, рука, сярэдні тон скуры
👋🏾	вітаю, махае рукой, махае рукой: сярэдне-цёмны тон скуры, маханне, рука, сярэдне-цёмны тон скуры
👋🏿	вітаю, махае рукой, махае рукой: цёмны тон скуры, маханне, рука, цёмны тон скуры
🤟🏻	ILY, жэст «люблю цябе», жэст «люблю цябе»: светлы тон скуры, рука, светлы тон скуры
🤟🏼	ILY, жэст «люблю цябе», жэст «люблю цябе»: сярэдне-светлы тон скуры, рука, сярэдне-светлы тон скуры
🤟🏽	ILY, жэст «люблю цябе», жэст «люблю цябе»: сярэдні тон скуры, рука, сярэдні тон скуры
🤟🏾	ILY, жэст «люблю цябе», жэст «люблю цябе»: сярэдне-цёмны тон скуры, рука, сярэдне-цёмны тон скуры
🤟🏿	ILY, жэст «люблю цябе», жэст «люблю цябе»: цёмны тон скуры, рука, цёмны тон скуры
✍🏻	асадка, пісьмо, пішучая рука, пішучая рука: светлы тон скуры, рука, ручка, светлы тон скуры
✍🏼	асадка, пісьмо, пішучая рука, пішучая рука: сярэдне-светлы тон скуры, рука, ручка, сярэдне-светлы тон скуры
✍🏽	асадка, пісьмо, пішучая рука, пішучая рука: сярэдні тон скуры, рука, ручка, сярэдні тон скуры
✍🏾	асадка, пісьмо, пішучая рука, пішучая рука: сярэдне-цёмны тон скуры, рука, ручка, сярэдне-цёмны тон скуры
✍🏿	асадка, пісьмо, пішучая рука, пішучая рука: цёмны тон скуры, рука, ручка, цёмны тон скуры
👏🏻	авацыі, апладысменты, пляскае ў ладкі, пляскае ў ладкі: светлы тон скуры, плясканне, рука, светлы тон скуры
👏🏼	авацыі, апладысменты, пляскае ў ладкі, пляскае ў ладкі: сярэдне-светлы тон скуры, плясканне, рука, сярэдне-светлы тон скуры
👏🏽	авацыі, апладысменты, пляскае ў ладкі, пляскае ў ладкі: сярэдні тон скуры, плясканне, рука, сярэдні тон скуры
👏🏾	авацыі, апладысменты, пляскае ў ладкі, пляскае ў ладкі: сярэдне-цёмны тон скуры, плясканне, рука, сярэдне-цёмны тон скуры
👏🏿	авацыі, апладысменты, пляскае ў ладкі, пляскае ў ладкі: цёмны тон скуры, плясканне, рука, цёмны тон скуры
👐🏻	адкрытыя, адкрытыя рукі: светлы тон скуры, бяспека, рукі, светлы тон скуры
👐🏼	адкрытыя, адкрытыя рукі: сярэдне-светлы тон скуры, бяспека, рукі, сярэдне-светлы тон скуры
👐🏽	адкрытыя, адкрытыя рукі: сярэдні тон скуры, бяспека, рукі, сярэдні тон скуры
👐🏾	адкрытыя, адкрытыя рукі: сярэдне-цёмны тон скуры, бяспека, рукі, сярэдне-цёмны тон скуры
👐🏿	адкрытыя, адкрытыя рукі: цёмны тон скуры, бяспека, рукі, цёмны тон скуры
🙌🏻	жэст, рукі, светлы тон скуры, свята, ура, чалавек паднімае рукі, чалавек паднімае рукі: светлы тон скуры
🙌🏼	жэст, рукі, свята, сярэдне-светлы тон скуры, ура, чалавек паднімае рукі, чалавек паднімае рукі: сярэдне-светлы тон скуры
🙌🏽	жэст, рукі, свята, сярэдні тон скуры, ура, чалавек паднімае рукі, чалавек паднімае рукі: сярэдні тон скуры
🙌🏾	жэст, рукі, свята, сярэдне-цёмны тон скуры, ура, чалавек паднімае рукі, чалавек паднімае рукі: сярэдне-цёмны тон скуры
🙌🏿	жэст, рукі, свята, ура, цёмны тон скуры, чалавек паднімае рукі, чалавек паднімае рукі: цёмны тон скуры
🤲🏻	моліцца, светлы тон скуры, складзеныя разам далоні, складзеныя разам далоні: светлы тон скуры
🤲🏼	моліцца, складзеныя разам далоні, складзеныя разам далоні: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🤲🏽	моліцца, складзеныя разам далоні, складзеныя разам далоні: сярэдні тон скуры, сярэдні тон скуры
🤲🏾	моліцца, складзеныя разам далоні, складзеныя разам далоні: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🤲🏿	моліцца, складзеныя разам далоні, складзеныя разам далоні: цёмны тон скуры, цёмны тон скуры
