‾	верхняя рыса
📭️	адкрытая, адкрытая паштовая скрынка з апушчаным флажком, апушчаны, пошта, скрынка, флажок
📮	паштовая скрынка, пошта, скрынка
🗳️	выбары, галасаванне, урна, урна для галасавання
✏️	аловак, карандаш
✒️	асадка, вастрыё, пяро, пісьмо, чорнае пяро
🖋️	асадка, пяро, пёравая, пёравая ручка, ручка
🖊️	асадка, аўтаручка, ручка, шарыкавая
🖌️	жывапіс, маляванне, пэндзаль
🖍️	аловак, жывапіс, маляванне, мяккі, пастэль
📝	аловак, запіс, нататка, памятка, папера
💼	дакументы, паперы, партфель
📁	папка, папка для файлаў, файл
📂	адкрытая, адкрытая папка для файлаў, папка, файл
🗂️	карта, картатэка, раздзяляльнікі, раздзяляльнікі для картатэкі, сартаванне
📅	дата, каляндар, чысло
📆	адрыўны, адрыўны каляндар, каляндар
🗒️	блакнот, лісты, нататнік, перакідны, перакідны нататнік
🗓️	каляндар, лісты, перакідны, перакідны каляндар
📇	картатэка, картка, каталог, паказальнік
📈	графік, дыяграма, дыяграма росту, рост, тэндэнцыя
📉	графік, дыяграма, дыяграма зніжэння, зніжэнне, тэндэнцыя
📊	графік, дыяграма, лінейчастая, лінейчастая дыяграма, слупок
📋️	заціск, папера, планшэт, планшэт з заціскам
📌	канцылярская кнопка, кнопка
📍	кнопка, круглая, круглая канцылярская кнопка
📎	канцылярыя, папера, сашчэпка
🖇️	злучаныя сашчэпкі, папера, сашчэпка
📏	вымярэнне, край, лінейка, прамы
📐	вымярэнне, лінейка, трохвугольная лінейка, трохвугольнік
✂️	выразанне, нажніцы, інструмент
🗃️	каробка, каробка для картатэкі, карта, файл
🗄️	архіў, архіўная шафа, файл, шафа
🗑️	кошык, кошык для смецця, сметніца, смецце
🔒️	заблакіравана, закрыта, замкнёны замок, замок
🔓️	адамкнёны замок, адкрыта, замок, разблакіравана
🔏	бяспека, замкнёны замок з пяром, замок, канфідэнцыяльнасць, пяро
🔐	бяспека, закрыта, замкнёны замок з ключом, замок, ключ
🔑	замок, ключ, пароль
🗝️	замок, ключ, стары, стары ключ
🔨	малаток, інструмент
🪓	дрэва, рассякаць, сякера, сячы
⛏️	здабыча, кірка, шахта, інструмент
⚒️	кірка, малаток, малаток і кірка, шахта, інструмент
🛠️	гаечны, ключ, малаток, малаток і гаечны ключ, інструмент
🗡️	зброя, корцік, кінжал, нож
⚔️	зброя, мячы, скрыжаваныя, скрыжаваныя мячы
💣️	бомба, камічны
🪃	Аўстралія, бумеранг, вяртанне, зварот
🏹	задыяк, лук са стралой, стралец
🛡️	абарона, зброя, рыштунак, шчыт
🪚	драўніна, нажоўка, піла, цясляр, інструмент
🔧	гаечны ключ, інструмент
🪛	адвёртка, інструмент
🔩	болт, гайка, ніт і гайка, шруба, інструмент
⚙️	дэталь, шасцярня, шасцярэнька, інструмент
🗜️	сцісканне, ціскі, інструмент
⚖️	задыяк, шалі
🦯	даступнасць, палка, сляпы
🔗	злучаныя звёны, ланцуг, сувязь
⛓️	ланцуг, ланцугі
🪝	абыход, гак, крук, кручок, лавіць, прынада, чапляць
🧰	механік, скрыня, скрыня з інструментамі, інструменты
🧲	магнетызм, магніт, падкова, прыцяжэнне
🪜	драбіны, караскацца, лесвіца, прыступка
⚗️	алхімія, пасудзіна, перагонны куб, хімія, інструмент
🧪	лабараторыя, навука, прабірка, хімік, хімія, эксперымент
🧫	бактэрыя, біялогія, біёлаг, культура, лабараторыя, чашка Петры
🧬	ДНК, біёлаг, ген, генетыка, жыццё, эвалюцыя
🔬	мікраскоп, прыбор, інструмент
🔭	прыбор, тэлескоп, інструмент
📡	антэна, спадарожнік, спадарожнікавая антэна, талерка
💉	доктар, лекі, укол, шпрыц, іголка, ін’екцыя
🩸	донарства крыві, кропля крыві, медыцына, менструацыя
💊	доктар, лекі, таблетка, хворы
🩹	бінт, пластыр
🩼	апора для хадзьбы, калецтва, кастыль, кій, мыліца, палка, інваліднасць
🩺	доктар, медыцына, стэтаскоп, сэрца
🩻	доктар, косткі, медыцына, рэнтген, шкілет
🚪	дзверы
🛗	даступнасць, ліфт, пад’ёмнік
🪞	адбітак, адлюстраванне, люстэрка
🪟	адчыняць, акно, від, празрысты, рама, свежае паветра
🛏️	гасцініца, гатэль, ложак, сон
🛋️	гасцініца, гатэль, канапа, канапа з лямпай, лямпа
🪑	крэсла, месца, сядзець
🚽	туалет, унітаз
🪠	адпампоўваць, вантуз, сантэхнік, туалет
🚿	вада, душ
🛁	вада, ванна, купанне
🪤	мышыная пастка, пастка, прынада, сіло
🪒	брытва, востры, галіцца
🧴	ахова ад сонца, бутэлька з ласьёнам, крэм, ласьён, шампунь
🧷	панк-рок, шпілька
🧹	ведзьма, мятла, падмятаць, прыбіраць
🧺	кошык, мыццё, пікнік, фермерства
🧻	папяровыя ручнікі, рулон паперы, туалетная папера
🪣	бочачка, бітон, вядро, ёмістасць
🧼	купанне, мыла, мыльніца, мыццё, пена
🫧	бурбалкі, газы, мыла, пад вадой, чысціня
🪥	ванны пакой, гігіена, зубная шчотка, зубны, зубы, чысціць, шчотка
🧽	ачышчэнне, мачалка, мыццё, порысты
🧯	вогнетушыцель, гасіць, пажар, тушыць
🛒	каляска, каляска для тавараў, пакупкі, тавары
🚬	дым, курэнне, цыгарэта
⚰️	дамавіна, смерць, труна
🪦	магіла, магільны камень, могілкі, могільнік, надмагільны помнік
⚱️	прах, смерць, урна, урна з прахам
🧿	Назар, бірулька, вока Фатымы, пацерка, сурокі, талісман
🪬	Марыя, Мірыям, Фатыма, амулет, ахова, рука, хамса
🗿	Пасхі, Рапануі, востраў, мааі, статуя, твар
🪧	дэманстрацыя, знак, плакат, пратэст, пікет
🪪	бяспека, дакумент, пасведчанне, пасведчанне асобы
🏧	банкамат, гатоўка, знак, знак банкамата, наяўныя, тэрмінал
🚮	знак, знак «кідайце смецце ў урну», сметніца, урна
🚰	вада, пітная, пітная вада, піццё
♿️	доступ, знак «для інвалідаў», каляска, інвалід
🚹️	мужчына, мужчынскі туалет, прыбіральня, туалет
🚺️	жаночы туалет, жанчына, прыбіральня, туалет
🚻	прыбіральня, туалет
🚼️	дзіця, знак «немаўля», спавіванне
🚾	грамадская, прыбіральня, туалет
🛂	кантроль, пашпарт, пашпартны кантроль, праверка
🛃	кантроль, мытня, мытнік, праверка
🛄	атрыманне, атрыманне багажу, багаж
🛅	багаж, камера, камера для хавання, хаванне, шафа
⚠️	папярэджанне, увага
🚸	дарожны, дарожны рух, дзеці, дзеці на дарозе, знак, пешаход
⛔️	дарожны, забаронены, знак, рух, уезд, уезд забаронены
🚫	забаронена, знак, нельга, няма ўваходу
🚳	веласіпед, дарожны, забаронена, знак, ровар, рух, рух на веласіпедзе забаронены
🚭️	забаронена, курэнне, курэнне забаронена, не курыць
🚯	забаронена, нельга, смецце, смеціць забаронена
🚱	вада, забаронена, непрыдатная, непрыдатная для піцця вада, непітны, піццё
🚷	дарожны, забаронена, знак, нельга, пешаход, рух, рух пешаходаў забаронены
📵	забаронена, карыстацца мабільнымі тэлефонамі забаронена, мабільны, мабільнік, сотавы, тэлефон
🔞	18, забаронена, паўналетнія, толькі для паўналетніх, узроставае абмежаванне
☢️	знак, небяспека, радыеактыўны, радыяцыя
☣️	біялагічная небяспека, біялагічны, знак, небяспека
⬆️	кірунак, поўнач, стрэлка, стрэлка ўверх, уверх
↗️	кірунак, паўночны ўсход, стрэлка, стрэлка ўверх-управа, уверх-управа
➡️	кірунак, стрэлка, стрэлка ўправа, управа, усход
↘️	кірунак, паўднёвы ўсход, стрэлка, стрэлка ўніз-управа, уніз-управа
⬇️	кірунак, поўдзень, стрэлка, стрэлка ўніз, уніз
↙️	кірунак, паўднёвы захад, стрэлка, стрэлка ўніз-улева, уніз-улева
⬅️	захад, кірунак, стрэлка, стрэлка ўлева, улева
↖️	кірунак, паўночны захад, стрэлка, стрэлка ўверх-улева, уверх-улева
↕️	падвоеная, стрэлка, стрэлка ўверх-уніз
↔️	падвоеная, стрэлка, стрэлка ўлева-ўправа
↮	стрэлка ўлева і ўправа з рысай
↩️	кірунак, рух, стрэлка, стрэлка ўправа з паваротам улева
↪️	кірунак, рух, стрэлка, стрэлка ўлева з паваротам управа
⤴️	кірунак, стрэлка, стрэлка ўправа з паваротам уверх, уверх
⤵️	кірунак, стрэлка, стрэлка ўправа з паваротам уніз, уніз
🔃	вертыкальныя стрэлкі па гадзіннікавай стрэлцы, па гадзіннікавай стрэлцы, перазагрузіць, стрэлка
🔄	абнавіць, кнопка, кнопка са стрэлкамі супраць гадзіннікавай стрэлкі, стрэлка, супраць гадзіннікавай стрэлкі
🔙	назад, стрэлка, стрэлка «назад»
🔚	канец, стрэлка, стрэлка «канец»
🔛	актыўна, стрэлка, стрэлка «уключана!», уключана
🔜	неўзабаве, стрэлка, стрэлка «неўзабаве»
🔝	дагары, стрэлка, стрэлка «верх», уверх, угару
🛐	культ, культавае памяшканне, пакланенне, рэлігія
⚛️	атам, атэізм, сімвал атама, фізіка
🕉️	мантра, ом, рэлігія, індуізм
✡️	Давід, зорка, зорка Давіда, рэлігія, яўрэй, іудаізм
☸️	будызм, дхарма, кола, кола дхармы, рэлігія
☯️	даасізм, рэлігія, ян, інь, інь і ян
✝️	каталіцкі крыж, каталіцтва, крыж, рэлігія, хрысціянства
☦️	крыж, праваслаўе, праваслаўны крыж, рэлігія, хрысціянства
☪️	зорка і паўмесяц, мусульманскі, рэлігія, іслам
☮️	мір, пацыфік, сімвал
🕎	Ханука, падсвечнік, рэлігія, свечка, сямісвечнік
🔯	Давід, зорка, шасціканцовая, шасціканцовая зорка з кропкай
♈️	авен, задыяк, знак задыяка Авен
♉️	бык, задыяк, знак задыяка Цялец, цялец
♊️	блізняты, задыяк, знак задыяка Блізняты
♋️	задыяк, знак задыяка Рак, краб, рак
♌️	задыяк, знак задыяка Леў, леў
♍️	дзева, задыяк, знак задыяка Дзева
♎️	баланс, задыяк, знак задыяка Шалі, правасуддзе, шалі
♏️	задыяк, знак задыяка Скарпіён, скарпіён
♐️	задыяк, знак задыяка Стралец, стралец
♑️	задыяк, знак задыяка Казярог, казярог, казёл
♒️	вада, вадаліў, задыяк, знак задыяка Вадалей
♓️	задыяк, знак задыяка Рыбы, рыба, рыбы
⛎	задыяк, змеяносец, змяя, знак задыяка Змеяносец, спакушальнік
🔀	кнопка, кнопка «перамяшаць трэкі», перакрыжаваныя, стрэлкі
🔁	кнопка, кнопка «паўтарыць», па гадзіннікавай стрэлцы, паўтарэнне, стрэлкі
🔂	кнопка, кнопка «паўтараць адзін трэк», па гадзіннікавай стрэлцы, паўтор, стрэлка, трэк
▶	кнопка, кнопка «прайграць», прайграванне, трохвугольнік, управа
⏩	кнопка, кнопка перамоткі наперад, падвоены, перамотка, трохвугольнік
⏭	кнопка, кнопка «наступны трэк», наступны, трохвугольнік, трэк
⏯	кнопка, кнопка «прайграць» і «прыпыніць», паўза, прайграванне, трохвугольнік, управа
◀	кнопка, кнопка «прайграць назад», назад, прайграць, трохвугольнік, улева
⏪	кнопка, кнопка перамоткі назад, падвоеная, перамотка, стрэлка
⏮	кнопка, кнопка «папярэдні трэк», папярэдні, трохвугольнік, трэк
🔼	кнопка, кнопка «уверх», стрэлка, уверх, чырвоная
⏫	кнопка «хутка ўверх», падвоеная, стрэлка, уверх
🔽	кнопка, кнопка «ўніз», стрэлка, уніз, чырвоная
⏬	кнопка «хутка ўніз», падвоеная, стрэлка, уніз
⏸️	вертыкальная, кнопка «прыпыніць», падвоеная, палоска, паўза, прыпыненне
⏹️	квадрат, кнопка, кнопка «спыніць», спыненне, стоп
⏺️	запіс, кнопка, кнопка «запіс», круг
⏏️	выманне, кнопка, кнопка «выняць»
🎦	зала, камера, кіно, стужка, фільм
🔅	кнопка змяншэння яркасці, нізкі, узровень, цёмна, яркасць
🔆	высокі, кнопка павелічэння яркасці, узровень, ярка, яркасць
📶	антэна, мабільны, палоска, сетка, сотавы, сігнал, тэлефон, узровень сігналу сеткі
📳	вібрацыя, мабільны, рэжым, рэжым вібрацыі, сотавы, тэлефон
📴	выключаны, мабільны, мабільны тэлефон выключаны, сотавы, тэлефон
♀️	жаночы сімвал, жанчына
♂️	мужчына, мужчынскі сімвал
⚧️	сімвал трансгендара, трансгендар
✖️	знак множання, множанне, скасаванне, х
➕	+, знак складання, матэматыка, плюс, складанне
➖	-, адніманне, знак аднімання, матэматыка, мінус, −
➗	÷, дзяленне, знак дзялення, матэматыка
🟰	матэматыка, роўнасць, тоўсты знак роўнасці
♾️	безгранічны, бясконцасць, вечны, універсальны
‼️	!, !!, вокліч, два клічнікі, знак, клічнікі, пунктуацыя, шум
⁉️	!, !?, ?, знак, клічнік, клічнік з пытальнікам, пунктуацыя, пытальнік
❓️	?, знак, пунктуацыя, пытальнік, пытанне
❔	?, белы пытальнік, знак, контур, пунктуацыя, пытанне
❕	!, белы клічнік, вокліч, знак, контур, пунктуацыя
❗️	!, вокліч, знак, клічнік, пунктуацыя, чырвоны клічнік
〰️	працяжнік, пунктуацыя, хвалісты, хвалісты працяжнік
💱	абмен, абмен валют, банк, валюта, грошы
💲	валюта, грошы, долар, знак долара
⚕️	Асклепій, медыцына, медыцынскі сімвал, посах, эскулап
♻️	перапрацоўка, сімвал перапрацоўкі, утылізацыя
⚜	Францыя, геральдычная лілея, лілея, флёр-дэ-ліс, эмблема
🔱	карабель, сімвал, трызубец, эмблема, якар
📛	бэйдж, бэйдж з імем, бірка, імя
🔰	жоўты, зялёны, навічок, пачатковец, шаўрон, японскі, японскі сімвал «пачатковец»
⭕️	вялікае, кола, о, чырвонае кольца
✅	белая, вялікая белая птушка, знак, птушка
☑️	адзнака, квадрат з птушкай, клетка, птушка
✔️	знак, знак птушкі, птушка
❌	знак, крыжык, множанне, скасаванне, х
❎	×, знак, квадрат, кнопка з крыжыкам, крыжык, х
➰	звілістая пятля, звілісты, пятля
➿	звілістая, падвойная, падвойная звілістая пятля, пятля
〽️	знак, знак змены партыі, песенны, японскі, іарытэн
✳️	*, астэрыск, васьміканцовая, васьміканцовая зорачка, зорачка
✴️	*, васьміканцовая зорка, зорка
❇️	*, іскра
©️	аўтарскае права, значок аўтарскага права
®️	зарэгістраваны, зарэгістраваны таварны знак
™️	ТМ, знак, таварны, таварны знак
#⃣	Клавіша, Клавіша: #
*⃣	Клавіша, Клавіша: *
0⃣	Клавіша, Клавіша: 0
1⃣	Клавіша, Клавіша: 1
2⃣	Клавіша, Клавіша: 2
3⃣	Клавіша, Клавіша: 3
4⃣	Клавіша, Клавіша: 4
5⃣	Клавіша, Клавіша: 5
6⃣	Клавіша, Клавіша: 6
7⃣	Клавіша, Клавіша: 7
8⃣	Клавіша, Клавіша: 8
9⃣	Клавіша, Клавіша: 9
🔟	Клавіша, Клавіша: 10
🔠	верхні рэгістр, вялікі, лацінскі, літары, увод, увод лацінскіх літар верхнім рэгістрам
🔡	лацінскі, літары, малы, ніжні рэгістр, увод, увод лацінскіх літар ніжнім рэгістрам
🔢	1234, лічбы, увод, увод лічбаў
🔣	сімвалы, увод, увод сімвалаў
🔤	алфавіт, лацінскі, літары, увод, увод лацінскіх літар
🅰️	A, група, другая, значок «група крыві A», кроў
🆎	AB, AB (група крыві), група, кроў, чацвёртая
🅱️	B, група, значок «група крыві B», кроў, трэцяя
🆑	ачыстка, кнопка, кнопка «ачысціць»
🆒	слова «файна» ў квадраце, файна
🆓	бясплатна, слова «бясплатна» ў квадраце
ℹ️	даведка, крыніца інфармацыі, інфармацыя
🆔	асоба, пасведчанне, слова «пасведчанне» ў квадраце, ідэнтыфікацыя, ідэнтычнасць
Ⓜ️	M, кола, круг, літара, літара «M» у коле
🆕	новы, слова «новы» ў квадраце
🆖	блага, дрэнна, нічога добрага, скарачэнне «нічога добрага» ў квадраце
🅾️	0, група, значок «група крыві 0», кроў, першая
🆗	ОК, ОК у квадраце, добра
🅿️	знак, знак «паркоўка», паркоўка, паркінг, стаянка
🆘	SOS, СОС, дапамажыце, знак «SOS»
🆙	гульня, знак, знак «новы ўзровень!», новы, слова «новы ўзровень!», уверх, узровень
🆚	гульня, знак «супраць», супраць
🈁	пісьмо, японскае, ідэаграма «тут» у квадраце
🈂️	бясплатна, пісьмо, японскае, ідэаграма «сэрвіс» у квадраце
🈷	пісьмо, штомесяц, японскае, ідэаграма «месяц» у квадраце
🈶	прадаецца, пісьмо, японскае, ідэаграма «ў наяўнасці» ў квадраце
🈯	кірунак, кітайскае, пісьмо, японскае, ідэаграма «паказванне пальцам» у квадраце
🉐	пісьмо, японскае, ідэаграма «выгадная здзелка» ў крузе
🈹	дыскаўнт, пісьмо, японскае, ідэаграма «скідка» ў квадраце
🈚	кітайскае, няма, пісьмо, японскае, ідэаграма «адсутнасць» у квадраце
🈲	забарона, пісьмо, японскае, ідэаграма «забаронена» ў квадраце
🉑	кітайскае, прымальна, пісьмо, ідэаграма «прыняць» ў крузе
🈸	запыт, заява, кітайскае, пісьмо, ідэаграма «заяўка» у квадраце
🈴	згода, кітайскае, пісьмо, ухвала, японскае, ідэаграма «пагадненне» ў квадраце
🈳	кітайскае, незаняты, пісьмо, японскае, ідэаграма «свабодна» ў квадраце
㊗️	віншаванні, віншую, вітанні, кітайскае, пісьмо, японскае, ідэаграма, ідэаграма «віншаванні» ў квадраце
㊙️	кітайскае, пісьмо, сакрэт, сакрэтна, японскае, ідэаграма, ідэаграма «сакрэтна» ў крузе
🈺	адкрыта, кітайскае, пісьмо, час працы, японскае, ідэаграма «працуе» ў квадраце
🈵	заняты, поўны бак, пісьмо, сто працэнтаў, японскае, ідэаграма «поўны» ў квадраце
🔴	аб’ект, геаметрычны, круг, чырвоны, чырвоны круг
🟠	аранжавы, аранжавы круг, круг
🟡	жоўты, жоўты круг, круг
🟢	зялёны, зялёны круг, круг
🔵	аб’ект, геаметрычны, круг, сіні, сіні круг
🟣	круг, фіялетавы, фіялетавы круг
🟤	карычневы, карычневы круг, круг
⚫️	аб’ект, геаметрычны, круг, чорны, чорны круг
⚪️	аб’ект, белы, белы круг, геаметрычны, круг
🟥	квадрат, чырвоны, чырвоны квадрат
🟧	аранжавы, аранжавы квадрат, квадрат
🟨	жоўты, жоўты квадрат, квадрат
🟩	зялёны, зялёны квадрат, квадрат
🟦	квадрат, сіні, сіні квадрат
🟪	квадрат, фіялетавы, фіялетавы квадрат
🟫	карычневы, карычневы квадрат, квадрат
⬛️	аб’ект, вялікі чорны квадрат, геаметрычны, квадрат
⬜️	аб’ект, вялікі белы квадрат, геаметрычны, квадрат
◼️	аб’ект, геаметрычны, квадрат, чорны сярэдні квадрат
◻️	аб’ект, белы сярэдні квадрат, геаметрычны, квадрат
◾️	аб’ект, геаметрычны, квадрат, невялікі чорны квадрат
◽️	аб’ект, геаметрычны, квадрат, невялікі белы квадрат
▪️	аб’ект, геаметрычны, квадрат, малы чорны квадрат
▫️	аб’ект, геаметрычны, квадрат, малы белы квадрат
🔶	аб’ект, вялікі аранжавы ромб, геаметрычны, ромб
🔷	аб’ект, вялікі сіні ромб, геаметрычны, ромб, сіні
🔸	аб’ект, геаметрычны, малы аранжавы ромб, ромб
🔹	аб’ект, геаметрычны, малы сіні ромб, ромб
🔺	аб’ект, геаметрычны, чырвоны, чырвоны трохвугольнік вяршыняй уверх
🔻	аб’ект, геаметрычны, чырвоны, чырвоны трохвугольнік вяршыняй уніз
💠	аб’ект, геаметрычны, кропка, ромб, ромб з кропкай
🔘	аб’ект, выбар, геаметрычны, кнопка, пераключальнік
🔳	аб’ект, белая квадратная кнопка, белы, геаметрычны, квадрат, кнопка
🔲	аб’ект, геаметрычны, квадрат, кнопка, чорная квадратная кнопка, чорны
🏁	Формула адзін, Формула-1, гонкі, клятчасты сцяг, у клетку, фініш
🚩	гольф, лунка, поле, трохвугольны сцяг
🎌	свята, скрыжаванне, скрыжаваныя сцягі, сцяг, японскі
🏴	лунанне, сцяг, чорны, чорны сцяг развяваецца
🏳️	белы, белы сцяг развяваецца, лунанне, сцяг
🏳‍🌈	вясёлка, вясёлкавы сцяг, сцяг
🏳‍⚧	белы, блакітны, ружовы, сцяг, трансгендар, трансгендарны сцяг
🏴‍☠	Вясёлы Роджар, пірат, пірацкі сцяг, разбой, скарбы
🇦🇨	Сцяг, Сцяг: Востраў Узнясення
🇦🇩	Сцяг, Сцяг: Андора
🇦🇪	Сцяг, Сцяг: Аб’яднаныя Арабскія Эміраты
🇦🇫	Сцяг, Сцяг: Афганістан
🇦🇬	Сцяг, Сцяг: Антыгуа і Барбуда
🇦🇮	Сцяг, Сцяг: Ангілья
🇦🇱	Сцяг, Сцяг: Албанія
🇦🇲	Сцяг, Сцяг: Арменія
🇦🇴	Сцяг, Сцяг: Ангола
🇦🇶	Сцяг, Сцяг: Антарктыка
🇦🇷	Сцяг, Сцяг: Аргенціна
🇦🇸	Сцяг, Сцяг: Амерыканскае Самоа
🇦🇹	Сцяг, Сцяг: Аўстрыя
🇦🇺	Сцяг, Сцяг: Аўстралія
🇦🇼	Сцяг, Сцяг: Аруба
🇦🇽	Сцяг, Сцяг: Аландскія астравы
🇦🇿	Сцяг, Сцяг: Азербайджан
🇧🇦	Сцяг, Сцяг: Боснія і Герцагавіна
🇧🇧	Сцяг, Сцяг: Барбадас
🇧🇩	Сцяг, Сцяг: Бангладэш
🇧🇪	Сцяг, Сцяг: Бельгія
🇧🇫	Сцяг, Сцяг: Буркіна-Фасо
🇧🇬	Сцяг, Сцяг: Балгарыя
🇧🇭	Сцяг, Сцяг: Бахрэйн
🇧🇮	Сцяг, Сцяг: Бурундзі
🇧🇯	Сцяг, Сцяг: Бенін
🇧🇱	Сцяг, Сцяг: Сен-Бартэльмі
🇧🇲	Сцяг, Сцяг: Бермудскія астравы
🇧🇳	Сцяг, Сцяг: Бруней
🇧🇴	Сцяг, Сцяг: Балівія
🇧🇶	Сцяг, Сцяг: Карыбскія Нідэрланды
🇧🇷	Сцяг, Сцяг: Бразілія
🇧🇸	Сцяг, Сцяг: Багамскія астравы
🇧🇹	Сцяг, Сцяг: Бутан
🇧🇻	Сцяг, Сцяг: Востраў Бувэ
🇧🇼	Сцяг, Сцяг: Батсвана
🇧🇾	Сцяг, Сцяг: Беларусь
🇧🇿	Сцяг, Сцяг: Беліз
🇨🇦	Сцяг, Сцяг: Канада
🇨🇨	Сцяг, Сцяг: Какосавыя (Кілінг) астравы
🇨🇩	Сцяг, Сцяг: Конга (Кіншаса)
🇨🇫	Сцяг, Сцяг: Цэнтральна-Афрыканская Рэспубліка
🇨🇬	Сцяг, Сцяг: Конга - Бразавіль
🇨🇭	Сцяг, Сцяг: Швейцарыя
🇨🇮	Сцяг, Сцяг: Кот-д’Івуар
🇨🇰	Сцяг, Сцяг: Астравы Кука
🇨🇱	Сцяг, Сцяг: Чылі
🇨🇲	Сцяг, Сцяг: Камерун
🇨🇳	Сцяг, Сцяг: Кітай
🇨🇴	Сцяг, Сцяг: Калумбія
🇨🇵	Сцяг, Сцяг: Востраў Кліпертан
🇨🇷	Сцяг, Сцяг: Коста-Рыка
🇨🇺	Сцяг, Сцяг: Куба
🇨🇻	Сцяг, Сцяг: Каба-Вердэ
🇨🇼	Сцяг, Сцяг: Кюрасаа
🇨🇽	Сцяг, Сцяг: Востраў Каляд
🇨🇾	Сцяг, Сцяг: Кіпр
🇨🇿	Сцяг, Сцяг: Чэхія
🇩🇪	Сцяг, Сцяг: Германія
🇩🇬	Сцяг, Сцяг: Востраў Дыега-Гарсія
🇩🇯	Сцяг, Сцяг: Джыбуці
🇩🇰	Сцяг, Сцяг: Данія
🇩🇲	Сцяг, Сцяг: Дамініка
🇩🇴	Сцяг, Сцяг: Дамініканская Рэспубліка
🇩🇿	Сцяг, Сцяг: Алжыр
🇪🇦	Сцяг, Сцяг: Сеута і Мелілья
🇪🇨	Сцяг, Сцяг: Эквадор
🇪🇪	Сцяг, Сцяг: Эстонія
🇪🇬	Сцяг, Сцяг: Егіпет
🇪🇭	Сцяг, Сцяг: Заходняя Сахара
🇪🇷	Сцяг, Сцяг: Эрытрэя
🇪🇸	Сцяг, Сцяг: Іспанія
🇪🇹	Сцяг, Сцяг: Эфіопія
🇪🇺	Сцяг, Сцяг: Еўрапейскі саюз
🇫🇮	Сцяг, Сцяг: Фінляндыя
🇫🇯	Сцяг, Сцяг: Фіджы
🇫🇰	Сцяг, Сцяг: Фалклендскія астравы
🇫🇲	Сцяг, Сцяг: Мікранезія
🇫🇴	Сцяг, Сцяг: Фарэрскія астравы
🇫🇷	Сцяг, Сцяг: Францыя
🇬🇦	Сцяг, Сцяг: Габон
🇬🇧	Сцяг, Сцяг: Вялікабрытанія
🇬🇩	Сцяг, Сцяг: Грэнада
🇬🇪	Сцяг, Сцяг: Грузія
🇬🇫	Сцяг, Сцяг: Французская Гвіяна
🇬🇬	Сцяг, Сцяг: Гернсі
🇬🇭	Сцяг, Сцяг: Гана
🇬🇮	Сцяг, Сцяг: Гібралтар
🇬🇱	Сцяг, Сцяг: Грэнландыя
🇬🇲	Сцяг, Сцяг: Гамбія
🇬🇳	Сцяг, Сцяг: Гвінея
🇬🇵	Сцяг, Сцяг: Гвадэлупа
🇬🇶	Сцяг, Сцяг: Экватарыяльная Гвінея
🇬🇷	Сцяг, Сцяг: Грэцыя
🇬🇸	Сцяг, Сцяг: Паўднёвая Георгія і Паўднёвыя Сандвічавы астравы
🇬🇹	Сцяг, Сцяг: Гватэмала
🇬🇺	Сцяг, Сцяг: Гуам
🇬🇼	Сцяг, Сцяг: Гвінея-Бісау
🇬🇾	Сцяг, Сцяг: Гаяна
🇭🇰	Сцяг, Сцяг: Ганконг, САР (Кітай)
🇭🇲	Сцяг, Сцяг: Астравы Херд і Макдональд
🇭🇳	Сцяг, Сцяг: Гандурас
🇭🇷	Сцяг, Сцяг: Харватыя
🇭🇹	Сцяг, Сцяг: Гаіці
🇭🇺	Сцяг, Сцяг: Венгрыя
🇮🇨	Сцяг, Сцяг: Канарскія астравы
🇮🇩	Сцяг, Сцяг: Інданезія
🇮🇪	Сцяг, Сцяг: Ірландыя
🇮🇱	Сцяг, Сцяг: Ізраіль
🇮🇲	Сцяг, Сцяг: Востраў Мэн
🇮🇳	Сцяг, Сцяг: Індыя
🇮🇴	Сцяг, Сцяг: Брытанская тэрыторыя ў Індыйскім акіяне
🇮🇶	Сцяг, Сцяг: Ірак
🇮🇷	Сцяг, Сцяг: Іран
🇮🇸	Сцяг, Сцяг: Ісландыя
🇮🇹	Сцяг, Сцяг: Італія
🇯🇪	Сцяг, Сцяг: Джэрсі
🇯🇲	Сцяг, Сцяг: Ямайка
🇯🇴	Сцяг, Сцяг: Іарданія
🇯🇵	Сцяг, Сцяг: Японія
🇰🇪	Сцяг, Сцяг: Кенія
🇰🇬	Сцяг, Сцяг: Кыргызстан
🇰🇭	Сцяг, Сцяг: Камбоджа
🇰🇮	Сцяг, Сцяг: Кірыбаці
🇰🇲	Сцяг, Сцяг: Каморскія астравы
🇰🇳	Сцяг, Сцяг: Сент-Кітс і Невіс
🇰🇵	Сцяг, Сцяг: Паўночная Карэя
🇰🇷	Сцяг, Сцяг: Паўднёвая Карэя
🇰🇼	Сцяг, Сцяг: Кувейт
🇰🇾	Сцяг, Сцяг: Кайманавы астравы
🇰🇿	Сцяг, Сцяг: Казахстан
🇱🇦	Сцяг, Сцяг: Лаос
🇱🇧	Сцяг, Сцяг: Ліван
🇱🇨	Сцяг, Сцяг: Сент-Люсія
🇱🇮	Сцяг, Сцяг: Ліхтэнштэйн
🇱🇰	Сцяг, Сцяг: Шры-Ланка
🇱🇷	Сцяг, Сцяг: Ліберыя
🇱🇸	Сцяг, Сцяг: Лесота
🇱🇹	Сцяг, Сцяг: Літва
🇱🇺	Сцяг, Сцяг: Люксембург
