🦵🏻	gjymtyrë, këmbë, këmbë: nuancë lëkure e çelët, nuancë lëkure e çelët, shkelm
🚵‍♂	biçikletë, burrë, burrë që bën çiklizëm malor, mal, çiklist
🚵‍♀	biçikletë, grua, grua që bën çiklizëm malor, mal, çiklist
🏎	garim, garë, makinë, makinë garash
🏍	garim, garë, motoçikletë
🤸	gjimnastikë, kapërdimje, person, sport
🤸‍♂	burrë, burrë që bën kapërdimje, gjimnastikë, kapërdimje, sport
🤸‍♀	gjimnastikë, grua, grua që bën kapërdimje, kapërdimje, sport
🤼	mundje, mundës, person, sport
🤼‍♂	burra që bëjnë mundje, burrë, mundje, sport
🤼‍♀	gra që bëjnë mundje, grua, mundje, sport
🤽	person, sport, vaterpolo
🤽‍♂	burra që luajnë vaterpolo, burrë, sport, vaterpolo
🤽‍♀	gra që luajnë vaterpolo, grua, sport, vaterpolo
🤾	hendboll, person, sport, top
🤾‍♂	burra që luajnë hendboll, burrë, hendboll, sport
🤾‍♀	gra që luajnë hendboll, grua, hendboll, sport
🤹	aftësi, baraspeshim, shkathtësi, zhongler, zhonglim
🤹‍♂	burrë, burrë që zhonglon, sport, zhonglim
🤹‍♀	grua, grua që zhonglon, sport, zhonglim
👫	burrë, burrë dhe grua që kapin duart, dorë, grua, çift
👬	binjakë, dy burra të kapur për duarsh, zodiak, çift
👭	dorë, dy gra të kapura për duarsh, grua, mbaj, çift
💏	puthje, romancë, çift
💑	dashuri, romancë, zemër, çift, çift me zemër
👪	baba, familje, fëmijë, mama, nënë
🤳	foto vetjake, kamerë, sellfi, telefon, vetjake
💪	i mbledhur, muskul, muskul dykrerësh, muskuli dykrerësh i mbledhur
🦵	gjymtyrë, këmbë, shkelm
🦶	shkelm, shkelmim, shputë
👈	dorë, gisht, gishti tregues që tregon majtas, kurrizi i dorës
👉	dorë, gisht, gisht tregues i drejtuar djathtas, kurrizi i dorës
☝	dorë, gisht, gisht tregues që tregon lart, tregues
👆	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lartë, tregoj
🖕	dorë, gisht, gishti i mesit, trup
👇	dorë, gisht, gisht tregues i drejtuar poshtë, tregoj
✌	dora e fitores, dorë, fitore, trup, v
🤞	dorë, fat, gisht, gishta të kryqëzuar, kryqëzim
🖖	dorë, përshëndetja e vulkanit, spock, vulkan
🤘	dorë, gisht, rok, shenja e brirëve
🤙	dorë, dorë me shenjën “më telefono”, telefono
🖐	dorë, dorë e ngritur me gishtat të hapur, e hapur, trup
✋	dorë, dorë e ngritur, trup
👌	dorë, në rregull, ok, trup, «ok» me dorë
👍	+1, dorë, gisht i madh, gishti i madh lart
👎	-1, dorë, gisht i madh, gishti i madh poshtë, poshtë
✊	dorë, grusht, grusht i ngritur, grushtoj, i mbledhur
👊	dorë, grusht, grusht që vjen, grushtoj, i mbledhur
🤛	grusht, grusht i majtë në anën e përparme, i majtë
🤜	grusht, grusht i djathtë në anën e përparme, i djathtë
🤚	dorë e ngritur nga ana e kurrizit, i ngritur, kurriz dore
👋	dorë, dorë që tundet, që tundet, trup, tund
🤟	"Të dua", dorë, gjesti "të dua"
✍	dorë, dorë që shkruan, shkruaj, trup
👏	dorë, duar që duartrokasin, duartrokas, trup
👐	dorë, duar të hapura, e hapur, hap, trup
🙌	festim, gjest, njeri që ngre duart, urra
🤲	besimtar, falje, lutje, pëllëmbë të bashkuara
🙏	duar të mbledhura, faleminderit, gjest, lutje, përkulem
🤝	dorë, marrëveshje, shtrëngim duarsh, takim, tundje
💅	kozmetikë, kujdes, lyej, manikyr, thua
👂	trup, vesh
👃	hundë, trup
👣	gjurmë, gjurmë këmbe, gjurmë këmbësh, trup, veshje
👀	fytyrë, sy, sytë, trup
👁	sy, trup
👁‍🗨	dëshmitar, flluskë e të folurit, sy, sy në flluskën e të folurit
🧠	i zgjuar, inteligjent, tru
🦴	eshtër, skelet
🦷	dentist, dhëmb
👅	gjuhë, trup
👄	buzë, gojë, trup
🦰	flokë të kuqe, flokë të kuqërremtë, kokëkuq, kuqo
🦱	afro, flokë kaçurrele, kaçurrele, rrica
🦳	flokë, flokë të bardha, gri, i moshuar, thinja, të bardha
🦲	kimo-terapi, kokërruar, pa flokë, qeros
💋	buzë, puthje, romancë, shenja e puthjes
💘	eros, romancë, shigjetë, zemër, zemër me shigjetë
💝	e dashur, fjongo, i dashur, zemër, zemër me fjongo
💖	i emocionuar, shkëlqej, zemër, zemër që shkëlqen
💗	i emocionuar, puls, që rritet, zemër, zemër që rritet
💓	pulsim, rrahje, rrahje zemre, zemër, zemër që rreh
💞	që rrotullohen, rrotulluese, zemra që rrotullohen, zemër
💕	dashuri, dy zemra, zemër
💌	dashuri, letër, letër dashurie, romancë, zemër
❣	pikësim, pikëçuditje, shenjë, zbukurim i trashë me pikëçuditje me zemër, zemër
💔	e thyer, i thyer, thyej, zemër, zemër e thyer
❤	zemër, zemër e kuqe
🧡	portokalli, zemër ngjyrë portokalli
💛	e verdhë, zemër, zemër e verdhë
💚	jeshile, zemër, zemër jeshile
💙	blu, zemër, zemër blu
💜	e purpurt, vjollcë, zemër, zemër ngjyrë vjollcë
🖤	e zezë, i keq, ligësi, zemër, zemër e zezë
💟	dekorim me zemër, zemër
💤	fle, gjumë, vizatim komik, zzz
💢	i inatosur, i zemëruar, simboli i zemërimit, vizatim komik
💣	bombë, vizatim komik
💥	bum, përplasje, vizatim komik
💦	djersë, pika djerse, spërkatje, vizatim komik
💨	i vrullshëm, vizatim komik, vrapim
💫	i trullosur, vizatim komik, yll
💬	balonë, dialog, flluskë, flluskë e të folurit, vizatim komik
🗨	dialog, flluskë e të folurit majtas, të folurit
🗯	balonë, flluskë, flluskë zemërimi djathtas, i inatosur, i zemëruar
💭	balonë, flluskë, flluskë mendimi, mendim, vizatim komik
🕳	vrimë
👓	sy, syze, veshje
🕶	i errët, sy, syze, syze dielli
🥽	mbrojtëse për sytë, syze mbrojtëse, syze notimi, syze saldimi
🥼	doktor, eksperiment, pardesy laboratori, shkencëtar
👔	kravatë, veshje
👕	bluzë, këmishë, veshje
👖	pantallona, veshje, xhinse
🧣	qafë, shall
🧤	dorashka, dorë
🧥	pallto, xhaketë
🧦	çorape, çorapë
👗	fustan, veshje
👘	kimono, veshje
👙	bikini, not, rroba banje, veshje
👚	femër, rroba femrash, veshje
👛	kuletë, monedhë, veshje
👜	veshje, çantë, çantë dore
👝	veshje, çantë
🛍	blerje, dyqan, hotel, qese, qese dyqani
🎒	shkollë, çantë, çantë shkolle, çantë shpine
👞	burrë, këpucë, këpucë burrash, veshje
👟	atlete, atletike, këpucë, veshje
🥾	ekskursion, kamp, këpucë, këpucë ekskursioni, çantë shpine
🥿	heqël, këpucë baleti, këpucë e sheshtë, pantofël
👠	grua, këpucë, këpucë me takë të lartë, takë, veshje
👡	femër, këpucë, sandale, sandale femrash, veshje
👢	femër, këpucë, veshje, çizme, çizme femrash
👑	kurorë, mbret, mbretëreshë, veshje
👒	femër, kapelë, kapelë femrash, veshje
🎩	cilindër, kapelë, kapelë cilindrike, lart, veshje
🎓	diplomim, festë, kapelë, kapelë diplomimi
🧢	kapelë "sqep", kapelë bejsbolli
⛑	helmetë, helmetë me kryq të bardhë, kapelë, kryq, ndihmë
📿	fe, lutje, rruaza, rruzare, tespihe
💄	buzëkuq, kozmetikë, makijazh
💍	diamant, romancë, unazë
💎	diamant, gur, gur i çmuar, i çmuar, romancë
🐵	fytyrë, fytyrë majmuni, majmun
🐒	majmun
🦍	gorillë, kafshë
🐶	fytyrë, fytyrë qeni, kafshëz, qen
🐕	kafshëz, qen
🐩	pudël, qen
🐺	fytyrë, fytyrë ujku, ujk
🦊	dhelpër, fytyrë, fytyrë dhelpre, kafshë
🦝	kureshtar, rakun, tinëzar
🐱	fytyrë, fytyrë maceje, kafshë shtëpiake, mace
🐈	kafshë shtëpiake, mace
🦁	fytyrë, fytyrë luani, luan, luani, zodiak
🐯	fytyrë, fytyrë tigri, tigër
🐅	tigër
🐆	leopard
🐴	fytyrë, fytyrë kali, kalë
🐎	garim, garë, kalë
🦄	fytyrë, fytyrë njëbrirëshi, njëbrirësh
🦓	rripa, shirita, zebër
🦌	dre, kafshë
🐮	fytyrë, fytyrë lope, lopë
🐂	dem, demi, zodiak
🐃	buall, buall indian, ujë
🐄	lopë
🐷	derr, fytyrë, fytyrë derri
🐖	derr, dosë
🐗	derr, derr i egër
🐽	derr, fytyrë, hundë, hundë derri
🐏	dash, dashi, dele, zodiak
🐑	dele
🐐	bricjapi, dhi, zodiak
🐪	gamile, gungë
🐫	baktriane, gamile, gamile me dy gunga, gungë
🦙	lamë, lesh
🦒	gjirafë, lara, njolla
🐘	elefant
🦏	kafshë, rinoqeront
🦛	hipopotam, kafshë gjigante
🐭	fytyrë, fytyrë miu, mi
🐁	mi shtëpiak
🐀	mi
🐹	brejtës, fytyrë, fytyrë brejtësi, kafshëz
🐰	fytyrë, fytyrë lepuri, kafshëz, lepur, lepurush
🐇	kafshëz, lepur, lepurush
🐿	ketër
🦔	gjembaç, iriq
🦇	kafshë, lakuriq nate, vampir
🐻	ari, fytyrë, fytyrë ariu
🐨	ari, koalë
🐼	fytyrë, fytyrë pande, pandë
🦘	Australi, kafshë që kërcen, kangur, sisorë
🦡	baldosë, vjedull
🐾	gjurmë, gjurmë putrash, këmbë, putër
🦃	gjel deti, shpend
🐔	pulë, shpend
🐓	gjel, shpend
🐣	pulë, zog, zog në çelje, çel, çelje
🐤	bebe, zog, zog pule
🐥	pulë, zog, zog pule përballë
🐦	shpend, zog
🐧	pinguin, shpend
🕊	fluturoj, paqe, pëllumb, zog
🦅	shpend, shqiponjë
🦆	rosak, zog
🦢	mjellmë, shpend shtegtues
🦉	buf, urtësi, zog
🦚	mburravec, pallua, shpend
🦜	llafazan, papagall, shpend, zog piratësh
🐸	bretkosë, fytyrë, fytyrë bretkose
🐊	krokodil
🐢	breshkë
🦎	hardhucë, zvarranik
🐍	gjarpër, mbajtës, ofiuku, zodiak
🐲	dragua, fytyrë, fytyrë dragoi, përrallë
🐉	dragua, përrallë
🦕	brakiozaur, dinozaur me 4 këmbë, sauropod
🦖	dinozaur me 2 këmbë, tiranozaur-reks
🐳	balenë, balenë që hedh ujë, fytyrë, hedh ujë
🐋	balenë
🐬	delfin, pendë notimi
🐟	peshk, peshqit, zodiak
🐠	peshk, peshk tropikal, tropikal
🐡	peshk, peshk tullumbace
🦈	peshk, peshkaqen
🐙	oktapod
🐚	guaskë, guaskë spirale, spirale
🦀	gaforre, zodiak
🦞	karavidhe, ushqim deti
🦐	butak, i vogël, karkalec deti, ushqim
🦑	kallamar, molusk, ushqim
🐌	kërmill
🦋	e bukur, flutur, insekt
🐛	insekt, shumëkëmbësh
🐜	insekt, milingonë
🐝	bletë, insekt
🐞	brumbull, insekt, mollëkuqe
🦗	bulkth, karkalec, karkalec bari
🕷	insekt, merimangë
🕸	merimangë, rrjetë, rrjetë merimange
🦂	akrep, akrepi, zodiak
🦟	ethe, insekt, mushkonjë, sëmundje, virus
🦠	amebë, bakter, mikrob, virus
💐	bimë, buqetë, lule, romancë
🌸	lule, lule qershie, lulëzim, pemë, qershi
💮	lule, lule e bardhë
🏵	bimë, rozetë
🌹	bimë, lule, trëndafil
🥀	lule, lule e vyshkur, vyshkje
🌺	bimë, hibisk, lule
🌻	bimë, diell, lule, luledielli
🌼	bimë, lule
🌷	bimë, lule, tulipan
🌱	bimë, e re, filiz
🌲	bimë, gjelbërim i përjetshëm, pemë
🌳	bimë, gjetherënëse, pemë, pemë gjetherënëse, rënie
🌴	bimë, palmë, pemë
🌵	bimë, kaktus
🌾	bimë, kalli, kapule orizi, oriz
🌿	bimë, erëza, gjethe
☘	bimë, tërfil
🍀	4, gjethe, tërfil, tërfil me katër fletë
🍁	bimë, gjethe, gjethe panje, panjë, që bie
🍂	bimë, gjethe, gjethe e rënë, që bie
🍃	erë, fluturoj, gjethe, gjethe që fluturon në erë
🍇	bimë, frutë, rrush
🍈	bimë, frutë, pjepër
🍉	bimë, frutë, shalqi
🍊	bimë, frutë, mandarinë, portokall
🍋	agrume, bimë, frutë, limon
🍌	banane, frutë, pemë
🍍	ananas, bimë, frutë
🥭	bimë, frutë, frutë tropikale, mango
🍎	bimë, e kuqe, frutë, mollë, mollë e kuqe
🍏	bimë, frutë, jeshile, mollë, mollë jeshile
🍐	bimë, dardhë, frutë
🍑	bimë, frutë, pjeshkë
🍒	frutë, pemë, qershi
🍓	bimë, frutë, kokërr, luleshtrydhe
🥝	frutë, kivi, ushqim
🍅	bimë, domate, perime
🥥	arrë kokosi, palmë, pina-koladë
🥑	avokado, frutë, ushqim
🍆	bimë, patëllxhan, perime
🥔	patate, perime, ushqim
🥕	karotë, perime, ushqim
🌽	bimë, kalli, kalli misri, misër
🌶	bimë, djegës, spec, spec djegës
🥒	kastravec, perime, turshi, ushqim
🥬	lakër, marule, sallatë
🥦	brokoli, lakër e egër
🍄	kërpudhë
🥜	kikirik, perime, ushqim
🌰	lajthi, pemë
🍞	bukë, copë, çyrek
🥐	briosh, franceze, kroasant, rulon në formë gjysmëhëne
🥖	bagetë, bukë, franceze, ushqim
🥨	brumë i përdredhur i pjekur, gjevrek, gjevrek i përdredhur, kulaç i përdredhur
🥯	furrë, gjevrek, kulaç
🥞	krepa, palapeta, petulla, ushqim
🧀	copë djathi, djathë
🍖	kockë, mish, mish me kockë
🍗	kockë, kofshë, kofshë pule, këmbë, pulë
🥩	biftek, copë mishi, mish derri, mish qengji, mish tul
🥓	mish, pastërma, proshutë, ushqim
🍔	burger, hamburger
🍟	patate, patate të skuqura, të skuqura
🍕	djathtë, fetë, pica
🌭	hot-dog, salsiçe
🥪	bukë, sandviç
🌮	tako, ushqim meksikan
🌯	burrito, ushqim meksikan i mbështjellë
🥙	bukë e mbushur, giro, palapetë e mbushur, ushqim
🥚	ushqim, vezë
🍳	gatim, skuqje, tigan, vezë
🥘	enë, tavë gjelle, tigan, tigan me ushqim, ushqim
🍲	kupë, kupë me ushqime, çomlek
🥣	drithëra, tas me lugë, vakti i mëngjesit
🥗	e gjelbër, perime, sallatë, sallatë e gjelbër, ushqime
🍿	kokoshka
🧂	erëza, kripë, përzierje
🥫	kanaçe, kuti konserve, ushqim i konservuar
🍱	bento, kuti, kuti bento
🍘	biskotë, biskotë me oriz, oriz
🍙	japonez, oriz, top, topth orizi
🍚	i gatuar, oriz, oriz i gatuar
🍛	mish me erëza, oriz, oriz me mish me erëza
🍜	kupë, kupë me avull, makarona, me avull, ramen
🍝	makarona, spageti
🍠	e pjekur, e ëmbël, patate, patate e ëmbël e pjekur
🍢	fruta deti, hell, oden, qebap, shkop
🍣	rulon orizi me filetë peshku, sushi
🍤	i skuqur, karkalec, karkalec deti, karkalec i skuqur, tempura
🍥	brumë, kroketë, kroketë me peshk me spirale, peshk, spirale
🥮	festival, kek festiv, kek-hënë, vjeshtë
🍡	dango, japoneze, shkop, ëmbëlsirë
🥟	empanada, pieroxhi, top brumi i mbushur, xhajoza
🥠	biskotë fati, profeci
🥡	kuti kartoni për marrje ushqimi me vete, kuti për ushqim me vete
🍦	akullore, akullore e butë, krem, ëmbëlsirë
🍧	akull, akull i grirë, i grirë, ëmbëlsirë
🍨	akull, akullore, e ëmbël, krem, ëmbëlsirë
🍩	e ëmbël, petull, petull e ëmbël, ëmbëlsirë
🍪	biskotë, e ëmbël, ëmbëlsirë
🎂	festim, kek, tortë, tortë ditëlindjeje, ëmbëlsirë
🍰	brumë, kek i shkrifët, pastë, ëmbëlsirë
🧁	furrë, kek, kek i vogël, ëmbëlsirë
🥧	brumë, byrek, petë e mbushur
🍫	copë, e ëmbël, çokollatë, ëmbëlsirë
🍬	e ëmbël, ëmbëlsirë
🍭	e ëmbël, karamele, lëpirëse, ëmbëlsirë
🍮	e ëmbël, krem-karamel, puding, ëmbëlsirë
🍯	e ëmbël, i ëmbël, kupë, mjaltë, vazo me mjaltë
🍼	bebe, pije, qumësht, shishe, shishe për bebe
🥛	gotë, gotë me qumësht, pije, qumësht
☕	e nxehtë, kafe, pije e nxehtë, çaj
🍵	filxhan çaji, filxhan çaji pa bisht, pije, çaj
🍶	bar, filxhan, pije, sake, shishe
🍾	pije, shishe, shishe me tapë që kërcet, tapë
🍷	gotë, gotë vere, pije, verë
🍸	bar, gotë, gotë kokteji, koktej, pije
🍹	bar, pi, pije, pije tropikale, tropikale
🍺	bar, birrë, krikëll, krikëll birre, pije
🍻	birrë, kriklla birre që trokiten, krikëll, pije
🥂	festë, gotë, pije, trokitje, trokitje gotash
🥃	gotë, pije, uiski, ujë
🥤	gotë me pipë, lëng, pije freskuese
🥢	gatim, ngrënie, shkopinj, shkopinj (për të ngrënë)
🍽	gatim, pirun, pirun dhe thikë me pjatë, pjatë, thikë
🍴	gatim, pirun, pirun dhe thikë, thikë
🥄	artikull kuzhine, lugë, takëm
🔪	armë, gatim, thikë, thikë kuzhine, vegël
🏺	amforë, armë, ujori, vegël, zodiak
🌍	Afrikë, Bota, Evropa, Globi, globi që tregon Evropën dhe Afrikën
🌎	Amerikat, Bota, Globi, Toka, globi që tregon Amerikat
🌏	Australi, Azi, Bota, globi që tregon Azinë dhe Australinë
🌐	Bota, Globi, Toka, globi me meridianë, meridianë
🗺	botë, harta e botës, hartë
🗾	harta e Japonisë, hartë, japoni
🧭	busull, fushë magnetike, orientim
🏔	borë, ftohtë, mal, mal i mbuluar me borë në majë
⛰	mal
🌋	mal, moti, shpërthim, vullkan
🗻	Fuxhi, mal, mali i Fuxhit
🏕	kamp
🏖	plazh, plazh me çadër, çadër
🏜	shkretëtirë
🏝	ishull, ishull shkretëtirë, shkretëtirë
🏞	park, park kombëtar
🏟	stadium
🏛	klasik, klasike, ndërtesë, ndërtesë klasike
🏗	ndërtesë, ndërtim, ndërtim ndërtese
🧱	baltë, llaç, mur, tulla, tullë
🏘	ndërtesë, shtëpi, shtëpitë
🏚	e braktisur, ndërtesë, shtëpi, shtëpi e braktisur
🏠	ndërtesë, shtëpi
🏡	kopsht, ndërtesë, shtëpi, shtëpi me kopsht
🏢	ndërtesë, ndërtesë zyrash
🏣	japonez, japoneze, ndërtesë, postë, zyrë postare japoneze
🏤	evropian, evropiane, ndërtesë, postë, zyrë postare
🏥	bar, doktor, ilaç, ndërtesë, spital
🏦	bankë, ndërtesë
🏨	hotel, ndërtesë
🏩	dashuri, hotel, hotel për dashuri, ndërtesë
🏪	dyqan, i vogël, market, minimarket, ndërtesë
🏫	ndërtesë, shkollë
🏬	dyqan, dyqan me shumë njësi, ndërtesë, njësi
🏭	fabrikë, ndërtesë
🏯	japonez, japoneze, kështjellë, kështjellë japoneze, ndërtesë
🏰	evropian, evropiane, kështjellë, ndërtesë
💒	dasmë, kishëz, romancë
🗼	Tokio, kullë, kullë në Tokio
🗽	Statuja e Lirisë, liri, statujë
⛪	e krishterë, fe, kishë, kryq, ndërtesë
🕌	fe, islam, mysliman, xhami
🕍	fe, hebraik, hebre, sinagogë, tempull
⛩	faltore, faltore shinto, fe, shinto
🕋	fe, islam, mysliman, qabeja
⛲	shatërvan
⛺	kamp, tendë
🌁	me mjegull, mjegull, moti
🌃	moti, natë, natë me yje, yll
🏙	ndërtesë, panoramë qyteti, qytet
🌄	diell, lindja e diellit mbi male, lindje dielli, mëngjes
🌅	diell, lindja e diellit, moti, mëngjes
🌆	diell, mbrëmje, ndërtesë, panoramë, panoramë qyteti në muzg
🌇	diell, moti, muzg, ndërtesë, perëndim dielli
🌉	mot, natë, urë, urë natën
♨	burim, i nxehtë, llixhë, me avull
🌌	hapësirë, moti, rruga e qumështit
🎠	kalë, kalë në karusel, karusel
🎡	park lojërash, rrotullame
🎢	park lojërash, tren lojërash, tren lojërash me valëzim
💈	berber, prerje flokësh, shenja e berberit, shenjë
🎪	cirk, tendë, tendë cirku
🚂	avull, hekurudhë, lokomotivë, mjet, tren
🚃	elektrik, tramvaj, tren, vagon
🚄	hekurudhë, shinkansen, shpejtësi, tren, tren me shpejtësi të madhe
🚅	hekurudhë, plumb, shinkansen, shpejtësi, tren me shpejtësi të madhe me formë plumbi, tren-plumb
🚆	hekurudhë, mjet, tren
🚇	metro, tunel
🚈	hekurudhë, metro e lehtë, mjet
🚉	hekurudhë, mjet, stacion, tren
🚊	filobus, mjet, tramvaj
🚝	hekurudhë me një shinë, mjet udhëtimi
🚞	hekurudhë, hekurudhë në mal, makinë, mal, mjet
🚋	filobus, makinë, mjet, tramvaj, vagon tramvaji
🚌	autobus, mjet udhëtimi
🚍	autobus, autobus që vjen, mjet, në ardhje, që vjen
🚎	autobus, filobus, mjet, tramvaj
🚐	autobus, autobus i vogël, mjet
🚑	ambulancë, mjet udhëtimi
🚒	kamion, mjet, motor, zjarr, zjarrfikëse
🚓	makinë, makinë policie, mjet, patrullë, polici
🚔	makinë, makinë policie që vjen, mjet, në ardhje, polici
🚕	mjet udhëtimi, taksi
🚖	mjet, në ardhje, që vjen, taksi, taksi që vjen
🚗	automobil, makinë, mjet udhëtimi
🚘	automobil, automobil që vjen, makinë, mjet, në ardhje
🚙	kamp, makinë sportive, makinë sportive për kamp, piknik
🚚	kamion, kamion transporti, mjet udhëtimi, transport
🚛	gjysmë, kamion, kamion me rimorkio, mjet udhëtimi, rimorkio
🚜	mjet udhëtimi, traktor
🚲	biçikletë, mjet udhëtimi
🛴	ballëz dyrrotëshe, shtyrje me këmbë
🛹	dërrasë, dërrasë rrëshqitëse, mjet
🛵	motor, motoçikletë, skuter
🚏	autobus, stacion, stacion autobusi
🛣	autostradë, rrugë
🛤	hekurudhë, shina, tren
🛢	fuçi, fuçi karburanti, naftë
⛽	benzinë, karburant, pompë karburanti, stacion
🚨	dritat sinjalizuese të policisë, dritë, dritë sinjalizuese e policisë, rrotulluese, sinjal
🚥	dritë, semafor, semafor horizontal, sinjal, trafik
🚦	dritë, semafor vertikal, sinjal, trafik
🛑	ndalo, shenja “ndalo”, shenjë, tetëkëndor
🚧	barrierë, ndërtim
⚓	anije, spirancë, vegël
⛵	det, jaht, turistike, varkë, varkë me vela
🛶	kaike, kanoe, lundër, varkë
🚤	barkë, mjet lundrimi, motobarkë e shpejtë, varkë
🛳	anije, anije udhëtarësh, mjet lundrimi, udhëtar
⛴	traget, udhëtar, varkë
🛥	barkë, mjet lundrimi, motobarkë, varkë
🚢	anije, udhëtar, varkë
✈	aeroplan, fluturake, mjet fluturimi
🛩	aeroplan, aeroplan i vogël, mjet fluturimi
🛫	aeroplan, mjet fluturimi, nisje, nisje aeroplani, regjistrim
🛬	aeroplan, mbërritje, mbërritje aeroplani, mjet fluturimi, në ulje
💺	karrige, ndenjëse
🚁	helikopter, mjet udhëtimi
🚟	hekurudhë, hekurudhë me varje, mjet udhëtimi, varje
🚠	kabllo, mal, mjet udhëtimi, teleferik, teleferik në mal
🚡	ajror, gondolë, kabllo, mjet udhëtimi, teleferik
🛰	hapësirë, mjet komunikimi, satelit
🚀	hapësirë, mjet komunikimi, raketë
🛸	UFO, disk fluturues, objekt i paidentifikuar fluturues
🛎	hotel, zile, zile shërbimi
🧳	bagazh, paketim, udhëtim, valixhe
⌛	kohëmatës, orë me rërë, rërë
⏳	kohëmatës, orë, orë me rërë që rrjedh, rërë
⌚	orë
⏰	alarm, orë, orë me zile
⏱	kronometër, orë
⏲	kohëmatës, orë
🕰	orë, orë oxhaku
🕛	00, 12, 12:00, dymbëdhjetë, ora dymbëdhjetë, orë
🕧	12, 12:30, 30, dymbëdhjetë, dymbëdhjetë e gjysmë
🕐	00, 1, 1:00, një, ora një, orë
🕜	1, 1:30, 30, gjysmë, një e gjysmë
🕑	2:00, dy, ora, ora dy, orë
🕝	2, 2:30, 30, dy, dy e gjysmë
🕒	00, 3, 3:00, ora tre, orë, tre
🕞	3:30, orë, tre, tre e gjysmë
🕓	00, 4, 4:00, katër, ora katër, orë
🕟	4:30, gjysmë, katër, katër e gjysmë, orë
🕔	00, 5, 5:00, ora pesë, orë, pesë
🕠	5:30, orë, pesë, pesë e gjysmë, tridhjetë
🕕	00, 6, 6:00, gjashtë, ora gjashtë, orë
🕡	6:30, gjashtë, gjashtë e gjysmë, gjysmë, orë
🕖	00, 7, 7:00, ora shtatë, orë, shtatë
🕢	7:30, gjysmë, orë, shtatë, shtatë e gjysmë
🕗	00, 8, 8:00, ora tetë, orë, tetë
🕣	8:30, gjysmë, orë, tetë, tetë e gjysmë
🕘	00, 9, 9:00, nëntë, ora nëntë, orë
🕤	9:30, gjysmë, nëntë, nëntë e gjysmë, orë
🕙	00, 10, 10:00, dhjetë, ora dhjetë, orë
🕥	10:30, dhjetë, dhjetë e gjysmë, gjysmë, orë
🕚	00, 11, 11:00, njëmbëdhjetë, ora njëmbëdhjetë, orë
🕦	11:30, njëmbëdhjetë, njëmbëdhjetë e gjysmë, orë, tridhjetë
🌑	e errët, hapësirë, hëna e re, hënë, moti
🌒	hapësirë, hënë, hënë e re më pak se gjysma, moti
🌓	hapësirë, hëna e çerekut të parë, hënë, moti, çerek
🌔	hapësirë, hënë, hënë e re më shumë se gjysma, moti
🌕	e plotë, hapësirë, hënë, hënë e plotë, moti
🌖	e ngrënë, hapësirë, hënë, hënë e ngrënë më shumë se gjysma, moti
🌗	hapësirë, hëna e çerekut të fundit, hënë, moti, çerek
🌘	e ngrënë, hapësirë, hënë, hënë e ngrënë më pak se gjysma, moti
🌙	e ngrënë, hapësirë, hënë, hënë e ngrënë, moti
🌚	fytyra e hënës së re, fytyrë, hapësirë, hënë, moti
🌛	fytyrë, hapësirë, hëna e çerekut të parë me fytyrë, hënë, çerek
🌜	fytyrë, hapësirë, hëna e çerekut të fundit me fytyrë, hënë, çerek
🌡	mot, termometër
☀	diell, i ndritshëm, me diell, moti, rreze
🌝	e ndritshme, e plotë, fytyrë, hënë, hënë e plotë me fytyrë
🌞	diell, diell me fytyrë, fytyrë, hapësirë, i ndritshëm
⭐	yll, yll mesatar i bardhë
🌟	i ndritshëm, shkëlqim, xixëllimë, yll, yll që shkëlqen
🌠	hapësirë, që bie, që këputet, yll, yll që bie
☁	moti, re
⛅	diell, diell pas reve, moti, re
⛈	bubullimë, moti, re, re me vetëtimë dhe shi, shi
🌤	diell, diell pas reve të vogla, moti, re
🌥	diell, diell pas reve të mëdha, moti, re
🌦	diell, diell pas reve me shi, moti, re, shi
🌧	moti, re, re me shi, shi
🌨	borë, ftohtë, moti, re, re me borë
🌩	moti, re, re me vetëtimë, vetëtimë
🌪	mot, re, tornado, vorbull ere
🌫	mjegull, moti, re
🌬	erë, fryj, fytyrë, fytyrë në erë, moti
🌀	ciklon, marramendës, moti, tajfun, tornado
🌈	moti, shi, ylber
🌂	moti, shi, veshje, çadër, çadër e mbyllur
☂	moti, shi, veshje, çadër
☔	moti, pikë, shi, çadër, çadër me pika shiu
⛱	diell, moti, shi, çadër, çadër në tokë
⚡	elektricitet, rrezik, tension i lartë, vetëtimë, voltazh
❄	borë, flokë bore, ftohtë, moti
☃	borë, ftohtë, moti, njeri prej bore
⛄	borë, ftohtë, moti, njeri bore, njeri prej bore pa borë
☄	hapësirë, kometë
🔥	flakë, vegël, zjarr
💧	djersë, ftohtë, moti, pikë, pikëz
🌊	dallgë, dallgë uji, moti, oqean, ujë
🎃	fener, festë, halloween, kungull, kungulli i Halloween, kungulli i Halloween-it
🎄	festim, festë, krishtlindje, pemë, pemë krishtlindjeje
🎆	festim, festë, fishekzjarrë
🎇	festim, festë, fishekzjarrë, xixëllimë
🧨	dinamit, eksploziv, fishekzjarr
✨	xixëllima, xixëllimë, yll
🎈	festim, festë, tullumbace
🎉	festim, festë, fishek, fishek feste
🎊	festim, festë, konfeti, top, top me konfetë
🎋	banderolë, festim, festë, japoneze, pemë tanabata
🎍	bambu, bimë, dekorim pishe, pishë
