🏻	ผิวโทน 1–2, โทนผิวสีขาว, โทนสีผิว
👆️	ขึ้น, ชี้, นิ้ว, มือ, หลังมือนิ้วชี้ขึ้น
👇️	ชี้, นิ้ว, นิ้วชี้ลง, มือ, ลง
👈️	ชี้, ซ้าย, นิ้ว, นิ้วชี้ทางซ้าย, มือ
👉️	ขวา, ชี้, นิ้ว, นิ้วชี้ทางขวา, มือ
👍️	ชูนิ้วโป้งขึ้น, นิ้ว, มือ, อวัยวะ
👎️	คว่ำนิ้วโป้งลง, นิ้ว, มือ, อวัยวะ
👓️	ตา, แว่นตา, แว่นสายตา
👪️	คน, ครอบครัว, พ่อ, เด็ก, แม่
👽️	มนุษย์ต่างดาว, ยูเอฟโอ, หน้า, เอเลี่ยน, แฟนตาซี
💣️	ระเบิด, โกรธมาก
💰️	ถุงเงิน, เงิน
💳️	บัตร, บัตรเครดิต
💻️	คอมพิวเตอร์, พีซี, แล็ปท็อป
💿️	ซีดี, ดีวีดี, บลูเรย์
📋️	คลิปบอร์ด
📚️	จด, หนังสือ
📟️	เพจเจอร์
📤️	กล่องขาออก, จดหมายออก
📥️	กล่องขาเข้า, จดหมายเข้า
📦️	กล่อง, พัสดุ
📪️	กล่องจดหมาย, กล่องจดหมายปิดคว่ำธง
📫️	กล่องจดหมาย, กล่องจดหมายปิดยกธง
📬️	กล่องจดหมาย, กล่องจดหมายมีจดหมาย, จดหมาย, เปิด
📭️	กล่องจดหมาย, กล่องจดหมายว่าง
📷️	กล้อง, วิดีโอ
📹️	กล้อง, กล้องวิดีโอ, วิดีโอ
📺️	ทีวี, โทรทัศน์
📻️	วิทยุ, เพลง
📽️	ภาพยนตร์, วิดีโอ, หนัง, เครื่องฉาย, เครื่องฉายหนัง
🔈️	ลำโพง, ลำโพงเสียงเบา
🔒️	ปิด, ล็อก, ล็อกปิด
🔓️	ปลดล็อก, ล็อกเปิด, ล็็อก, เปิด
🕉️	ศาสนา, ฮินดู, เครื่องหมายโอม
🕊️	นก, นกพิราบขาว, บิน, สันติภาพ
🕐️	นาฬิกา, หนึ่งนาฬิกา
🕑️	นาฬิกา, สองนาฬิกา
🕒️	นาฬิกา, สามนาฬิกา
🕓️	นาฬิกา, สี่นาฬิกา
🕔️	นาฬิกา, ห้านาฬิกา
🕕️	นาฬิกา, หกนาฬิกา
🕖️	นาฬิกา, เจ็ดนาฬิกา
🕗️	นาฬิกา, แปดนาฬิกา
🕘️	นาฬิกา, เก้านาฬิกา
🕙️	นาฬิกา, สิบนาฬิกา
🕚️	นาฬิกา, สิบเอ็ดนาฬิกา
🕛️	นาฬิกา, สิบสองนาฬิกา
🕯️	เทียน, แสง
🕰️	นาฬิกา, นาฬิกาบนหิ้ง
🕳️	หลุม
🕴️	ชาย, ชายใส่สูทลอยได้, ธุรกิจ, ลอย, สูท
🕵️	นักสืบ, แกะรอย
🕶️	ตา, แดด, แว่นกันแดด, แว่นตา
🕷️	แมงมุม, แมลง
🕸️	แมงมุม, ใย, ใยแมงมุม
🕹️	จอยสติ๊ก, วิดีโอ, เกม
🖇️	กระดาษ, คลิป, คลิปหนีบกระดาษคู่, หนีบ
🖊️	ปากกา, ลูกลื่น, หมึก
🖋️	ปากกา, ปากกาหมึกซึม, หมึกซึม
🖌️	ภาพวาด, สี, แปรงทาสี
🖍️	ดินสอสี, วาดเขียน, สี
🖐️	ชูมือกางนิ้ว, นิ้ว, มือ, อวัยวะ
🖥️	คอมพิวเตอร์, คอมพิวเตอร์เดสก์ท็อป, ตั้งโต๊ะ, เดสก์ท็อป
🖨️	คอมพิวเตอร์, เครื่องพิมพ์
🖱️	คอมพิวเตอร์, เมาส์
🖲️	คอมพิวเตอร์, แทร็กบอล
🖼️	กรอบรูป, พิพิธภัณฑ์, ภาพวาด, รูปภาพ, รูปใส่กรอบ, ศิลปะ
🗂️	ดัชนี, ที่คั่น, ที่คั่นบัตรรายการ, บัตร, รายการ
🗃️	กระดาษ, กล่อง, กล่องใส่แฟ้ม, เอกสาร, แฟ้ม
🗄️	ตู้, ตู้เอกสาร, เอกสาร, แฟ้ม
🗑️	ขยะ, ตะกร้า, ตะกร้าขยะ
🗒️	จด, สมุด, สมุดโน้ตสันห่วง, ห่วง, โน้ต
🗓️	ปฏิทิน, ปฏิทินสันห่วง, ห่วง
🗜️	บีบอัด, หนีบ, เครื่องบีบอัด, เครื่องมือ
🗝️	กุญแจ, กุญแจเก่า, ล็อก, เก่า
🗡️	ดาบ, ดาบสั้น, อาวุธ
🗣️	คน, พูด, เงา, เงาคนกำลังพูด
🗨️	คำพูด, บทสนทนา, ฟองคำพูด
🗯️	ฟองคำพูด, ฟองคำพูดรุนแรง, ลูกโป่ง, โกรธ
🗳️	บัตร, ลงคะแนน, หีบ, หีบบัตรลงคะแนน
🗺️	แผนที่, แผนที่โลก, โลก
😐️	หน้า, หน้าเฉยๆ, เฉยๆ
🚇️	ยานพาหนะ, รถไฟ, รถไฟใต้ดิน
🚍️	กำลังมา, ยานพาหนะ, รถบัส, รถบัสกำลังมา
🚑️	ยานพาหนะ, รถพยาบาล
🚔️	กำลังมา, ตำรวจ, ยานพาหนะ, รถตำรวจกำลังมา, รถยนต์
🚘️	รถ, รถกำลังมา
🚭️	ป้ายห้ามสูบบุหรี่, ห้ามสูบบุหรี่
🚲️	จักรยาน, ยานพาหนะ
🚹️	ผู้ชาย, สุขภัณฑ์, สุขา, ห้องชาย, ห้องน้ำ, ห้องน้ำชาย
🚺️	ผู้หญิง, สุขภัณฑ์, สุขา, ห้องน้ำ, ห้องน้ำหญิง, ห้องหญิง
🚼️	ที่เปลี่ยนผ้าอ้อมเด็ก, ป้ายทารก
🛋️	โคมไฟ, โซฟา, โซฟากับโคมไฟ, โรงแรม
🛍️	ช้อปปิ้ง, ถุง, ถุงช็อปปิ้ง, ห้าง
🛎️	กระดิ่ง, กระดิ่งโรงแรม, พนักงาน, โรงแรม
🛏️	หลับ, เตียง, โรงแรม
🛠️	ค้อน, ค้อนและประแจ, ประแจ, เครื่องมือ
🛡️	ป้องกัน, อาวุธ, โล่
🛢️	ถัง, ถังน้ำมัน, น้ำมัน
🛣️	ถนน, ทางด่วน
🛤️	รถไฟ, รางรถไฟ
🛥️	ยานพาหนะ, เรือ, เรือยนต์
🛩️	ยานพาหนะ, เครื่องบิน, เครื่องบินเล็ก
🛰️	ดาวเทียม, อวกาศ, เทคโนโลยี
🛳️	เรือ, เรือโดยสาร
