🦵🏻	άκρο, ανοιχτόχρωμος τόνος δέρματος, κλωτσιά, πόδι, πόδι: ανοιχτόχρωμος τόνος δέρματος
👨‍❤‍👨	άντρας, έρωτας, αγάπη, ζευγάρι, ζευγάρι με καρδιά, ζευγάρι με καρδιά: άντρας, άντρας, καρδιά
👩‍❤‍👩	έρωτας, αγάπη, γυναίκα, ζευγάρι, ζευγάρι με καρδιά, ζευγάρι με καρδιά: γυναίκα, γυναίκα, καρδιά
👨‍👩‍👦	άντρας, αγόρι, γυναίκα, μητέρα, οικογένεια, οικογένεια: άντρας, γυναίκα, αγόρι, παιδί, πατέρας
👨‍👩‍👧	άντρας, γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, γυναίκα, κορίτσι, παιδί, πατέρας
👨‍👩‍👧‍👦	άντρας, αγόρι, γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, γυναίκα, κορίτσι, αγόρι, παιδί, πατέρας
👨‍👩‍👦‍👦	άντρας, αγόρι, γυναίκα, μητέρα, οικογένεια, οικογένεια: άντρας, γυναίκα, αγόρι, αγόρι, παιδί, πατέρας
👨‍👩‍👧‍👧	άντρας, γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, γυναίκα, κορίτσι, κορίτσι, παιδί, πατέρας
👨‍👨‍👦	άντρας, αγόρι, μητέρα, οικογένεια, οικογένεια: άντρας, άντρας, αγόρι, παιδί, πατέρας
👨‍👨‍👧	άντρας, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, άντρας, κορίτσι, παιδί, πατέρας
👨‍👨‍👧‍👦	άντρας, αγόρι, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, άντρας, κορίτσι, αγόρι, παιδί, πατέρας
👨‍👨‍👦‍👦	άντρας, αγόρι, μητέρα, οικογένεια, οικογένεια: άντρας, άντρας, αγόρι, αγόρι, παιδί, πατέρας
👨‍👨‍👧‍👧	άντρας, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, άντρας, κορίτσι, κορίτσι, παιδί, πατέρας
👩‍👩‍👦	αγόρι, γυναίκα, μητέρα, οικογένεια, οικογένεια: γυναίκα, γυναίκα, αγόρι, παιδί, πατέρας
👩‍👩‍👧	γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: γυναίκα, γυναίκα, κορίτσι, παιδί, πατέρας
👩‍👩‍👧‍👦	αγόρι, γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: γυναίκα, γυναίκα, κορίτσι, αγόρι, παιδί, πατέρας
👩‍👩‍👦‍👦	αγόρι, γυναίκα, μητέρα, οικογένεια, οικογένεια: γυναίκα, γυναίκα, αγόρι, αγόρι, παιδί, πατέρας
👩‍👩‍👧‍👧	γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: γυναίκα, γυναίκα, κορίτσι, κορίτσι, παιδί, πατέρας
👨‍👦	άντρας, αγόρι, μητέρα, οικογένεια, οικογένεια: άντρας, αγόρι, παιδί, πατέρας
👨‍👦‍👦	άντρας, αγόρι, μητέρα, οικογένεια, οικογένεια: άντρας, αγόρι, αγόρι, παιδί, πατέρας
👨‍👧	άντρας, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, κορίτσι, παιδί, πατέρας
👨‍👧‍👦	άντρας, αγόρι, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, κορίτσι, αγόρι, παιδί, πατέρας
👨‍👧‍👧	άντρας, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, κορίτσι, κορίτσι, παιδί, πατέρας
👩‍👦	αγόρι, γυναίκα, μητέρα, οικογένεια, οικογένεια: γυναίκα, αγόρι, παιδί, πατέρας
👩‍👦‍👦	αγόρι, γυναίκα, μητέρα, οικογένεια, οικογένεια: γυναίκα, αγόρι, αγόρι, παιδί, πατέρας
👩‍👧	γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: γυναίκα, κορίτσι, παιδί, πατέρας
👩‍👧‍👦	αγόρι, γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: γυναίκα, κορίτσι, αγόρι, παιδί, πατέρας
👩‍👧‍👧	γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: γυναίκα, κορίτσι, κορίτσι, παιδί, πατέρας
🤳🏻	selfie, selfie: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, τηλέφωνο, φωτογραφική μηχανή
🤳🏼	selfie, selfie: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, τηλέφωνο, φωτογραφική μηχανή
🤳🏽	selfie, selfie: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, τηλέφωνο, φωτογραφική μηχανή
🤳🏾	selfie, selfie: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, τηλέφωνο, φωτογραφική μηχανή
🤳🏿	selfie, selfie: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, τηλέφωνο, φωτογραφική μηχανή
💪🏻	ανοιχτόχρωμος τόνος δέρματος, δικέφαλος, επίδειξη, κόμικ, μυς, σφιχτός δικέφαλος, σφιχτός δικέφαλος: ανοιχτόχρωμος τόνος δέρματος, σώμα
💪🏼	δικέφαλος, επίδειξη, κόμικ, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μυς, σφιχτός δικέφαλος, σφιχτός δικέφαλος: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα
💪🏽	δικέφαλος, επίδειξη, κόμικ, μεσαίος τόνος δέρματος, μυς, σφιχτός δικέφαλος, σφιχτός δικέφαλος: μεσαίος τόνος δέρματος, σώμα
💪🏾	δικέφαλος, επίδειξη, κόμικ, μεσαίος-σκούρος τόνος δέρματος, μυς, σφιχτός δικέφαλος, σφιχτός δικέφαλος: μεσαίος-σκούρος τόνος δέρματος, σώμα
💪🏿	δικέφαλος, επίδειξη, κόμικ, μυς, σκούρος τόνος δέρματος, σφιχτός δικέφαλος, σφιχτός δικέφαλος: σκούρος τόνος δέρματος, σώμα
👈🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, δείκτης, δείκτης χεριού προς τα αριστερά, δείκτης χεριού προς τα αριστερά: ανοιχτόχρωμος τόνος δέρματος, δείχνω, σώμα, χέρι, χτύπημα
👈🏼	δάχτυλο, δείκτης, δείκτης χεριού προς τα αριστερά, δείκτης χεριού προς τα αριστερά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, δείχνω, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι, χτύπημα
👈🏽	δάχτυλο, δείκτης, δείκτης χεριού προς τα αριστερά, δείκτης χεριού προς τα αριστερά: μεσαίος τόνος δέρματος, δείχνω, μεσαίος τόνος δέρματος, σώμα, χέρι, χτύπημα
👈🏾	δάχτυλο, δείκτης, δείκτης χεριού προς τα αριστερά, δείκτης χεριού προς τα αριστερά: μεσαίος-σκούρος τόνος δέρματος, δείχνω, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι, χτύπημα
👈🏿	δάχτυλο, δείκτης, δείκτης χεριού προς τα αριστερά, δείκτης χεριού προς τα αριστερά: σκούρος τόνος δέρματος, δείχνω, σκούρος τόνος δέρματος, σώμα, χέρι, χτύπημα
👉🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, δείκτης, δείκτης χεριού προς τα δεξιά, δείκτης χεριού προς τα δεξιά: ανοιχτόχρωμος τόνος δέρματος, δείχνω, σώμα, χέρι, χτύπημα
👉🏼	δάχτυλο, δείκτης, δείκτης χεριού προς τα δεξιά, δείκτης χεριού προς τα δεξιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, δείχνω, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι, χτύπημα
👉🏽	δάχτυλο, δείκτης, δείκτης χεριού προς τα δεξιά, δείκτης χεριού προς τα δεξιά: μεσαίος τόνος δέρματος, δείχνω, μεσαίος τόνος δέρματος, σώμα, χέρι, χτύπημα
👉🏾	δάχτυλο, δείκτης, δείκτης χεριού προς τα δεξιά, δείκτης χεριού προς τα δεξιά: μεσαίος-σκούρος τόνος δέρματος, δείχνω, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι, χτύπημα
👉🏿	δάχτυλο, δείκτης, δείκτης χεριού προς τα δεξιά, δείκτης χεριού προς τα δεξιά: σκούρος τόνος δέρματος, δείχνω, σκούρος τόνος δέρματος, σώμα, χέρι, χτύπημα
☝🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω, δείκτης χεριού προς τα επάνω: ανοιχτόχρωμος τόνος δέρματος, δείχνω, επάνω, σώμα, χέρι
☝🏼	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω, δείκτης χεριού προς τα επάνω: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, δείχνω, επάνω, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
☝🏽	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω, δείκτης χεριού προς τα επάνω: μεσαίος τόνος δέρματος, δείχνω, επάνω, μεσαίος τόνος δέρματος, σώμα, χέρι
☝🏾	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω, δείκτης χεριού προς τα επάνω: μεσαίος-σκούρος τόνος δέρματος, δείχνω, επάνω, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
☝🏿	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω, δείκτης χεριού προς τα επάνω: σκούρος τόνος δέρματος, δείχνω, επάνω, σκούρος τόνος δέρματος, σώμα, χέρι
👆🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω ανάποδα, δείκτης χεριού προς τα επάνω ανάποδα: ανοιχτόχρωμος τόνος δέρματος, δείχνω, επάνω, σώμα, χέρι, χτύπημα
👆🏼	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω ανάποδα, δείκτης χεριού προς τα επάνω ανάποδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, δείχνω, επάνω, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι, χτύπημα
👆🏽	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω ανάποδα, δείκτης χεριού προς τα επάνω ανάποδα: μεσαίος τόνος δέρματος, δείχνω, επάνω, μεσαίος τόνος δέρματος, σώμα, χέρι, χτύπημα
👆🏾	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω ανάποδα, δείκτης χεριού προς τα επάνω ανάποδα: μεσαίος-σκούρος τόνος δέρματος, δείχνω, επάνω, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι, χτύπημα
👆🏿	δάχτυλο, δείκτης, δείκτης χεριού προς τα επάνω ανάποδα, δείκτης χεριού προς τα επάνω ανάποδα: σκούρος τόνος δέρματος, δείχνω, επάνω, σκούρος τόνος δέρματος, σώμα, χέρι, χτύπημα
🖕🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, μεσαίο δάχτυλο, μεσαίο δάχτυλο: ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
🖕🏼	δάχτυλο, μεσαίο δάχτυλο, μεσαίο δάχτυλο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
🖕🏽	δάχτυλο, μεσαίο δάχτυλο, μεσαίο δάχτυλο: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σώμα, χέρι
🖕🏾	δάχτυλο, μεσαίο δάχτυλο, μεσαίο δάχτυλο: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
🖕🏿	δάχτυλο, μεσαίο δάχτυλο, μεσαίο δάχτυλο: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα, χέρι
👇🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, δείκτης, δείκτης χεριού προς τα κάτω ανάποδα, δείκτης χεριού προς τα κάτω ανάποδα: ανοιχτόχρωμος τόνος δέρματος, δείχνω, κάτω, σώμα, χέρι, χτύπημα
👇🏼	δάχτυλο, δείκτης, δείκτης χεριού προς τα κάτω ανάποδα, δείκτης χεριού προς τα κάτω ανάποδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, δείχνω, κάτω, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι, χτύπημα
👇🏽	δάχτυλο, δείκτης, δείκτης χεριού προς τα κάτω ανάποδα, δείκτης χεριού προς τα κάτω ανάποδα: μεσαίος τόνος δέρματος, δείχνω, κάτω, μεσαίος τόνος δέρματος, σώμα, χέρι, χτύπημα
👇🏾	δάχτυλο, δείκτης, δείκτης χεριού προς τα κάτω ανάποδα, δείκτης χεριού προς τα κάτω ανάποδα: μεσαίος-σκούρος τόνος δέρματος, δείχνω, κάτω, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι, χτύπημα
👇🏿	δάχτυλο, δείκτης, δείκτης χεριού προς τα κάτω ανάποδα, δείκτης χεριού προς τα κάτω ανάποδα: σκούρος τόνος δέρματος, δείχνω, κάτω, σκούρος τόνος δέρματος, σώμα, χέρι, χτύπημα
✌🏻	v, ανοιχτόχρωμος τόνος δέρματος, νίκη, σήμα της νίκης, σήμα της νίκης: ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
✌🏼	v, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νίκη, σήμα της νίκης, σήμα της νίκης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
✌🏽	v, μεσαίος τόνος δέρματος, νίκη, σήμα της νίκης, σήμα της νίκης: μεσαίος τόνος δέρματος, σώμα, χέρι
✌🏾	v, μεσαίος-σκούρος τόνος δέρματος, νίκη, σήμα της νίκης, σήμα της νίκης: μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
✌🏿	v, νίκη, σήμα της νίκης, σήμα της νίκης: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα, χέρι
🤞🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλα, καλή τύχη, καλή τύχη: ανοιχτόχρωμος τόνος δέρματος, σταυρώνω, τύχη, χέρι
🤞🏼	δάχτυλα, καλή τύχη, καλή τύχη: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σταυρώνω, τύχη, χέρι
🤞🏽	δάχτυλα, καλή τύχη, καλή τύχη: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σταυρώνω, τύχη, χέρι
🤞🏾	δάχτυλα, καλή τύχη, καλή τύχη: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σταυρώνω, τύχη, χέρι
🤞🏿	δάχτυλα, καλή τύχη, καλή τύχη: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σταυρώνω, τύχη, χέρι
🖖🏻	vulcan, ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, σποκ, σώμα, χέρι, χαιρετισμός σποκ, χαιρετισμός σποκ: ανοιχτόχρωμος τόνος δέρματος
🖖🏼	vulcan, δάχτυλο, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σποκ, σώμα, χέρι, χαιρετισμός σποκ, χαιρετισμός σποκ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🖖🏽	vulcan, δάχτυλο, μεσαίος τόνος δέρματος, σποκ, σώμα, χέρι, χαιρετισμός σποκ, χαιρετισμός σποκ: μεσαίος τόνος δέρματος
🖖🏾	vulcan, δάχτυλο, μεσαίος-σκούρος τόνος δέρματος, σποκ, σώμα, χέρι, χαιρετισμός σποκ, χαιρετισμός σποκ: μεσαίος-σκούρος τόνος δέρματος
🖖🏿	vulcan, δάχτυλο, σκούρος τόνος δέρματος, σποκ, σώμα, χέρι, χαιρετισμός σποκ, χαιρετισμός σποκ: σκούρος τόνος δέρματος
🤘🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, κέρατα, ροκάρω, σώμα, χέρι, χειρονομία ροκ, χειρονομία ροκ: ανοιχτόχρωμος τόνος δέρματος
🤘🏼	δάχτυλο, κέρατα, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ροκάρω, σώμα, χέρι, χειρονομία ροκ, χειρονομία ροκ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🤘🏽	δάχτυλο, κέρατα, μεσαίος τόνος δέρματος, ροκάρω, σώμα, χέρι, χειρονομία ροκ, χειρονομία ροκ: μεσαίος τόνος δέρματος
🤘🏾	δάχτυλο, κέρατα, μεσαίος-σκούρος τόνος δέρματος, ροκάρω, σώμα, χέρι, χειρονομία ροκ, χειρονομία ροκ: μεσαίος-σκούρος τόνος δέρματος
🤘🏿	δάχτυλο, κέρατα, ροκάρω, σκούρος τόνος δέρματος, σώμα, χέρι, χειρονομία ροκ, χειρονομία ροκ: σκούρος τόνος δέρματος
🤙🏻	ανοιχτόχρωμος τόνος δέρματος, κλήση, τηλεφώνησέ μου, τηλεφώνησέ μου: ανοιχτόχρωμος τόνος δέρματος, χέρι
🤙🏼	κλήση, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, τηλεφώνησέ μου, τηλεφώνησέ μου: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χέρι
🤙🏽	κλήση, μεσαίος τόνος δέρματος, τηλεφώνησέ μου, τηλεφώνησέ μου: μεσαίος τόνος δέρματος, χέρι
🤙🏾	κλήση, μεσαίος-σκούρος τόνος δέρματος, τηλεφώνησέ μου, τηλεφώνησέ μου: μεσαίος-σκούρος τόνος δέρματος, χέρι
🤙🏿	κλήση, σκούρος τόνος δέρματος, τηλεφώνησέ μου, τηλεφώνησέ μου: σκούρος τόνος δέρματος, χέρι
🖐🏻	ανοιχτά δάχτυλα, ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, μούντζα, μούντζα: ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
🖐🏼	ανοιχτά δάχτυλα, δάχτυλο, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μούντζα, μούντζα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
🖐🏽	ανοιχτά δάχτυλα, δάχτυλο, μεσαίος τόνος δέρματος, μούντζα, μούντζα: μεσαίος τόνος δέρματος, σώμα, χέρι
🖐🏾	ανοιχτά δάχτυλα, δάχτυλο, μεσαίος-σκούρος τόνος δέρματος, μούντζα, μούντζα: μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
🖐🏿	ανοιχτά δάχτυλα, δάχτυλο, μούντζα, μούντζα: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα, χέρι
✋🏻	ανοιχτόχρωμος τόνος δέρματος, σηκωμένο χέρι, σηκωμένο χέρι: ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
✋🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σηκωμένο χέρι, σηκωμένο χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
✋🏽	μεσαίος τόνος δέρματος, σηκωμένο χέρι, σηκωμένο χέρι: μεσαίος τόνος δέρματος, σώμα, χέρι
✋🏾	μεσαίος-σκούρος τόνος δέρματος, σηκωμένο χέρι, σηκωμένο χέρι: μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
✋🏿	σηκωμένο χέρι, σηκωμένο χέρι: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα, χέρι
👌🏻	OK, ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι, χειρονομία οκ, χειρονομία οκ: ανοιχτόχρωμος τόνος δέρματος
👌🏼	OK, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι, χειρονομία οκ, χειρονομία οκ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👌🏽	OK, μεσαίος τόνος δέρματος, σώμα, χέρι, χειρονομία οκ, χειρονομία οκ: μεσαίος τόνος δέρματος
👌🏾	OK, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι, χειρονομία οκ, χειρονομία οκ: μεσαίος-σκούρος τόνος δέρματος
👌🏿	OK, σκούρος τόνος δέρματος, σώμα, χέρι, χειρονομία οκ, χειρονομία οκ: σκούρος τόνος δέρματος
👍🏻	+1, ανοιχτόχρωμος τόνος δέρματος, αντίχειρας, επάνω, σηκωμένος αντίχειρας, σηκωμένος αντίχειρας: ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
👍🏼	+1, αντίχειρας, επάνω, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σηκωμένος αντίχειρας, σηκωμένος αντίχειρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
👍🏽	+1, αντίχειρας, επάνω, μεσαίος τόνος δέρματος, σηκωμένος αντίχειρας, σηκωμένος αντίχειρας: μεσαίος τόνος δέρματος, σώμα, χέρι
👍🏾	+1, αντίχειρας, επάνω, μεσαίος-σκούρος τόνος δέρματος, σηκωμένος αντίχειρας, σηκωμένος αντίχειρας: μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
👍🏿	+1, αντίχειρας, επάνω, σηκωμένος αντίχειρας, σηκωμένος αντίχειρας: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα, χέρι
👎🏻	-1, ανοιχτόχρωμος τόνος δέρματος, αντίχειρας, κάτω, κατεβασμένος αντίχειρας, κατεβασμένος αντίχειρας: ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
👎🏼	-1, αντίχειρας, κάτω, κατεβασμένος αντίχειρας, κατεβασμένος αντίχειρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι
👎🏽	-1, αντίχειρας, κάτω, κατεβασμένος αντίχειρας, κατεβασμένος αντίχειρας: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σώμα, χέρι
👎🏾	-1, αντίχειρας, κάτω, κατεβασμένος αντίχειρας, κατεβασμένος αντίχειρας: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι
👎🏿	-1, αντίχειρας, κάτω, κατεβασμένος αντίχειρας, κατεβασμένος αντίχειρας: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σώμα, χέρι
✊🏻	ανοιχτόχρωμος τόνος δέρματος, γροθιά, μπουνιά, σηκωμένη γροθιά, σηκωμένη γροθιά: ανοιχτόχρωμος τόνος δέρματος, σφιγμένο, χέρι
✊🏼	γροθιά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μπουνιά, σηκωμένη γροθιά, σηκωμένη γροθιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σφιγμένο, χέρι
✊🏽	γροθιά, μεσαίος τόνος δέρματος, μπουνιά, σηκωμένη γροθιά, σηκωμένη γροθιά: μεσαίος τόνος δέρματος, σφιγμένο, χέρι
✊🏾	γροθιά, μεσαίος-σκούρος τόνος δέρματος, μπουνιά, σηκωμένη γροθιά, σηκωμένη γροθιά: μεσαίος-σκούρος τόνος δέρματος, σφιγμένο, χέρι
✊🏿	γροθιά, μπουνιά, σηκωμένη γροθιά, σηκωμένη γροθιά: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σφιγμένο, χέρι
👊🏻	ανοιχτόχρωμος τόνος δέρματος, γροθιά, γροθιά: ανοιχτόχρωμος τόνος δέρματος, μπουνιά, σφιγμένο, χέρι
👊🏼	γροθιά, γροθιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μπουνιά, σφιγμένο, χέρι
👊🏽	γροθιά, γροθιά: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, μπουνιά, σφιγμένο, χέρι
👊🏾	γροθιά, γροθιά: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, μπουνιά, σφιγμένο, χέρι
👊🏿	γροθιά, γροθιά: σκούρος τόνος δέρματος, μπουνιά, σκούρος τόνος δέρματος, σφιγμένο, χέρι
🤛🏻	ανοιχτόχρωμος τόνος δέρματος, αριστερή γροθιά, αριστερή γροθιά: ανοιχτόχρωμος τόνος δέρματος, γροθιά, στα αριστερά
🤛🏼	αριστερή γροθιά, αριστερή γροθιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, γροθιά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, στα αριστερά
🤛🏽	αριστερή γροθιά, αριστερή γροθιά: μεσαίος τόνος δέρματος, γροθιά, μεσαίος τόνος δέρματος, στα αριστερά
🤛🏾	αριστερή γροθιά, αριστερή γροθιά: μεσαίος-σκούρος τόνος δέρματος, γροθιά, μεσαίος-σκούρος τόνος δέρματος, στα αριστερά
🤛🏿	αριστερή γροθιά, αριστερή γροθιά: σκούρος τόνος δέρματος, γροθιά, σκούρος τόνος δέρματος, στα αριστερά
🤜🏻	ανοιχτόχρωμος τόνος δέρματος, γροθιά, δεξιά γροθιά, δεξιά γροθιά: ανοιχτόχρωμος τόνος δέρματος, στα δεξιά
🤜🏼	γροθιά, δεξιά γροθιά, δεξιά γροθιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, στα δεξιά
🤜🏽	γροθιά, δεξιά γροθιά, δεξιά γροθιά: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, στα δεξιά
🤜🏾	γροθιά, δεξιά γροθιά, δεξιά γροθιά: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, στα δεξιά
🤜🏿	γροθιά, δεξιά γροθιά, δεξιά γροθιά: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, στα δεξιά
🤚🏻	ανάποδη, ανάποδη: ανοιχτόχρωμος τόνος δέρματος, ανάστροφη, ανοιχτόχρωμος τόνος δέρματος
🤚🏼	ανάποδη, ανάποδη: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ανάστροφη, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🤚🏽	ανάποδη, ανάποδη: μεσαίος τόνος δέρματος, ανάστροφη, μεσαίος τόνος δέρματος
🤚🏾	ανάποδη, ανάποδη: μεσαίος-σκούρος τόνος δέρματος, ανάστροφη, μεσαίος-σκούρος τόνος δέρματος
🤚🏿	ανάποδη, ανάποδη: σκούρος τόνος δέρματος, ανάστροφη, σκούρος τόνος δέρματος
👋🏻	ανοιχτόχρωμος τόνος δέρματος, νεύμα, σώμα, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: ανοιχτόχρωμος τόνος δέρματος, χαιρετώ
👋🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νεύμα, σώμα, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χαιρετώ
👋🏽	μεσαίος τόνος δέρματος, νεύμα, σώμα, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: μεσαίος τόνος δέρματος, χαιρετώ
👋🏾	μεσαίος-σκούρος τόνος δέρματος, νεύμα, σώμα, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: μεσαίος-σκούρος τόνος δέρματος, χαιρετώ
👋🏿	νεύμα, σκούρος τόνος δέρματος, σώμα, χέρι, χέρι που χαιρετά, χέρι που χαιρετά: σκούρος τόνος δέρματος, χαιρετώ
