‾	اوور لائن
👩🏿‍🤝‍👩🏻	تھامنا, جلد کی سیاہ رنگت, جلد کی ہلکی رنگت, جوڑا, عورتیں, ہاتھ, ہاتھ تھامے دو عورتیں, ہاتھ تھامے دو عورتیں: جلد کی سیاہ رنگت اور جلد کی ہلکی رنگت
👩🏿‍🤝‍👩🏼	تھامنا, جلد کی درمیانی -ہلکی رنگت, جلد کی سیاہ رنگت, جوڑا, عورتیں, ہاتھ, ہاتھ تھامے دو عورتیں, ہاتھ تھامے دو عورتیں: جلد کی سیاہ رنگت اور جلد کی درمیانی -ہلکی رنگت
👩🏿‍🤝‍👩🏽	تھامنا, جلد کی درمیانی رنگت, جلد کی سیاہ رنگت, جوڑا, عورتیں, ہاتھ, ہاتھ تھامے دو عورتیں, ہاتھ تھامے دو عورتیں: جلد کی سیاہ رنگت اور جلد کی درمیانی رنگت
👩🏿‍🤝‍👩🏾	تھامنا, جلد کی درمیانی سیاہ رنگت, جلد کی سیاہ رنگت, جوڑا, عورتیں, ہاتھ, ہاتھ تھامے دو عورتیں, ہاتھ تھامے دو عورتیں: جلد کی سیاہ رنگت اور جلد کی درمیانی سیاہ رنگت
👭🏿	تھامنا, جلد کی سیاہ رنگت, جوڑا, عورتیں, ہاتھ, ہاتھ تھامے دو عورتیں, ہاتھ تھامے دو عورتیں: جلد کی سیاہ رنگت
👫	تھامنا, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت
👫🏻	تھامنا, جلد کی ہلکی رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی ہلکی رنگت
👩🏻‍🤝‍👨🏼	تھامنا, جلد کی درمیانی -ہلکی رنگت, جلد کی ہلکی رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی ہلکی رنگت اور جلد کی درمیانی -ہلکی رنگت
👩🏻‍🤝‍👨🏽	تھامنا, جلد کی درمیانی رنگت, جلد کی ہلکی رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی ہلکی رنگت اور جلد کی درمیانی رنگت
👩🏻‍🤝‍👨🏾	تھامنا, جلد کی درمیانی سیاہ رنگت, جلد کی ہلکی رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی ہلکی رنگت اور جلد کی درمیانی سیاہ رنگت
👩🏻‍🤝‍👨🏿	تھامنا, جلد کی سیاہ رنگت, جلد کی ہلکی رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی ہلکی رنگت اور جلد کی سیاہ رنگت
👩🏼‍🤝‍👨🏻	تھامنا, جلد کی درمیانی -ہلکی رنگت, جلد کی ہلکی رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی -ہلکی رنگت اور جلد کی ہلکی رنگت
👫🏼	تھامنا, جلد کی درمیانی -ہلکی رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی -ہلکی رنگت
👩🏼‍🤝‍👨🏽	تھامنا, جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی -ہلکی رنگت اور جلد کی درمیانی رنگت
👩🏼‍🤝‍👨🏾	تھامنا, جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی سیاہ رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی -ہلکی رنگت اور جلد کی درمیانی سیاہ رنگت
👩🏼‍🤝‍👨🏿	تھامنا, جلد کی درمیانی -ہلکی رنگت, جلد کی سیاہ رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی -ہلکی رنگت اور جلد کی سیاہ رنگت
👩🏽‍🤝‍👨🏻	تھامنا, جلد کی درمیانی رنگت, جلد کی ہلکی رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی رنگت اور جلد کی ہلکی رنگت
👩🏽‍🤝‍👨🏼	تھامنا, جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی رنگت اور جلد کی درمیانی -ہلکی رنگت
👫🏽	تھامنا, جلد کی درمیانی رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی رنگت
👩🏽‍🤝‍👨🏾	تھامنا, جلد کی درمیانی رنگت, جلد کی درمیانی سیاہ رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی رنگت اور جلد کی درمیانی سیاہ رنگت
👩🏽‍🤝‍👨🏿	تھامنا, جلد کی درمیانی رنگت, جلد کی سیاہ رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی رنگت اور جلد کی سیاہ رنگت
👩🏾‍🤝‍👨🏻	تھامنا, جلد کی درمیانی سیاہ رنگت, جلد کی ہلکی رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی سیاہ رنگت اور جلد کی ہلکی رنگت
👩🏾‍🤝‍👨🏼	تھامنا, جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی سیاہ رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی سیاہ رنگت اور جلد کی درمیانی -ہلکی رنگت
👩🏾‍🤝‍👨🏽	تھامنا, جلد کی درمیانی رنگت, جلد کی درمیانی سیاہ رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی سیاہ رنگت اور جلد کی درمیانی رنگت
👫🏾	تھامنا, جلد کی درمیانی سیاہ رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی سیاہ رنگت
👩🏾‍🤝‍👨🏿	تھامنا, جلد کی درمیانی سیاہ رنگت, جلد کی سیاہ رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی درمیانی سیاہ رنگت اور جلد کی سیاہ رنگت
👩🏿‍🤝‍👨🏻	تھامنا, جلد کی سیاہ رنگت, جلد کی ہلکی رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی سیاہ رنگت اور جلد کی ہلکی رنگت
👩🏿‍🤝‍👨🏼	تھامنا, جلد کی درمیانی -ہلکی رنگت, جلد کی سیاہ رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی سیاہ رنگت اور جلد کی درمیانی -ہلکی رنگت
👩🏿‍🤝‍👨🏽	تھامنا, جلد کی درمیانی رنگت, جلد کی سیاہ رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی سیاہ رنگت اور جلد کی درمیانی رنگت
👩🏿‍🤝‍👨🏾	تھامنا, جلد کی درمیانی سیاہ رنگت, جلد کی سیاہ رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی سیاہ رنگت اور جلد کی درمیانی سیاہ رنگت
👫🏿	تھامنا, جلد کی سیاہ رنگت, جوڑا, ہاتھ, ہاتھ تھامے مرد اور عورت, ہاتھ تھامے مرد اور عورت: جلد کی سیاہ رنگت
👬	برج, برج جوزا, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد
👬🏻	برج, برج جوزا, جلد کی ہلکی رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی ہلکی رنگت
👨🏻‍🤝‍👨🏼	برج, برج جوزا, جلد کی درمیانی -ہلکی رنگت, جلد کی ہلکی رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی ہلکی رنگت اور جلد کی درمیانی -ہلکی رنگت
👨🏻‍🤝‍👨🏽	برج, برج جوزا, جلد کی درمیانی رنگت, جلد کی ہلکی رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی ہلکی رنگت اور جلد کی درمیانی رنگت
👨🏻‍🤝‍👨🏾	برج, برج جوزا, جلد کی درمیانی سیاہ رنگت, جلد کی ہلکی رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی ہلکی رنگت اور جلد کی درمیانی سیاہ رنگت
👨🏻‍🤝‍👨🏿	برج, برج جوزا, جلد کی سیاہ رنگت, جلد کی ہلکی رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی ہلکی رنگت اور جلد کی سیاہ رنگت
👨🏼‍🤝‍👨🏻	برج, برج جوزا, جلد کی درمیانی -ہلکی رنگت, جلد کی ہلکی رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی -ہلکی رنگت اور جلد کی ہلکی رنگت
👬🏼	برج, برج جوزا, جلد کی درمیانی -ہلکی رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی -ہلکی رنگت
👨🏼‍🤝‍👨🏽	برج, برج جوزا, جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی -ہلکی رنگت اور جلد کی درمیانی رنگت
👨🏼‍🤝‍👨🏾	برج, برج جوزا, جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی سیاہ رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی -ہلکی رنگت اور جلد کی درمیانی سیاہ رنگت
👨🏼‍🤝‍👨🏿	برج, برج جوزا, جلد کی درمیانی -ہلکی رنگت, جلد کی سیاہ رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی -ہلکی رنگت اور جلد کی سیاہ رنگت
👨🏽‍🤝‍👨🏻	برج, برج جوزا, جلد کی درمیانی رنگت, جلد کی ہلکی رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی رنگت اور جلد کی ہلکی رنگت
👨🏽‍🤝‍👨🏼	برج, برج جوزا, جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی رنگت اور جلد کی درمیانی -ہلکی رنگت
👬🏽	برج, برج جوزا, جلد کی درمیانی رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی رنگت
👨🏽‍🤝‍👨🏾	برج, برج جوزا, جلد کی درمیانی رنگت, جلد کی درمیانی سیاہ رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی رنگت اور جلد کی درمیانی سیاہ رنگت
👨🏽‍🤝‍👨🏿	برج, برج جوزا, جلد کی درمیانی رنگت, جلد کی سیاہ رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی رنگت اور جلد کی سیاہ رنگت
👨🏾‍🤝‍👨🏻	برج, برج جوزا, جلد کی درمیانی سیاہ رنگت, جلد کی ہلکی رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی سیاہ رنگت اور جلد کی ہلکی رنگت
👨🏾‍🤝‍👨🏼	برج, برج جوزا, جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی سیاہ رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی سیاہ رنگت اور جلد کی درمیانی -ہلکی رنگت
👨🏾‍🤝‍👨🏽	برج, برج جوزا, جلد کی درمیانی رنگت, جلد کی درمیانی سیاہ رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی سیاہ رنگت اور جلد کی درمیانی رنگت
👬🏾	برج, برج جوزا, جلد کی درمیانی سیاہ رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی سیاہ رنگت
👨🏾‍🤝‍👨🏿	برج, برج جوزا, جلد کی درمیانی سیاہ رنگت, جلد کی سیاہ رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی درمیانی سیاہ رنگت اور جلد کی سیاہ رنگت
👨🏿‍🤝‍👨🏻	برج, برج جوزا, جلد کی سیاہ رنگت, جلد کی ہلکی رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی سیاہ رنگت اور جلد کی ہلکی رنگت
👨🏿‍🤝‍👨🏼	برج, برج جوزا, جلد کی درمیانی -ہلکی رنگت, جلد کی سیاہ رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی سیاہ رنگت اور جلد کی درمیانی -ہلکی رنگت
👨🏿‍🤝‍👨🏽	برج, برج جوزا, جلد کی درمیانی رنگت, جلد کی سیاہ رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی سیاہ رنگت اور جلد کی درمیانی رنگت
👨🏿‍🤝‍👨🏾	برج, برج جوزا, جلد کی درمیانی سیاہ رنگت, جلد کی سیاہ رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی سیاہ رنگت اور جلد کی درمیانی سیاہ رنگت
👬🏿	برج, برج جوزا, جلد کی سیاہ رنگت, جوڑا, جڑواں, مرد, ہاتھ تھامنا, ہاتھ تھامے دو مرد, ہاتھ تھامے دو مرد: جلد کی سیاہ رنگت
💏	بوسہ, جوڑا
💏🏻	بوسہ, بوسہ: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, جوڑا
💏🏼	بوسہ, بوسہ: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, جوڑا
💏🏽	بوسہ, بوسہ: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, جوڑا
💏🏾	بوسہ, بوسہ: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, جوڑا
💏🏿	بوسہ, بوسہ: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, جوڑا
👩‍❤‍💋‍👨	بوسہ, بوسہ: عورت اور مرد, جوڑا, عورت, مرد
👨‍❤‍💋‍👨	بوسہ, بوسہ: مرد اور مرد, جوڑا, مرد
👩‍❤‍💋‍👩	بوسہ, بوسہ: عورت اور عورت, جوڑا, عورت
💑	جوڑا, دل, دل اور جوڑا, رومانس
💑🏻	جلد کی ہلکی رنگت, جوڑا, دل, دل اور جوڑا, دل اور جوڑا: جلد کی ہلکی رنگت, رومانس
💑🏼	جلد کی درمیانی -ہلکی رنگت, جوڑا, دل, دل اور جوڑا, دل اور جوڑا: جلد کی درمیانی -ہلکی رنگت, رومانس
💑🏽	جلد کی درمیانی رنگت, جوڑا, دل, دل اور جوڑا, دل اور جوڑا: جلد کی درمیانی رنگت, رومانس
💑🏾	جلد کی درمیانی سیاہ رنگت, جوڑا, دل, دل اور جوڑا, دل اور جوڑا: جلد کی درمیانی سیاہ رنگت, رومانس
💑🏿	جلد کی سیاہ رنگت, جوڑا, دل, دل اور جوڑا, دل اور جوڑا: جلد کی سیاہ رنگت, رومانس
👩‍❤‍👨	جوڑا, دل, دل اور جوڑا, دل اور جوڑا: عورت اور مرد, رومانس, عورت, مرد
👨‍❤‍👨	جوڑا, دل, دل اور جوڑا, دل اور جوڑا: مرد اور مرد, رومانس, مرد
👩‍❤‍👩	جوڑا, دل, دل اور جوڑا, دل اور جوڑا: عورت اور عورت, رومانس, عورت
👪️	باپ, بچہ, خاندان, ماں
👨‍👩‍👦	باپ, بچہ, خاندان, خاندان: مرد، عورت، اور لڑکا, عورت, لڑکا, ماں, مرد
👨‍👩‍👧	باپ, بچہ, خاندان, خاندان: مرد، عورت، اور لڑکی, عورت, لڑکی, ماں, مرد
👨‍👩‍👧‍👦	باپ, بچہ, خاندان, خاندان: مرد، عورت، لڑکی، اور لڑکا, عورت, لڑکا, لڑکی, ماں, مرد
👨‍👩‍👦‍👦	باپ, بچہ, خاندان, خاندان: مرد، عورت، لڑکا، اور لڑکا, عورت, لڑکا, ماں, مرد
👨‍👩‍👧‍👧	باپ, بچہ, خاندان, خاندان: مرد، عورت، لڑکی، اور لڑکی, عورت, لڑکی, ماں, مرد
👨‍👨‍👦	باپ, بچہ, خاندان, خاندان: مرد، مرد، اور لڑکا, لڑکا, ماں, مرد
👨‍👨‍👧	باپ, بچہ, خاندان, خاندان: مرد، مرد، اور لڑکی, لڑکی, ماں, مرد
👨‍👨‍👧‍👦	باپ, بچہ, خاندان, خاندان: مرد، مرد، لڑکی، اور لڑکا, لڑکا, لڑکی, ماں, مرد
👨‍👨‍👦‍👦	باپ, بچہ, خاندان, خاندان: مرد، مرد، لڑکا، اور لڑکا, لڑکا, ماں, مرد
👨‍👨‍👧‍👧	باپ, بچہ, خاندان, خاندان: مرد، مرد، لڑکی، اور لڑکی, لڑکی, ماں, مرد
👩‍👩‍👦	باپ, بچہ, خاندان, خاندان: عورت، عورت، اور لڑکا, عورت, لڑکا, ماں
👩‍👩‍👧	باپ, بچہ, خاندان, خاندان: عورت، عورت، اور لڑکی, عورت, لڑکی, ماں
👩‍👩‍👧‍👦	باپ, بچہ, خاندان, خاندان: عورت، عورت، لڑکی، اور لڑکا, عورت, لڑکا, لڑکی, ماں
👩‍👩‍👦‍👦	باپ, بچہ, خاندان, خاندان: عورت، عورت، لڑکا، اور لڑکا, عورت, لڑکا, ماں
👩‍👩‍👧‍👧	باپ, بچہ, خاندان, خاندان: عورت، عورت، لڑکی، اور لڑکی, عورت, لڑکی, ماں
👨‍👦	باپ, بچہ, خاندان, خاندان: مرد اور لڑکا, لڑکا, ماں, مرد
👨‍👦‍👦	باپ, بچہ, خاندان, خاندان: مرد، لڑکا، اور لڑکا, لڑکا, ماں, مرد
👨‍👧	باپ, بچہ, خاندان, خاندان: مرد اور لڑکی, لڑکی, ماں, مرد
👨‍👧‍👦	باپ, بچہ, خاندان, خاندان: مرد، لڑکی، اور لڑکا, لڑکا, لڑکی, ماں, مرد
👨‍👧‍👧	باپ, بچہ, خاندان, خاندان: مرد، لڑکی، اور لڑکی, لڑکی, ماں, مرد
👩‍👦	باپ, بچہ, خاندان, خاندان: عورت اور لڑکا, عورت, لڑکا, ماں
👩‍👦‍👦	باپ, بچہ, خاندان, خاندان: عورت، لڑکا، اور لڑکا, عورت, لڑکا, ماں
👩‍👧	باپ, بچہ, خاندان, خاندان: عورت اور لڑکی, عورت, لڑکی, ماں
👩‍👧‍👦	باپ, بچہ, خاندان, خاندان: عورت، لڑکی، اور لڑکا, عورت, لڑکا, لڑکی, ماں
👩‍👧‍👧	باپ, بچہ, خاندان, خاندان: عورت، لڑکی، اور لڑکی, عورت, لڑکی, ماں
🗣️	بولتا سر, بولنا, سر, چہرہ
👤	آدمی کا خاکہ, خاکہ
👥	آدمیوں کے خاکے, خاکہ
🫂	الوداع, شکریہ, گلے ملتے لوگ, گلے ملنا, ہیلو
👣	جسم, قدم, قدموں کے نشانات, نشان
🦰	ادرک, سرخ بال, سرخ سر
🦱	افریقی, گھنگھریالے, گھنگھریالے بال, گیسو
🦳	بال, بوڑھا, خاکستری, سفید, سفید بال
🦲	شیو کیا ہوا, کوئی بال نہیں, کیمیائی علاج, گنجا
🐵	بندر, بندر کا چہرہ, جانور
🐒	بندر, جانور
🦍	جانور, گوریلا
🦧	انسان نما بندر, گوریلا
🐶	جانور, چہرہ, کتا, کتے کا چہرہ
🐕️	جانور, کتا
🦮	دسترس, رہنما, رہنما کتا, نابینا
🐕‍🦺	خدمت, خدمتگار کتا, دسترس, معاونت, کتا
🐩	جانور, پوڈل
🐺	بھیڑیا, چہرہ
🦊	لومڑی, چہرہ
🦝	راکون, متجسس, مکار
🐱	بلی, بلی کا چہرہ, جانور, پالتو
🐈️	بلی, جانور, پالتو
🐈‍⬛	بلی, بَد شَگُون, کالی, کالی بلی
🦁	ببر شیر, برج, برج اسد, شیر کا چہرہ, چہرہ
🐯	جانور, ٹائیگر, ٹائیگر کا چہرہ
🐅	جانور, ٹائیگر
🐆	تیندوا, جانور
🐴	جانور, گھوڑا, گھوڑے کا چہرہ
🐎	جانور, گھوڑا
🦄	جانور, چہرہ, یونیکارن, یونیکارن کا چہرہ
🦓	دھاری, زیبرا
🦌	جانور, ہرن
🦬	ارنا بھینسا, بھینس, جنگلی بیل, ریوڑ
🐮	جانور, گائے, گائے کا چہرہ
🐂	بیل, جانور
🐃	بھینس, جانور, پانی کی بھینس
🐄	جانور, گائے
🐷	جانور, سور, سور کا چہرہ
🐖	جانور, سور
🐗	جانور, جنگلی سور, سوؤر
🐽	سور, سور کی ناک, ناک, چہرہ
🐏	بھیڑ, جانور, نر بھیڑ
🐑	جانور, مادہ بھیڑ
🐐	برج, بکری, جانور, جدی
🐪	اونٹ, جانور, کوہان
🐫	اونٹ, جانور, دو کوہانوں والا اونٹ, کوہان
🦙	الپاکا, اون, لاما, ویکونیا, گوآناکو
🦒	دھبے, زرافہ
🐘	جانور, ہاتھی
🦣	بڑا, فروالا, معدومیت, میمتھ, ہاتھی کا دانت
🦏	جانور, گینڈا
🦛	دریائی گھوڑا
🐭	جانور, چوہا, چوہے کا چہرہ, چہرہ
🐁	جانور, سفید چوہا, چوہا
🐀	جانور, چوہا
🐹	پالتو, چہرہ, ہیمسٹر
🐰	جانور, خرگوش, خرگوش کا چہرہ, چہرہ
🐇	جانور, خرگوش
🐿️	جانور, گلہری
🦫	اود بلاؤ, سگ آبی
🦔	خار پشت, خاردار
🦇	جانور, چمگادڑ
🐻	ریچھ, ریچھ کا چہرہ, چہرہ
🐻‍❄	برفانی, ریچھ, سفید, قطبی ریچھ
🐨	جانور, ریچھ, کوآلا
🐼	جانور, پانڈا, پانڈا کا چہرہ
🦥	سست, سلاتھ, کاہل
🦦	اود بلاؤ, ماہی گیری, چنچل
🦨	بدبودار, سکنک
🦘	آسٹریلیا, مارسوپئیل, ننھا کینگرو, چھلانگ, کینگرو
🦡	افریقی بجو, بجو, پریشان کرنا
🐾	جانور, نشان, پنجوں کے نشانات, پنجے
🦃	جانور, ٹرکی
🐔	جانور, چکن
🐓	جانور, مرغ, مرغی
🐣	انڈے سے نکلتا چوزہ, بچہ, جانور, چوزہ
🐤	بیبی, بیبی چوزہ, پرندہ, چوزہ
🐥	بچہ, جانور, سامنے دیکھتا بیبی چوزہ, چوزہ
🐦️	آسمان, پرنده, پرندہ, چڑیا
🐧	پنگوئن
🕊️	امن, فاختہ, پرندہ
🦅	عقاب, پرندہ
🦆	بطخ, پرندہ
🦢	بدصورت بط بچہ, جوان ہنس, راج ہنس, پرندہ
🦉	الو, عقلمند, پرندہ
🦤	بڑا, خاتمہ, موریشس, ڈوڈو
🪶	پر, پرندہ, پرواز, پنکھ, ہلکا
🦩	بھڑکیلا, حاری, لم ٹنگو
🦚	مغرور, مور, مورنی, نمائشی, پرندہ
🦜	طوطا, قزاق, پرندہ, گفتگو
🐸	مینڈک, چہرہ
🐊	جانور, مگرمچھ
🐢	جانور, کچھوا
🦎	جانور, رینگنا, چھپکلی
🐍	جانور, سانپ
🐲	جانور, چہرہ, ڈریگن, ڈریگن کا چہرہ
🐉	جانور, ڈریگن
🦕	جسیم سبزی خور ڈائنوساروں کا ایک طبقہ, سارپا
🦖	ٹائرانوسرس ریکس, ٹی ریکس
🐳	جانور, وہیل, پانی کا فوارہ نکالتی وہیل
🐋	جانور, وہیل
🐬	جانور, ڈولفن
🦭	بڑا سیل, سیل
🐟️	جانور, مچھلی
🐠	مچھلی, ٹراپکل, ٹراپکل مچھلی
🐡	بلو مچھلی, مچھلی
🦈	شارک, مچھلی
🐙	آکٹوپس, جانور
🐚	جانور, شیل, مرغولے دار شیل
🪸	سمندر, مرجان, مرجانی چٹان
🐌	جانور, گھونگھا
🦋	تتلی, خوبصورت, کیڑہ
🐛	کن کھجورا, کیڑا
🐜	چیونٹی
🐝	شہد, شہد کی مکھی, مکھی
🪲	بھونرا, کھٹمل, کیڑا
🐞	کھٹمل, کیڑا
🦗	ٹڈا, گرگٹ
🪳	تل چٹا, حشرات, لال بیگ, کیڑا
🕷️	مکڑی, کیڑا
🕸️	مکڑی, مکڑی کا جالا, کیڑا
🦂	بچھو, جانور
🦟	بخار, بیماری, ملیریا, مچھر, وائرس, کیڑا
🪰	بیماری, حشرات, خراب ہونا, مکھی, کیڑا
🪱	زمینی کیڑا, طفیلیہ, کیچوا, کیڑا
🦠	امیبا, بیکٹیریا, جرثومہ, وائرس
💐	پودہ, پھول, گلدستہ
🌸	بلاسم, پودہ, پھول, چیری, چیری بلاسم
💮	سفید پھول, پھول
🪷	بدھ مت, بھارت, طہارت, ویتنام, پھول, کنول, ہندو مت
🏵️	پودا, پھول, گلاب کا نقش
🌹	پودا, پھول, گلاب
🥀	مرجھایا, مرجھایا ہوا پھول, پھول
🌺	پودا, پھول, گل خطمی
🌻	سورج, سورج مکھی کا پھول, پودا, پھول
🌼	شگوفہ, پودا, پھول
🌷	نرگس کا پھول, پودا, پھول
🌱	ننھا, ننھا پودا, پودا
🪴	اکتاہٹ, اگنا, بیکار, نشوونما, پودا, گملے میں پودا, گھر
🌲	درخت, سدا بہار, پودا
🌳	درخت, پت جھڑ, پت جھڑ درخت, پودا
🌴	درخت, پام, پام کا درخت, پودا
🌵	پودا, کیکٹس
🌾	پودا, چاول, چاولوں کا گٹھا
🌿	جڑی بوٹی, پتا, پودا
☘️	تین پتی پھول, پودا
🍀	پتا, پودا, چار, چار پتیوں والی گھاس
🍁	میپل, میپل کے پتے, پودا, گرنا
