🦵🏻	končetina, kopanec, kopnutí, noha, noha: světlý odstín pleti, světlý odstín pleti
🤷🏿‍♂	muž, muž krčící rameny, muž krčící rameny: tmavý odstín pleti, nejistota, nerozhodnost, nevím, nevědomost, nezájem, pochybnost, pochyby, pokrčení, pokrčit, ramena, tmavý odstín pleti
🤷🏻‍♀	nejistota, nerozhodnost, nevím, nevědomost, nezájem, pochybnost, pochyby, pokrčení, pokrčit, ramena, světlý odstín pleti, žena, žena krčící rameny, žena krčící rameny: světlý odstín pleti
🤷🏼‍♀	nejistota, nerozhodnost, nevím, nevědomost, nezájem, pochybnost, pochyby, pokrčení, pokrčit, ramena, středně světlý odstín pleti, žena, žena krčící rameny, žena krčící rameny: středně světlý odstín pleti
🤷🏽‍♀	nejistota, nerozhodnost, nevím, nevědomost, nezájem, pochybnost, pochyby, pokrčení, pokrčit, ramena, střední odstín pleti, žena, žena krčící rameny, žena krčící rameny: střední odstín pleti
🤷🏾‍♀	nejistota, nerozhodnost, nevím, nevědomost, nezájem, pochybnost, pochyby, pokrčení, pokrčit, ramena, středně tmavý odstín pleti, žena, žena krčící rameny, žena krčící rameny: středně tmavý odstín pleti
🤷🏿‍♀	nejistota, nerozhodnost, nevím, nevědomost, nezájem, pochybnost, pochyby, pokrčení, pokrčit, ramena, tmavý odstín pleti, žena, žena krčící rameny, žena krčící rameny: tmavý odstín pleti
💆🏻	masáž, obličej, osoba na masáži obličeje, osoba na masáži obličeje: světlý odstín pleti, salon, světlý odstín pleti, tvář
💆🏼	masáž, obličej, osoba na masáži obličeje, osoba na masáži obličeje: středně světlý odstín pleti, salon, středně světlý odstín pleti, tvář
💆🏽	masáž, obličej, osoba na masáži obličeje, osoba na masáži obličeje: střední odstín pleti, salon, střední odstín pleti, tvář
💆🏾	masáž, obličej, osoba na masáži obličeje, osoba na masáži obličeje: středně tmavý odstín pleti, salon, středně tmavý odstín pleti, tvář
💆🏿	masáž, obličej, osoba na masáži obličeje, osoba na masáži obličeje: tmavý odstín pleti, salon, tmavý odstín pleti, tvář
💆🏻‍♂	masáž, muž, muž na masáži obličeje, muž na masáži obličeje: světlý odstín pleti, obličej, světlý odstín pleti, tvář
💆🏼‍♂	masáž, muž, muž na masáži obličeje, muž na masáži obličeje: středně světlý odstín pleti, obličej, středně světlý odstín pleti, tvář
💆🏽‍♂	masáž, muž, muž na masáži obličeje, muž na masáži obličeje: střední odstín pleti, obličej, střední odstín pleti, tvář
💆🏾‍♂	masáž, muž, muž na masáži obličeje, muž na masáži obličeje: středně tmavý odstín pleti, obličej, středně tmavý odstín pleti, tvář
💆🏿‍♂	masáž, muž, muž na masáži obličeje, muž na masáži obličeje: tmavý odstín pleti, obličej, tmavý odstín pleti, tvář
💆🏻‍♀	masáž, obličej, světlý odstín pleti, tvář, žena, žena na masáži obličeje, žena na masáži obličeje: světlý odstín pleti
💆🏼‍♀	masáž, obličej, středně světlý odstín pleti, tvář, žena, žena na masáži obličeje, žena na masáži obličeje: středně světlý odstín pleti
💆🏽‍♀	masáž, obličej, střední odstín pleti, tvář, žena, žena na masáži obličeje, žena na masáži obličeje: střední odstín pleti
💆🏾‍♀	masáž, obličej, středně tmavý odstín pleti, tvář, žena, žena na masáži obličeje, žena na masáži obličeje: středně tmavý odstín pleti
💆🏿‍♀	masáž, obličej, tmavý odstín pleti, tvář, žena, žena na masáži obličeje, žena na masáži obličeje: tmavý odstín pleti
💇🏻	holič, kadeřník, krása, osoba u kadeřníka, osoba u kadeřníka: světlý odstín pleti, salon, sestřih, stříhání, světlý odstín pleti, vlasy, účes
💇🏼	holič, kadeřník, krása, osoba u kadeřníka, osoba u kadeřníka: středně světlý odstín pleti, salon, sestřih, středně světlý odstín pleti, stříhání, vlasy, účes
💇🏽	holič, kadeřník, krása, osoba u kadeřníka, osoba u kadeřníka: střední odstín pleti, salon, sestřih, střední odstín pleti, stříhání, vlasy, účes
💇🏾	holič, kadeřník, krása, osoba u kadeřníka, osoba u kadeřníka: středně tmavý odstín pleti, salon, sestřih, středně tmavý odstín pleti, stříhání, vlasy, účes
💇🏿	holič, kadeřník, krása, osoba u kadeřníka, osoba u kadeřníka: tmavý odstín pleti, salon, sestřih, stříhání, tmavý odstín pleti, vlasy, účes
💇🏻‍♂	holič, kadeřník, krása, muž, muž u kadeřníka, muž u kadeřníka: světlý odstín pleti, salon, sestřih, stříhání, světlý odstín pleti, vlasy, účes
💇🏼‍♂	holič, kadeřník, krása, muž, muž u kadeřníka, muž u kadeřníka: středně světlý odstín pleti, salon, sestřih, středně světlý odstín pleti, stříhání, vlasy, účes
💇🏽‍♂	holič, kadeřník, krása, muž, muž u kadeřníka, muž u kadeřníka: střední odstín pleti, salon, sestřih, střední odstín pleti, stříhání, vlasy, účes
💇🏾‍♂	holič, kadeřník, krása, muž, muž u kadeřníka, muž u kadeřníka: středně tmavý odstín pleti, salon, sestřih, středně tmavý odstín pleti, stříhání, vlasy, účes
💇🏿‍♂	holič, kadeřník, krása, muž, muž u kadeřníka, muž u kadeřníka: tmavý odstín pleti, salon, sestřih, stříhání, tmavý odstín pleti, vlasy, účes
💇🏻‍♀	holič, kadeřník, krása, salon, sestřih, stříhání, světlý odstín pleti, vlasy, účes, žena, žena u kadeřníka, žena u kadeřníka: světlý odstín pleti
💇🏼‍♀	holič, kadeřník, krása, salon, sestřih, středně světlý odstín pleti, stříhání, vlasy, účes, žena, žena u kadeřníka, žena u kadeřníka: středně světlý odstín pleti
💇🏽‍♀	holič, kadeřník, krása, salon, sestřih, střední odstín pleti, stříhání, vlasy, účes, žena, žena u kadeřníka, žena u kadeřníka: střední odstín pleti
💇🏾‍♀	holič, kadeřník, krása, salon, sestřih, středně tmavý odstín pleti, stříhání, vlasy, účes, žena, žena u kadeřníka, žena u kadeřníka: středně tmavý odstín pleti
💇🏿‍♀	holič, kadeřník, krása, salon, sestřih, stříhání, tmavý odstín pleti, vlasy, účes, žena, žena u kadeřníka, žena u kadeřníka: tmavý odstín pleti
🚶🏻	chodec, chůze, osoba v chůzi, osoba v chůzi: světlý odstín pleti, procházka, pěšky, pěší, světlý odstín pleti, túra
🚶🏼	chodec, chůze, osoba v chůzi, osoba v chůzi: středně světlý odstín pleti, procházka, pěšky, pěší, středně světlý odstín pleti, túra
🚶🏽	chodec, chůze, osoba v chůzi, osoba v chůzi: střední odstín pleti, procházka, pěšky, pěší, střední odstín pleti, túra
🚶🏾	chodec, chůze, osoba v chůzi, osoba v chůzi: středně tmavý odstín pleti, procházka, pěšky, pěší, středně tmavý odstín pleti, túra
🚶🏿	chodec, chůze, osoba v chůzi, osoba v chůzi: tmavý odstín pleti, procházka, pěšky, pěší, tmavý odstín pleti, túra
🚶🏻‍♂	chodec, chůze, muž, muž v chůzi, muž v chůzi: světlý odstín pleti, procházka, pěšky, pěší, světlý odstín pleti, túra
🚶🏼‍♂	chodec, chůze, muž, muž v chůzi, muž v chůzi: středně světlý odstín pleti, procházka, pěšky, pěší, středně světlý odstín pleti, túra
🚶🏽‍♂	chodec, chůze, muž, muž v chůzi, muž v chůzi: střední odstín pleti, procházka, pěšky, pěší, střední odstín pleti, túra
🚶🏾‍♂	chodec, chůze, muž, muž v chůzi, muž v chůzi: středně tmavý odstín pleti, procházka, pěšky, pěší, středně tmavý odstín pleti, túra
🚶🏿‍♂	chodec, chůze, muž, muž v chůzi, muž v chůzi: tmavý odstín pleti, procházka, pěšky, pěší, tmavý odstín pleti, túra
🚶🏻‍♀	chodec, chůze, procházka, pěšky, pěší, světlý odstín pleti, túra, žena, žena v chůzi, žena v chůzi: světlý odstín pleti
🚶🏼‍♀	chodec, chůze, procházka, pěšky, pěší, středně světlý odstín pleti, túra, žena, žena v chůzi, žena v chůzi: středně světlý odstín pleti
🚶🏽‍♀	chodec, chůze, procházka, pěšky, pěší, střední odstín pleti, túra, žena, žena v chůzi, žena v chůzi: střední odstín pleti
🚶🏾‍♀	chodec, chůze, procházka, pěšky, pěší, středně tmavý odstín pleti, túra, žena, žena v chůzi, žena v chůzi: středně tmavý odstín pleti
🚶🏿‍♀	chodec, chůze, procházka, pěšky, pěší, tmavý odstín pleti, túra, žena, žena v chůzi, žena v chůzi: tmavý odstín pleti
🏃🏻	běh, běžící osoba, běžící osoba: světlý odstín pleti, maraton, světlý odstín pleti
🏃🏼	běh, běžící osoba, běžící osoba: středně světlý odstín pleti, maraton, středně světlý odstín pleti
🏃🏽	běh, běžící osoba, běžící osoba: střední odstín pleti, maraton, střední odstín pleti
🏃🏾	běh, běžící osoba, běžící osoba: středně tmavý odstín pleti, maraton, středně tmavý odstín pleti
🏃🏿	běh, běžící osoba, běžící osoba: tmavý odstín pleti, maraton, tmavý odstín pleti
🏃🏻‍♂	běh, běžící muž, běžící muž: světlý odstín pleti, maraton, muž, světlý odstín pleti, závod
🏃🏼‍♂	běh, běžící muž, běžící muž: středně světlý odstín pleti, maraton, muž, středně světlý odstín pleti, závod
🏃🏽‍♂	běh, běžící muž, běžící muž: střední odstín pleti, maraton, muž, střední odstín pleti, závod
🏃🏾‍♂	běh, běžící muž, běžící muž: středně tmavý odstín pleti, maraton, muž, středně tmavý odstín pleti, závod
🏃🏿‍♂	běh, běžící muž, běžící muž: tmavý odstín pleti, maraton, muž, tmavý odstín pleti, závod
🏃🏻‍♀	běh, běžící žena, běžící žena: světlý odstín pleti, maraton, světlý odstín pleti, závod, žena
🏃🏼‍♀	běh, běžící žena, běžící žena: středně světlý odstín pleti, maraton, středně světlý odstín pleti, závod, žena
🏃🏽‍♀	běh, běžící žena, běžící žena: střední odstín pleti, maraton, střední odstín pleti, závod, žena
🏃🏾‍♀	běh, běžící žena, běžící žena: středně tmavý odstín pleti, maraton, středně tmavý odstín pleti, závod, žena
🏃🏿‍♀	běh, běžící žena, běžící žena: tmavý odstín pleti, maraton, tmavý odstín pleti, závod, žena
💃🏻	světlý odstín pleti, tanec, tanečnice, tanečnice: světlý odstín pleti, žena
💃🏼	středně světlý odstín pleti, tanec, tanečnice, tanečnice: středně světlý odstín pleti, žena
💃🏽	střední odstín pleti, tanec, tanečnice, tanečnice: střední odstín pleti, žena
💃🏾	středně tmavý odstín pleti, tanec, tanečnice, tanečnice: středně tmavý odstín pleti, žena
💃🏿	tanec, tanečnice, tanečnice: tmavý odstín pleti, tmavý odstín pleti, žena
🕺🏻	muž, světlý odstín pleti, tanec, tanečník, tanečník: světlý odstín pleti
🕺🏼	muž, středně světlý odstín pleti, tanec, tanečník, tanečník: středně světlý odstín pleti
🕺🏽	muž, střední odstín pleti, tanec, tanečník, tanečník: střední odstín pleti
🕺🏾	muž, středně tmavý odstín pleti, tanec, tanečník, tanečník: středně tmavý odstín pleti
🕺🏿	muž, tanec, tanečník, tanečník: tmavý odstín pleti, tmavý odstín pleti
🧖🏻	lázeň, lázně, osoba v sauně, osoba v sauně: světlý odstín pleti, parní, pára, sauna, světlý odstín pleti
🧖🏼	lázeň, lázně, osoba v sauně, osoba v sauně: středně světlý odstín pleti, parní, pára, sauna, středně světlý odstín pleti
🧖🏽	lázeň, lázně, osoba v sauně, osoba v sauně: střední odstín pleti, parní, pára, sauna, střední odstín pleti
🧖🏾	lázeň, lázně, osoba v sauně, osoba v sauně: středně tmavý odstín pleti, parní, pára, sauna, středně tmavý odstín pleti
🧖🏿	lázeň, lázně, osoba v sauně, osoba v sauně: tmavý odstín pleti, parní, pára, sauna, tmavý odstín pleti
🧖🏻‍♀	lázeň, lázně, parní, pára, sauna, světlý odstín pleti, žena v sauně, žena v sauně: světlý odstín pleti
🧖🏼‍♀	lázeň, lázně, parní, pára, sauna, středně světlý odstín pleti, žena v sauně, žena v sauně: středně světlý odstín pleti
🧖🏽‍♀	lázeň, lázně, parní, pára, sauna, střední odstín pleti, žena v sauně, žena v sauně: střední odstín pleti
🧖🏾‍♀	lázeň, lázně, parní, pára, sauna, středně tmavý odstín pleti, žena v sauně, žena v sauně: středně tmavý odstín pleti
🧖🏿‍♀	lázeň, lázně, parní, pára, sauna, tmavý odstín pleti, žena v sauně, žena v sauně: tmavý odstín pleti
🧖🏻‍♂	lázeň, lázně, muž v sauně, muž v sauně: světlý odstín pleti, parní, pára, sauna, světlý odstín pleti
🧖🏼‍♂	lázeň, lázně, muž v sauně, muž v sauně: středně světlý odstín pleti, parní, pára, sauna, středně světlý odstín pleti
🧖🏽‍♂	lázeň, lázně, muž v sauně, muž v sauně: střední odstín pleti, parní, pára, sauna, střední odstín pleti
🧖🏾‍♂	lázeň, lázně, muž v sauně, muž v sauně: středně tmavý odstín pleti, parní, pára, sauna, středně tmavý odstín pleti
🧖🏿‍♂	lázeň, lázně, muž v sauně, muž v sauně: tmavý odstín pleti, parní, pára, sauna, tmavý odstín pleti
🧗🏻	horolezec, lezec, lezec: světlý odstín pleti, stěna, světlý odstín pleti
🧗🏼	horolezec, lezec, lezec: středně světlý odstín pleti, stěna, středně světlý odstín pleti
🧗🏽	horolezec, lezec, lezec: střední odstín pleti, stěna, střední odstín pleti
🧗🏾	horolezec, lezec, lezec: středně tmavý odstín pleti, stěna, středně tmavý odstín pleti
🧗🏿	horolezec, lezec, lezec: tmavý odstín pleti, stěna, tmavý odstín pleti
🧗🏻‍♀	horolezkyně, horolezkyně: světlý odstín pleti, lezkyně, stěna, světlý odstín pleti
🧗🏼‍♀	horolezkyně, horolezkyně: středně světlý odstín pleti, lezkyně, stěna, středně světlý odstín pleti
🧗🏽‍♀	horolezkyně, horolezkyně: střední odstín pleti, lezkyně, stěna, střední odstín pleti
🧗🏾‍♀	horolezkyně, horolezkyně: středně tmavý odstín pleti, lezkyně, stěna, středně tmavý odstín pleti
🧗🏿‍♀	horolezkyně, horolezkyně: tmavý odstín pleti, lezkyně, stěna, tmavý odstín pleti
🧗🏻‍♂	horolezec, horolezec: světlý odstín pleti, lezec, stěna, světlý odstín pleti
🧗🏼‍♂	horolezec, horolezec: středně světlý odstín pleti, lezec, stěna, středně světlý odstín pleti
🧗🏽‍♂	horolezec, horolezec: střední odstín pleti, lezec, stěna, střední odstín pleti
🧗🏾‍♂	horolezec, horolezec: středně tmavý odstín pleti, lezec, stěna, středně tmavý odstín pleti
🧗🏿‍♂	horolezec, horolezec: tmavý odstín pleti, lezec, stěna, tmavý odstín pleti
🧘🏻	jóga, lotos, lotosová, meditace, osoba v lotosovém sedu, osoba v lotosovém sedu: světlý odstín pleti, pozice, světlý odstín pleti
🧘🏼	jóga, lotos, lotosová, meditace, osoba v lotosovém sedu, osoba v lotosovém sedu: středně světlý odstín pleti, pozice, středně světlý odstín pleti
🧘🏽	jóga, lotos, lotosová, meditace, osoba v lotosovém sedu, osoba v lotosovém sedu: střední odstín pleti, pozice, střední odstín pleti
🧘🏾	jóga, lotos, lotosová, meditace, osoba v lotosovém sedu, osoba v lotosovém sedu: středně tmavý odstín pleti, pozice, středně tmavý odstín pleti
🧘🏿	jóga, lotos, lotosová, meditace, osoba v lotosovém sedu, osoba v lotosovém sedu: tmavý odstín pleti, pozice, tmavý odstín pleti
🧘🏻‍♀	jóga, lotos, lotosová, meditace, pozice, světlý odstín pleti, žena v lotosovém sedu, žena v lotosovém sedu: světlý odstín pleti
🧘🏼‍♀	jóga, lotos, lotosová, meditace, pozice, středně světlý odstín pleti, žena v lotosovém sedu, žena v lotosovém sedu: středně světlý odstín pleti
🧘🏽‍♀	jóga, lotos, lotosová, meditace, pozice, střední odstín pleti, žena v lotosovém sedu, žena v lotosovém sedu: střední odstín pleti
🧘🏾‍♀	jóga, lotos, lotosová, meditace, pozice, středně tmavý odstín pleti, žena v lotosovém sedu, žena v lotosovém sedu: středně tmavý odstín pleti
🧘🏿‍♀	jóga, lotos, lotosová, meditace, pozice, tmavý odstín pleti, žena v lotosovém sedu, žena v lotosovém sedu: tmavý odstín pleti
🧘🏻‍♂	jóga, lotos, lotosová, meditace, muž v lotosovém sedu, muž v lotosovém sedu: světlý odstín pleti, pozice, světlý odstín pleti
🧘🏼‍♂	jóga, lotos, lotosová, meditace, muž v lotosovém sedu, muž v lotosovém sedu: středně světlý odstín pleti, pozice, středně světlý odstín pleti
🧘🏽‍♂	jóga, lotos, lotosová, meditace, muž v lotosovém sedu, muž v lotosovém sedu: střední odstín pleti, pozice, střední odstín pleti
🧘🏾‍♂	jóga, lotos, lotosová, meditace, muž v lotosovém sedu, muž v lotosovém sedu: středně tmavý odstín pleti, pozice, středně tmavý odstín pleti
🧘🏿‍♂	jóga, lotos, lotosová, meditace, muž v lotosovém sedu, muž v lotosovém sedu: tmavý odstín pleti, pozice, tmavý odstín pleti
🛀🏻	koupel, koupelna, osoba ve vaně, osoba ve vaně: světlý odstín pleti, světlý odstín pleti, vana
🛀🏼	koupel, koupelna, osoba ve vaně, osoba ve vaně: středně světlý odstín pleti, středně světlý odstín pleti, vana
🛀🏽	koupel, koupelna, osoba ve vaně, osoba ve vaně: střední odstín pleti, střední odstín pleti, vana
🛀🏾	koupel, koupelna, osoba ve vaně, osoba ve vaně: středně tmavý odstín pleti, středně tmavý odstín pleti, vana
🛀🏿	koupel, koupelna, osoba ve vaně, osoba ve vaně: tmavý odstín pleti, tmavý odstín pleti, vana
🛌🏻	hotel, osoba v posteli, osoba v posteli: světlý odstín pleti, spánek, světlý odstín pleti
🛌🏼	hotel, osoba v posteli, osoba v posteli: středně světlý odstín pleti, spánek, středně světlý odstín pleti
🛌🏽	hotel, osoba v posteli, osoba v posteli: střední odstín pleti, spánek, střední odstín pleti
🛌🏾	hotel, osoba v posteli, osoba v posteli: středně tmavý odstín pleti, spánek, středně tmavý odstín pleti
🛌🏿	hotel, osoba v posteli, osoba v posteli: tmavý odstín pleti, spánek, tmavý odstín pleti
🕴🏻	byznys, levitující byznysmen, levitující byznysmen: světlý odstín pleti, muž, oblek, světlý odstín pleti
🕴🏼	byznys, levitující byznysmen, levitující byznysmen: středně světlý odstín pleti, muž, oblek, středně světlý odstín pleti
🕴🏽	byznys, levitující byznysmen, levitující byznysmen: střední odstín pleti, muž, oblek, střední odstín pleti
🕴🏾	byznys, levitující byznysmen, levitující byznysmen: středně tmavý odstín pleti, muž, oblek, středně tmavý odstín pleti
🕴🏿	byznys, levitující byznysmen, levitující byznysmen: tmavý odstín pleti, muž, oblek, tmavý odstín pleti
🏇🏻	dostihový kůň, dostihy, kůň, světlý odstín pleti, závod, žokej, žokej na koni, žokej na koni: světlý odstín pleti
🏇🏼	dostihový kůň, dostihy, kůň, středně světlý odstín pleti, závod, žokej, žokej na koni, žokej na koni: středně světlý odstín pleti
🏇🏽	dostihový kůň, dostihy, kůň, střední odstín pleti, závod, žokej, žokej na koni, žokej na koni: střední odstín pleti
🏇🏾	dostihový kůň, dostihy, kůň, středně tmavý odstín pleti, závod, žokej, žokej na koni, žokej na koni: středně tmavý odstín pleti
🏇🏿	dostihový kůň, dostihy, kůň, tmavý odstín pleti, závod, žokej, žokej na koni, žokej na koni: tmavý odstín pleti
🏂🏻	lyže, snowboard, snowboardista, snowboardista: světlý odstín pleti, sníh, světlý odstín pleti
🏂🏼	lyže, snowboard, snowboardista, snowboardista: středně světlý odstín pleti, sníh, středně světlý odstín pleti
🏂🏽	lyže, snowboard, snowboardista, snowboardista: střední odstín pleti, sníh, střední odstín pleti
🏂🏾	lyže, snowboard, snowboardista, snowboardista: středně tmavý odstín pleti, sníh, středně tmavý odstín pleti
🏂🏿	lyže, snowboard, snowboardista, snowboardista: tmavý odstín pleti, sníh, tmavý odstín pleti
🏌🏻	golf, míček, osoba hrající golf, osoba hrající golf: světlý odstín pleti, světlý odstín pleti
🏌🏼	golf, míček, osoba hrající golf, osoba hrající golf: středně světlý odstín pleti, středně světlý odstín pleti
🏌🏽	golf, míček, osoba hrající golf, osoba hrající golf: střední odstín pleti, střední odstín pleti
🏌🏾	golf, míček, osoba hrající golf, osoba hrající golf: středně tmavý odstín pleti, středně tmavý odstín pleti
🏌🏿	golf, míček, osoba hrající golf, osoba hrající golf: tmavý odstín pleti, tmavý odstín pleti
🏌🏻‍♂	golf, golfista, golfista: světlý odstín pleti, muž, světlý odstín pleti
🏌🏼‍♂	golf, golfista, golfista: středně světlý odstín pleti, muž, středně světlý odstín pleti
🏌🏽‍♂	golf, golfista, golfista: střední odstín pleti, muž, střední odstín pleti
🏌🏾‍♂	golf, golfista, golfista: středně tmavý odstín pleti, muž, středně tmavý odstín pleti
🏌🏿‍♂	golf, golfista, golfista: tmavý odstín pleti, muž, tmavý odstín pleti
🏌🏻‍♀	golf, golfistka, golfistka: světlý odstín pleti, světlý odstín pleti, žena
🏌🏼‍♀	golf, golfistka, golfistka: středně světlý odstín pleti, středně světlý odstín pleti, žena
🏌🏽‍♀	golf, golfistka, golfistka: střední odstín pleti, střední odstín pleti, žena
🏌🏾‍♀	golf, golfistka, golfistka: středně tmavý odstín pleti, středně tmavý odstín pleti, žena
🏌🏿‍♀	golf, golfistka, golfistka: tmavý odstín pleti, tmavý odstín pleti, žena
🏄🏻	osoba na surfu, osoba na surfu: světlý odstín pleti, prkno, surf, surfing, surfování, světlý odstín pleti
🏄🏼	osoba na surfu, osoba na surfu: středně světlý odstín pleti, prkno, středně světlý odstín pleti, surf, surfing, surfování
🏄🏽	osoba na surfu, osoba na surfu: střední odstín pleti, prkno, střední odstín pleti, surf, surfing, surfování
🏄🏾	osoba na surfu, osoba na surfu: středně tmavý odstín pleti, prkno, středně tmavý odstín pleti, surf, surfing, surfování
🏄🏿	osoba na surfu, osoba na surfu: tmavý odstín pleti, prkno, surf, surfing, surfování, tmavý odstín pleti
🏄🏻‍♂	muž, prkno, surf, surfař, surfař: světlý odstín pleti, surfing, surfování, světlý odstín pleti
🏄🏼‍♂	muž, prkno, středně světlý odstín pleti, surf, surfař, surfař: středně světlý odstín pleti, surfing, surfování
🏄🏽‍♂	muž, prkno, střední odstín pleti, surf, surfař, surfař: střední odstín pleti, surfing, surfování
🏄🏾‍♂	muž, prkno, středně tmavý odstín pleti, surf, surfař, surfař: středně tmavý odstín pleti, surfing, surfování
🏄🏿‍♂	muž, prkno, surf, surfař, surfař: tmavý odstín pleti, surfing, surfování, tmavý odstín pleti
🏄🏻‍♀	prkno, surf, surfařka, surfařka: světlý odstín pleti, surfing, surfování, světlý odstín pleti, žena
🏄🏼‍♀	prkno, středně světlý odstín pleti, surf, surfařka, surfařka: středně světlý odstín pleti, surfing, surfování, žena
🏄🏽‍♀	prkno, střední odstín pleti, surf, surfařka, surfařka: střední odstín pleti, surfing, surfování, žena
🏄🏾‍♀	prkno, středně tmavý odstín pleti, surf, surfařka, surfařka: středně tmavý odstín pleti, surfing, surfování, žena
🏄🏿‍♀	prkno, surf, surfařka, surfařka: tmavý odstín pleti, surfing, surfování, tmavý odstín pleti, žena
🚣🏻	loďka, plavidlo, pramice, světlý odstín pleti, veslice, veslování, veslující osoba, veslující osoba: světlý odstín pleti, člun
🚣🏼	loďka, plavidlo, pramice, středně světlý odstín pleti, veslice, veslování, veslující osoba, veslující osoba: středně světlý odstín pleti, člun
🚣🏽	loďka, plavidlo, pramice, střední odstín pleti, veslice, veslování, veslující osoba, veslující osoba: střední odstín pleti, člun
🚣🏾	loďka, plavidlo, pramice, středně tmavý odstín pleti, veslice, veslování, veslující osoba, veslující osoba: středně tmavý odstín pleti, člun
🚣🏿	loďka, plavidlo, pramice, tmavý odstín pleti, veslice, veslování, veslující osoba, veslující osoba: tmavý odstín pleti, člun
🚣🏻‍♂	loďka, muž, plavidlo, pramice, světlý odstín pleti, veslař, veslař: světlý odstín pleti, veslice, veslování, člun
🚣🏼‍♂	loďka, muž, plavidlo, pramice, středně světlý odstín pleti, veslař, veslař: středně světlý odstín pleti, veslice, veslování, člun
🚣🏽‍♂	loďka, muž, plavidlo, pramice, střední odstín pleti, veslař, veslař: střední odstín pleti, veslice, veslování, člun
🚣🏾‍♂	loďka, muž, plavidlo, pramice, středně tmavý odstín pleti, veslař, veslař: středně tmavý odstín pleti, veslice, veslování, člun
🚣🏿‍♂	loďka, muž, plavidlo, pramice, tmavý odstín pleti, veslař, veslař: tmavý odstín pleti, veslice, veslování, člun
🚣🏻‍♀	loďka, plavidlo, pramice, světlý odstín pleti, veslařka, veslařka: světlý odstín pleti, veslice, veslování, člun, žena
🚣🏼‍♀	loďka, plavidlo, pramice, středně světlý odstín pleti, veslařka, veslařka: středně světlý odstín pleti, veslice, veslování, člun, žena
🚣🏽‍♀	loďka, plavidlo, pramice, střední odstín pleti, veslařka, veslařka: střední odstín pleti, veslice, veslování, člun, žena
🚣🏾‍♀	loďka, plavidlo, pramice, středně tmavý odstín pleti, veslařka, veslařka: středně tmavý odstín pleti, veslice, veslování, člun, žena
🚣🏿‍♀	loďka, plavidlo, pramice, tmavý odstín pleti, veslařka, veslařka: tmavý odstín pleti, veslice, veslování, člun, žena
🏊🏻	plavající osoba, plavající osoba: světlý odstín pleti, plavání, světlý odstín pleti
🏊🏼	plavající osoba, plavající osoba: středně světlý odstín pleti, plavání, středně světlý odstín pleti
🏊🏽	plavající osoba, plavající osoba: střední odstín pleti, plavání, střední odstín pleti
🏊🏾	plavající osoba, plavající osoba: středně tmavý odstín pleti, plavání, středně tmavý odstín pleti
🏊🏿	plavající osoba, plavající osoba: tmavý odstín pleti, plavání, tmavý odstín pleti
🏊🏻‍♂	muž, plavec, plavec: světlý odstín pleti, plavání, světlý odstín pleti
🏊🏼‍♂	muž, plavec, plavec: středně světlý odstín pleti, plavání, středně světlý odstín pleti
🏊🏽‍♂	muž, plavec, plavec: střední odstín pleti, plavání, střední odstín pleti
🏊🏾‍♂	muž, plavec, plavec: středně tmavý odstín pleti, plavání, středně tmavý odstín pleti
🏊🏿‍♂	muž, plavec, plavec: tmavý odstín pleti, plavání, tmavý odstín pleti
🏊🏻‍♀	plavkyně, plavkyně: světlý odstín pleti, plavání, světlý odstín pleti, žena
🏊🏼‍♀	plavkyně, plavkyně: středně světlý odstín pleti, plavání, středně světlý odstín pleti, žena
🏊🏽‍♀	plavkyně, plavkyně: střední odstín pleti, plavání, střední odstín pleti, žena
🏊🏾‍♀	plavkyně, plavkyně: středně tmavý odstín pleti, plavání, středně tmavý odstín pleti, žena
🏊🏿‍♀	plavkyně, plavkyně: tmavý odstín pleti, plavání, tmavý odstín pleti, žena
⛹🏻	míč, osoba driblující s míčem, osoba driblující s míčem: světlý odstín pleti, světlý odstín pleti
⛹🏼	míč, osoba driblující s míčem, osoba driblující s míčem: středně světlý odstín pleti, středně světlý odstín pleti
⛹🏽	míč, osoba driblující s míčem, osoba driblující s míčem: střední odstín pleti, střední odstín pleti
⛹🏾	míč, osoba driblující s míčem, osoba driblující s míčem: středně tmavý odstín pleti, středně tmavý odstín pleti
⛹🏿	míč, osoba driblující s míčem, osoba driblující s míčem: tmavý odstín pleti, tmavý odstín pleti
⛹🏻‍♂	muž, muž driblující s míčem, muž driblující s míčem: světlý odstín pleti, míč, světlý odstín pleti
⛹🏼‍♂	muž, muž driblující s míčem, muž driblující s míčem: středně světlý odstín pleti, míč, středně světlý odstín pleti
⛹🏽‍♂	muž, muž driblující s míčem, muž driblující s míčem: střední odstín pleti, míč, střední odstín pleti
⛹🏾‍♂	muž, muž driblující s míčem, muž driblující s míčem: středně tmavý odstín pleti, míč, středně tmavý odstín pleti
⛹🏿‍♂	muž, muž driblující s míčem, muž driblující s míčem: tmavý odstín pleti, míč, tmavý odstín pleti
⛹🏻‍♀	míč, světlý odstín pleti, žena, žena driblující s míčem, žena driblující s míčem: světlý odstín pleti
⛹🏼‍♀	míč, středně světlý odstín pleti, žena, žena driblující s míčem, žena driblující s míčem: středně světlý odstín pleti
⛹🏽‍♀	míč, střední odstín pleti, žena, žena driblující s míčem, žena driblující s míčem: střední odstín pleti
