‾	надчеркивание
🌐	Земля, глобус, земной шар, меридиан, меридианы, шар
🗺️	карта, карта мира, мир
🗾	Япония, карта, карта Японии
🧭	компас, прибор, путешествие, стороны света
🏔️	вершина, гора, гора со снежной шапкой, снег
⛰️	вершина, гора, пик
🌋	вулкан, извержение вулкана, кратер, лава
🗻	Фудзияма, вулкан, гора
🏕️	кемпинг, лагерь, палатка
🏖️	зонт, море, пляж
🏜️	кактус, песок, пустыня, солнце
🏝️	необитаемый, остров, пальма, пустыня
🏞️	заповедник, национальный парк, парк, природа
🏟️	матч, стадион, чаша
🏛️	античное здание, античность, классический стиль, колонны, храм
🏗️	кран, строительство, стройка
🧱	кирпич, кирпичи, кирпичная кладка, кирпичная стена
🪨	булыжник, камень, скала, твердый, тяжелый
🪵	бревно, древесина, дрова, лес
🛖	дом, хижина, юрта
🏘️	дома, здания, много, много домов, много зданий
🏚️	дом, заброшенный, заброшенный дом, упадок
🏠️	дом, здание, крыша, стены
🏡	дом, дом с садом, крыша, сад, стены
🏢	бизнес-центр, здание, офис, офисное здание
🏣	здание, почта, япония, японская почта
🏤	европа, здание, почта
🏥	больница, больные, врачи, здание, поликлиника, стационар, хоспис
🏦	банк, деньги, здание
🏨	гостиница, здание, отель, хостел
🏩	гостиница, гостиница для свиданий, здание, на час, отель, свидания
🏪	24 часа, здание, круглосуточный магазин, магазин, покупки, сутки
🏫	здание, обучение, учебное заведение, школа
🏬	магазин, супермаркет, торговый центр, универмаг, универсам
🏭️	завод, предприятие, промышленность, фабрика
🏯	замок, здание, япония, японский замок
🏰	башни, замок, крепость, укрепение, форт
💒	венчание, свадьба, сердечки, собор, церемония, церковь
🗼	Токийская башня, башня, вышка, телебашня, телевышка, токио
🗽	нью-йорк, свобода, статуя, статуя Свободы, факел
⛪️	здание, религия, христианство, церковь
🕌	здание, ислам, мечеть, мусульмане, религия
🛕	ашрам, индийский, индуизм, индуистский храм, храм, церковь
🕍	евреи, здание, иудаизм, религия, синагога
⛩️	дзиндзя, синтоизм, синтоистский храм, храм
🕋	Кааба, ислам, кааба, мусульмане, религия, святыня
⛲️	брызги, вода, фонтан
⛺️	кемпинг, лагерь, палатка, тент
🌁	дымка, нечетко, неясно, облака, туман, туманно
🌃	звездная ночь, звезды, ночь
🏙️	вечер, город, городской пейзаж, ночной город, ночь, пейзаж, темно
🌄	восход, восход солнца над горами, горы, заря, рассвет, солнце, утро
🌅	восход, восход солнца, заря, рассвет, солнце, утро
🌆	вечер, город, закат, закат в городе, заход, солнце
🌇	вечер, закат, заход, солнце
🌉	мост, мост ночью, ночь
♨️	гейзер, горячие, горячие источники, источники, пар, поток
🎠	карусель, лошадка, лошадь, лошадь на карусели
🛝	горка, дети, детская горка, детская площадка, играть, парк развлечений, скатываться
🎡	колесо, колесо обозрения, чертово
🎢	американские, американские горки, горки
💈	волосы, парикмахерская, салон, стрижка, цирюльник
🎪	цирк, цирковой шатер, шатер
🚂	вагон, локомотив, паровоз, поезд
🚃	вагон, поезд, трамвай, транспорт, фуникулер
🚄	дорога, железная, поезд, скоростной поезд, скорость
🚅	Синкансэн, поезд, поезд-пуля, пуля, скорость
🚆	дорога, ж/д, железная дорога, поезд, транспорт
🚇️	метро, подземка, поезд, станция
🚈	легкий рельсовый транспорт, трамвай, транспорт, электричка
🚉	вокзал, ж/д вокзал, ж/д станция, железнодорожная станция, железнодорожный вокзал, рельсы, станция
🚊	рельсы, трамвай, транспорт
🚝	легкое метро, метро, монорельс, рельсы
🚞	горы, железная дорога, поезд, поезд в горах, транспорт
🚋	вагон, рельсы, трамвай, трамвайный вагон, электричество
🚌	автобус, транспорт
🚍️	автобус, автобус спереди, лобовое стекло, приближающийся автобус
🚎	дорога, провода, транспорт, троллейбус, электричество
🚐	газель, маршрутка, микроавтобус
🚑️	больница, врачи, машина, машина скорой помощи, помощь, скорая помощь
🚒	машина, пожарная, пожарная машина, пожарные
🚓	машина, полицейская машина, полицейские, полиция
🚔️	лобовое стекло, машина, полицейская машина, полицейская машина спереди, полицейские, полиция, приближающаяся полицейская машина
🚕	машина, такси, транспорт
🚖	машина, приближающееся такси, такси, такси спереди, транспорт
🚗	автомобиль, машина, транспорт
🚘️	автомобиль, автомобиль спереди, машина, машина спереди, приближающаяся машина, приближающийся автомобиль, транспорт
🚙	SUV, автомобиль, джип, отдых, фургон
🛻	автомобиль, грузовик, машина, пикап
🚚	грузовик, грузовой транспорт, кузов, транспорт
🚛	перевозка, транспорт, фура
🚜	сельское хозяйство, трактор, транспорт
🏎️	автомобиль, гонки, гоночный автомобиль, скорость
🏍️	гонки, мотоцикл, опасность, скорость
🛵	мопед, скутер, транспорт
🦽	инвалид, коляска, кресло, кресло-коляска с ручным приводом, ручной, транспорт
🦼	инвалид, кресло, кресло-коляска, кресло-коляска с мотором, транспорт, электропривод
🛺	авторикша, мопед, рикша, такси, тук-тук, туктук
🚲️	велосипед, колеса, руль, транспорт
🛴	колеса, руль, самокат, транспорт
🛹	доска, доска с колесиками, доска с роликами, скейт, скейтборд
🛼	коньки, ролики, роликовые коньки
🚏	автобус, автобусная остановка, знак, остановка
🛣️	автострада, дорога, разметка, шоссе
🛤️	ж/д, железная дорога, рельсы, шпалы
🛢️	бочка, емкость, нефть
⛽️	АЗС, автозаправка, бензин, заправка, топливо
🛞	автомобильное колесо, диск, колесо, колпак, круг, поворот, шина
🚨	красная, мигалка, полиция
🚥	горизонтальный светофор, свет, светофор
🚦	вертикальный светофор, свет, светофор
🛑	восьмиугольник, знак, знак «стоп», остановка, стоп
🚧	барьер, заграждение, препятствие, строительные работы, строительство, стройка
⚓️	корабль, якорь
🛟	безопасность, круг, надувной, помощь, спасательный круг, спасение
⛵️	лодка, отдых, парусник, яхта
🛶	байдарка, индейцы, каноэ, каяк, лодка
🚤	вода, двигатель, катер, мотор
🛳️	круиз, лайнер, пассажирский лайнер, пассажиры, перевозки, судно
⛴️	паром, перевозки, транспорт
🛥️	вода, двигатель, лодка, мотор, моторка, моторная лодка
🚢	корабль, пароход, перевозки, судно
✈️	воздух, крылья, перевозки, самолет
🛩️	воздух, крылья, маленький, маленький самолет, перевозки, самолет
🛫	взлет, отправление, посадка, регистрация, самолет
🛬	посадка, прибытие, садится, самолет
🪂	крыло, параглайд, парасейл, парашют, парашютист, скайдайв
💺	кресло, место, пассажирское кресло, стул
🚁	вертолет, винт, воздух, лопасти
🚟	вагон, ж/д, железная дорога, подвесная, подвесная железная дорога
🚠	вагон, вагон фуникулера, кабинка, подъемник, фуникулер
🚡	дорога, канат, канатная дорога, подвесная дорога, подъемник, трамвай, тросы
🛰️	космос, спутник
🚀	космос, ракета
🛸	НЛО, инопланетяне, летающая тарелка, тарелка
🛎️	гостиница, гостиничный звонок, звук, отель, портье
🧳	багаж, путешествие, чемодан
⌛️	время, песок, песочные часы, часы
⏳️	время, время пошло, песок, песочные часы, часы
⌚️	время, запястье, наручные, наручные часы, рука, часы
⏰	будильник, время, звенит, сигнал
⏱️	кнопка, секундомер, стрелки, точность
⏲️	отсчет, сигнал, таймер, часы
🕰️	время, камин, каминные часы, украшение, часы
🕛️	время, двенадцать, двенадцать часов, полдень, полночь, часы
🕧	время, двенадцать тридцать, полпервого, часы
🕐️	время, час, часы
🕜	время, полвторого, час тридцать, часы
🕑️	время, два часа, часы
🕝	время, два тридцать, полтретьего, часы
🕒️	время, три часа, часы
🕞	время, полчетвертого, три тридцать, часы
🕓️	время, часы, четыре часа
🕟	время, полпятого, часы, четыре тридцать
🕔️	время, пять часов, часы
🕠	время, полшестого, пять тридцать, часы
🕕️	время, часы, шесть часов
🕡	время, полседьмого, часы, шесть тридцать
🕖️	время, семь часов, часы
🕢	время, полвосьмого, семь тридцать, часы
🕗️	восемь часов, время, часы
🕣	восемь тридцать, время, полдевятого, часы
🕘️	время, девять часов, часы
🕤	время, девять тридцать, полдесятого, часы
🕙️	время, десять часов, часы
🕥	время, десять тридцать, пол-одиннадцатого, часы
🕚️	время, одиннадцать часов, часы
🕦	время, одиннадцать тридцать, полдвенадцатого, часы
🌑	луна, месяц, новая луна, новолуние, темная ночь
🌒	луна, месяц, молодая, молодая луна, молодой
🌓	луна, луна в первой четверти, месяц, небо, четверть
🌔	луна, месяц, небо, прибывающая, прибывающая луна
🌕️	луна, месяц, полная, полнолуние, полный
🌖	луна, месяц, небо, убывающая, убывающая луна
🌗	луна, луна в последней четверти, месяц, небо, четверть
🌘	луна, месяц, небо, старая, старая луна, убывающая
🌙	луна, месяц, полумесяц
🌚	луна с лицом, новая луна, новая луна с лицом, новолуние, темная луна
🌛	лицо, луна, луна в первой четверти с лицом, месяц, небо, четверть
🌜️	лицо, луна, луна в последней четверти с лицом, месяц, небо, четверть
🌡️	градусник, измерение, температура, термометр
☀️	жарко, лучи, планета, погода, солнце
🌝	круглая, круглая луна, лицо, месяц, небо, полная луна, полная луна с лицом
🌞	лицо, небо, солнце, солнце с лицом
🪐	кольца, кольцо, космос, планета, планета с кольцом, сатурн
⭐️	желтая, желтая звезда, звезда
🌟	звезда, свет, сияние, сияющая звезда
🌠	желание, звезда, небо, падающая, падающая звезда
🌌	Млечный Путь, космос, молоко, путь
☁️	небо, облако, туча
⛅️	облака, облачно, солнце, солнце за облаками
⛈️	гроза, гром, дождь, молния, облако, туча
🌤️	облако, облачко, солнце, солнце за облачком, туча
🌥️	облако, солнце, солнце за облаком, туча
🌦️	грибной дождь, дождь, облако, осадки, слепой дождь, солнце, туча
🌧️	дождь, осадки, туча
🌨️	осадки, снег, туча
🌩️	гром, молния, облако, туча
🌪️	вихрь, катастрофа, смерч, торнадо, ураган
🌫️	видимость, густой туман, низкая видимость, плохая видимость, туман
🌬️	ветер, дует, дует ветер, лицо
🌀	завихрение, тайфун, циклон
🌈	дождь, осадки, радуга, цвета
🌂	дождь, закрытый зонт, зонт, зонтик, осадки
☂️	вода, дождь, зонт, зонтик, осадки, открытый зонт, погода
☔️	зонт, зонт под дождем, зонтик, зонтик под дождем, капли
⛱️	дождь, защита, зонт, зонтик, пляж, пляжный зонт, солнце
⚡️	высокое напряжение, молния, напряжение, опасность, электричество
❄️	небо, рисунок, снег, снежинка, холод
☃️	снег, снеговик, снеговик под снегом, фигура, человек, человечек
⛄️	снег, снеговик, фигура, человек, человечек
☄️	комета, космос, небо
🔥	костер, огонь, очаг, пламя
💧	вода, капля, пот
🌊	вода, волна, море, океан
🎃	Хеллоуин, праздник, тыква, тыква-фонарь, фонарь из тыквы
🎄	Новый год, Рождество, елка, новогодняя елка, праздник
🎆	пиротехника, праздник, салют, свет, фейерверк, шум
🎇	бенгальский огонь, искры, огонь, праздник
🧨	взрыв, динамит, динамитная шашка, фейерверк, шашка
✨	блестка, блестки, звезда, звезды, искры, мерцание, свет
🎈	веревочка, воздух, воздушный, воздушный шарик, праздник, шарик
🎉	бабах, вечеринка, праздник, хлопушка
🎊	вечеринка, конфетти, праздник
🎋	бамбук, бамбук с бумажными лентами, бумага, дерево, танабата
🎍	Новый год, Рождество, Япония, бамбук, растение, сосна, украшенный бамбук
🎎	две, кукла, праздник, фестиваль, японские куклы
🎏	вымпелы, вымпелы в виде карпов, карпы, палочка, рыбки, рыбы
🎐	бубенчик, ветер, звон, музыка ветра
🎑	луна, праздник, праздник Луны, церемония
🧧	деньги, конверт, красный, красный конверт, подарок, удача
🎀	бант, бантик, волосы, одежда, праздник
🎁	бантик, дарить, коробка, подарок, праздник
🎗️	лента, памятная лента, память
🎟️	билет, билеты, вход, концерт, театр
🎫	билет, билетик, пропуск, самолет, транспорт
🎖️	военная медаль, война, заслуги, медаль, одежда
🏆️	кубок, приз, трофей
🏅	достижение, медаль, место, победа, спорт, спортивная медаль
🥇	золотая медаль, золото, медаль, первое место, победа, чемпион
🥈	второе место, медаль, серебро, серебряная медаль
🥉	бронза, бронзовая медаль, медаль, третье место
⚽️	игра, мяч, спорт, футбол, футбольный
⚾️	бейсбол, бейсбольный, игра, мяч, спорт
🥎	зажать, мягкий, мяч, нести, перчатка, софтбол
🏀	баскетбол, баскетбольный, игра, мяч, спорт
🏐	волейбол, волейбольный, игра, мяч, спорт
🏈	американский, американский футбол, игра, мяч, спорт, футбол
🏉	игра, мяч, регби, спорт
🎾	игра, мяч, ракетка, спорт, теннис, теннисная, теннисный
🥏	бросать, диск, летающая тарелка, летающий диск, фрисби
🎳	боулинг, игра, кегли, шар
🏏	бита, игра, крикет, мяч, спорт
🏑	бег, игра, клюшка, трава, хоккей, хоккей на траве
🏒	игра, клюшка, лед, спорт, хоккей, шайба
🥍	гол, забить, клюшка, лакросс, мяч, ракетка
🏓	мяч, настольный теннис, пинг-понг, ракетка, стол, теннис
🏸	бадминтон, волан, воланчик, игра, ракетка, спорт
🥊	бокс, боксерская перчатка, перчатка, спорт
🥋	боевые искусства, дзюдо, карате, спортивное кимоно, тхэквондо, форма
🥅	ворота, гол, спорт, спортивные ворота
⛳️	гольф, игра, лунка, поле, спорт, флажок
⛸️	ботинок, катание, коньки, лед, лезвие, скорость, фигурное катание
🎣	крючок, леска, наживка, рыба, рыбалка, удочка, удочка с рыбой
🤿	дайвинг, маска, маска с трубкой, нырять, подводная, подводный, трубка
🎽	атлетика, бег, спорт, футболка, футболка для бега
🎿	горные лыжи, горы, лыжи, склон, снег, спорт, трасса
🛷	гора, катание, сани, санки, снег, спуск
🥌	игра, камень, керлинг, лед, спорт, щетка
🎯	дартс, доска, дротик, мишень, попадание
🪀	игрушка, йо-йо, йойо
🪁	ветер, воздушный змей, змей, летать, парить
🔫	водяной пистолет, игрушка, оружие, пистолет
🎱	8, бильярд, восьмерка, черный шар, шар
🔮	волшебство, гадание, магия, предсказание, хрусталь, хрустальный шар, шар
🪄	волшебная палочка, волшебник, волшебство, колдунья
🎮️	playstation, видеоигры, игры, компьютер, приставка
🕹️	видеоигра, джойстик, игровая приставка, игры, компьютер, приставка
🎰	автомат, азарт, деньги, игровой автомат, казино
🎲	игра, игральная кость, кости, кубик, кубики
🧩	головоломка, кусочек, кусочек пазла, мозаика, пазл
🧸	игрушка, мишка, мягкая игрушка, плюшевая игрушка, плюшевый мишка
🪅	вечеринка, пиньята, праздник
🪩	блестеть, вечеринка, диско, диско-шар, дискотека, зеркальный шар, танцы
🪆	игрушка, кукла, матрешка, матрешки, россия, русская
♠️	игра, карты, масть, пики
♥️	игра, карты, масть, червы
♦️	бубны, игра, карты, масть
♣️	игра, карты, масть, трефы
♟️	игра, пешка, фигура, шахматная фигура, шахматы
🃏	джокер, игра, карты
🀄️	Китай, игра, игральные, кости, кубики, маджонг
🎴	Ханафуда, Япония, игра, карты, цветочная карта, цветы
🎭️	искусство, маски, театр
🖼️	картина, картина в раме, картина в рамке, пейзаж, рама, рамка
🎨	краски, палитра, палитра с красками
🧵	катушка, катушка ниток, нитки, шитье
🪡	вышивка, игла, иголка, стежки, швейная игла, швы, шитье
🧶	вязание, клубок, клубок ниток, нитки, пряжа
🪢	веревка, канат, узел, шнур, шнурок
👓️	аксессуар, глаза, защита, одежда, очки
🕶️	аксессуар, защита, очки, солнечные очки, солнце, темные
🥽	защита, защитные очки, лыжная маска, маска, очки
🥼	белый халат, лаборатория, лабораторный халат, форма, халат
🦺	жилет, защитный, спасательный, спасательный жилет, спасать, экстренный
👔	галстук, завязывать, одежда, рубашка, узел
👕	короткие, одежда, рубашка, рукава, футболка
👖	брюки, джинсы, штаны
🧣	обмотать, повязать, шарф, шея
🧤	аксессуар, одежда, перчатки, руки
🧥	верхняя, куртка, одежда, пальто, пиджак
🧦	ноги, носки, чулки
👗	женская одежда, женское, одежда, платье
👘	кимоно, одежда, традиции, япония
🥻	Индия, женская, одежда, платье, сари, традиционная
🩱	закрытый, купальник, плавать, спорт, цельный, цельный купальник
🩲	купальник, плавать, плавки, трусы, шорты
🩳	белье, плавать, плавки, спорт, трусы, шорты
👙	бикини, купальник
👚	блузка, женщина, одежда, платье
👛	аксессуар, деньги, кошелек, сумка, сумочка
👜	женская, сумка, сумочка
👝	аксессуар, женское, клатч, сумочка, театр
🛍️	магазины, новое, пакеты, покупки
🎒	портфель, ранец, рюкзак, школа
🩴	вьетнамки, сланцы, шлепанцы, шлепки
👞	ботинки, ботинок, мужчина, обувь, туфли
👟	бег, кеды, кроссовки, обувь, спорт
🥾	треккинговая обувь, треккинговые ботинки, треккинговый ботинок, туристическая обувь, туристические ботинки
🥿	балетки, без каблука, обувь на плоской подошве, туфли без каблука, туфли на плоской подошве
👠	женщина, каблук, на каблуке, обувь, стиль, туфли, туфли на каблуке
👡	босоножки, женщина, каблук, лето, обувь, сандалии
🩰	балерина, балет, обувь, пуанты, танец, туфли
👢	высокая, каблук, обувь, сапог, сапоги, холодно
👑	королева, король, корона, монарх, царица, царь
👒	бант, женщина, солома, шляпка
🎩	мужчина, цилиндр, шляпа
🎓️	бонет, выпускник, выпускной, конфедератка, шапочка, шапочка выпускника
🧢	бейсболка, головной убор, кепка, шапка
🪖	армейская каска, армия, воин, каска, солдат
⛑️	головной убор, каска с белым крестом, крест, лицо, спасатель, шлем
📿	бусы, молитва, ожерелье, религия, четки
💄	губы, косметика, макияж, помада
💍	бриллиант, драгоценный, камень, кольцо, обручальное, помолвка, свадьба
💎	алмаз, драгоценность, драгоценный камень, камень, цена
🔇	без звука, громкость, звук, молчание, тихо, тишина
🔈️	громкость, динамик, звук, низкая, низкая громкость, уровень
🔉	громкость, динамик, звук, средняя, средняя громкость, уровень
🔊	высокая, высокая громкость, громкость, динамик, звук, уровень
📢	громкоговоритель, звук, обращение, объявление, рупор
📣	громкоговоритель, звук, мегафон, обращение, объявление, рупор
📯	почта, почтовый рожок, рожок
🔔	будильник, звонок, колокол, колокольчик
🔕	будильник отключен, колокол, перечеркнутый колокольчик, тихо, тишина
🎼	ключ, музыка, нотный стан, ноты, скрипичный
🎵	звук, музыка, нота
🎶	звуки, музыка, ноты
🎙️	вокал, звук, микрофон, музыка, пение, студийный микрофон
🎚️	музыка, слайдер, уровень
🎛️	звук, музыка, регулятор, регуляторы, ручка, уровень
🎤	звук, караоке, микрофон, пение
🎧️	вкладыши, гарнитура, затычки, звук, капли, музыка, наушники
📻️	передача, приемник, радио, сигнал
🎷	инструмент, музыка, музыкальный инструмент, саксофон
🪗	аккордеон, баян, гармонь, гармошка, концертина
🎸	гитара, инструмент, музыка, музыкальный инструмент
🎹	инструмент, клавиши, клавишные, пианино, синтезатор
🎺	духовой инструмент, инструмент, музыка, музыкальный инструмент, труба
🎻	инструмент, музыка, скрипка, смычок, струнный инструмент
🪕	банджо, гитара, играть, инструмент, музыка, струнный
🥁	барабан, инструмент, музыка, музыкальный инструмент, палочки, ударные
🪘	барабан, бит, конга, ритм
📱	мобильник, мобильный, мобильный телефон, смартфон, сотовый, телефон
📲	входящий вызов, вызов, мобильный телефон, смартфон, сотовый
☎️	аппарат, линия, телефон, трубка
📞	телефон, телефонная трубка, трубка
📟️	пейджер, сообщение, строка, экран
📠	бумага, сообщение, факс
🔋	аккумулятор, батарейка, батарея, заряд, уровень заряда
🪫	батарея, мало зарядки, низкий заряд, низкий уровень заряда, разрядилась
🔌	вилка, розетка, штекер, штепсель, электричество
💻️	компьютер, ноутбук, портативный
🖥️	компьютер, настольный
🖨️	бумага, печать, принтер
⌨️	клавиатура, клавиши, периферия
🖱️	кнопки, мышка, мышь, периферия, устройство
🖲️	ввод, компьютер, трекбол, шар
💽	диск, компьютер, компьютерный диск, оптический диск
💾	данные, дискета, компьютер, носитель
💿️	CD, cd, диск, компакт, компакт-диск, сиди, формат
📀	DVD, dvd, двд, двд-диск, дивиди, диск, формат
🧮	вычисления, подсчет, счеты
🎥	видеокамера, камера, кино, кинокамера, снять, съемка, фильм
🎞️	кадр, кинематограф, кино, кинопленка, пленка, фильм
📽️	видео, кино, кинопроектор, показ, проектор
🎬️	кино, киносъемки, нумератор, нумератор с хлопушкой, сцена, хлопушка, хлопушка-нумератор
📺️	тв, телевидение, телевизор
📷️	съемка, фото, фотоаппарат, фотокамера
📸	вспышка, съемка, фото, фотоаппарат, фотоаппарат со вспышкой, фотокамера
📹️	видео, видеокамера, запись, съемка
📼	видео, видеокассета, кассета, пленка
🔍	влево, лупа, лупа, наклоненная влево, стекло, увеличительное стекло
🔎	вправо, лупа, лупа, наклоненная вправо, стекло, увеличительное стекло
🕯️	воск, огонь, пламя, свет, свеча, свечка, тепло
💡	идея, лампа, лампочка, свет, эврика, электричество
🔦	свет, фонарик, фонарь, электричество
🏮	бумажный фонарик, китайский фонарик, красный бумажный фонарик, красный фонарик, фонарик
🪔	гореть, дия, лампа, масло, масляная лампа, свет
📔	блокнот, записная, записная книжка, книжка, красивая, обложка
📕	закрытая книга, закрытая книжка, захлопнутая книга, захлопнутая книжка, обложка
📖	книга, открытая книга, открытая книжка, раскрытая книга, раскрытая книжка
📗	зеленая, зеленая книга, книга, книжка
📘	голубая книга, голубая книжка, книга, синяя книга, синяя книжка
📙	книга, книжка, оранжевая, оранжевая книга
📚️	книги, книжки, много книг, стопка, стопка книг
📓	блокнот, записная книжка, тетрадка, тетрадь
📒	блокнот, блокнотик, записная книжка, тетрадка, тетрадь
📃	документ, загнутая страница, загнутый лист, лист с загибом, страница с загибом
📜	бумага, свиток
📄	вертикально, лист, страница
📰	газета, известия, издание, новости, печать
🗞	бумага, газета, новости, свернутая, свернутая газета
📑	закладки, клеящиеся закладки, наклейки, стикеры, стикеры-закладки
🔖	закладка, книга, книжка, отметка
🏷️	бирка, сведения, этикетка, ярлык
💰️	банкноты, деньги, доллар, доллары, мешок, мешок денег, много
🪙	деньги, золото, казна, металл, монета, серебро
💴	банкнота, банкнота иены, валюта, деньги, иена, япония
💵	австралия, банкнота, банкнота доллара, валюта, доллар, сша
💶	банкнота, банкнота евро, валюта, деньги, евро, евросоюз
💷	англия, банкнота, банкнота фунта, великобритания, фунт, фунт стерлингов
💸	банкнота, банкнота с крылышками, деньги, крылья, летающая банкнота
💳️	банковская карта, банковская карточка, деньги, карта, карточка, кредитная карта, кредитная карточка
🧾	бухгалтерия, счет, чек
💹	биржа, валюта, деньги, рост, рынок, тенденция
✉️	конверт, письмо, почта, сообщение, электронное письмо, электронное сообщение
📧	конверт, письмо, почта, сообщение, электронная почта, электронное письмо, электронное сообщение
📨	входящее, входящее письмо, конверт, получение, сообщение, электронное
📩	исходящее, исходящее письмо, отправка, сообщение, стрелка, электронное
📤️	исходящие, исходящие письма, отправленные, отправленные письма, почтовый ящик
📥️	входящие, входящие письма, полученные, полученные письма, почтовый ящик
📦️	коробка, посылка, почта
📫️	закрыт, закрытый почтовый ящик с поднятым флажком, поднятый, почта, почтовый, флаг, ящик
📪️	закрыт, закрытый почтовый ящик с опущенным флажком, опущенный, почта, почтовый, флаг, ящик
📬️	открыт, открытый почтовый ящик с поднятым флажком, поднятый, почта, почтовый, флаг, ящик
📭️	опущенный, открыт, открытый почтовый ящик с опущенным флажком, почта, почтовый, флаг, ящик
📮	корреспонденция, почта, почтовый, почтовый ящик, ящик
🗳️	бюллетень, выборы, избирательная урна, избирательный ящик, урна, ящик
✏️	грифель, карандаш, простой карандаш
✒️	перо, перьевая ручка, перьевой наконечник, письмо, ручка
🖋️	перьевая, перьевая ручка, письмо, ручка, чернила
🖊️	ручка, чернила, шарик, шариковая, шариковая ручка
🖌️	кисточка, кисть, рисование, щетина
🖍️	восковой мелок, выделение, красный, мелки
📝	заметка, запись, карандаш
💼	бумаги, дипломат, документы, портфель
📁	бумаги, документы, папка, файл
📂	бумаги, документы, открытая, открытая папка, папка
🗂️	карточки, маркированные папки, оглавление, разделители
📅	даты, календарь, числа
📆	календарь, листы, отрывной, отрывной календарь
🗒️	блокнот, листы, откидной, перекидной блокнот, пружина
🗓️	календарь, листы, перекидной, перекидной календарь, пружина
📇	картотека, органайзер, указатели
📈	вверх, диаграмма, диаграмма роста, рост, схема, тенденция
📉	вниз, диаграмма, диаграмма падения, падение, схема, тенденция
📊	гистограмма, диаграмма, столбчатая
📋️	бумага, зажим, лист, планшет, планшет с зажимом
📌	бумага, канцелярская кнопка, кнопка
📍	бумага, канцелярская кнопка с шариком, кнопка, шарик
📎	бумаги, канцелярия, скрепка
🖇️	бумаги, канцелярия, несколько скрепок, скрепки
📏	измерение, линейка, прямая
📐	измерение, линейка, линейка-треугольник, треугольная линейка, треугольник
✂️	инструмент, ножницы, резать
🗃️	картотека, карточки, сведения, учет, файлы, ящик
🗄️	архив, архивный шкаф, данные, сведения, шкаф
🗑️	бумаги, корзина, корзина для мусора, мусор, мусорка, мусорная
🔒️	закрытый, закрытый замок, замок, затвор
🔓️	замок, затвор, открытый, открытый замок
🔏	закрытый замок, закрытый замок с перьевой ручкой, защита, перьевая ручка, перьевой наконечник
🔐	безопасность, закрытый, закрытый замок с ключом, замок, ключ
🔑	ключ, пароль
🗝️	замок, ключ, старинный, старинный ключ, старый
🔨	инструмент, молот, молоток, удар
🪓	дрова, дровосек, рубить, рубка, топор
⛏️	добыча, инструмент, кирка, шахта
⚒️	инструмент, кирка, кирка и молот, молот, молоток, шахта
🛠️	гаечный, инструмент, ключ, молот, молот и гаечный ключ, молоток
🗡️	кинжал, нож, оружие, острый нож, холодное оружие
⚔️	два меча, мечи, оружие, скрещенные, скрещенные мечи, холодное оружие
💣️	бомба, взрыв, опасность, черная
🪃	австралия, бумеранг, возврат, последствия
🏹	знак зодиака, лук со стрелой, оружие, стрелец, стрелы
🛡️	безопасность, защита, снаряжение, щит
🪚	древесина, инструмент, пила по дереву, плотник, столяр
🔧	гаечный, гаечный ключ, инструмент, ключ
🪛	винт, инструмент, отвертка
🔩	болт, болт и гайка, винт, гайка, инструмент, шуруп
⚙️	деталь, зубчатое, колесо, шестеренка, шестерня
🗜️	зажим, компрессор, тиски
⚖️	весы, взвешивание, знак зодиака, правосудие, справедливость
🦯	белая, белая трость, инвалид, палка, слепой, ходьба
🔗	гиперссылка, звенья, связывание, связь, ссылка
⛓️	звенья, цепочка, цепь
🪝	захват, крюк, крючок, подвес, уловка
🧰	инструменты, комплект инструментов, механик, ящик для инструментов
🧲	магнит, магнит-подкова, притяжение
🪜	лезть, лестница, перекладина, ступень
⚗️	аппарат, куб, перегонный, перегонный сосуд, сосуд, химия
🧪	лаборатория, наука, пробирка, химия, эксперимент
