‾	надцрта
🤸‍♀	акробата, гимнастика, гимнастичарка, жена, звезда
🤸🏻‍♀	акробата, гимнастика, гимнастичарка, гимнастичарка: светла кожа, жена, звезда, светла кожа
🤸🏼‍♀	акробата, гимнастика, гимнастичарка, гимнастичарка: средње светла кожа, жена, звезда, средње светла кожа
🤸🏽‍♀	акробата, гимнастика, гимнастичарка, гимнастичарка: ни светла ни тамна кожа, жена, звезда, ни светла ни тамна кожа
🤸🏾‍♀	акробата, гимнастика, гимнастичарка, гимнастичарка: средње тамна кожа, жена, звезда, средње тамна кожа
🤸🏿‍♀	акробата, гимнастика, гимнастичарка, гимнастичарка: тамна кожа, жена, звезда, тамна кожа
🤼	рвачи, рвање, спорт
🤼‍♂	мушкарци, рвачи, рвање, спорт
🤼‍♀	жене, рвачи, рвачице, рвање, спорт
🤽	базен, ватерполо, вода, спорт
🤽🏻	базен, ватерполо, ватерполо: светла кожа, вода, светла кожа, спорт
🤽🏼	базен, ватерполо, ватерполо: средње светла кожа, вода, спорт, средње светла кожа
🤽🏽	базен, ватерполо, ватерполо: ни светла ни тамна кожа, вода, ни светла ни тамна кожа, спорт
🤽🏾	базен, ватерполо, ватерполо: средње тамна кожа, вода, спорт, средње тамна кожа
🤽🏿	базен, ватерполо, ватерполо: тамна кожа, вода, спорт, тамна кожа
🤽‍♂	базен, ватерполиста, ватерполо, вода, мушкарац
🤽🏻‍♂	базен, ватерполиста, ватерполиста: светла кожа, ватерполо, вода, мушкарац, светла кожа
🤽🏼‍♂	базен, ватерполиста, ватерполиста: средње светла кожа, ватерполо, вода, мушкарац, средње светла кожа
🤽🏽‍♂	базен, ватерполиста, ватерполиста: ни светла ни тамна кожа, ватерполо, вода, мушкарац, ни светла ни тамна кожа
🤽🏾‍♂	базен, ватерполиста, ватерполиста: средње тамна кожа, ватерполо, вода, мушкарац, средње тамна кожа
🤽🏿‍♂	базен, ватерполиста, ватерполиста: тамна кожа, ватерполо, вода, мушкарац, тамна кожа
🤽‍♀	базен, ватерполисткиња, ватерполо, вода, жена
🤽🏻‍♀	базен, ватерполисткиња, ватерполисткиња: светла кожа, ватерполо, вода, жена, светла кожа
🤽🏼‍♀	базен, ватерполисткиња, ватерполисткиња: средње светла кожа, ватерполо, вода, жена, средње светла кожа
🤽🏽‍♀	базен, ватерполисткиња, ватерполисткиња: ни светла ни тамна кожа, ватерполо, вода, жена, ни светла ни тамна кожа
🤽🏾‍♀	базен, ватерполисткиња, ватерполисткиња: средње тамна кожа, ватерполо, вода, жена, средње тамна кожа
🤽🏿‍♀	базен, ватерполисткиња, ватерполисткиња: тамна кожа, ватерполо, вода, жена, тамна кожа
🤾	бацање, лопта, особа, рукомет, спорт
🤾🏻	бацање, лопта, особа, рукомет, рукомет: светла кожа, светла кожа, спорт
🤾🏼	бацање, лопта, особа, рукомет, рукомет: средње светла кожа, спорт, средње светла кожа
🤾🏽	бацање, лопта, ни светла ни тамна кожа, особа, рукомет, рукомет: ни светла ни тамна кожа, спорт
🤾🏾	бацање, лопта, особа, рукомет, рукомет: средње тамна кожа, спорт, средње тамна кожа
🤾🏿	бацање, лопта, особа, рукомет, рукомет: тамна кожа, спорт, тамна кожа
🤾‍♂	бацање, лопта, мушкарац, рукомет, рукометаш
🤾🏻‍♂	бацање, лопта, мушкарац, рукомет, рукометаш, рукометаш: светла кожа, светла кожа
🤾🏼‍♂	бацање, лопта, мушкарац, рукомет, рукометаш, рукометаш: средње светла кожа, средње светла кожа
🤾🏽‍♂	бацање, лопта, мушкарац, ни светла ни тамна кожа, рукомет, рукометаш, рукометаш: ни светла ни тамна кожа
🤾🏾‍♂	бацање, лопта, мушкарац, рукомет, рукометаш, рукометаш: средње тамна кожа, средње тамна кожа
🤾🏿‍♂	бацање, лопта, мушкарац, рукомет, рукометаш, рукометаш: тамна кожа, тамна кожа
🤾‍♀	бацање, жена, лопта, рукомет, рукометашица
🤾🏻‍♀	бацање, жена, лопта, рукомет, рукометашица, рукометашица: светла кожа, светла кожа
🤾🏼‍♀	бацање, жена, лопта, рукомет, рукометашица, рукометашица: средње светла кожа, средње светла кожа
🤾🏽‍♀	бацање, жена, лопта, ни светла ни тамна кожа, рукомет, рукометашица, рукометашица: ни светла ни тамна кожа
🤾🏾‍♀	бацање, жена, лопта, рукомет, рукометашица, рукометашица: средње тамна кожа, средње тамна кожа
🤾🏿‍♀	бацање, жена, лопта, рукомет, рукометашица, рукометашица: тамна кожа, тамна кожа
🤹	вештина, жонглирање, особа жонглира, циркус
🤹🏻	вештина, жонглирање, особа жонглира, особа жонглира: светла кожа, светла кожа, циркус
🤹🏼	вештина, жонглирање, особа жонглира, особа жонглира: средње светла кожа, средње светла кожа, циркус
🤹🏽	вештина, жонглирање, ни светла ни тамна кожа, особа жонглира, особа жонглира: ни светла ни тамна кожа, циркус
🤹🏾	вештина, жонглирање, особа жонглира, особа жонглира: средње тамна кожа, средње тамна кожа, циркус
🤹🏿	вештина, жонглирање, особа жонглира, особа жонглира: тамна кожа, тамна кожа, циркус
🤹‍♂	вештина, жонглер, жонглирање, мушкарац, циркус
🤹🏻‍♂	вештина, жонглер, жонглер: светла кожа, жонглирање, мушкарац, светла кожа, циркус
🤹🏼‍♂	вештина, жонглер, жонглер: средње светла кожа, жонглирање, мушкарац, средње светла кожа, циркус
🤹🏽‍♂	вештина, жонглер, жонглер: ни светла ни тамна кожа, жонглирање, мушкарац, ни светла ни тамна кожа, циркус
🤹🏾‍♂	вештина, жонглер, жонглер: средње тамна кожа, жонглирање, мушкарац, средње тамна кожа, циркус
🤹🏿‍♂	вештина, жонглер, жонглер: тамна кожа, жонглирање, мушкарац, тамна кожа, циркус
🤹‍♀	вештина, жена, жонглерка, жонглирање, циркус
🤹🏻‍♀	вештина, жена, жонглерка, жонглерка: светла кожа, жонглирање, светла кожа, циркус
🤹🏼‍♀	вештина, жена, жонглерка, жонглерка: средње светла кожа, жонглирање, средње светла кожа, циркус
🤹🏽‍♀	вештина, жена, жонглерка, жонглерка: ни светла ни тамна кожа, жонглирање, ни светла ни тамна кожа, циркус
🤹🏾‍♀	вештина, жена, жонглерка, жонглерка: средње тамна кожа, жонглирање, средње тамна кожа, циркус
🤹🏿‍♀	вештина, жена, жонглерка, жонглерка: тамна кожа, жонглирање, тамна кожа, циркус
🧘	лотос поза, медитација, јога
🧘🏻	лотос поза, лотос поза: светла кожа, медитација, светла кожа, јога
🧘🏼	лотос поза, лотос поза: средње светла кожа, медитација, средње светла кожа, јога
🧘🏽	лотос поза, лотос поза: ни светла ни тамна кожа, медитација, ни светла ни тамна кожа, јога
🧘🏾	лотос поза, лотос поза: средње тамна кожа, медитација, средње тамна кожа, јога
🧘🏿	лотос поза, лотос поза: тамна кожа, медитација, тамна кожа, јога
🧘‍♂	медитација, мушкарац у лотос пози, мушкарац у лотус пози, јога
🧘🏻‍♂	медитација, мушкарац у лотос пози, мушкарац у лотос пози: светла кожа, мушкарац у лотус пози, светла кожа, јога
🧘🏼‍♂	медитација, мушкарац у лотос пози, мушкарац у лотос пози: средње светла кожа, мушкарац у лотус пози, средње светла кожа, јога
🧘🏽‍♂	медитација, мушкарац у лотос пози, мушкарац у лотос пози: ни светла ни тамна кожа, мушкарац у лотус пози, ни светла ни тамна кожа, јога
🧘🏾‍♂	медитација, мушкарац у лотос пози, мушкарац у лотос пози: средње тамна кожа, мушкарац у лотус пози, средње тамна кожа, јога
🧘🏿‍♂	медитација, мушкарац у лотос пози, мушкарац у лотос пози: тамна кожа, мушкарац у лотус пози, тамна кожа, јога
🧘‍♀	жена у лотос пози, жена у лотус пози, медитација, јога
🧘🏻‍♀	жена у лотос пози, жена у лотос пози: светла кожа, жена у лотус пози, медитација, светла кожа, јога
🧘🏼‍♀	жена у лотос пози, жена у лотос пози: средње светла кожа, жена у лотус пози, медитација, средње светла кожа, јога
🧘🏽‍♀	жена у лотос пози, жена у лотос пози: ни светла ни тамна кожа, жена у лотус пози, медитација, ни светла ни тамна кожа, јога
🧘🏾‍♀	жена у лотос пози, жена у лотос пози: средње тамна кожа, жена у лотус пози, медитација, средње тамна кожа, јога
🧘🏿‍♀	жена у лотос пози, жена у лотос пози: тамна кожа, жена у лотус пози, медитација, тамна кожа, јога
🛀	кaдa, купaњe, особа која се купа
🛀🏻	кaдa, купaњe, особа која се купа, особа која се купа: светла кожа, светла кожа
🛀🏼	кaдa, купaњe, особа која се купа, особа која се купа: средње светла кожа, средње светла кожа
🛀🏽	кaдa, купaњe, ни светла ни тамна кожа, особа која се купа, особа која се купа: ни светла ни тамна кожа
🛀🏾	кaдa, купaњe, особа која се купа, особа која се купа: средње тамна кожа, средње тамна кожа
🛀🏿	кaдa, купaњe, особа која се купа, особа која се купа: тамна кожа, тамна кожа
🛌	особа у кревету, спaвaњe, хoтeл
🛌🏻	особа у кревету, особа у кревету: светла кожа, светла кожа, спaвaњe, хoтeл
🛌🏼	особа у кревету, особа у кревету: средње светла кожа, спaвaњe, средње светла кожа, хoтeл
🛌🏽	ни светла ни тамна кожа, особа у кревету, особа у кревету: ни светла ни тамна кожа, спaвaњe, хoтeл
🛌🏾	особа у кревету, особа у кревету: средње тамна кожа, спaвaњe, средње тамна кожа, хoтeл
🛌🏿	особа у кревету, особа у кревету: тамна кожа, спaвaњe, тамна кожа, хoтeл
🧑‍🤝‍🧑	особе се држе за руке
🧑🏻‍🤝‍🧑🏻	особе се држе за руке, особе се држе за руке: светла кожа, светла кожа
🧑🏻‍🤝‍🧑🏼	особе се држе за руке, особе се држе за руке: светла кожа и средње светла кожа, светла кожа, средње светла кожа
🧑🏻‍🤝‍🧑🏽	ни светла ни тамна кожа, особе се држе за руке, особе се држе за руке: светла кожа и ни светла ни тамна кожа, светла кожа
🧑🏻‍🤝‍🧑🏾	особе се држе за руке, особе се држе за руке: светла кожа и средње тамна кожа, светла кожа, средње тамна кожа
🧑🏻‍🤝‍🧑🏿	особе се држе за руке, особе се држе за руке: светла кожа и тамна кожа, светла кожа, тамна кожа
🧑🏼‍🤝‍🧑🏻	особе се држе за руке, особе се држе за руке: средње светла кожа и светла кожа, светла кожа, средње светла кожа
🧑🏼‍🤝‍🧑🏼	особе се држе за руке, особе се држе за руке: средње светла кожа, средње светла кожа
🧑🏼‍🤝‍🧑🏽	ни светла ни тамна кожа, особе се држе за руке, особе се држе за руке: средње светла кожа и ни светла ни тамна кожа, средње светла кожа
🧑🏼‍🤝‍🧑🏾	особе се држе за руке, особе се држе за руке: средње светла кожа и средње тамна кожа, средње светла кожа, средње тамна кожа
🧑🏼‍🤝‍🧑🏿	особе се држе за руке, особе се држе за руке: средње светла кожа и тамна кожа, средње светла кожа, тамна кожа
🧑🏽‍🤝‍🧑🏻	ни светла ни тамна кожа, особе се држе за руке, особе се држе за руке: ни светла ни тамна кожа и светла кожа, светла кожа
🧑🏽‍🤝‍🧑🏼	ни светла ни тамна кожа, особе се држе за руке, особе се држе за руке: ни светла ни тамна кожа и средње светла кожа, средње светла кожа
🧑🏽‍🤝‍🧑🏽	ни светла ни тамна кожа, особе се држе за руке, особе се држе за руке: ни светла ни тамна кожа
🧑🏽‍🤝‍🧑🏾	ни светла ни тамна кожа, особе се држе за руке, особе се држе за руке: ни светла ни тамна кожа и средње тамна кожа, средње тамна кожа
🧑🏽‍🤝‍🧑🏿	ни светла ни тамна кожа, особе се држе за руке, особе се држе за руке: ни светла ни тамна кожа и тамна кожа, тамна кожа
🧑🏾‍🤝‍🧑🏻	особе се држе за руке, особе се држе за руке: средње тамна кожа и светла кожа, светла кожа, средње тамна кожа
🧑🏾‍🤝‍🧑🏼	особе се држе за руке, особе се држе за руке: средње тамна кожа и средње светла кожа, средње светла кожа, средње тамна кожа
🧑🏾‍🤝‍🧑🏽	ни светла ни тамна кожа, особе се држе за руке, особе се држе за руке: средње тамна кожа и ни светла ни тамна кожа, средње тамна кожа
🧑🏾‍🤝‍🧑🏾	особе се држе за руке, особе се држе за руке: средње тамна кожа, средње тамна кожа
🧑🏾‍🤝‍🧑🏿	особе се држе за руке, особе се држе за руке: средње тамна кожа и тамна кожа, средње тамна кожа, тамна кожа
🧑🏿‍🤝‍🧑🏻	особе се држе за руке, особе се држе за руке: тамна кожа и светла кожа, светла кожа, тамна кожа
🧑🏿‍🤝‍🧑🏼	особе се држе за руке, особе се држе за руке: тамна кожа и средње светла кожа, средње светла кожа, тамна кожа
🧑🏿‍🤝‍🧑🏽	ни светла ни тамна кожа, особе се држе за руке, особе се држе за руке: тамна кожа и ни светла ни тамна кожа, тамна кожа
🧑🏿‍🤝‍🧑🏾	особе се држе за руке, особе се држе за руке: тамна кожа и средње тамна кожа, средње тамна кожа, тамна кожа
🧑🏿‍🤝‍🧑🏿	особе се држе за руке, особе се држе за руке: тамна кожа, тамна кожа
👭	држање за руке, жене, жене се држе за руке, пaр, рука
👭🏻	држање за руке, жене, жене се држе за руке, жене се држе за руке: светла кожа, пaр, рука, светла кожа
👩🏻‍🤝‍👩🏼	држање за руке, жене, жене се држе за руке, жене се држе за руке: светла кожа и средње светла кожа, пaр, рука, светла кожа, средње светла кожа
👩🏻‍🤝‍👩🏽	држање за руке, жене, жене се држе за руке, жене се држе за руке: светла кожа и ни светла ни тамна кожа, ни светла ни тамна кожа, пaр, рука, светла кожа
👩🏻‍🤝‍👩🏾	држање за руке, жене, жене се држе за руке, жене се држе за руке: светла кожа и средње тамна кожа, пaр, рука, светла кожа, средње тамна кожа
👩🏻‍🤝‍👩🏿	држање за руке, жене, жене се држе за руке, жене се држе за руке: светла кожа и тамна кожа, пaр, рука, светла кожа, тамна кожа
👩🏼‍🤝‍👩🏻	држање за руке, жене, жене се држе за руке, жене се држе за руке: средње светла кожа и светла кожа, пaр, рука, светла кожа, средње светла кожа
👭🏼	држање за руке, жене, жене се држе за руке, жене се држе за руке: средње светла кожа, пaр, рука, средње светла кожа
👩🏼‍🤝‍👩🏽	држање за руке, жене, жене се држе за руке, жене се држе за руке: средње светла кожа и ни светла ни тамна кожа, ни светла ни тамна кожа, пaр, рука, средње светла кожа
👩🏼‍🤝‍👩🏾	држање за руке, жене, жене се држе за руке, жене се држе за руке: средње светла кожа и средње тамна кожа, пaр, рука, средње светла кожа, средње тамна кожа
👩🏼‍🤝‍👩🏿	држање за руке, жене, жене се држе за руке, жене се држе за руке: средње светла кожа и тамна кожа, пaр, рука, средње светла кожа, тамна кожа
👩🏽‍🤝‍👩🏻	држање за руке, жене, жене се држе за руке, жене се држе за руке: ни светла ни тамна кожа и светла кожа, ни светла ни тамна кожа, пaр, рука, светла кожа
👩🏽‍🤝‍👩🏼	држање за руке, жене, жене се држе за руке, жене се држе за руке: ни светла ни тамна кожа и средње светла кожа, ни светла ни тамна кожа, пaр, рука, средње светла кожа
👭🏽	држање за руке, жене, жене се држе за руке, жене се држе за руке: ни светла ни тамна кожа, ни светла ни тамна кожа, пaр, рука
👩🏽‍🤝‍👩🏾	држање за руке, жене, жене се држе за руке, жене се држе за руке: ни светла ни тамна кожа и средње тамна кожа, ни светла ни тамна кожа, пaр, рука, средње тамна кожа
👩🏽‍🤝‍👩🏿	држање за руке, жене, жене се држе за руке, жене се држе за руке: ни светла ни тамна кожа и тамна кожа, ни светла ни тамна кожа, пaр, рука, тамна кожа
👩🏾‍🤝‍👩🏻	држање за руке, жене, жене се држе за руке, жене се држе за руке: средње тамна кожа и светла кожа, пaр, рука, светла кожа, средње тамна кожа
👩🏾‍🤝‍👩🏼	држање за руке, жене, жене се држе за руке, жене се држе за руке: средње тамна кожа и средње светла кожа, пaр, рука, средње светла кожа, средње тамна кожа
👩🏾‍🤝‍👩🏽	држање за руке, жене, жене се држе за руке, жене се држе за руке: средње тамна кожа и ни светла ни тамна кожа, ни светла ни тамна кожа, пaр, рука, средње тамна кожа
👭🏾	држање за руке, жене, жене се држе за руке, жене се држе за руке: средње тамна кожа, пaр, рука, средње тамна кожа
👩🏾‍🤝‍👩🏿	држање за руке, жене, жене се држе за руке, жене се држе за руке: средње тамна кожа и тамна кожа, пaр, рука, средње тамна кожа, тамна кожа
👩🏿‍🤝‍👩🏻	држање за руке, жене, жене се држе за руке, жене се држе за руке: тамна кожа и светла кожа, пaр, рука, светла кожа, тамна кожа
👩🏿‍🤝‍👩🏼	држање за руке, жене, жене се држе за руке, жене се држе за руке: тамна кожа и средње светла кожа, пaр, рука, средње светла кожа, тамна кожа
👩🏿‍🤝‍👩🏽	држање за руке, жене, жене се држе за руке, жене се држе за руке: тамна кожа и ни светла ни тамна кожа, ни светла ни тамна кожа, пaр, рука, тамна кожа
👩🏿‍🤝‍👩🏾	држање за руке, жене, жене се држе за руке, жене се држе за руке: тамна кожа и средње тамна кожа, пaр, рука, средње тамна кожа, тамна кожа
👭🏿	држање за руке, жене, жене се држе за руке, жене се држе за руке: тамна кожа, пaр, рука, тамна кожа
👫	држaњe, жeнa, жена и мушкарац се држе за руке, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe
👫🏻	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: светла кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, светла кожа
👩🏻‍🤝‍👨🏼	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: светла кожа и средње светла кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, светла кожа, средње светла кожа
👩🏻‍🤝‍👨🏽	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: светла кожа и ни светла ни тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, ни светла ни тамна кожа, пaр, рукe, светла кожа
👩🏻‍🤝‍👨🏾	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: светла кожа и средње тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, светла кожа, средње тамна кожа
👩🏻‍🤝‍👨🏿	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: светла кожа и тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, светла кожа, тамна кожа
👩🏼‍🤝‍👨🏻	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: средње светла кожа и светла кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, светла кожа, средње светла кожа
👫🏼	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: средње светла кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, средње светла кожа
👩🏼‍🤝‍👨🏽	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: средње светла кожа и ни светла ни тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, ни светла ни тамна кожа, пaр, рукe, средње светла кожа
👩🏼‍🤝‍👨🏾	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: средње светла кожа и средње тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, средње светла кожа, средње тамна кожа
👩🏼‍🤝‍👨🏿	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: средње светла кожа и тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, средње светла кожа, тамна кожа
👩🏽‍🤝‍👨🏻	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: ни светла ни тамна кожа и светла кожа, мушкaрaц, мушкарац и жена се држе за руке, ни светла ни тамна кожа, пaр, рукe, светла кожа
👩🏽‍🤝‍👨🏼	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: ни светла ни тамна кожа и средње светла кожа, мушкaрaц, мушкарац и жена се држе за руке, ни светла ни тамна кожа, пaр, рукe, средње светла кожа
👫🏽	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: ни светла ни тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, ни светла ни тамна кожа, пaр, рукe
👩🏽‍🤝‍👨🏾	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: ни светла ни тамна кожа и средње тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, ни светла ни тамна кожа, пaр, рукe, средње тамна кожа
👩🏽‍🤝‍👨🏿	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: ни светла ни тамна кожа и тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, ни светла ни тамна кожа, пaр, рукe, тамна кожа
👩🏾‍🤝‍👨🏻	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: средње тамна кожа и светла кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, светла кожа, средње тамна кожа
👩🏾‍🤝‍👨🏼	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: средње тамна кожа и средње светла кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, средње светла кожа, средње тамна кожа
👩🏾‍🤝‍👨🏽	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: средње тамна кожа и ни светла ни тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, ни светла ни тамна кожа, пaр, рукe, средње тамна кожа
👫🏾	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: средње тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, средње тамна кожа
👩🏾‍🤝‍👨🏿	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: средње тамна кожа и тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, средње тамна кожа, тамна кожа
👩🏿‍🤝‍👨🏻	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: тамна кожа и светла кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, светла кожа, тамна кожа
👩🏿‍🤝‍👨🏼	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: тамна кожа и средње светла кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, средње светла кожа, тамна кожа
👩🏿‍🤝‍👨🏽	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: тамна кожа и ни светла ни тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, ни светла ни тамна кожа, пaр, рукe, тамна кожа
👩🏿‍🤝‍👨🏾	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: тамна кожа и средње тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, средње тамна кожа, тамна кожа
👫🏿	држaњe, жeнa, жена и мушкарац се држе за руке, жена и мушкарац се држе за руке: тамна кожа, мушкaрaц, мушкарац и жена се држе за руке, пaр, рукe, тамна кожа
👬	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, пaр, рукe
👬🏻	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: светла кожа, пaр, рукe, светла кожа
👨🏻‍🤝‍👨🏼	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: светла кожа и средње светла кожа, пaр, рукe, светла кожа, средње светла кожа
👨🏻‍🤝‍👨🏽	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: светла кожа и ни светла ни тамна кожа, ни светла ни тамна кожа, пaр, рукe, светла кожа
👨🏻‍🤝‍👨🏾	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: светла кожа и средње тамна кожа, пaр, рукe, светла кожа, средње тамна кожа
👨🏻‍🤝‍👨🏿	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: светла кожа и тамна кожа, пaр, рукe, светла кожа, тамна кожа
👨🏼‍🤝‍👨🏻	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: средње светла кожа и светла кожа, пaр, рукe, светла кожа, средње светла кожа
👬🏼	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: средње светла кожа, пaр, рукe, средње светла кожа
👨🏼‍🤝‍👨🏽	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: средње светла кожа и ни светла ни тамна кожа, ни светла ни тамна кожа, пaр, рукe, средње светла кожа
👨🏼‍🤝‍👨🏾	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: средње светла кожа и средње тамна кожа, пaр, рукe, средње светла кожа, средње тамна кожа
👨🏼‍🤝‍👨🏿	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: средње светла кожа и тамна кожа, пaр, рукe, средње светла кожа, тамна кожа
👨🏽‍🤝‍👨🏻	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: ни светла ни тамна кожа и светла кожа, ни светла ни тамна кожа, пaр, рукe, светла кожа
👨🏽‍🤝‍👨🏼	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: ни светла ни тамна кожа и средње светла кожа, ни светла ни тамна кожа, пaр, рукe, средње светла кожа
👬🏽	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: ни светла ни тамна кожа, ни светла ни тамна кожа, пaр, рукe
👨🏽‍🤝‍👨🏾	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: ни светла ни тамна кожа и средње тамна кожа, ни светла ни тамна кожа, пaр, рукe, средње тамна кожа
👨🏽‍🤝‍👨🏿	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: ни светла ни тамна кожа и тамна кожа, ни светла ни тамна кожа, пaр, рукe, тамна кожа
👨🏾‍🤝‍👨🏻	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: средње тамна кожа и светла кожа, пaр, рукe, светла кожа, средње тамна кожа
👨🏾‍🤝‍👨🏼	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: средње тамна кожа и средње светла кожа, пaр, рукe, средње светла кожа, средње тамна кожа
👨🏾‍🤝‍👨🏽	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: средње тамна кожа и ни светла ни тамна кожа, ни светла ни тамна кожа, пaр, рукe, средње тамна кожа
👬🏾	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: средње тамна кожа, пaр, рукe, средње тамна кожа
👨🏾‍🤝‍👨🏿	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: средње тамна кожа и тамна кожа, пaр, рукe, средње тамна кожа, тамна кожа
👨🏿‍🤝‍👨🏻	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: тамна кожа и светла кожа, пaр, рукe, светла кожа, тамна кожа
👨🏿‍🤝‍👨🏼	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: тамна кожа и средње светла кожа, пaр, рукe, средње светла кожа, тамна кожа
👨🏿‍🤝‍👨🏽	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: тамна кожа и ни светла ни тамна кожа, ни светла ни тамна кожа, пaр, рукe, тамна кожа
