😀	Gesiicht, Grinsen, Grinsgesiicht
👫🏽	Fra, Hand, Koppel, Mann, Mann a Fra Hand an Hand, Mann a Fra Hand an Hand: mëttel Hautfaarf, halen, mëttel Hautfaarf
👩🏽‍🤝‍👨🏾	Fra, Hand, Koppel, Mann, Mann a Fra Hand an Hand, Mann a Fra Hand an Hand: mëttel Hautfaarf, mëtteldäischter Hautfaarf, halen, mëttel Hautfaarf, mëtteldäischter Hautfaarf
👩🏽‍🤝‍👨🏿	Fra, Hand, Koppel, Mann, Mann a Fra Hand an Hand, Mann a Fra Hand an Hand: mëttel Hautfaarf, däischter Hautfaarf, däischter Hautfaarf, halen, mëttel Hautfaarf
👩🏾‍🤝‍👨🏻	Fra, Hand, Koppel, Mann, Mann a Fra Hand an Hand, Mann a Fra Hand an Hand: mëtteldäischter Hautfaarf, hell Hautfaarf, halen, hell Hautfaarf, mëtteldäischter Hautfaarf
👩🏾‍🤝‍👨🏼	Fra, Hand, Koppel, Mann, Mann a Fra Hand an Hand, Mann a Fra Hand an Hand: mëtteldäischter Hautfaarf, mëttelhell Hautfaarf, halen, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
👩🏾‍🤝‍👨🏽	Fra, Hand, Koppel, Mann, Mann a Fra Hand an Hand, Mann a Fra Hand an Hand: mëtteldäischter Hautfaarf, mëttel Hautfaarf, halen, mëttel Hautfaarf, mëtteldäischter Hautfaarf
👫🏾	Fra, Hand, Koppel, Mann, Mann a Fra Hand an Hand, Mann a Fra Hand an Hand: mëtteldäischter Hautfaarf, halen, mëtteldäischter Hautfaarf
👩🏾‍🤝‍👨🏿	Fra, Hand, Koppel, Mann, Mann a Fra Hand an Hand, Mann a Fra Hand an Hand: mëtteldäischter Hautfaarf, däischter Hautfaarf, däischter Hautfaarf, halen, mëtteldäischter Hautfaarf
👩🏿‍🤝‍👨🏻	Fra, Hand, Koppel, Mann, Mann a Fra Hand an Hand, Mann a Fra Hand an Hand: däischter Hautfaarf, hell Hautfaarf, däischter Hautfaarf, halen, hell Hautfaarf
👩🏿‍🤝‍👨🏼	Fra, Hand, Koppel, Mann, Mann a Fra Hand an Hand, Mann a Fra Hand an Hand: däischter Hautfaarf, mëttelhell Hautfaarf, däischter Hautfaarf, halen, mëttelhell Hautfaarf
👩🏿‍🤝‍👨🏽	Fra, Hand, Koppel, Mann, Mann a Fra Hand an Hand, Mann a Fra Hand an Hand: däischter Hautfaarf, mëttel Hautfaarf, däischter Hautfaarf, halen, mëttel Hautfaarf
👩🏿‍🤝‍👨🏾	Fra, Hand, Koppel, Mann, Mann a Fra Hand an Hand, Mann a Fra Hand an Hand: däischter Hautfaarf, mëtteldäischter Hautfaarf, däischter Hautfaarf, halen, mëtteldäischter Hautfaarf
👫🏿	Fra, Hand, Koppel, Mann, Mann a Fra Hand an Hand, Mann a Fra Hand an Hand: däischter Hautfaarf, däischter Hautfaarf, halen
👬	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, zwee Männer Hand an Hand
👬🏻	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, hell Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: hell Hautfaarf
👨🏻‍🤝‍👨🏼	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, hell Hautfaarf, mëttelhell Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: hell Hautfaarf, mëttelhell Hautfaarf
👨🏻‍🤝‍👨🏽	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, hell Hautfaarf, mëttel Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: hell Hautfaarf, mëttel Hautfaarf
👨🏻‍🤝‍👨🏾	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, hell Hautfaarf, mëtteldäischter Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: hell Hautfaarf, mëtteldäischter Hautfaarf
👨🏻‍🤝‍👨🏿	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, däischter Hautfaarf, halen, hell Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: hell Hautfaarf, däischter Hautfaarf
👨🏼‍🤝‍👨🏻	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, hell Hautfaarf, mëttelhell Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëttelhell Hautfaarf, hell Hautfaarf
👬🏼	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, mëttelhell Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëttelhell Hautfaarf
👨🏼‍🤝‍👨🏽	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, mëttel Hautfaarf, mëttelhell Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëttelhell Hautfaarf, mëttel Hautfaarf
👨🏼‍🤝‍👨🏾	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëttelhell Hautfaarf, mëtteldäischter Hautfaarf
👨🏼‍🤝‍👨🏿	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, däischter Hautfaarf, halen, mëttelhell Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëttelhell Hautfaarf, däischter Hautfaarf
👨🏽‍🤝‍👨🏻	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, hell Hautfaarf, mëttel Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëttel Hautfaarf, hell Hautfaarf
👨🏽‍🤝‍👨🏼	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, mëttel Hautfaarf, mëttelhell Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëttel Hautfaarf, mëttelhell Hautfaarf
👬🏽	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, mëttel Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëttel Hautfaarf
👨🏽‍🤝‍👨🏾	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, mëttel Hautfaarf, mëtteldäischter Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëttel Hautfaarf, mëtteldäischter Hautfaarf
👨🏽‍🤝‍👨🏿	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, däischter Hautfaarf, halen, mëttel Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëttel Hautfaarf, däischter Hautfaarf
👨🏾‍🤝‍👨🏻	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, hell Hautfaarf, mëtteldäischter Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëtteldäischter Hautfaarf, hell Hautfaarf
👨🏾‍🤝‍👨🏼	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
👨🏾‍🤝‍👨🏽	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, mëttel Hautfaarf, mëtteldäischter Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëtteldäischter Hautfaarf, mëttel Hautfaarf
👬🏾	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, halen, mëtteldäischter Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëtteldäischter Hautfaarf
👨🏾‍🤝‍👨🏿	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, däischter Hautfaarf, halen, mëtteldäischter Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: mëtteldäischter Hautfaarf, däischter Hautfaarf
👨🏿‍🤝‍👨🏻	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, däischter Hautfaarf, halen, hell Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: däischter Hautfaarf, hell Hautfaarf
👨🏿‍🤝‍👨🏼	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, däischter Hautfaarf, halen, mëttelhell Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: däischter Hautfaarf, mëttelhell Hautfaarf
👨🏿‍🤝‍👨🏽	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, däischter Hautfaarf, halen, mëttel Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: däischter Hautfaarf, mëttel Hautfaarf
👨🏿‍🤝‍👨🏾	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, däischter Hautfaarf, halen, mëtteldäischter Hautfaarf, zwee Männer Hand an Hand, zwee Männer Hand an Hand: däischter Hautfaarf, mëtteldäischter Hautfaarf
👬🏿	Hand, Koppel, Mann, Stärzeechen, Zwilling, Zwillingen, däischter Hautfaarf, halen, zwee Männer Hand an Hand, zwee Männer Hand an Hand: däischter Hautfaarf
💏	Koppel, Kuss
💏🏻	Koppel, Kuss, Kuss: hell Hautfaarf, hell Hautfaarf
💏🏼	Koppel, Kuss, Kuss: mëttelhell Hautfaarf, mëttelhell Hautfaarf
💏🏽	Koppel, Kuss, Kuss: mëttel Hautfaarf, mëttel Hautfaarf
💏🏾	Koppel, Kuss, Kuss: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
💏🏿	Koppel, Kuss, Kuss: däischter Hautfaarf, däischter Hautfaarf
👩‍❤‍💋‍👨	Fra, Koppel, Kuss, Kuss: Fra, Mann, Mann
👨‍❤‍💋‍👨	Koppel, Kuss, Kuss: Mann, Mann, Mann
👩‍❤‍💋‍👩	Fra, Koppel, Kuss, Kuss: Fra, Fra
💑	Koppel, Léift, verléift Koppel
💑🏻	Koppel, Léift, hell Hautfaarf, verléift Koppel, verléift Koppel: hell Hautfaarf
💑🏼	Koppel, Léift, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: mëttelhell Hautfaarf
💑🏽	Koppel, Léift, mëttel Hautfaarf, verléift Koppel, verléift Koppel: mëttel Hautfaarf
💑🏾	Koppel, Léift, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: mëtteldäischter Hautfaarf
💑🏿	Koppel, Léift, däischter Hautfaarf, verléift Koppel, verléift Koppel: däischter Hautfaarf
👩‍❤‍👨	Fra, Koppel, Léift, Mann, verléift Koppel, verléift Koppel: Fra, Mann
👨‍❤‍👨	Koppel, Léift, Mann, verléift Koppel, verléift Koppel: Mann, Mann
👩‍❤‍👩	Fra, Koppel, Léift, verléift Koppel, verléift Koppel: Fra, Fra
👪️	Famill
👨‍👩‍👦	Famill, Famill: Mann, Fra, Jong, Fra, Jong, Mann
👨‍👩‍👧	Famill, Famill: Mann, Fra, Meedchen, Fra, Mann, Meedchen
👨‍👩‍👧‍👦	Famill, Famill: Mann, Fra, Meedchen, Jong, Fra, Jong, Mann, Meedchen
👨‍👩‍👦‍👦	Famill, Famill: Mann, Fra, Jong, Jong, Fra, Jong, Mann
👨‍👩‍👧‍👧	Famill, Famill: Mann, Fra, Meedchen, Meedchen, Fra, Mann, Meedchen
👨‍👨‍👦	Famill, Famill: Mann, Mann, Jong, Jong, Mann
👨‍👨‍👧	Famill, Famill: Mann, Mann, Meedchen, Mann, Meedchen
👨‍👨‍👧‍👦	Famill, Famill: Mann, Mann, Meedchen, Jong, Jong, Mann, Meedchen
👨‍👨‍👦‍👦	Famill, Famill: Mann, Mann, Jong, Jong, Jong, Mann
👨‍👨‍👧‍👧	Famill, Famill: Mann, Mann, Meedchen, Meedchen, Mann, Meedchen
👩‍👩‍👦	Famill, Famill: Fra, Fra, Jong, Fra, Jong
👩‍👩‍👧	Famill, Famill: Fra, Fra, Meedchen, Fra, Meedchen
👩‍👩‍👧‍👦	Famill, Famill: Fra, Fra, Meedchen, Jong, Fra, Jong, Meedchen
👩‍👩‍👦‍👦	Famill, Famill: Fra, Fra, Jong, Jong, Fra, Jong
👩‍👩‍👧‍👧	Famill, Famill: Fra, Fra, Meedchen, Meedchen, Fra, Meedchen
👨‍👦	Famill, Famill: Mann, Jong, Jong, Mann
👨‍👦‍👦	Famill, Famill: Mann, Jong, Jong, Jong, Mann
👨‍👧	Famill, Famill: Mann, Meedchen, Mann, Meedchen
👨‍👧‍👦	Famill, Famill: Mann, Meedchen, Jong, Jong, Mann, Meedchen
👨‍👧‍👧	Famill, Famill: Mann, Meedchen, Meedchen, Mann, Meedchen
👩‍👦	Famill, Famill: Fra, Jong, Fra, Jong
👩‍👦‍👦	Famill, Famill: Fra, Jong, Jong, Fra, Jong
👩‍👧	Famill, Famill: Fra, Meedchen, Fra, Meedchen
👩‍👧‍👦	Famill, Famill: Fra, Meedchen, Jong, Fra, Jong, Meedchen
👩‍👧‍👧	Famill, Famill: Fra, Meedchen, Meedchen, Fra, Meedchen
🗣️	Gesiicht, Kapp, Silhouette, schwätzen, schwätzend, schwätzende Kapp
👤	Büst, Silhouette, mënschlech, mënschlech Silhouette
👥	Büst, Silhouette, mënschlech, mënschlech Silhouetten
👣	Foussofdrock, Foussofdréck, Kleeder, Ofdrock
🐵	Af, Afegesiicht, Gesiicht
🐒	Af
🦍	Gorilla
🐶	Gesiicht, Hausdéier, Hond, Hondsgesiicht
🐕️	Hausdéier, Hond
🐩	Hond, Puddel
🐺	Gesiicht, Wollef, Wollefsgesiicht
🦊	Fuuss, Fuussgesiicht, Gesiicht
🐱	Gesiicht, Hausdéier, Kaz, Kazegesiicht
🐈️	Hausdéier, Kaz
🦁	Gesiicht, Léif, Léifsgesiicht, Stärzeechen
🐯	Gesiicht, Tiger, Tigersgesiicht
🐅	Tiger
🐆	Leopard
🐴	Gesiicht, Päerd, Päerdsgesiicht
🐎	Course, Coursepäerd, Päerd, reiden
🦄	Einhorn, Einhornsgesiicht, Gesiicht
🦓	Sträif, Zebra
🦌	Hirsch
🐮	Gesiicht, Kou, Kousgesiicht
🐂	Ochs, Stärzeechen, Stéier
🐃	Büffel, Waasser, Waasserbüffel
🐄	Kou
🐷	Gesiicht, Schwäin, Schwéngsgesiicht
🐖	Sau, Schwäin
🐗	Schwäin, Wëllschwäin
🐽	Gesiicht, Nues, Schwäin, Schwéngsnues
🐏	Männchen, Schof, Stärzeechen, Widder
🐑	Mudder, Mudderschof, Schof, Weibchen
🐐	Geess, Steebock, Stärzeechen
🐪	Bockel, Dromedar
🐫	Bockel, Kaméil, zwee
🦒	Flecken, Giraff
🐘	Elefant
🦏	Nashorn
🐭	Gesiicht, Maus, Mausgesiicht
🐁	Maus
🐀	Rat
🐹	Gesiicht, Hamster, Hamstersgesiicht, Hausdéier
🐰	Gesiicht, Hausdéier, Hues, Huesgesiicht, Kanéngchen
🐇	Hausdéier, Hues, Kanéngchen
🐿️	Kaweechelchen
🦔	Kéiseker, däreg
🦇	Fliedermaus, Vampir
🐻	Bier, Bieregesiicht, Gesiicht
🐨	Bier, Koalabier
🐼	Gesiicht, Panda, Pandasgesiicht
🐾	Féiss, Ofdrock, Patt, Pattenofdréck
🦃	Schnuddelhong, Vugel
🐔	Hong, Vugel
🐓	Hunn, Vugel
🐣	Bëbee, Hong, Jippelchen, Jippelchen am Ee, Vugel, am Ee, kleng
🐤	Bëbee, Hong, Jippelchen, Vugel
🐥	Bëbee, Hong, Jippelche vu vir, Jippelchen, Vugel
🐦️	Vugel
🐧	Pinguin, Vugel
🕊️	Dauf, Fridden, Vugel, fléien
🦅	Adler, Vugel
🦆	Int, Vugel
🦉	Eil, Vugel, klug
🐸	Fräsch, Fräschegesiicht, Gesiicht
🐊	Krokodil
🐢	Deckelsmouk, Douseschildkröt, Schildkröt
🦎	Eidechs, Reptil
🐍	Ophiuchus, Schlaang, Schlaangenträger, Stärzeechen
🐲	Draach, Draachegesiicht, Gesiicht, Mäerchen
🐉	Draach, Mäerchen
🦕	Brachiosaurus, Brontosaurus, Dinosaurier, Diplodokus
🦖	T-Rex, Tyrannosaurus Rex
🐳	Gesiicht, Wal, sprëtzend, sprëtzende Wal
🐋	Wal
🐬	Delfin, Flipper
🐟️	Fësch, Stärzeechen
🐠	Fësch, tropesch, tropesche Fësch
🐡	Fësch, Kugelfësch
🦈	Fësch, Hai
🐙	Tëntefësch
🐚	Muschel, Spiral, Spiralmuschel
🐌	Schleek
🦋	Insekt, Päiperlek, schéin
🐛	Insekt, Kiewerlek
🐜	Insekt, Seejomes
🐝	Bei, Insekt
🐞	Himmelsdéierchen, Insekt, Kiewerlek
🦗	Cricket, Heesprénger
🕷️	Insekt, Spann
🕸️	Netz, Spann, Spannennetz
🦂	Skorpioun, Stärzeechen
💐	Blumm, Blummebouquet
🌸	Blumm, Bléi, Kiischt, Kiischtebléi
💮	Blumm, wäiss Blumm
🏵️	Planz, Rosett
🌹	Blumm, Rous
🥀	Blumm, verwielegt, verwielegt Blumm
🌺	Blumm, Hibiskus
🌻	Blumm, Sonn, Sonneblumm
🌼	Blumm, Margréitchen
🌷	Blumm, Tulp
🌱	Keimling, jonk
🌲	Bam, Dännebam
🌳	Bam, Laf, Lafbam, falen
🌴	Bam, Palm
🌵	Kaktus, Planz
🌾	Hallem, Kär, Räis, Räishallem
🌿	Blat, Kräider
☘️	Kléi, Planz
🍀	4, Blat, Kléi, véier, véierbliederegt Kléiblat
🍁	Ahorn, Ahornblat, Blat, falend
🍂	Blat, Hierschtblat, falend
🍃	Blat, Wand, am Wand fléiend Blat, blosen, fléien
🍄	Champignon, Gëftpilz, Pilz
🍇	Drauf, Drauwen, Uebst
🍈	Meloun, Uebst
🍉	Uebst, Waassermeloun
🍊	Mandarine, Orange, Uebst
🍋	Uebst, Zitroun, Zitrusfriicht
🍌	Banann, Uebst
🍍	Ananas, Uebst
🍎	Apel, Uebst, rouden Apel, rout
🍏	Apel, Uebst, gréng, gréngen Apel
🍐	Bir (Fruucht), Uebst
🍑	Piisch, Uebst
🍒	Kiischt, Kiischten, Uebst
🍓	Bier, Uebst, Äerdbier
🥝	Iessen, Kiwi, Uebst
🍅	Geméis, Tomat, Uebst
🥥	Kokosnoss, Palm, Piña Colada
🥑	Avocado, Fruucht, Iessen
🍆	Aubergine, Geméis
🥔	Geméis, Gromper, Iessen
🥕	Geméis, Iessen, Wuerzel
🌽	Kolben, Labyrinth, Mais
🌶️	Peperoni, schaarf
🥒	Geméis, Iessen, Kornischong
🥦	Brokkoli, wëlle Kabes
🥜	Geméis, Iessen, Kakuett, Noss
🌰	Käscht, Planz
🍞	Brout
🥐	Brout, Croissant, Iessen, franséisch
🥖	Baguette, Brout, Iessen, franséisch
🥨	Bretzel, gedréit
🥞	Crêpe, Iessen, Paangech, Paangecher, Pancake
🧀	Kéis, Stéck Kéis
🍖	Fleesch, Fleeschschank, Schank
🍗	Been, Poulet, Pouletssträmpel, Schank, Stämpel
🥩	Bifdeck, Hämmelskotlett, Kotlett, Schwéngskotlett, Stéck Fleesch
🥓	Fleesch, Iessen, Speck
🍔	Burger, Hamburger
🍟	Fritten
🍕	Kéis, Pizza, Stéck
🌭	Frankfurter, Hot Dog, Hotdog, Wurscht
🥪	Brout, Sandwich
🌮	Taco, mexikanesch
🌯	Burrito, Wrap, mexikanesch
🥙	Falafel, Gyros, Iessen, Kebab, flaacht Brout, gefëllt
🥚	Ee, Iessen
🍳	Ee, Pan, Pan mat Spigelee, broden
🥘	Iessen, Kasseroll, Kasseroll mat Iessen, Paella, Pan, flaach
🍲	Eintopf, Kasseroll, Plat an enger Kasseroll
🥣	Boll mat Läffel, Frühstück, Kaffi, Müsli
🥗	Iessen, Zalot, gréng, gréng Zalot
🍿	Popcorn
🥫	Béchs, Iessen an der Béchs
🍱	Bento, Bento-Box, Box, Këscht
🍘	Kichelchen, Räis, Räiskichelcher
🍙	Ball, Räis, Räisball, japanesch
🍚	Räis, gekacht, gekachte Räis
🍛	Curry, Curry mat Räis, Räis
🍜	Nuddelen, Ramen, Schossel, Schossel mat Nuddelen, dämpend
🍝	Pasta, Spagetti
🍠	Gromper, Séissgromper, gebroden, séiss
🍢	Broschett, Kebab, Mieresfriichten, Oden
🍣	Sushi
🍤	Crevette, Scampi, Scampi-Tempura, Tempura, frittéiert
🍥	Fësch, Kichelchen, Kuch, gerullt, gerullte Fëschkichelchen
🍡	Brochett, Dango, Dessert, japanesch, séiss
🥟	Empanada, Gyoza, Jiaozi, Pierogi, Ravioli
🥠	Gléckskichelchen, Prophezeiung
🥡	Austerkëscht, Takeout-Këscht
🦀	Kriibs, Stärzeechen
🦐	Crevette, Iessen, Mieresfruucht, kleng
🦑	Calamar, Iessen, Mollusk
🍦	Crème, Dessert, Glace, Softice, séiss, Äis
🍧	Dessert, Glace, Waasser, Waasserglace, séiss
🍨	Dessert, Glace, séiss, Äis
🍩	Dessert, Donut, séiss
🍪	Dessert, Kichelchen, séiss
🎂	Dessert, Feier, Gebuertsdag, Gebuertsdagskuch, Gebäck, Kuch, séiss
🍰	Dessert, Gebäck, Kuch, Stéck, Stéck Kuch, séiss
🥧	Fëllung, Gebäck, Taart
🍫	Dessert, Schokela, Tablett, Tablett Schockela, séiss
🍬	Dessert, Kamell, séiss
🍭	Dessert, Kamell, Lutsch, séiss
🍮	Dessert, Pudding, séiss
🍯	Glas, Hunneg, Hunnegglas, séiss
🍼	Biberon, Fläsch, Mëllech, Puppelchen, drénken
🥛	Gedrénks, Glas, Glas Mëllech, Mëllech
☕️	Gedrénks, Kaffi, Téi, drénken, dämpend, waarm, waarmt Gedrénks
🍵	Gedrénks, Taass, Taass ouni Hänk, Téi, Téitaass, drénken
🍶	Bar, Fläsch, Gedrénks, Sake, Taass, drénken
🍾	Bar, Fläsch, Fläsch mat knallendem Stopp, Stopp, drénken, knallend
🍷	Bar, Gedrénks, Glas, Wäiglas, Wäin, drénken
🍸️	Bar, Cocktail, Cocktailglas, Gedrénks, Glas
🍹	Bar, Gedrénks, exotesch, exotescht Gedrénks
🍺	Bar, Béier, Gedrénks, Klensch
🍻	Bar, Béier, Gedrénks, Klensch, prosten, prostend Béierklenschen
🥂	Gedrénks, Glas, feieren, prosten, prostend Glieser
🥃	Alkohol, Glas, Shot, Whisky, Whiskyglas
🥤	Glas mat Stréihallem, Jus, Softdrink
🥢	Hashi, asiatesch Béngelen
🍽️	Forschett, Forschett a Messer mat Teller, Messer, Teller, kachend
🍴	Forschett, Forschett a Messer, Messer, kachend
🥄	Geschir, Läffel
🔪	Kichemesser, Kichen, Messer, Utensil, Waff, kachen
🏺	Amphore, Gedrénks, Krou, Stärzeechen, Utensil, Waassermann, Waff, kachend
🌍	Afrika, Europa, Globus, Globus (zentréiert op Europa an Afrika), Welt, Äerd
🌎️	Globus, Globus (zentréiert op Nord-/Südamerika), Nordamerika, Südamerika, Welt, Äerd
🌏	Asien, Australien, Globus, Globus (zentréiert op Asien an Australien), Welt, Äerd
🌐	Globus, Meridian, Meridianglobus, Welt, Äerd
🗺️	Kaart, Welt, Weltkaart
🗾	Japan, Kaart, Kaart vu Japan
🏔️	Bierg, Schnéi, kal, mat Schnéi bedeckte Bierg
⛰️	Bierg
🌋	Bierg, Eruptioun, Vulkan
🗻	Bierg, Fuji, Mount Fuji
🏕️	Camping
🏖️	Plage, Plage mat Sonneprabbeli, Prabbeli
🏜️	Wüst
🏝️	Insel, Wüst, Wüsteninsel
🏞️	Nationalpark, Park
🏟️	Stadion
🏛️	klassesch, klassescht Gebai
🏗️	Aarbechten, Kran, Stroossebarrière
🏘️	Haiser
🏚️	Haus, eidel, eidelt Haus
🏠️	Doheem, Haus
🏡	Doheem, Gaart, Haus, Haus mat Gaart
🏢	Bürosgebai, Gebai
🏣	Post, japanesch, japanesche Postbüro
🏤	Post, Postbüro, europäesch
🏥	Dokter, Medezin, Spidol
🏦	Bank, Gebai
🏨	Gebai, Hotel
🏩	Hotel, Love Hotel, Léift
🏪	Geschäft, Supermarché
🏫	Gebai, Schoul
🏬	Akafszenter, Geschäft
🏭️	Fabrik, Gebai
🏯	Schlass, japanesch, japanescht Schlass
🏰	Schlass, europäesch
💒	Hochzäit, Kapell, Romanz
🗼	Tokyo, Tokyo Tower, Tower, Tuerm
🗽	Fräiheet, Fräiheetsstatu, Statu
⛪️	Kierch, Kräiz, Relioun, chrëschtlech
🕌	Islam, Moschee, Moslem, Relioun
🕍	Judd, Relioun, Synagog, Tempel, jiddesch
⛩️	Relioun, Schräin, Shinto, Shinto-Schräin
🕋	Islam, Kaaba, Moslem, Relioun
⛲️	Sprangbuer
⛺️	Camping, Zelt
🌁	Niwwel, niwweleg
🌃	Himmel, Nuecht, Stär, Stärenhimmel
🏙️	Stad, Stadlandschaft
🌄	Bierg, Moien, Sonn, Sonnenopgang, Sonnenopgang an de Bierger
🌅	Moien, Sonn, Sonnenopgang
🌆	Dämmerung, Landschaft, Owend, Sonn, Sonnenënnergang, Stad, Stad an der Dämmerung
🌇	Dämmerung, Sonn, Sonnenënnergang
🌉	Bréck, Bréck nuets, Nuecht, nuets
♨️	Quellen, dämpend, waarm, waarm Quellen
🎠	Karussell, Karussellpäerdchen, Päerdchen
🎡	Fouer, Fräizäitpark, Rad, Riserad
🎢	Achterbahn, Fräizäitpark
💈	Coiffer, Coifferssail, Coupe, Sail
🎪	Zelt, Zirkus, Zirkuszelt
🚂	Damp, Eisebunn, Lokomotiv, Motor, Zuch
🚃	Eisebunn, Tram, Trolleybus, Waggon, Zuch, Zuchwaggon, elektresch
🚄	Eisebunn, Schnellzuch, Shinkansen, Vitess, Zuch
🚅	Eisebunn, Fliger, Schnellzuch mat Fligernues, Shinkansen, Vitess, Zuch
🚆	Eisebunn, Zuch
🚇️	Metro, U-Bahn
🚈	Eisebunn, Stadbunn
🚉	Eisebunn, Haltestell, Zuch
🚊	Tram, Trolleybus
🚝	Gefier, Monorail
🚞	Bierg, Biergzuch, Eisebunn, Waggon
🚋	Tram, Tramwaggon, Trolleybus, Waggon
🚌	Bus, Gefier
🚍️	Bus, entgéintkommend, entgéintkommende Bus
🚎	Bus, Tram, Trolley, Trolleybus
🚐	Bus, Minibus
🚑️	Ambulanz, Gefier
🚒	Camion, Feier, Motor, Pompjeeswon
🚓	Auto, Patrull, Police, Policeauto
🚔️	Auto, Police, entgéintkommend, entgéintkommende Policeauto
🚕	Gefier, Taxi
🚖	Taxi, entgéintkommend, entgéintkommenden Taxi
🚗	Auto, Automobil
🚘️	Auto, Automobil, entgéintkommend, entgéintkommenden Auto
🚙	Fräizäit, SUV, Sportswon
🚚	Liwwerung, Liwwerwon, Won
🚛	Camion, Sattelschlepper, Schlepper, Semi
🚜	Gefier, Trakter
🏎️	Auto, Course, Courseauto
🏍️	Course, Motorrad
🛵	Motor, Scooter
🚲️	Vëlo
🛴	Trottinette, stoussen
🚏	Arrêt, Bus, Bushaltestell
🛣️	Autobunn, Schnellstrooss, Strooss
🛤️	Eisebunn, Schinnen, Zuch
🛢️	Faass, Ueleg, Uelegfaass
⛽️	Bensin, Pompel, Statioun, Tankstell
🚨	Auto, Gyrophar, Luucht, Police, Signal, dréiend
🚥	Luucht, Verkéier, Zeechen, horizontal rout Luucht
🚦	Luucht, Verkéier, Zeechen, vertikal rout Luucht
🛑	Schëld, Stopp, Stoppschëld, aachteckeg
🚧	Barrière, Stroossebarrière
⚓️	Anker, Handwierksgeschir, Schëff
⛵️	Boot, Mier, Resort, Segelboot, Yacht
🛶	Boot, Kanu
🚤	Boot, Schnellboot
🛳️	Passagéier, Passagéierschëff, Schëff
⛴️	Boot, Fähr, Passagéier
