🦵🏻	membru, picior, picior: ton deschis al pielii, ton deschis al pielii, șut
🏌‍♀	femeie, femeie care joacă golf, golf
🏄‍♂	bărbat, bărbat care practică surfing, bărbat la surfing, surfing
🏄‍♀	femeie, femeie care practică surfing, femeie la surfing, surfing
🚣	barcă, persoană care vâslește în barcă, vâsle
🚣‍♂	barcă, bărbat, bărbat care vâslește în barcă, vâsle
🚣‍♀	barcă, femeie, femeie care vâslește în barcă, vâsle
🏊‍♂	bărbat, bărbat care înoată, natație, înot
🏊‍♀	femeie, femeie care înoată, natație, înot
⛹‍♂	bărbat, bărbat care bate mingea, minge
⛹‍♀	femeie, femeie care bate mingea, minge
🏋‍♂	bărbat, bărbat care ridică greutăți, bărbat care ridică haltere, greutăți, haltere, halterofil
🏋‍♀	femeie, femeie care ridică greutăți, femeie care ridică haltere, greutăți, haltere, halterofilă
🚴	bibicletă, ciclism, ciclist, persoană pe bicicletă
🚴‍♂	bicicletă, biciclist, bărbat, bărbat pe bicicletă, ciclism, ciclist
🚴‍♀	bicicletă, biciclistă, ciclism, ciclistă, femeie, femeie pe bicicletă
🚵	bicicletă, biciclist, ciclism, ciclist, montan, persoană pe bicicletă montană
🚵‍♂	bicicletă, biciclist, bărbat, bărbat pe bicicletă montană, ciclist, montan
🚵‍♀	bicicletă, biciclistă, ciclistă, femeie, femeie pe bicicletă montană, montan
🤸	face roata, gimnastică, om, persoană care face roata, sport
🤸‍♂	bărbat, bărbat care face roata, face roata, gimnastică, sport
🤸‍♀	face roata, femeie, femeie care face roata, gimnastică, sport
🤼	luptă, luptător, om, persoane care practică wrestling, sport
🤼‍♂	bărbat care practică wrestling, bărbați, lupte, sport, wrestling
🤼‍♀	femei, femeie care practică wrestling, lupte, sport, wrestling
🤽	apă, om, persoană care joacă polo pe apă, polo, sport
🤽‍♂	bărbat, bărbat care joacă polo pe apă, polo pe apă, sport
🤽‍♀	femeie, femeie care joacă polo pe apă, polo pe apă, sport
🤾	handbal, minge, om, persoană care joacă handbal, sport
🤾‍♂	bărbat, bărbat care joacă handbal, handbal, handbalist, sport
🤾‍♀	femeie, femeie care joacă handbal, handbal, handbalistă, sport
🤹	abilitate, echilibru, jongla, jongler, jonglerie, multitasking, persoană care jonglează
🤹‍♂	bărbat, bărbat care jongleză, jongla, jonglerie, multitasking
🤹‍♀	femeie, femeie care jonglează, jongla, jonglerie, multitasking
👫	bărbat, bărbat și femeie ținându-se de mână, cuplu, femeie, mână, ține
👬	Gemeni, bărbat, cuplu, doi bărbați ținându-se de mână, zodiac
👭	cuplu, două femei ținându-se de mână, femeie, mână, ține
💏	cuplu, iubire, sărut
💑	cuplu, cuplu cu inimă, dragoste, iubire
🤳	aparat de fotografiat, selfie, telefon
💪	amuzant, biceps flexat, corp, forță, mușchi
🦵	membru, picior, șut
🦶	călcat, laba piciorului, șut
🖕	deget, degetul mijlociu, gest, insultă, mijlociu
🤞	degete, degete încrucișate, mână, noroc, încrucișare
🖖	deget, salut, salut vulcanian, spock, vulcan
🤘	coarne, deget, mână, rock, semnul cu coarne
🤙	apela, mână, semnul sună-mă, suna
✋	mână, mână ridicată, sus
👌	gest, mână, ok, semnul ok
✊	lovitură, mână, pumn, pumn ridicat, strâns, încleștat
👊	lovitură, lovitură de pumn, mână, pumn, strâns, încleștat
🤛	pumn, pumn spre stânga, spre stânga
🤜	pumn, pumn spre dreapta, spre dreapta
🤚	dosul palmei, dosul palmei ridicat, ridicat
👋	despărțire, mână, mână fluturată, semn
🤟	gest cu semnificația te iubesc, mână, te iubesc
👏	aplauze, mâini, mâini care aplaudă
👐	deschise, mână, palme, palme deschise
🙌	mâini, mâini ridicate, ridicat, sărbătoare, ura
🤲	palme ridicate împreună, rugăciune
🙏	mulțumiri, mâini, mâini unite, rugăciune, te rog
🤝	acord, mână, noroc, strângere de mână, întâlnire, înțelegere
💅	lac de unghii, manichiură, ojă, ojă pe unghii, unghie
👃	corp, nas
👣	talpă, urme de pași, urmă
👀	doi, doi ochi, față, ochi
👁‍🗨	balon de dialog, martor, ochi, ochi în balon de dialog
🧠	creier, inteligent
🦴	os, schelet
🦷	dentist, dinte, stomatolog
👅	corp, limbă
👄	buze, gură, limbă
🦰	păr roșcat, roșcat, roșcată
🦱	afro, bucle, creț, cârlionți, păr creț
🦳	alb, bătrân, grizonat, păr, păr alb
🦲	chelie, chimioterapie, fără păr, ras
💋	buze, roșu, sărut, urme de buze
💘	cupidon, inimă, inimă săgetată, săgeată
💝	cadou, inimă, inimă cu fundiță, panglică
💖	entuziasm, fericire, inimă, inimă strălucitoare, strălucire
💗	emoție, entuziasm, inimă, inimă care crește, neliniște
💓	emoție, inimă, inimă palpitând, viață
💞	cerc, inimi învârtindu-se în cerc, inimă, învârtire
💕	afecțiune, amor, două inimioare, dragoste, iubire
💌	dragoste, inimă, iubire, plic, scrisoare, scrisoare de dragoste
💔	durere, inimă, inimă zdrobită
🧡	inimă, inimă portocalie, portocaliu
💛	galben, inimă, inimă galbenă
💚	inimă, inimă verde, verde
💙	albastru, inimă, inimă albastră
💜	inimă, inimă mov, mov
🖤	inimă, inimă neagră, malefic, negru, rău
💟	decor, decorațiune inimă, inimă
💤	bandă desenată, sfor, sforăit
💢	bandă desenată, furie, simbol mânie, supărare
💥	bandă desenată, ciocnire, coliziune, explozie, impact
💦	bandă desenată, efort, picături, picături de transpirație, sudoare
💨	alergare, bandă desenată, fugă, grabă, nor de praf, viteză, ștergând-o rapid
💫	amețeală, amețit, bandă desenată, steluțe
💬	balon, balon de dialog, bandă desenată, dialog
💭	balon, balon de gândire, bandă desenată, gând
🥽	ochelari de protecție, protecția vederii, sudură, înot
🥼	doctor, experiment, halat de laborator, om de știință
👔	cravată, îmbrăcăminte
👕	tricou, îmbrăcăminte
👖	blugi, jeans, pantalon, îmbrăcăminte
🧣	eșarfă, gât
🧤	mână, mănuși
🧥	haină, jachetă, palton, pardesiu
🧦	ciorapi, șosete
👗	rochie, îmbrăcăminte
👘	chimono, kimono, îmbrăcăminte
👙	bikini, costum de baie, feminin, înot
👚	femeie, feminin, haine, haine de damă
👛	accesoriu, feminin, poșetă
👜	accesoriu, feminin, geantă de mână, poșetă
👝	accesoriu, geantă, gentuță
🎒	ghiozdan, rechizite, rucsac, școală
👞	bărbat, masculin, pantof bărbătesc, încălțăminte
👟	alergare, atletism, pantof sport, sport, încălțăminte
🥾	bocanc, camping, drumeție, gheată
🥿	balerin, mocasin, pantof fără toc
👠	femeie, feminin, pantof cu toc, toc înalt, încălțăminte
👡	femeie, feminin, pantof, sanda de damă, încălțăminte
👢	cizmă de damă, femeie, feminin, pantof, încălțăminte
👑	coroană, putere, regalitate, rege, regină, încoronat
👒	femeie, feminin, pălărie, pălărie de damă, îmbrăcăminte
🎩	joben, pălărie, îmbrăcăminte
🧢	șapcă, șapcă cu cozoroc, șapcă de baseball
📿	meditație, mărgele, mătănii, religie, rugăciune
💄	cosmetice, machiaj, ruj, ruj de buze
💍	diamant, inel, logodnă
💎	bijuterie, diamant, nestemată, piatră prețioasă
🐵	față, față de maimuță, maimuță
🐒	maimuță
🦍	animal sălbatic, gorilă
🐶	animal de companie, animal domestic, câine, față, față de câine
🐩	câine, pudel, rasă
🐺	animal sălbatic, față, față de lup, lup
🦊	animal sălbatic, față, față de vulpe, vulpe
🦝	curios, raton, ursuleț spălător, șmecher
🐱	animal de companie, animal domestic, față, față de pisică, pisică
🦁	față, față de leu, felină, leu, zodiac
🐯	față, față de tigru, tigru
🐅	animal sălbatic, felină, tigru
🐆	animal sălbatic, felină, leopard
🐴	animal domestic, cal, față, față de cal
🐎	cal, cal de curse, echitație
🦄	animal, cap de unicorn, corn, fantezie, față
🦓	animal sălbatic, dungi, zebră
🦌	animal sălbatic, cerb
🐮	animal domestic, cap de vacă, față, vacă
🐂	animal domestic, bou, taur, zodiac
🐃	animal domestic, bivol
🐄	animal domestic, vacă
🐷	animal domestic, cap de porc, față, porc
🐖	animal domestic, porc, scroafă
🐗	animal sălbatic, mistreț, porc
🐽	față, nas, porc, rât
🐏	animal domestic, berbec, zodiac
🐑	animal domestic, mioară, oaie
🐐	Capricorn, animal domestic, capră, zodiac
🐪	cocoașă, deșert, dromader
🐫	cocoașe, cămilă, deșert
🦙	alpaca, lamă, lână
🦒	girafă, pete
🐘	animal sălbatic, elefant
🦏	animal sălbatic, rinocer
🦛	hipo, hipopotam
🐭	față, față de șoarece, șoarece
🐁	rozător, șoarece, șoricel
🐀	șobolan
🐹	animal de companie, față, față de hamster, hamster, rozător
🐰	animal de companie, față, față de iepure, iepuraș, iepure
🐇	animal de companie, iepuraș, iepure, rozător
🦔	arici, țepos
🦇	liliac, vampir
🐻	față, față de urs, urs
🐨	koala, ursuleț
🐼	față, față de panda, panda, urs
🦘	Australia, cangur, marsupial, salt, țopăit
🦡	bursuc, viezure
🐾	labe, picioare, urme, urme de lăbuțe
🦃	curcan, pasăre
🐔	găină, pasăre
🐓	cocoș, pasăre
🐣	eclozare, ou, pui, pui în găoace, puișor
🐤	pasăre, pui, pui de găină
🐥	pasăre, pui, pui de găină din față
🐧	frig, gheață, pasăre, pinguin
🦅	pasăre, vultur
🦆	pasăre, rață
🦢	lebădă, pasăre, rățușca cea urâtă
🦉	bufniță, de noapte, pasăre, înțelept
🦚	mândrie, orgoliu, ostentație, pasăre, păun
🦜	papagal mare, pasăre, pirat, vorbit
🐸	broască, față, față de broască
🐊	crocodil, reptilă
🐢	broască țestoasă, carapace, țestoasă
🦎	reptilă, târâtoare, șopârlă
🐍	ofiucus, reptilă, zodiac, șarpe
🐲	balaur, basm, fantastic, față, față de dragon, poveste
🐉	balaur, dragon, poveste
🦕	brahiozaur, brontozaur, diplodocus, sauropod
🦖	T-Rex, Tyrannosaurus Rex
🐳	apă, balenă, balenă împroșcând apă, jet
🐋	balenă, mamifer acvatic, uriaș
🐬	delfin, inteligent, mamifer acvatic
🐠	exotic, pește tropical, pești, tropical
🐡	pește, pește balon, pește țepos
🦈	pește, rechin
🐙	caracatiță, tentacule
🐚	cochilie, cochilie spiralată, spirală
🦀	rac, zodiac
🦞	clești, fructe de mare, homar
🦐	crevete, fructe de mare, mic, mâncare
🦑	calamar, calmar, moluscă, mâncare
🐌	melc
🦋	fluture, frumos, insectă
🐛	gândac, insectă
🐜	colonie, furnică, hărnicie, insectă
🐝	albină, aripi, insectă, miere
🐞	buburuză, buline, insectă, roșu
🦗	greier, lăcustă
🦂	insectă, scorpion, venin, zodiac
🦟	boală, febră, insectă, malarie, înțepătură, țânțar
🦠	amibă, bacterie, microb, virus
💐	buchet de flori, cadou, flori
🌸	cireș, floare, floare de cireș, parfum, pom
💮	floare, floare albă, puritate
🌹	floare, trandafir
🥀	floare, floare ofilită, ofilire
🌺	floare, hibiscus
🌻	floare, floarea soarelui, galben, plantă, soare
🌼	boboc, eforescență, floare, înflorire
🌷	floare, lalea, plantă, primăvară
🌱	plantă, răsad, tânără
🌲	arbore conifer, brad, conifer, copac
🌳	arbore foios, copac, frunze căzătoare
🌴	copac, palmier
🌵	cactus, plantă
🌾	cereală, snop, snop de orez, spic
🌿	plantă, plantă aromatică
🍀	frunze, patru, trifoi, trifoi cu patru foi
🍁	arțar, frunză, frunză de arțar, frunză în cădere
🍂	cădere, frunză, frunză în cădere
🍃	frunză, frunză plutind în aer, plutire, vânt
🍇	boabe, fruct, struguri, viță de vie
🍈	fruct, pepene, pepene galben
🍉	fruct, pepene, pepene verde
🍊	citrice, fruct, mandarină
🍋	citrice, fruct, lămâie
🍌	banană, fruct
🍍	ananas, fruct
🥭	fruct, mango, tropical
🍎	fruct, măr, măr roșu, roșu
🍏	fruct, măr, măr verde, verde
🍐	fruct, pară
🍑	fruct, piersică
🍒	cireașă, cireșe, fruct, roșu
🍓	bacă, căpșună, fruct
🥝	fructe, kiwi, mâncare
🍅	fruct, legumă, roșie, tomată
🥥	cocotier, nucă de cocos, palmier
🥑	avocado, fruct, mâncare
🍆	legumă, vânătă
🥔	cartof, cartofi, legume, mâncare
🥕	legume, morcov, mâncare
🌽	cereală, porumb, știulete, știulete de porumb
🥒	castravete, legume, murătură, mâncare
🥬	lăptucă, salată, varză, varză chinezească, varză kale, verdețuri
🥦	broccoli, conopidă
🍄	ciupercă, ciupercă otrăvitoare
🥜	alune, arahide, legumă, mâncare
🌰	castană, plantă
🍞	aliment, franzelă, pâine
🥐	corn, croasant, croissant, mâncare, pâine
🥖	baghetă, baghetă de pâine, franțuzească, mâncare, pâine
🥨	covrig, covrigei, covrigel, covrigi
🥯	bagel, covrig moale, patiserie
🥞	clătite, clătită, crepe, mâncare
🧀	brânză, bucată de brânză, cașcaval
🍖	carne, os, os cu carne
🍗	ciocănel, pasăre, pulpă, pulpă de pasăre
🥩	antricot, bucată de carne, cotlet, friptură
🥓	bacon, carne, jambon, mâncare, șuncă
🍔	burger, carne, fast food, hamburger
🍟	cartofi, cartofi prăjiți, fast food
🍕	fast food, felie, pizza
🌭	cârnat, fast food, hot dog, muștar
🥪	fast food, sandvici, sandviș
🌮	fast food, lipie, mexican, taco
🌯	burrito, lipie, mexican, sandvici rulat, sandviș rulat
🥙	falafel, giros, kebab, lipie, lipie umplută, mâncare, șaorma
🥚	mâncare, ou
🍳	gătit, tigaie
🥘	cratiță, cratiță cu mâncare, mâncare, paella, tigaie, tigaie cu mâncare
🍲	oală, oală cu mâncare, tocană
🥣	castron cu lingură, cereale, mic dejun, terci
🥗	mâncare, salată, salată verde, verde
🍿	floricele, floricele de porumb, pop-corn, popcorn, porumb
🧂	condiment, sare, solniță
🥫	conservă, mâncare la conservă
🍱	bento, japonia, mâncare, mâncare japoneză la pachet, pachet
🍘	biscuit, biscuit de orez, orez
🍙	Japonia, chifteluțe, chifteluțe de orez, orez, perișoare
🍚	orez, orez gătit, preparare
🍛	condiment, curry, orez, orez cu curry
🍜	castron, castron aburind, fierbinte, tăiței
🍝	paste, spaghete
🍠	cartof, cartof dulce copt, copt, dulce
🍢	băț, frigăruie japoneză, fructe de mare, oden
🍣	sushi
🍤	crevete, crevete prăjit, prăjire, tempura
🍥	paste, pește, ruladă, ruladă japoneză cu pește
🥮	festival, prăjitura lunii, prăjitură chinezească, toamnă
🍡	Japonia, băț, desert, dulce, găluște japoneze pe băț
🥟	empanada, găluște chinezești, jiaozi, pierogi, potsticker
🥠	profeție, prăjiturele cu răvaș
🥡	mâncare chinezească la pachet, mâncare la pachet
🍦	cornet, desert, înghețată, înghețată cremă
🍧	desert, desert din fulgi de gheață, dulce, gheață, înghețată
🍨	cremă, desert, dulce, înghețată
🍩	desert, dulce, glazură, gogoașă, gogoașă americană
🍪	desert, dulce, fursec
🎂	aluat, aniversare, desert, dulce, sărbătoare, tort, tort aniversar
🍰	aluat, desert, dulce, felie, tartă
🧁	brioșă, dulce, patiserie
🥧	aluat, plăcintă, umplutură
🍫	baton, baton de ciocolată, ciocolată, desert, dulce
🍬	bomboană, desert, dulce
🍭	acadea, bomboană, băț, desert, dulce
🍮	budincă, desert, dulce, șarlotă
🍯	borcan, borcan cu miere, dulce, miere
🍼	bebeluș, biberon, lapte, sticlă, suzetă
🥛	băutură, lapte, pahar, pahar cu lapte
🍵	băutură, ceai, ceașcă, ceașcă fără mâner
🍶	bar, băutură, ceașcă, sake, sticlă
🍾	bar, băutură, dop, sticlă, sticlă căreia îi sare dopul, sărbătoare
🍷	bar, băutură, pahar, pahar de vin, vin
🍹	bar, băutură, băutură tropicală, exotic, tropical
🍺	bar, bere, băutură, halbă, halbă de bere
🍻	bar, bere, băutură, ciocnit, halbe, halbe de bere ciocnite, halbă
🥂	băutură, ciocnit, ciocnit de pahare, pahar, pahare ciocnite, sărbătorire
🥃	lichior, pahar, pahar de whisky, shot, whisky
🥤	pahar cu pai, sifon, suc
🥢	bețișoare de mâncat, bețișoare japoneze
🍴	cuțit, furculiță, furculiță și cuțit, gătit
🥄	lingură, tacâmuri
🔪	armă, cuțit, cuțit de bucătărie, gătit, instrument
🏺	Vărsător, amforă, băut, gătit, ulcior, zodiac
🌍	Africa, Europa, Europa și Africa pe glob, Pământ, glob, lume
🌏	Asia, Asia și Australia pe glob, Australia, glob, lume
🌐	Pământ, glob, glob cu meridiane, lume, meridiane
🗾	Japonia, harta Japoniei, hartă
🧭	busolă, magnetic, navigație, orientare
🌋	erupție, lavă, munte, vulcan
🗻	Fuji, munte, muntele Fuji
🧱	argilă, cărămidă, cărămizi, mortar, zid
🏡	casă, casă cu grădină, grădină, locuință, verdeață
🏢	birouri, clădire, clădire de birouri
🏣	Japonia, oficiu poștal japonez, poștă
🏤	Europa, oficiu poștal, poștă
🏥	doctor, medicină, spital, sănătate
🏦	bancă, clădire
🏨	cazare, clădire, hotel
🏩	cazare, clădire, hotel de dragoste, iubire
🏪	magazin, magazin non-stop, mic magazin de cartier, mixt, non-stop
🏫	clădire, învățământ, școală
🏬	magazin, magazin universal, mare, raioane, universal
🏯	Japonia, castel, castel japonez, clădire
🏰	Japonia, castel, clădire
💒	capelă, inimă, nuntă
🗼	Tokio, turn, turnul Tokio
🗽	Statuia Libertății, libertate, statuie
🕌	cult, islam, moschee, musulman, religie
🕍	cult, evreiesc, religie, sinagogă, templu
🕋	cult, islam, kaaba, lăcaș de cult islamic kaaba, religie
🌁	ceață, vreme, încețoșat
🌃	noapte, noapte înstelată, stele
🌄	dimineață, munți, răsărit, răsărit după munți, soare
🌅	dimineață, răsărit, soare
🌆	apus, oraș, peisaj urban la apus, seară, soare, zgârie-nori
🌇	amurg, apus, crepuscul, soare
🌉	lumină, noapte, pod, pod luminat noaptea
🌌	Calea Lactee, constelație, stele
🎠	cal, carousel, căluț de carusel
🎡	bâlci, carnaval, distracție, parc de distracție, roata mare
🎢	adrenalină, montagne russe, parc de distracție
💈	bărbier, indicator, stâlp de bărbier, tuns
🎪	circ, cort, cort de circ
🚂	aburi, cale ferată, locomotivă, motor, transport, tren
🚃	electric, tramvai, transport, troleibuz, vagon, vagon feroviar, șină
🚄	cale ferată, tren, tren de mare viteză, viteză
🚅	aerodinamic, cale ferată, tren, tren de mare viteză cu vârf aerodinamic, viteză
🚆	cale ferată, tren, șine
🚈	cale ferată, tren ușor, șine
🚉	cale ferată, gară, haltă, stație, tren
🚊	tramvai, troleibuz
🚝	monorai, monoșină
🚞	cale ferată, cale ferată montană, munte
🚋	tramvai, troleibuz, vagon, vagon de tramvai
🚌	autobuz, vehicul
🚎	autobuz, tramvai, troleibuz, troleu
🚐	autobuz, microbuz
🚒	incendiu, mașină de pompieri, salvare, vehicul
🚓	autovehicul, mașină de poliție, patrula, poliție
🚕	autovehicul, taxi, taximetrie
🚖	apropiere, autovehicul, taxi care se apropie, taximetrie
🚗	automobil, mașină
🚙	SUV, călătorii, jeep, vacanță, vehicul, vehicul recreațional
🚚	camion, camion de marfă, livrare, marfă
🚛	articulat, camion, camion articulat
🚜	tractor, vehicul
🛴	scuter, trotinetă
🛹	placă, skateboard
🛵	motor, motoscuter, scuter
🚏	autobuz, oprire, stație de autobuz
🚨	girofar, girofar de poliție, lumină, poliție, semnal luminos
🚥	semafor, semafor orizontal, semnal, trafic
🚦	semafor, semafor vertical, semnal, trafic
🛑	indicator, octogon, semn, semnul stop, stop
🚧	barieră, construcție, indicator, șantier
🛶	barcă, canoe
🚤	barcă, barcă de viteză, motor, viteză, șalupă
🚢	maritim, navigație, navă, pasageri, vapor, vas
🛫	aeronavă, avion, check-in, plecare, plecare avion, plecări
🛬	aeronavă, aterizare, avion, sosire, sosire avion, sosiri
💺	loc în mijloc de transport, scaun, transport
🚁	elice, elicopter, vehicul, zbor
🚟	cabluri, cale ferată, cale ferată suspendată
🚠	cablu, gondolă, munte, telecabină montană, transport
🚡	cablu, gondolă, tramvai aerian, transport
🚀	cosmos, rachetă, spațiu
🛸	OZN, farfurie zburătoare
🧳	bagaj, călătorie, valiză, voiaj, împachetare
⏰	alarmă, ceas, ceas deșteptător
🕧	12:30, ceas, doisprezece treizeci, ora douăsprezece și jumătate
🕜	13:30, 1:30, ceas, ora unu și jumătate, unu treizeci
🕝	14:30, 2:30, ceas, două, două treizeci, ora două și jumătate
🕞	15:30, 3:30, ceas, ora trei și jumătate, trei treizeci
🕟	16:30, 4:30, ceas, ora patru și jumătate, patru treizeci
🕠	17:30, 5:30, ceas, cinci treizeci, ora cinci și jumătate
🕡	18:30, 6:30, ceas, ora șase și jumătate, șase treizeci
🕢	19:30, 7:30, ceas, ora șapte și jumătate, șapte treizeci
🕣	20:30, 8:30, ceas, opt treizeci, ora opt și jumătate
🕤	21:30, 9:30, ceas, nouă treizeci, ora nouă și jumătate
🕥	10:30, 22:30, ceas, ora zece și jumătate, zece treizeci
🕦	11:30, 23:30, ceas, ora unsprezece și jumătate, unsprezece treizeci
🌑	lună, lună nouă, întuneric
🌒	concavă, creștere, lună, lună concavă în creștere, semilună
🌓	lună, lună în primul pătrar, pătrar, unu
🌔	convexă, creștere, lună, lună convexă în creștere, semilună
🌖	convexă, descreștere, lună, lună convexă în descreștere, semilună
🌗	lună, lună în ultimul pătrar, patru, pătrar
🌘	concavă, descreștere, lună, lună concavă în descreștere, semilună
🌙	creștere, lună, semilună
🌚	față, lună, lună nouă cu față, rotundă, întuneric
🌛	față, lună, lună cu față în primul pătrar, pătrar, unu
🌝	față, lună plină, lună plină cu față
🌞	față, raze, soare, soare cu față
🌟	stea, stea strălucitoare, strălucire
🌠	cometă, cădere, meteor, stea, stea căzătoare
🌀	ciclon, taifun, uragan, vârtej
🌈	cer, culori, curcubeu
🌂	accesoriu, ploaie, umbrelă, umbrelă închisă
🔥	căldură, flacără, flamă, foc, lumină
💧	bandă desenată, lichid, picătură, transpirație
🌊	mare, ocean, val
🎃	Halloween, dovleac cu felinar, jack-o-lantern, lumânare, sărbătoare
🎄	Crăciun, brad, brad de Crăciun, sărbătoare
🎆	artificii, sărbătoare
🎇	artificii, foc bengal, scântei, sărbătoare
🧨	artificii, dinamită, explozibil, petardă
✨	luminițe, stea, steluțe, strălucire
🎈	balon, sărbătoare
🎉	con, confeti, petrecere, tun cu confetti
🎊	confeti, minge cu confetti, petrecere, sărbătoare
🎋	Japonia, copac, copac tanabata, sărbătoare
🎍	decor, decorațiune japoneză de pin, pin, sărbătoare
🎎	Japonia, festival, păpuși japoneze, păpușă, sărbătoare
🎏	crap, crap decorativ în vânt, sărbătoare, vânt
🎐	clopoței de vânt, clopoțel, vânt
🎑	ceremonia lunii, ceremonie, lună, sărbătoare
🧧	bani, cadou, noroc, plic roșu
🎀	festiv, fundă, panglică, sărbătoare
🎁	cadou, cadou împachetat, cutie, fundă
🎫	bilet, intrare
🏅	medalie, medalie sportivă, performanță, sport
🥇	aur, medalie, medalie locul I, primul
🥈	al doilea, argint, medalie, medalie locul II
🥉	al treilea, bronz, medalie, medalie locul III
🥎	minge, mănușă, softball, subraț
🏀	baschet, coș, minge, sport
🏐	minge, mână, sport, volei
🏈	american, balon oval, fotbal, fotbal american, minge
🏉	balon oval, minge, rugby, sport
🎾	minge, rachetă, sport, tenis
🥏	disc zburător, frisbee
🎳	bilă, bowling, joc, popice
🏏	bâtă, crichet, minge, sport
🏑	crosă, câmp, gazon, hochei, hochei de câmp, minge
🏒	crosă, gheață, hochei pe gheață, puc, sport
🥍	crosă, lacrosse, minge, poartă
🏓	minge, paletă, ping pong, sport, tenis de masă
🏸	badminton, fluturaș, rachetă, sport
🥊	box, mănuși, mănușă de box, sport
🥋	arte marțiale, costum, costum arte marțiale, judo, karate, taekwondo
🥅	gol, plasa porții, plasă, poartă
🎣	pescuit, pește, undiță
🎽	atletism, sport, tricou, tricou de alegare
🎿	pârtie, schiuri, zăpadă
🛷	pârtie, sanie, săniuș, zăpadă
🥌	joc, piatră, piatră de curling
🎯	centru, darts, fix la țintă, reușită, țintă
🎱	biliard, bilă, gaură, joc, opt
🔮	basm, cristal, fantezie, glob, glob de cristal, noroc
🧿	amuletă, amuletă nazar, ochiul magic, ochiul răului, talisman
🎰	joc, jocuri mecanice, manetă, noroc
🎲	joc, noroc, zar
🧩	indiciu, joc de puzzle, mozaic, piesă, puzzle
🧸	jucărie, pluș, ursuleț, ursuleț de pluș
🃏	cărți, joc, joker, păcălici
🎴	Japonia, carte, cărți de joc cu flori, floare, joc
🎨	artist, artă, muzeu, paletă, paletă de pictor, pictură
🧵	ac, ață, croitorie, cusut, mosor
🧶	croșeta, fir textil, ghem, tricota
🔇	difuzor fără sunet, fără sunet, liniște, sonor tăiat
🔉	sunet mediu, volum mediu al difuzorului
🔊	gălăgie, sunet puternic, volum ridicat al difuzorului
📢	difuzare, mesaj public, portavoce
📣	difuzare, megafon, sunet
📯	corn, corn poștal, poștă
🔔	clopoțel, sonerie
🔕	clopoțel, clopoțel tăiat, interzis, liniște, silențios
🎼	cheia sol, muzică, partitură, portativ
🎵	muzică, notă, notă muzicală
🎶	muzică, note, note muzicale
🎤	karaoke, microfon, muzică
🎷	instrument, muzică, saxofon
🎸	chitară, instrument, muzică
🎹	clape, claviatură muzicală, instrument, muzică, pian
🎺	instrument, muzică, trompetă
🎻	instrument, muzică, vioară
🥁	bețe de tobă, muzică, tobă
📱	celular, mobil, telefon, telefon mobil
📲	celular, mobil, recepție, săgeată, telefon, telefon mobil cu săgeată
📞	receptor, receptor de telefon, telefon
📠	comunicare, dispozitiv, echipament fax, fax
🔋	baterie, energie
🔌	electric, electricitate, fișă electrică, priză, ștecher
💽	computer, disc, disc de computer, minidisc, unitate optică
💾	computer, dischetă, floppy, stocare
📀	blu-ray, computer, disc, dvd, optic
🧮	abac, calcul, calcule, numărătoare
🎥	aparat de filmat, cinema, film, filmare
📸	aparat de fotografiat, bliț, cameră foto cu bliț, fotografie, video
📼	VHS, casetă, casetă video, video
🔍	căutare, instrument, lupă, lupă înclinată spre stânga, mărire
🔎	căutare, instrument, lupă, lupă înclinată spre dreapta, mărire
💡	bandă desenată, bec, electricitate, idee, lumină
🔦	baterie, electric, instrument, lanternă, lumină
🏮	Japonia, felinar, felinar din hârtie roșie, hârtie, lumină, roșu
📔	caiet, caiet cu copertă decorativă, carnet, copertă, decorațiune
📕	carte, carte închisă, închis
📖	carte, carte deschisă, deschis
📗	carte, carte verde, verde
📘	albastră, carte, carte albastră
📙	carte, carte portocalie, portocaliu
📓	carnet
📒	carnet, registru
📃	document, pagină, pagină rulată, rulare
📜	hârtie, pergament, rulou, sul
📄	document, pagină, pagină cu fața în sus
📰	hârtie, publicație, ziar, știri
🗞	hârtie, publicație, rulat, ziar rulat, știri
📑	marcatoare de pagini, marcator, semn, semn de carte
🔖	marcator, semn, semn de carte
💴	bancnotă, bancnotă yen, bani, monedă, valută, yen
💵	bancnotă, bancnotă dolar, bani, dolar, monedă, valută
💶	bancnotă, bancnotă euro, bani, euro, monedă, valută
💷	bancnotă, bancnotă liră sterlină, bani, liră sterlină, monedă, valută
💸	aripi, bancnotă, bani, bani înaripați, zbor
🧾	chitanță, contabilitate, evidențe, recipisă
💹	creștere, grafic, grafic ascendent cu yen, valută, yen
💱	bani, schimb, schimb valutar, valută
💲	bani, dolar, semnul dolar îngroșat
📧	corespondență, e-mail, mesaj, scrisoare
📨	e-mail, mesaj, plic, primit, recepționat, sosire, sosire plic
📩	e-mail, expediat, mesaj, plecare, plic, plic cu săgeată, trimis
📮	corespondență, cutie poștală, poștă
📝	creion, informații, memo, notiță, notă
💼	servietă
📁	dosar, dosar de arhivare, fișier
📂	deschis, dosar, dosar de arhivare deschis, fișier
📅	calendar, dată, zi
📆	calendar, calendar cu file detașabile
📇	cărți de vizită, fișier rotativ, index, index de carduri, repertoriu, rolodex
📈	creștere, diagramă, grafic ascendent, tendință
📉	diagramă, grafic descendent, scădere, tendință
📊	coloane, diagramă, diagramă cu bare
